original_gate_id,original_candidate,original_metric,original_tier,v2_disposition,v2_gate_id,v2_candidate,mathematical_reason,source_amendment,historical_gate_preserved,affects_v2_verdict,notes
GATE-001,M0,invalid_estimate_rate,MANDATORY,RETAINED_UNCHANGED,GATE-001-V2,M0,M0 baseline exists in both models; no domain change.,none (unchanged),YES,NO,
GATE-002,M0,false_positive_excitation_rate,MANDATORY,NOT_APPLICABLE_TO_MODEL_DOMAIN,GATE-002-V2,M0,false_positive_excitation_rate undefined on Theta_m for M0 (no excitation parameters in M0 parameter space); Mathematical Domain Applicability Rule.,MODEL_3B_PILOT_RECOVERY_DIAGNOSTIC_AUDIT.md Mathematical Domain ruling (unchanged by amendments),YES,NO,Diagnostic-audit ruling; GATE-002/003/005/006 form the M0 excitation-domain gate family.
GATE-003,M0,absolute_relative_bias_excitation_params,ADVISORY,NOT_APPLICABLE_TO_MODEL_DOMAIN,GATE-003-V2,M0,absolute_relative_bias_excitation_params undefined on Theta_m for M0.,diagnostic audit Mathematical Domain ruling,YES,NO,
GATE-004,M0,normalized_absolute_bias_baseline_param,MANDATORY,RETAINED_UNCHANGED,GATE-004-V2,M0,M0 baseline-bias metric well-defined in both versions; unaffected by Proposals 1-7.,none (unchanged),YES,NO,
GATE-005,M0,branching_ratio_absolute_bias,ADVISORY,NOT_APPLICABLE_TO_MODEL_DOMAIN,GATE-005-V2,M0,branching_ratio_absolute_bias undefined for M0 (no branching structure).,diagnostic audit Mathematical Domain ruling,YES,NO,
GATE-006,M0,branching_ratio_relative_bias,ADVISORY,NOT_APPLICABLE_TO_MODEL_DOMAIN,GATE-006-V2,M0,branching_ratio_relative_bias undefined for M0.,diagnostic audit Mathematical Domain ruling,YES,NO,
GATE-007,M0,ci_coverage_95pct,MANDATORY,REVISED_PROSPECTIVELY,GATE-007-V2,M0,"Proposal 1: full 3-parameter Hessian/covariance (incl. phi cross-terms) now required; diagonal-only estimator prohibited. Threshold value unchanged, estimation method revised.",PROPOSAL-01 (APPROVED_WITH_LIMITATIONS; full-Hessian required; diagonal-only prohibited; oracle n=60 coverage 93.3% inside band; not a full rerun),YES,YES,Oracle n=60 coverage 93.3% inside band under corrected method; not a full rerun.
GATE-036,M0,false_negative_excitation_rate,ADVISORY,NOT_APPLICABLE_TO_MODEL_DOMAIN,GATE-036-V2,M0,false_negative_excitation_rate undefined on Theta_m for M0; corrected from PROTOCOL_NOT_COMPLETED to NOT_INTERPRETABLE/NOT_APPLICABLE_TO_MODEL_DOMAIN via amend commit 4b94cd6.,GATE-036 correction (freeze commit 4b94cd6); reclassified from PROTOCOL_NOT_COMPLETED to NOT_INTERPRETABLE/NOT_APPLICABLE_TO_MODEL_DOMAIN,YES,NO,GATE-036 amend precedent — same domain-applicability rule now applied uniformly across M0 excitation gates in V2.
GATE-037,M0,convergence_rate,MANDATORY,RETAINED_UNCHANGED,GATE-037-V2,M0,Convergence-rate metric applies identically in both versions.,none (unchanged),YES,NO,
GATE-038,M0,boundary_solution_rate,ADVISORY,RETAINED_UNCHANGED,GATE-038-V2,M0,"Advisory gate retained; Proposal 6 corrects pilot-execution accounting (never computed), not the gate definition.",PROPOSAL-06 (advisory gate never computed by pilot; must be computed at future versioned execution; does not affect verdict unless severe finding),YES,NO,
GATE-039,M0,held_out_predictive_score,ADVISORY,RETAINED_UNCHANGED,GATE-039-V2,M0,Advisory gate retained; Proposal 6 accounting only.,PROPOSAL-06,YES,NO,
GATE-040,M0,source_removal_stability,ADVISORY,RETAINED_UNCHANGED,GATE-040-V2,M0,Advisory gate retained; Proposal 6 accounting only.,PROPOSAL-06,YES,NO,
GATE-041,M0,episode_removal_stability,ADVISORY,RETAINED_UNCHANGED,GATE-041-V2,M0,Advisory gate retained; Proposal 6 accounting only.,PROPOSAL-06,YES,NO,
GATE-042,M0,calibration,ADVISORY,RETAINED_UNCHANGED,GATE-042-V2,M0,Advisory gate retained; Proposal 6 accounting only.,PROPOSAL-06,YES,NO,
GATE-008,M1,invalid_estimate_rate,MANDATORY,MERGED,GATE-008-V2-THROUGH-014-V2,M1,"M1 out of scope for Proposals 1-7 (benchmark-only, not eligible for inferential authorization); 7 original gates condensed into 1 V2 summary row for structural compactness.",none (M1 out of scope for Proposals 1-7),YES,NO,"Contributing original gates: GATE-008,009,010,011,012,013,014."
GATE-009,M1,false_positive_excitation_rate,MANDATORY,MERGED,GATE-008-V2-THROUGH-014-V2,M1,"M1 out of scope for Proposals 1-7 (benchmark-only, not eligible for inferential authorization); 7 original gates condensed into 1 V2 summary row for structural compactness.",none (M1 out of scope for Proposals 1-7),YES,NO,"Contributing original gates: GATE-008,009,010,011,012,013,014."
GATE-010,M1,absolute_relative_bias_excitation_params,MANDATORY,MERGED,GATE-008-V2-THROUGH-014-V2,M1,"M1 out of scope for Proposals 1-7 (benchmark-only, not eligible for inferential authorization); 7 original gates condensed into 1 V2 summary row for structural compactness.",none (M1 out of scope for Proposals 1-7),YES,NO,"Contributing original gates: GATE-008,009,010,011,012,013,014."
GATE-011,M1,normalized_absolute_bias_baseline_param,MANDATORY,MERGED,GATE-008-V2-THROUGH-014-V2,M1,"M1 out of scope for Proposals 1-7 (benchmark-only, not eligible for inferential authorization); 7 original gates condensed into 1 V2 summary row for structural compactness.",none (M1 out of scope for Proposals 1-7),YES,NO,"Contributing original gates: GATE-008,009,010,011,012,013,014."
GATE-012,M1,branching_ratio_absolute_bias,MANDATORY,MERGED,GATE-008-V2-THROUGH-014-V2,M1,"M1 out of scope for Proposals 1-7 (benchmark-only, not eligible for inferential authorization); 7 original gates condensed into 1 V2 summary row for structural compactness.",none (M1 out of scope for Proposals 1-7),YES,NO,"Contributing original gates: GATE-008,009,010,011,012,013,014."
GATE-013,M1,branching_ratio_relative_bias,MANDATORY,MERGED,GATE-008-V2-THROUGH-014-V2,M1,"M1 out of scope for Proposals 1-7 (benchmark-only, not eligible for inferential authorization); 7 original gates condensed into 1 V2 summary row for structural compactness.",none (M1 out of scope for Proposals 1-7),YES,NO,"Contributing original gates: GATE-008,009,010,011,012,013,014."
GATE-014,M1,ci_coverage_95pct,MANDATORY,MERGED,GATE-008-V2-THROUGH-014-V2,M1,"M1 out of scope for Proposals 1-7 (benchmark-only, not eligible for inferential authorization); 7 original gates condensed into 1 V2 summary row for structural compactness.",none (M1 out of scope for Proposals 1-7),YES,NO,"Contributing original gates: GATE-008,009,010,011,012,013,014."
GATE-043,M1,false_negative_excitation_rate,ADVISORY,MERGED,GATE-043-V2-THROUGH-049-V2,M1,"M1 out of scope for Proposals 1-7; 7 original gates condensed into 1 V2 summary row. GATE-044 (convergence_rate) remains MANDATORY within the merged row; others remain ADVISORY (mixed, preserved from original).",none (M1 out of scope for Proposals 1-7),YES,NO,"Contributing original gates: GATE-043,044,045,046,047,048,049. GATE-044 tier MANDATORY preserved explicitly."
GATE-044,M1,convergence_rate,MANDATORY,MERGED,GATE-043-V2-THROUGH-049-V2,M1,"M1 out of scope for Proposals 1-7; 7 original gates condensed into 1 V2 summary row. GATE-044 (convergence_rate) remains MANDATORY within the merged row; others remain ADVISORY (mixed, preserved from original).",none (M1 out of scope for Proposals 1-7),YES,NO,"Contributing original gates: GATE-043,044,045,046,047,048,049. GATE-044 tier MANDATORY preserved explicitly."
GATE-045,M1,boundary_solution_rate,ADVISORY,MERGED,GATE-043-V2-THROUGH-049-V2,M1,"M1 out of scope for Proposals 1-7; 7 original gates condensed into 1 V2 summary row. GATE-044 (convergence_rate) remains MANDATORY within the merged row; others remain ADVISORY (mixed, preserved from original).",none (M1 out of scope for Proposals 1-7),YES,NO,"Contributing original gates: GATE-043,044,045,046,047,048,049. GATE-044 tier MANDATORY preserved explicitly."
GATE-046,M1,held_out_predictive_score,ADVISORY,MERGED,GATE-043-V2-THROUGH-049-V2,M1,"M1 out of scope for Proposals 1-7; 7 original gates condensed into 1 V2 summary row. GATE-044 (convergence_rate) remains MANDATORY within the merged row; others remain ADVISORY (mixed, preserved from original).",none (M1 out of scope for Proposals 1-7),YES,NO,"Contributing original gates: GATE-043,044,045,046,047,048,049. GATE-044 tier MANDATORY preserved explicitly."
GATE-047,M1,source_removal_stability,ADVISORY,MERGED,GATE-043-V2-THROUGH-049-V2,M1,"M1 out of scope for Proposals 1-7; 7 original gates condensed into 1 V2 summary row. GATE-044 (convergence_rate) remains MANDATORY within the merged row; others remain ADVISORY (mixed, preserved from original).",none (M1 out of scope for Proposals 1-7),YES,NO,"Contributing original gates: GATE-043,044,045,046,047,048,049. GATE-044 tier MANDATORY preserved explicitly."
GATE-048,M1,episode_removal_stability,ADVISORY,MERGED,GATE-043-V2-THROUGH-049-V2,M1,"M1 out of scope for Proposals 1-7; 7 original gates condensed into 1 V2 summary row. GATE-044 (convergence_rate) remains MANDATORY within the merged row; others remain ADVISORY (mixed, preserved from original).",none (M1 out of scope for Proposals 1-7),YES,NO,"Contributing original gates: GATE-043,044,045,046,047,048,049. GATE-044 tier MANDATORY preserved explicitly."
GATE-049,M1,calibration,ADVISORY,MERGED,GATE-043-V2-THROUGH-049-V2,M1,"M1 out of scope for Proposals 1-7; 7 original gates condensed into 1 V2 summary row. GATE-044 (convergence_rate) remains MANDATORY within the merged row; others remain ADVISORY (mixed, preserved from original).",none (M1 out of scope for Proposals 1-7),YES,NO,"Contributing original gates: GATE-043,044,045,046,047,048,049. GATE-044 tier MANDATORY preserved explicitly."
GATE-015,M2,invalid_estimate_rate,MANDATORY,RETAINED_UNCHANGED,GATE-015-V2,M2,"invalid_estimate_rate threshold frozen unchanged; Proposal 3's 1000/cell requirement is a protocol-execution mandate, not a gate-definition change.",PROPOSAL-03 (150/1000 protocol shortfall; not a scope gap; PILOT_ONLY_PROTOCOL_DEVIATION),YES,NO,PILOT_ONLY_PROTOCOL_DEVIATION noted at 150/cell; final adjudication requires full scale per Proposal 3.
GATE-016,M2,false_positive_excitation_rate,MANDATORY,DEFERRED_PENDING_NUMERICAL_DECISION,GATE-016-V2,M2,"Threshold value frozen unchanged but the exact-null implementation method for M2 (NUM-DEC-03) remains unresolved, so the gate's operational meaning is pending.",PROPOSAL-03; M2 exact-null review is SEPARATE_DEPENDENCY (Amendment 02 SS13; Amendment 04 SS17),YES,YES,SEPARATE_DEPENDENCY per Amendment 02 SS13 / Amendment 04 SS17.
