event_id,event_date_raw,precision_class,date_meaning,document_date,exact_event_date_eligible,interval_eligible,bounds_provenance
EVT-1600-CD1-47-72aa,Desember 1600,UNRESOLVED,UNRESOLVED,Desember 1600,0,0,"event_date_precision column, Phase B coding"
EVT-1607-CD1-74-8bac,17 Januari 1607,UNRESOLVED,UNRESOLVED,17 Januari 1607,0,0,"event_date_precision column, Phase B coding"
EVT-1625-1624_1629-212-a59d,29 September 1625,UNRESOLVED,UNRESOLVED,29 September 1625,0,0,"event_date_precision column, Phase B coding"
EVT-1625-1624_1629-213-6b13,29 September 1625,UNRESOLVED,UNRESOLVED,29 September 1625,0,0,"event_date_precision column, Phase B coding"
EVT-1625-1624_1629-223-5efb,Okt-Des 1625 (2x kejadian),UNRESOLVED,UNRESOLVED,Okt-Des 1625 (2x kejadian),0,0,"event_date_precision column, Phase B coding"
EVT-1632-1631_1634-140-9368,10 Desember 1632,UNRESOLVED,UNRESOLVED,10 Desember 1632,0,0,"event_date_precision column, Phase B coding"
EVT-1636-1636-264-ce0f,24 Sep 1636 (lapor 12 Okt 1636),UNRESOLVED,UNRESOLVED,24 Sep 1636 (lapor 12 Okt 1636),0,0,"event_date_precision column, Phase B coding"
EVT-1637-1637-99-f729,10-12 Maret 1637,UNRESOLVED,UNRESOLVED,10-12 Maret 1637,0,0,"event_date_precision column, Phase B coding"
EVT-1641-CD1-371-c3a4,15 Februari 1641,UNRESOLVED,UNRESOLVED,15 Februari 1641,0,0,"event_date_precision column, Phase B coding"
EVT-1641-CD1-372-8322,Februari-Maret 1641,UNRESOLVED,UNRESOLVED,Februari-Maret 1641,0,0,"event_date_precision column, Phase B coding"
EVT-1644-1643_1644-61-3fbd,21-23 Maret 1644,UNRESOLVED,UNRESOLVED,21-23 Maret 1644,0,0,"event_date_precision column, Phase B coding"
EVT-1647-1647_1648-22-38cc,"Des 1647 (surat, tanggal persis tak disebut)",UNRESOLVED,UNRESOLVED,"Des 1647 (surat, tanggal persis tak disebut)",0,0,"event_date_precision column, Phase B coding"
EVT-1648-1647_1648-94-362c,sebelum Mei 1648,UNRESOLVED,UNRESOLVED,sebelum Mei 1648,0,0,"event_date_precision column, Phase B coding"
EVT-1649-CD1-555-4193,6 & 9 November 1649,UNRESOLVED,UNRESOLVED,6 & 9 November 1649,0,0,"event_date_precision column, Phase B coding"
EVT-1650-CD1-564-c4b0,15 Agustus 1650,UNRESOLVED,UNRESOLVED,15 Agustus 1650,0,0,"event_date_precision column, Phase B coding"
EVT-1655-CD2-94-d138,7 Desember 1655,UNRESOLVED,UNRESOLVED,7 Desember 1655,0,0,"event_date_precision column, Phase B coding"
EVT-1656-1656_1657-101-3243,15 Des 1656 (lapor 28 Jan 1657),UNRESOLVED,UNRESOLVED,15 Des 1656 (lapor 28 Jan 1657),0,0,"event_date_precision column, Phase B coding"
EVT-1657-1656_1657-101-8536,28 Jan 1657,UNRESOLVED,UNRESOLVED,28 Jan 1657,0,0,"event_date_precision column, Phase B coding"
EVT-1657-1656_1657-131-fa7d,6 Feb 1657,UNRESOLVED,UNRESOLVED,6 Feb 1657,0,0,"event_date_precision column, Phase B coding"
EVT-1657-1656_1657-171-ae4f,Mei 1657,UNRESOLVED,UNRESOLVED,Mei 1657,0,0,"event_date_precision column, Phase B coding"
EVT-1657-1656_1657-196-c73e,pertengahan 1657,DATE_INTERVAL,DATE_INTERVAL,pertengahan 1657,0,1,"event_date_precision column, Phase B coding"
EVT-1659-1659-65-19f3,ult. Jan-Mar 1659,DATE_INTERVAL,DATE_INTERVAL,ult. Jan-Mar 1659,0,1,"event_date_precision column, Phase B coding"
EVT-1659-1659-111-baa6,26 Mei 1659,EXACT_DAY,EVENT_DATE,26 Mei 1659,1,1,"event_date_precision column, Phase B coding"
