component,authoritative_source,found_value,status
H05_target_construct,"HAWKES_BASELINE_V2_H05_H08_SCOPE_ADJUDICATION.csv, row H-05","'Simulation recovery passed (parameter recovery RB/RMSE/coverage; eta/alpha/beta recovery)'",DEFINED_AT_CONSTRUCT_LEVEL
H05_metric,"same row, cross-checked against MODEL_3B_CD_FINAL_1000_RECOVERY_AUDIT.md (the only recovery run this row treats as evidence)","the source names THREE non-equivalent candidate metrics without selecting one: (1) 95% Wald CI coverage, target band 0.925-0.975 (sec.11-12/17); (2) normalized RMSE for alpha/beta, target <=0.20 (sec.16-17); (3) correct-model-selection rate via AIC/BIC, target >=0.80 (sec.18). These three produced DIFFERENT pass/fail outcomes on the same Phase D run (coverage PASS for theta0/theta1 but FAIL for alpha/beta; RMSE FAIL everywhere; model-selection PASS for some cells, FAIL 0.02-0.19 for others). A 4th metric present in the same audit (power/reject-H0 rate, target >=0.80, PASS 0.985) is not a recovery-accuracy metric at all (it is a hypothesis-test power check) and is not a candidate.",AMBIGUOUS_MULTIPLE_NONEQUIVALENT_CANDIDATES
H05_unit_of_analysis,not specified in the authoritative row,"no statement of whether the unit is one replication, one design/arm, or a pooled cross-design summary",ABSENT
H05_denominator,"HAWKES_BASELINE_V2_H05_H08_SCOPE_ADJUDICATION.csv, row H-05, column 'denominator'",">=0.80 recovery-accuracy gate (a threshold value, not a denominator definition -- no N is specified: N_replications? N_designs? N_parameters?)",AMBIGUOUS_THRESHOLD_GIVEN_BUT_NO_DENOMINATOR_N_DEFINED
H05_parameter_domain,"target construct text: 'eta/alpha/beta recovery'","names eta, alpha, beta jointly but does not state whether all three must individually clear the threshold, whether they are averaged, or whether eta (a derived ratio alpha/beta) is even independently evaluable given non-independence of its components",AMBIGUOUS_NO_AGGREGATION_ACROSS_PARAMETERS
H05_design_arm_domain,"required_evidence column: 'a passing simulation-recovery result from a design distinct from Phase D'","V2-A's D7/D8/D9-correct/D10 are structurally distinct from Phase D per HAWKES_BASELINE_V2_RECOVERY_DISTINCTION_MATRIX.csv (already-approved prior artifact); D9-misspecified is explicitly excluded as descriptive/falsification evidence (frozen in this and the prior operation); D2/D3 are FPR-family, not recovery-family, and are out of scope for H-05 by construct. No authoritative text states whether ALL FOUR eligible arms (D7,D8,D9-correct,D10) must jointly pass, or any one arm suffices.",PARTIALLY_DEFINED_ELIGIBLE_ARM_SET_KNOWN_AGGREGATION_ACROSS_ARMS_ABSENT
H05_aggregation_rule,not specified anywhere in the authoritative row or its cited provenance,"no rule for combining across parameters (eta/alpha/beta) or across arms (D7/D8/D9-correct/D10) into one pass/fail decision",ABSENT
H05_optimizer_CI_failure_rule,not specified,"no statement of how a non-converged fit or a nonfinite/degenerate CI counts toward the >=0.80 denominator (conditional exclusion vs. unconditional-failure counting) -- this is exactly the ambiguity this workstream's own §5 (checkpoint-5 reconciliation) flagged generically for coverage reporting, and it remains unresolved specifically for H-05",ABSENT
H05_threshold,"HAWKES_BASELINE_V2_H05_H08_SCOPE_ADJUDICATION.csv, row H-05, column 'denominator'",">=0.80",DEFINED_AS_A_NUMBER_BUT_ATTACHED_TO_AN_UNDEFINED_METRIC
H05_consequence,"same row, columns 'result' and 'circularity_status'","result=FAIL (as of the prior adjudication, based solely on the failed Phase D run); circularity_status=H05_PREAUTHORIZATION_CIRCULARITY_CONFIRMED: 'H-05=A_recovery*R_pass, but authorizing A_recovery under a naive reading would itself require H-05=1, producing a governance deadlock rather than a technical negative finding'. This is a SEPARATE, additional barrier to mechanical evaluation beyond the metric ambiguity above: even if a metric were selected today, the authoritative row treats the entitlement to run ANY distinct recovery design (which V2-A is) as itself gated by H-05, an unresolved governance circularity this operation is not authorized to adjudicate.",DEFINED_BUT_GATED_BY_AN_UNRESOLVED_CIRCULARITY_FINDING
