execution_target_id,retrieval_id,work_package_id,source_id_or_group,case_scope,execution_class,planned_action,input_path_or_reference,path_exists,content_access_required,external_network_required,user_source_required,expected_output_artifact,expected_output_schema,position_granularity,identity_gate,admissibility_gate,checksum_required,stop_condition,rollback_action,separate_authorization_required,execution_status
ET-01,R-01,S1-WP01,PS-01,PAINAN_1663,EXTERNAL_BIBLIOGRAPHIC_LOOKUP_REQUIRES_AUTHORIZATION,"Verify De Leeuw publisher, edition year, and printing history via external bibliographic/library-catalog record",docs/thesis/Het Painansch Contract.pdf,YES,NO,YES,NO,S1_SOURCE_IDENTITY_REVIEW.csv,"source_id,title,claimed_class,verified_publisher_or_compiler,verified_edition_or_identity,evidence_reference,source_class_before,source_class_after,verification_status_before,verification_status_after",page or section number within the printed edition,Gate 2 (bibliographic identity),Gate 3/4 (edition identity; primary vs published-primary status),YES,stop if no external catalog or publisher record can confirm the edition,no local file changes; discard draft identity-review row if verification fails,YES,PLANNED_ONLY
ET-02,R-02,S1-WP02,PS-17,PAINAN_1663,EXTERNAL_BIBLIOGRAPHIC_LOOKUP_REQUIRES_AUTHORIZATION,Search literature and indexed CD volumes for a citable Batangkapas 1662 reference,NONE,NO,NO,YES,NO,S1_SOURCE_IDENTITY_REVIEW.csv,"source_id,title,claimed_class,verified_publisher_or_compiler,verified_edition_or_identity,evidence_reference,source_class_before,source_class_after,verification_status_before,verification_status_after",folio or page position once a candidate source is found,"Gate 2 (bibliographic identity, not yet established)","Gate 1 (file existence, not yet established)",NO (no file exists to checksum),stop if no bibliographic reference can be identified this cycle,no artifact created; row remains UNVERIFIED,YES,PLANNED_ONLY
ET-03,R-03,S1-WP03,PS-03,BOTH,LOCAL_CONTENT_INDEXING_REQUIRES_AUTHORIZATION,"Index Corpus Diplomaticum volume 1 by document, date, place, actor, and folio/page position",docs/cd/CD1.pdf,YES,YES,NO,NO,S1_LOCAL_SOURCE_POSITION_INDEX.csv,"source_id,document_id,date,place,actor,folio_or_page,index_confidence",folio or page number per indexed document,"Gate 2 (bibliographic identity of volume/compiler, currently unconfirmed)",Gate 7 (source-position resolution),YES,stop if volume identity cannot be confirmed against a published Corpus Diplomaticum series record,no local file changes; discard draft index rows if identity cannot be confirmed,YES,PLANNED_ONLY
ET-04,R-04,S1-WP03,PS-04,BOTH,LOCAL_CONTENT_INDEXING_REQUIRES_AUTHORIZATION,"Index Corpus Diplomaticum volume 2 by document, date, place, actor, and folio/page position",docs/cd/CD2.pdf,YES,YES,NO,NO,S1_LOCAL_SOURCE_POSITION_INDEX.csv,"source_id,document_id,date,place,actor,folio_or_page,index_confidence",folio or page number per indexed document,"Gate 2 (bibliographic identity of volume/compiler, currently unconfirmed)",Gate 7 (source-position resolution),YES,stop if volume identity cannot be confirmed against a published Corpus Diplomaticum series record,no local file changes; discard draft index rows if identity cannot be confirmed,YES,PLANNED_ONLY
ET-05,R-05,S1-WP03,PS-05,BOTH,LOCAL_CONTENT_INDEXING_REQUIRES_AUTHORIZATION,"Index Corpus Diplomaticum volume 3 by document, date, place, actor, and folio/page position",docs/cd/CD3.pdf,YES,YES,NO,NO,S1_LOCAL_SOURCE_POSITION_INDEX.csv,"source_id,document_id,date,place,actor,folio_or_page,index_confidence",folio or page number per indexed document,"Gate 2 (bibliographic identity of volume/compiler, currently unconfirmed)",Gate 7 (source-position resolution),YES,stop if volume identity cannot be confirmed against a published Corpus Diplomaticum series record,no local file changes; discard draft index rows if identity cannot be confirmed,YES,PLANNED_ONLY
ET-06,R-06,S1-WP03,"PS-06,IS-07",BOTH,LOCAL_CONTENT_INDEXING_REQUIRES_AUTHORIZATION,"Index Corpus Diplomaticum volume 4 (cited by INDERAPURA dossier) by document, date, place, actor, and folio/page position",docs/cd/CD4.pdf,YES,YES,NO,NO,S1_LOCAL_SOURCE_POSITION_INDEX.csv,"source_id,document_id,date,place,actor,folio_or_page,index_confidence",folio or page number per indexed document,"Gate 2 (bibliographic identity of volume/compiler, currently unconfirmed)",Gate 7 (source-position resolution),YES,stop if volume identity cannot be confirmed against a published Corpus Diplomaticum series record,no local file changes; discard draft index rows if identity cannot be confirmed,YES,PLANNED_ONLY
ET-07,R-07,S1-WP03,PS-07,BOTH,LOCAL_CONTENT_INDEXING_REQUIRES_AUTHORIZATION,"Index Corpus Diplomaticum volume 5 by document, date, place, actor, and folio/page position",docs/cd/CD5.pdf,YES,YES,NO,NO,S1_LOCAL_SOURCE_POSITION_INDEX.csv,"source_id,document_id,date,place,actor,folio_or_page,index_confidence",folio or page number per indexed document,"Gate 2 (bibliographic identity of volume/compiler, currently unconfirmed)",Gate 7 (source-position resolution),YES,stop if volume identity cannot be confirmed against a published Corpus Diplomaticum series record,no local file changes; discard draft index rows if identity cannot be confirmed,YES,PLANNED_ONLY
ET-08,R-08,S1-WP03,PS-08,BOTH,LOCAL_CONTENT_INDEXING_REQUIRES_AUTHORIZATION,"Index Corpus Diplomaticum volume 6 by document, date, place, actor, and folio/page position",docs/cd/CD6.pdf,YES,YES,NO,NO,S1_LOCAL_SOURCE_POSITION_INDEX.csv,"source_id,document_id,date,place,actor,folio_or_page,index_confidence",folio or page number per indexed document,"Gate 2 (bibliographic identity of volume/compiler, currently unconfirmed)",Gate 7 (source-position resolution),YES,stop if volume identity cannot be confirmed against a published Corpus Diplomaticum series record,no local file changes; discard draft index rows if identity cannot be confirmed,YES,PLANNED_ONLY
ET-09,R-09,S1-WP04,PS-02,PAINAN_1663,LOCAL_CONTENT_INDEXING_REQUIRES_AUTHORIZATION,Open and cross-check Kathirithamby-Wells 1976 content against claims already cited elsewhere in the repository,docs/thesis/kathirithamby-wells1976.pdf,YES,YES,NO,NO,S1_LOCAL_SOURCE_POSITION_INDEX.csv,"source_id,document_id,date,place,actor,folio_or_page,index_confidence",page number,Gate 2 (identity already known; author/journal/year established),Gate 8 (quotation/transcription verification),YES,stop if a previously-cited claim cannot be located in the actual text,no local file changes; flag unmatched citations for review,YES,PLANNED_ONLY
ET-10,R-10,S1-WP04,IS-08,INDRAPURA_EIC,EXTERNAL_BIBLIOGRAPHIC_LOOKUP_REQUIRES_AUTHORIZATION,Confirm whether the Kathirithamby-Wells PhD thesis (1760-85) is in-window for 1680-1730 or must be excluded,NONE,NO,NO,YES,YES,S1_SOURCE_IDENTITY_REVIEW.csv,"source_id,title,claimed_class,verified_publisher_or_compiler,verified_edition_or_identity,evidence_reference,source_class_before,source_class_after,verification_status_before,verification_status_after",chapter and page number,"Gate 2 (bibliographic identity: institution, year, chapter)","Gate 1 (file existence, not yet established)",NO (no file exists to checksum),stop and formally exclude as out-of-window if institution/year cannot be confirmed as covering 1680-1730,no artifact created; row remains CITED_ONLY_NOT_YET_LOCATED or is formally excluded,YES,PLANNED_ONLY
