evidence_id,candidate_id,track,evidence_class,title,issuing_body_or_authors,publication_or_update_date,official_or_bibliographic_url,source_authority,supported_DEC06_component,exact_section_or_location,methodological_rule_or_documented_syntax,applicability_boundary,limitation,conflict_or_competing_guidance,admissibility_gate,verification_status,notes
EV-DEC06-EVID-01,EV-DEC06-A-01,TRACK_A,SYSTEMATIC_REVIEW_SEARCH_GUIDELINE,"Cochrane Handbook for Systematic Reviews of Interventions, current version, Chapter 4: Searching for and selecting studies","Lefebvre C, Glanville J, Briscoe S, et al. / Cochrane Information Retrieval Methods Group","current version, last updated 2025",https://www.cochrane.org/authors/handbooks-and-manuals/handbook/current/chapter-04,Recognized international systematic-review methods authority,concepts,Section 4.4.2 'Structure of a search strategy',"Related terms for a given concept are grouped and joined with OR to broaden recall within that concept, and the resulting concept blocks are then joined with AND across concepts so each is represented in results.",Applies to database Boolean-search construction generally; not disease/domain-specific.,Developed primarily for health/intervention reviews; general applicability to humanities/computational topics not separately validated.,NONE_FOUND,1,ADMISSIBLE,Identity and issuing body independently verified via official cochrane.org domain.
EV-DEC06-EVID-02,EV-DEC06-A-01,TRACK_A,SYSTEMATIC_REVIEW_SEARCH_GUIDELINE,"Cochrane Handbook, Chapter 4",Cochrane Information Retrieval Methods Group,current version,https://www.cochrane.org/authors/handbooks-and-manuals/handbook/current/chapter-04,Recognized international systematic-review methods authority,variants,Section 4.4.4 'Controlled vocabulary and text words' (MECIR Box 4.4.c),"Free-text search terms for each concept should include alternative spellings, morphological variants, abbreviations, and truncation/wildcard forms to reduce the chance of missing relevant records due to lexical variation.","A general lexical-coverage practice, not tied to any specific provider's wildcard implementation.",Does not specify how many variant forms are 'enough' — left to reviewer judgement.,NONE_FOUND,1,ADMISSIBLE,
EV-DEC06-EVID-03,EV-DEC06-A-01,TRACK_A,SYSTEMATIC_REVIEW_SEARCH_GUIDELINE,"Cochrane Handbook, Chapter 4",Cochrane Information Retrieval Methods Group,current version,https://www.cochrane.org/authors/handbooks-and-manuals/handbook/current/chapter-04,Recognized international systematic-review methods authority,risk,Section 4.4.3 'Sensitivity versus precision',"Search breadth should be judged by iteratively testing and adjusting the strategy to balance completeness against an unmanageable volume of irrelevant results, rather than by applying a predetermined numeric cutoff.","Iterative/qualitative judgement approach, not a formula.",Does not define 'unmanageable volume' numerically — inherently subjective and reviewer-dependent.,NONE_FOUND,1,ADMISSIBLE,Directly supports the project's own no-arbitrary-threshold discipline for breadth/narrowness risk.
EV-DEC06-EVID-04,EV-DEC06-A-04,TRACK_A,SYSTEMATIC_REVIEW_SEARCH_GUIDELINE,"Cochrane Handbook, Chapter 4",Cochrane Information Retrieval Methods Group,current version,https://www.cochrane.org/authors/handbooks-and-manuals/handbook/current/chapter-04,Recognized international systematic-review methods authority,translations,"Section 4.4.5 'Language, date and document format restrictions'","Reviews should avoid restricting the search itself by language to prevent bias; where multilingual searching is genuinely not feasible, language should instead be applied as a study-eligibility criterion during selection, not baked into the search strategy.",General language-restriction guidance; not a dedicated cross-language term-equivalence verification method.,Does not address how to verify that a translated search term is conceptually equivalent to its source-language counterpart — the specific discovery objective for A-04 is only partially met.,NONE_FOUND,1,ADMISSIBLE_WITH_SCOPE_LIMITATION,"A-04 terminal status: ACCESS_PATH_PARTIALLY_VERIFIED carried forward — general guidance found, dedicated equivalence-verification method not found."
EV-DEC06-EVID-05,EV-DEC06-A-02,TRACK_A,SEARCH_STRATEGY_REPORTING_STANDARD,PRISMA-S: an extension to the PRISMA Statement for Reporting Literature Searches in Systematic Reviews,"Rethlefsen ML, Kirtley S, Waffenschmidt S, et al.",2021,https://pmc.ncbi.nlm.nih.gov/articles/PMC7839230/,"Peer-reviewed reporting-standard publication, Systematic Reviews journal; endorsed by EQUATOR Network conventions",filters,Checklist Item 9: 'Limits and Restrictions',"Any database-native limit or restriction applied to a search must be disclosed and justified, because such limits can silently exclude relevant records through indexing gaps and are generally discouraged.","Reporting requirement, not a design rule for which limits to choose.",Does not itself validate any specific filter's recall performance.,NONE_FOUND,1,ADMISSIBLE,DOI 10.1186/s13643-020-01542-z
EV-DEC06-EVID-06,EV-DEC06-A-02,TRACK_A,SEARCH_STRATEGY_REPORTING_STANDARD,PRISMA-S,"Rethlefsen ML, et al.",2021,https://pmc.ncbi.nlm.nih.gov/articles/PMC7839230/,Peer-reviewed reporting-standard publication,reporting,Checklist Item 10: 'Search Filters',"When a published, previously validated search filter is used (e.g. a study-design filter), the exact filter and its source/version should be cited, since validated filters are the preferred, higher-sensitivity alternative to ad hoc database limits.","Concerns citation/reporting of filter provenance, not the filter's internal syntax.",Assumes a validated filter already exists for the relevant concept; not all topics have one.,NONE_FOUND,1,ADMISSIBLE,
EV-DEC06-EVID-07,EV-DEC06-A-03,TRACK_A,PEER_REVIEW_OF_SEARCH_STRATEGY_GUIDANCE,PRESS Peer Review of Electronic Search Strategies: 2015 Guideline Statement,"McGowan J, Sampson M, Salzwedel DM, et al. / CADTH",2016,https://www.cda-amc.ca/press-peer-review-electronic-search-strategies,"Official national health-technology-assessment agency guideline (CADTH, Canada)",concepts;reporting,PRESS 2015 Evidence-Based Checklist (six retained review elements),"A structured peer review of a drafted search strategy should independently check: translation of the research question into search concepts, correct use of Boolean/proximity operators, appropriate subject-heading selection, text-word coverage, search syntax/line-number accuracy, and the choice of limits/filters.","A review-process checklist for an already-drafted strategy, not a strategy-construction method itself.","Direct full-text fetch of the CADTH guideline page was blocked (HTTP 403) in this turn; the six-element structure is corroborated from an independent official-source-derived summary captured during the prior controlled-discovery turn, not from a fresh full-text read in this turn.",NONE_FOUND,1,ADMISSIBLE_WITH_ACCESS_LIMITATION,"Issuing body and document identity independently confirmed (CADTH official domain, prior discovery turn); deep content re-verification blocked this turn."
EV-DEC06-EVID-08,EV-DEC06-A-06,TRACK_A,KNOWN_ITEM_OR_SEED_VALIDATION_METHOD,Searching for studies: A guide to information retrieval for Campbell systematic reviews,"MacDonald H, Comer C, Foster M, Labelle PR, Marsalis S, Nyhan K, Premji Z, Rogers M, Splenda R, Stansfield C, Young S",2024,https://pmc.ncbi.nlm.nih.gov/articles/PMC11386270/,"Official Campbell Collaboration information-retrieval guide, Campbell Systematic Reviews journal",seed checking,Section 5.2 'Seed articles and search validation',"A representative set of already-known, eligible studies should be assembled before finalizing a search strategy, then the finished strategy should be run to check whether it retrieves all of them, using any gaps to reveal weaknesses in term coverage or logic.","A sensitivity/recall sanity-check technique, not a claim of exhaustive recall.","Assumes a credible seed set already exists; does not itself define minimum seed-set size (deliberately, per general practice against arbitrary numeric rules).",NONE_FOUND,1,ADMISSIBLE,DOI 10.1002/cl2.1433
EV-DEC06-EVID-09,EV-DEC06-A-07,TRACK_A,SEARCH_UPDATE_AND_AMENDMENT_GUIDANCE,"Cochrane Handbook, Chapter IV: Updating a review",Cochrane Collaboration,current version,https://www.cochrane.org/authors/handbooks-and-manuals/handbook/current/chapter-iv,Recognized international systematic-review methods authority,versioning,Section IV.3.3 'Planning the search strategy for an update',"Before re-running a search, reviewers should reassess whether the existing strategy still fits given database or field changes, and if the review's scope has shifted meaningfully, earlier date ranges may need to be re-searched to catch newly-relevant terminology.",Concerns amendments in the context of updating an already-completed review after a pilot/first pass.,"Silent on exactly what counts as a 'meaningful' scope shift — left to reviewer judgement, consistent with avoiding arbitrary thresholds.",NONE_FOUND,1,ADMISSIBLE,
EV-DEC06-EVID-10,EV-DEC06-A-05,TRACK_A,SYSTEMATIC_REVIEW_SEARCH_GUIDELINE,Using citation tracking for systematic literature searching - study protocol for a scoping review of methodological studies and a Delphi study,"Hirt J, Nordhausen T, Appenzeller-Herzog C, Ewald H",2021,https://pmc.ncbi.nlm.nih.gov/articles/PMC8474097/,"Peer-reviewed open-access methods protocol, F1000Research",concepts;risk,Protocol overview / rationale section,Citation tracking (forward and backward) is proposed as a supplementary search method alongside database searching to reduce the risk of missing relevant studies that database keyword searches alone would not surface.,"A discipline-general supplementary-search technique; this specific protocol targets health systematic reviews, not humanities scholarship specifically.","No dedicated, authoritative issuing body for humanities-specific search methodology was found in this or the prior discovery turn (see candidate resolution, Sec.5 of the report); this item is admitted as discipline-general methodological scholarship applicable by analogy, not as humanities-specific authority.",NONE_FOUND,1,ADMISSIBLE_WITH_SCOPE_LIMITATION,DOI 10.12688/f1000research.27337.3. A-05 terminal resolution: NO_DEDICATED_AUTHORITY_BUT_METHOD_EVIDENCE_AVAILABLE.
