group_id,source_category_original,count,status_category,growth_category_original,sex_category_original,location_id,evidence_status,source_document_id,source_passage_id,review_status
G-MS-121,volwassen mansslaven,121,enslaved,adult,male_category,L-BENEDEN-PAGGER,explicit,DOC-PERSONNEL-1682-01-09,,
G-HWJ-6,halfwasse cleene jongens,6,enslaved,halfwasse,boys_category,L-BENEDEN-PAGGER,explicit,DOC-PERSONNEL-1682-01-09,,
G-KJ-4,kinder-jongetjes die kostgelt genieten,4,enslaved,child,boys_category,L-BENEDEN-PAGGER,explicit,DOC-PERSONNEL-1682-01-09,,
G-GRAS-7,grasjongens op Sillida,7,enslaved,unknown,boys_category,L-SALIDO,explicit,DOC-PERSONNEL-1682-01-09,,
G-COND-3,inlandse gecondemneerden,3,convicted_coerced,unknown,unknown,L-BENEDEN-PAGGER,explicit,DOC-PERSONNEL-1682-01-09,,
G-MANDOOR-8,mandoors,8,enslaved,adult,male_category,L-BENEDEN-PAGGER,explicit,DOC-PERSONNEL-1682-01-09,,
G-VOORSLAGER-1,voorslager,1,enslaved,unknown,male_category,L-BENEDEN-PAGGER,explicit,DOC-PERSONNEL-1682-01-09,,
G-SLAVIN-68,volwassen slavinnen,68,enslaved,adult,female_category,L-BENEDEN-PAGGER,explicit,DOC-PERSONNEL-1682-01-09,,
G-MANDORESS-3,mandoressen,3,enslaved,adult,female_category,L-BENEDEN-PAGGER,explicit,DOC-PERSONNEL-1682-01-09,,
G-CHILD-KOST-4,kinderen soo kostgelt genieten,4,enslaved,child,mixed_or_unknown,L-BENEDEN-PAGGER,explicit,DOC-PERSONNEL-1682-01-09,,
G-CHILD-NOKOST-19,kinderen soo meijsjes als jongens sonder kostgelt,19,enslaved,child,mixed,L-BENEDEN-PAGGER,parallel_reading,DOC-PERSONNEL-1682-01-09,,
G-MADA-64,met de fluijt Sillida van Madagascar aangekomen slaven,64,enslaved,mixed,mixed,L-SALIDO,explicit_route,DOC-PERSONNEL-1682-01-09,,
G-MADA-VJ-10,volle jongens,10,enslaved,volle,boys_category,L-SALIDO,explicit,DOC-PERSONNEL-1682-01-09,,
G-MADA-HJ-8,halfwasse jongens,8,enslaved,halfwasse,boys_category,L-SALIDO,explicit,DOC-PERSONNEL-1682-01-09,,
G-MADA-VM-30,volle meijden,30,enslaved,volle,girls_or_young_women_category,L-SALIDO,explicit,DOC-PERSONNEL-1682-01-09,,
G-MADA-HM-10,halfwasse meijden,10,enslaved,halfwasse,girls_category,L-SALIDO,explicit,DOC-PERSONNEL-1682-01-09,,
G-MADA-K-6,cleene kinders,6,enslaved,child,mixed_or_unknown,L-SALIDO,explicit,DOC-PERSONNEL-1682-01-09,,
