symbol,definition,domain,unit_if_any,model_stage,source_document,ambiguity_status
Y,Observed event-history data (event times or interval counts depending on candidate),data,time-series/point-process realization,ALL,MODEL_3B_MATHEMATICAL_SPECIFICATION_V2.md,UNAMBIGUOUS
T,Observation-window end time,parameter,time units,ALL,WAVE_2_PLANNING_INSTRUCTIONS.md S7.1,UNAMBIGUOUS -- must be reconciled with M2/M3's annual-resolution interval convention before implementation; see WAVE_2_MATHEMATICAL_CONTRACT.md S1.5
N,Total observed event count on (0,T],parameter,count (integer >= 0),ALL,WAVE_2_PLANNING_INSTRUCTIONS.md S7.1,UNAMBIGUOUS
t_i,i-th event time; ordered 0 < t_1 < ... < t_N <= T,data,time units,M0/M3,WAVE_2_PLANNING_INSTRUCTIONS.md S7.1,UNAMBIGUOUS
H_t,"History (sigma-algebra / event set) available strictly before time t: {t_i : t_i < t}",construct,n/a,M0/M3,WAVE_2_PLANNING_INSTRUCTIONS.md S7.1,OPEN_REQUIRES_CLARIFICATION -- boundary/tie convention at t_i = t not yet fixed; see WAVE_2_MATHEMATICAL_CONTRACT.md S1.3
lambda(t|H_t),Conditional (Hawkes) intensity function at time t given history,function,events per time unit,M0/M3,WAVE_2_PLANNING_INSTRUCTIONS.md S7.2,UNAMBIGUOUS given theta
mu,Baseline (background) intensity parameter,parameter,events per time unit; domain mu > 0,ALL,WAVE_2_PLANNING_INSTRUCTIONS.md S7.2,UNAMBIGUOUS
alpha,Excitation-jump parameter (kernel amplitude),parameter,events per time unit; domain alpha >= 0,ALL,WAVE_2_PLANNING_INSTRUCTIONS.md S7.2,DIAGNOSTIC_ONLY for M2 per NUM-DEC-02 -- never a primary estimand/acceptance quantity
beta,Excitation decay-rate parameter,parameter,inverse time units; domain beta > 0,ALL,WAVE_2_PLANNING_INSTRUCTIONS.md S7.2,DIAGNOSTIC_ONLY for M2 per NUM-DEC-02 -- never a primary estimand/acceptance quantity
n,Branching ratio / integrated excitation mass; n = alpha / beta,parameter (derived + primary estimand),dimensionless; domain 0 <= n < 1 (M2 excitation regime) or n = 0 (exact null),M2/M3,MODEL_3B_MATHEMATICAL_SPECIFICATION_V2.md + NUM-DEC-01..03,UNAMBIGUOUS -- primary estimand for M2 (NUM-DEC-02) and the parameter that distinguishes M0:n=0 from M1:0<n<1 in M3
theta,"Full parameter vector for the model under estimation, e.g. (mu, alpha, beta) or (n, psi)",parameter vector,n/a,ALL,WAVE_2_PLANNING_INSTRUCTIONS.md S7.5/S8.6,OPEN_REQUIRES_CLARIFICATION -- exact composition depends on parameterization choice (Package A); see WAVE_2_MATHEMATICAL_CONTRACT.md S1.7
psi,Nuisance parameters (all parameters of theta other than the profiled quantity n),parameter vector,n/a,M2,WAVE_2_PLANNING_INSTRUCTIONS.md S8.6,UNAMBIGUOUS
ell(theta),Point-process log-likelihood of theta given Y,function,log-probability units,M0/M2/M3,WAVE_2_PLANNING_INSTRUCTIONS.md S7.3,UNAMBIGUOUS given compensator convention (open, see WAVE_2_MATHEMATICAL_CONTRACT.md S1.3)
s(theta),"Score, gradient of ell w.r.t. theta",function,n/a,M0,WAVE_2_PLANNING_INSTRUCTIONS.md S7.4,UNAMBIGUOUS
H(theta),"Full Hessian of ell w.r.t. theta, including all cross-derivatives",function (matrix-valued),n/a,M0,WAVE_2_PLANNING_INSTRUCTIONS.md S7.5,UNAMBIGUOUS -- must never be reduced to diag(H) per NUM-DEC (M0 full-Hessian correction)
J(theta),"Observed information, J(theta_hat) = -H(theta_hat)",function (matrix-valued),n/a,M0,WAVE_2_PLANNING_INSTRUCTIONS.md S7.5,UNAMBIGUOUS
tau,Posterior-model-probability decision threshold for M3 (select M1 if P(M1|Y) >= tau),parameter (procedure resolved; value NOT selected),dimensionless in [0,1],M3,NUM-DEC-04,PROCEDURE_RESOLVED_BY_NUM_DEC_04_VALUE_PENDING_CALIBRATION -- never a fixed number in any Wave 2 output
