model_id,component,symbol,current_value,depends_on_RO_item,remediation_required,readiness_vs_implementability_note
M1,ontology compatible,O_m,0,"R-O1 (event-unit), R-O6 (actor/action/outcome)","Resolve R-O1's NOT_COMPUTABLE construct and R-O6's absent role/outcome schema.","Formula specified (S=1) and inputs exist (I=1) does NOT mean O=1; implementability of the formula is not ontology readiness."
M1,date semantics usable,T_m,0,R-O5,"Construct explicit L_i/U_i interval bounds under a researcher-reviewed parsing rule.","Precision is fully recorded (141/141) but recording precision != usable bounds."
M1,exposure or baseline valid,E_m,0,R-O9,"Locate at least one external, non-circular, denominator-valid exposure candidate (see exposure information-requirements file); the 2 currently assessed candidates are both circular and PROHIBITED as offset/covariate.","A circular candidate existing is not the same as a valid candidate existing."
M1,identifiability assessed,I_m,0,R-O10 (self-referential -- not independently assessed for M1),"Perform an explicit identifiability analysis once O/T/E resolve; not attempted in any operation to date.","Listed as unassessed, not as failed -- no claim that M1 is unidentifiable, only that identifiability has not been checked."
M1,provenance complete,P_m,1,none,"Already satisfied -- standard nonstationary-Poisson method, well-provenanced.","The one component already at 1 for M1."
M1,R_m^now (all five = 1),R_m^now,0,"derived from the four rows above",All four remaining components must reach 1 jointly.,"FEASIBLE_CONDITIONALLY (S=1,I=1,P=1 hold) is explicitly not R_m^now=1 per Section 11 of the governing instruction."
M3,ontology compatible,O_m,0,"R-O1, R-O6 (same as M1)",Same as M1.,Same note as M1.
M3,date semantics usable,T_m,0,R-O5 (same as M1),Same as M1.,Same note as M1.
M3,exposure or baseline valid,E_m,0,R-O9 (same as M1),Same as M1.,Same note as M1.
M3,identifiability assessed,I_m,0,"R-O10, plus an additional mu(t)-vs-excitation-kernel identifiability tradeoff not present in M1","Characterize the joint identifiability of a time-varying baseline and the excitation kernel before interpreting any future fit.","This additional tradeoff is M3-specific and is not resolved merely by resolving M1's four components; M3 is strictly more demanding than M1, not equivalent."
M3,provenance complete,P_m,1,none,Already satisfied.,Same note as M1.
M3,R_m^now (all five = 1),R_m^now,0,"derived from the four rows above","All four remaining components must reach 1 jointly, plus the identifiability tradeoff characterization.","FEASIBLE_CONDITIONALLY for the same formal reason as M1, with one additional open identifiability question."
M0,R_m^now (reference null),R_m^now,1,none,"None -- already exists, already fit.","Included only as the fixed reference point; the governing instruction prohibits comparing Hawkes only against this null and inferring mechanism (Section 2 item 4/6)."
M2,R_m^now (frozen production spec),R_m^now,"NOT_APPLICABLE (FROZEN_NOT_REFIT)",none,"None -- frozen, not being evaluated for future readiness.","E_m=1 for M2 specifically because a constant baseline requires no exposure covariate, so R-O9's circularity finding does not apply to M2's own continued (frozen) validity."
M4,S_m (formula specified),S_m,0,"G_ontology (all of R-O1..R-O8 implicated)","Specify a concrete cluster-process formula with PARENT_EPISODE as a first-class entity before any component can be assessed.","S=0 means every downstream component is NOT_EVALUABLE by construction, not failed; explicit limitation per the source comparator-architecture file."
