claim_id,source_artifact,source_locator,epistemic_type,current_decision_status,live_mechanisms,missing_discriminating_evidence,dependent_RO_gates,external_evidence_required
C1,HAWKES_BASELINE_V2_DIALECTICAL_CLAIM_MATRIX.csv,row C1,AGENT_INTERPRETATION,REJECT,"NOT_APPLICABLE (category claim about family-wide failure, not a mechanism pick)",NONE (settled by repository fact: gate distribution 0/1/9),"R-O1..R-O10 (indirectly, via the gate distribution itself)",NO
C2,HAWKES_BASELINE_V2_DIALECTICAL_CLAIM_MATRIX.csv,row C2,AGENT_INTERPRETATION,REJECT,NOT_APPLICABLE,NONE (settled by H-05/coverage figures),R-O1,NO
C3,HAWKES_BASELINE_V2_DIALECTICAL_CLAIM_MATRIX.csv,row C3,RESEARCHER_DECISION,REJECT,NOT_APPLICABLE (closed decision layer),NONE,none,NO
C4,HAWKES_BASELINE_V2_DIALECTICAL_CLAIM_MATRIX.csv,row C4,AGENT_INTERPRETATION,ADOPT,{MEC-02} only (no live rival mechanism disputes materiality),NONE required for the ADOPT itself; functional form of mu(t) remains undetermined,"R-O1,R-O5,R-O9,R-O10",NO (design question only)
C5,HAWKES_BASELINE_V2_DIALECTICAL_CLAIM_MATRIX.csv,row C5,AGENT_INTERPRETATION,RETAIN_AS_OPEN,"{MEC-03,MEC-04,MEC-05}",a documentation-density/exposure covariate independent of coded-event outcome (WP-E7),"R-O8,R-O9",YES (external archival-opportunity ledger)
C6,HAWKES_BASELINE_V2_DIALECTICAL_CLAIM_MATRIX.csv,row C6,AGENT_INTERPRETATION,RETAIN_AS_OPEN,{MEC-07},resolved PARENT_EPISODE entity with source-grounded assignment rule (WP-E4),"R-O3,R-O4",YES (source-text rereading to assign episode boundaries)
C7,HAWKES_BASELINE_V2_DIALECTICAL_CLAIM_MATRIX.csv,row C7,AGENT_INTERPRETATION,RETAIN_AS_OPEN,{MEC-08},kernel-shape/peak-timing test under alternative date treatments (WP-E5),R-O5,"YES (only partially -- parsing-rule design is in-repository, but validating against source dates requires rereading)"
C8,HAWKES_BASELINE_V2_DIALECTICAL_CLAIM_MATRIX.csv,row C8,SOURCE_SUPPORTED_CLAIM,REJECT,"NOT_APPLICABLE (statistical-logic caution, not a mechanism claim)",NONE,none,NO
C9,HAWKES_BASELINE_V2_DIALECTICAL_CLAIM_MATRIX.csv,row C9,REPOSITORY_FACT,REJECT,"NOT_APPLICABLE (closed by explicit prohibition, G_causal=0)",NONE,none,NO
C10,HAWKES_BASELINE_V2_DIALECTICAL_CLAIM_MATRIX.csv,row C10,AGENT_INTERPRETATION,RETAIN_AS_OPEN (currently NOT authorized under F3),NOT_APPLICABLE (role-assignment claim),procedural boundary design (moot while F3 in force),none directly; depends on F3 status,NO
