source_passage_id,docx_file,source_document_id,paragraph_index,style,text,review_status,image_verified
SP-00001,enklave-salido.docx,,1,Normal,"1.04.02 Inventaris van het archief van de Verenigde Oost-Indische Compagnie (VOC), 1602-1795 (1811)",researcher_docx,not_checked
SP-00002,enklave-salido.docx,,2,Normal,7964 1682 mrt. 12 - dec. 28,researcher_docx,not_checked
SP-00003,enklave-salido.docx,,3,Normal,Tambang Emas Sillida,researcher_docx,not_checked
SP-00004,enklave-salido.docx,,4,Normal,Tertanggal 12 Maret 1682,researcher_docx,not_checked
SP-00005,enklave-salido.docx,,5,Normal,Laporan hasil pengujian bijih,researcher_docx,not_checked
SP-00006,enklave-salido.docx,,6,Normal,"Laporan kepada Tuan Yang Terhormat Joan van Leene, pejabat sementara pemegang kekuasaan di Pantai Barat Sumatra ini, dan seterusnya, mengenai pengujian-pengujian yang telah dilakukan terhadap bijih yang disebutkan di bawah ini, yang berasal dari tambang emas Sillida, yaitu dari Zuijder-schagt, yang dikumpulkan dan diuji sejak tanggal 8 sampai 27 Desember 1681. Dalam setiap seratus pon mineral mentah ditemukan emas murni dan perak murni dalam jumlah sebagai berikut.",researcher_docx,not_checked
SP-00007,enklave-salido.docx,,7,Normal,Hasil pengujian kadar (Assaijen),researcher_docx,not_checked
SP-00008,enklave-salido.docx,,8,Normal,Pengujian tanggal 13 Desember 1681,researcher_docx,not_checked
SP-00009,enklave-salido.docx,,9,Normal,"Bijih yang diambil dari Zuijder-schagt, dihitung untuk setiap satu centenaar atau seratus pon mineral mentah, mengandung:",researcher_docx,not_checked
SP-00010,enklave-salido.docx,,10,Normal,perak murni: – : 14 : 16,researcher_docx,not_checked
SP-00011,enklave-salido.docx,,11,Normal,emas: – : 1 : 2,researcher_docx,not_checked
SP-00012,enklave-salido.docx,,12,Normal,jumlah keseluruhan: – : 15 : 18,researcher_docx,not_checked
SP-00013,enklave-salido.docx,,13,Normal,Pengujian tanggal 20 Desember 1681,researcher_docx,not_checked
SP-00014,enklave-salido.docx,,14,Normal,"Bijih yang diambil dari Zuijder-schagt, dihitung untuk setiap satu centenaar atau seratus pon mineral mentah, mengandung:",researcher_docx,not_checked
SP-00015,enklave-salido.docx,,15,Normal,perak murni: 1 : 5 : 9,researcher_docx,not_checked
SP-00016,enklave-salido.docx,,16,Normal,emas: – : 1 : 9,researcher_docx,not_checked
SP-00017,enklave-salido.docx,,17,Normal,jumlah keseluruhan: 1 : 7 : –,researcher_docx,not_checked
SP-00018,enklave-salido.docx,,18,Normal,Pengujian tanggal 27 Desember 1681,researcher_docx,not_checked
