source_id,source_name,source_class,disciplinary_scope,access_model,identity_confirmation_role,proposed_domains_covered,verification_status,status,notes
SRC-01,Scopus,multidisciplinary_citation_index,"cross-disciplinary, strong social-science/humanities coverage",institutional subscription (not yet confirmed available),CONFIRMATION,"S2,S4,S5,S6",NOT_VERIFIED,PROPOSED_CANDIDATE,primary citation-index candidate; access must be confirmed before search execution
SRC-02,Web of Science Core Collection,multidisciplinary_citation_index,"cross-disciplinary, strong for citation chaining",institutional subscription (not yet confirmed available),CONFIRMATION,"S2,S4,S5,S6",NOT_VERIFIED,PROPOSED_CANDIDATE,backward/forward citation chaining candidate
SRC-03,JSTOR,humanities_bibliography,"humanities and social sciences, strong historical-journal archive",institutional subscription or open-access tier (not yet confirmed),CONFIRMATION,"S1,S2,S3,S6",NOT_VERIFIED,PROPOSED_CANDIDATE,key source for archival-criticism and historiography literature (S3)
SRC-04,Project MUSE,humanities_bibliography,humanities monographs and journals,institutional subscription (not yet confirmed),CONFIRMATION,"S1,S2,S3",NOT_VERIFIED,PROPOSED_CANDIDATE,
SRC-05,ACM Digital Library,publisher_database,"computing, digital humanities (ACM DH-adjacent venues)",institutional subscription or open-access tier (not yet confirmed),CONFIRMATION,"S2,S4",NOT_VERIFIED,PROPOSED_CANDIDATE,relevant for computational-methods and historical-NLP venues
SRC-06,"arXiv (stat, cs.CL, physics.soc-ph)",preprint_repository,"statistics, NLP, computational social science preprints",open access,CORROBORATION,"S4,S5,S6",NOT_VERIFIED,PROPOSED_CANDIDATE,Hawkes/point-process methodology frequently preprinted here
SRC-07,SocArXiv / OSF Preprints,preprint_repository,social science preprints,open access,CORROBORATION,"S3,S6",NOT_VERIFIED,PROPOSED_CANDIDATE,
SRC-08,WorldCat,library_catalogue,global library holdings aggregator,"public catalogue search, no auth required (per S1-B1 provider verification)",CORROBORATION,"S1,S2,S3",ALREADY_VERIFIED_VIA_S1_B1,PROPOSED_CANDIDATE,"reuse existing S1-B1 provider verification (PROV-04); human-catalogue pathway only, credentialed API remains blocked"
SRC-09,Digital Humanities Quarterly (DHQ),publisher_database,"digital humanities, open-access journal",open access,CONFIRMATION,"S1,S2",NOT_VERIFIED,PROPOSED_CANDIDATE,core venue for computational-hermeneutics and DH-methodology literature
SRC-10,KITLV / Brill catalogue,publisher_database,Southeast Asian and colonial-history studies,institutional subscription or open catalogue (not yet confirmed),CONFIRMATION,"S3,S6",NOT_VERIFIED,PROPOSED_CANDIDATE,directly relevant to VOC/colonial Indonesia historiography
SRC-11,"Institutional repositories (SOAS Research Online, university theses repositories)",institutional_repository,dissertations and grey literature,"open access, varies by institution",DISCOVERY_ONLY,"S1,S3,S6",NOT_VERIFIED,PROPOSED_CANDIDATE,discovery-only per S1-B1 provider-role convention; cannot independently confirm inclusion
SRC-12,Google Scholar (manual discovery only),search_engine,"general scholarly discovery, no official API",public browsing only; automation prohibited by ToS/robots.txt (per S1-B1 PROV-06 verification),DISCOVERY_ONLY,ALL,ALREADY_VERIFIED_VIA_S1_B1,PROPOSED_CANDIDATE,"discovery aid only, never sole bibliographic authority, per protocol Sec.5"
SRC-13,Crossref (backward/forward citation and DOI resolution),persistent_identifier_authority,DOI-registered scholarly metadata,open REST API (per S1-B1 PROV-03 verification),CONFIRMATION,"S2,S4,S5,S6",ALREADY_VERIFIED_VIA_S1_B1,PROPOSED_CANDIDATE,reuse existing S1-B1 provider verification
