column_order,column_name,data_type,required,unique,allowed_values,foreign_reference,semantic_definition,source_basis,validation_rule
1,operation_id,string,YES,YES,OP-01..OP-09 (existing); future IDs per the allocation rule in WAVE_2_OD_005_OPERATION_ID_ALLOCATION_RULE.md,NONE,Primary key identifying one OD-005 amendment operation,WAVE_2_OD_005_EXACT_AMENDMENT_OPERATIONS.csv operation_id; WAVE_2_OD_005_NEW_E2_OPERATION_SPECIFICATION.csv operation_id,NOT NULL; UNIQUE; IMMUTABLE; NEVER REUSED even if an operation is later retired
2,owner_decision,string,YES,NO,OD-005 (only value observed to date; a future cross-decision operation would require separate adjudication before this column accepts a second value),NONE,The open-decision this operation belongs to,implicit across both source files (all rows are OD-005 scoped),"must equal OD-005 for every existing row; a different value requires a documented namespace-scope decision, not a silent addition"
3,operation_name,string,YES,NO,NONE,NONE,Short human-readable name for the operation,derived from change_type/operation_type in the source rows,nonblank
4,operation_type,string,YES,NO,"MARK_OPTION_RETIRED_WITH_RATIONALE, ADD_CROSS_REFERENCE, ADD_CLARIFYING_DEFINITION, ADD_PROHIBITED_INTERPRETATION, ADD_VALIDATOR_REQUIREMENT, ADD_OPERATIONAL_CONTRACT, ADD_FUTURE_TEST_REQUIREMENT, CREATE_CANONICAL_OD005_TEST_INVENTORY, CREATE_SUCCESSOR_COMBINED_TEST_RECONCILIATION (future)",NONE,The category of write this operation performs (or would perform),OP-01..08's change_type column; OP-09's operation_type column,must be drawn from this controlled vocabulary; a new value requires this registry's own schema to be amended first
5,subwave,string,YES,NO,"E1, E2, E3, E4",NONE,The OD-005 amendment subwave this operation belongs to,execution_subwave (OP-01..08) / inferred subwave (OP-09),must be one of the 4 defined subwaves
6,source_artifact,string,YES,NO,"WAVE_2_OD_005_EXACT_AMENDMENT_OPERATIONS.csv, WAVE_2_OD_005_NEW_E2_OPERATION_SPECIFICATION.csv, or a future frozen operation-definition file",NONE,"The frozen file where this operation was originally specified -- the registry points TO this file, never replaces it",NONE (this is the pointer itself),"must resolve to an existing, frozen file; the registry must never duplicate or paraphrase that file's content"
7,source_record_reference,string,YES,NO,e.g. 'row 3',source_artifact,The specific row/section within source_artifact where this operation is defined,NONE,"nonblank; must be a specific locator, not a vague file-level reference"
8,predecessor_operation_id,string,YES,NO,"an existing operation_id, or NONE",operation_id (self-referential),The operation this one explicitly sequences after (if any),"OP-09's own predecessor_operation_id field (=OP-08); NONE for OP-01..08, which have no predecessor field in their source schema",must be NONE or an operation_id already present in this registry -- never a forward reference to an operation not yet defined
9,target_path,string,YES,NO,NONE,NONE,The file this operation creates or modifies,target_path column in both source schemas,nonblank; must resolve to an existing path once the operation has executed
10,execution_status,string,YES,NO,"NOT_EXECUTED, EXECUTED, ELIGIBILITY_ONLY_ZERO_EDIT, SPECIFIED_NOT_AUTHORIZED",NONE,"Whether this operation has actually been carried out in the working tree/committed history (distinct from historical_status, which describes the frozen specification record itself)",derived by cross-checking this session's commit history against each operation's own postcondition,"must reflect the CURRENT state, re-verified at registry-write time, not the state at original specification time"
11,historical_status,string,YES,NO,"FROZEN, PENDING_FREEZE (OP-10 and any future operation's registry row, applied in the working tree before push/server sync; see WAVE_2_OD_005_OP10_ENUM_CONTRACT_DECISION_DRAFT.md)",NONE,Whether the operation's own specification record has been frozen (committed) and is immutable going forward,commit history for the source_artifact,"must equal FROZEN for any operation whose defining record has been committed, pushed, and server-synced; must equal PENDING_FREEZE only in the interval between working-tree registry-row application and push/server sync (Model A: PENDING_FREEZE -> FROZEN, no intermediate token, per WAVE_2_OD_005_OP10_ENUM_CONTRACT_DECISION_DRAFT.md); a PROPOSED value would mean the operation is not yet real"
12,requires_separate_authorization,string,YES,NO,YES (observed for all 9 existing operations); a future NO would require explicit justification,NONE,Whether executing this operation needs its own dedicated authorization turn beyond the registry entry existing,requires_separate_authorization column in both source schemas,must equal YES unless a documented exception is recorded in notes
13,supersedes_operation_id,string,YES,NO,"an existing operation_id, or NONE",operation_id (self-referential),"Records if this operation formally supersedes an earlier one (none observed to date -- OP-01..09 are all additive, none replaces another)",NONE (no supersession has occurred in this namespace yet),must be NONE unless a documented supersession decision exists; supersession must never delete the superseded row
14,reserved_reason,string,YES,NO,NONE (only value for all 9 existing operations); a future reserved placeholder row would use a short reason string,NONE,"If this operation_id is reserved but not yet defined (a placeholder), the reason; NONE for any fully-defined operation",NONE,"must be NONE for every currently defined operation; used only for explicit future reservations, never left blank to mean 'unknown'"
15,provenance_commit,string,YES,NO,a 40-character git commit hash,NONE,The commit at which this operation's source record was frozen,git log for source_artifact,must be a valid full-length commit hash present in repository history
16,notes,string,YES,NO,NONE,NONE,Free-text clarification (e.g. schema-version differences between OP-01..08 and OP-09),NONE,nonblank; must record any known ambiguity (e.g. OP-09's differing 15-column source schema) rather than silently smoothing it over
