family_id,source_id,provider_or_platform,official_domain,documentation_url,O_cs_official_doc_found,D_cs_documentation_supports_recorded_syntax,P_cs_provenance_recorded,X_cs_live_experimentation_performed,terminal_syntax_status,exact_documentation_location,notes
C2,SRC-01,Scopus,service.elsevier.com / scopus.com,https://service.elsevier.com/app/answers/detail/a_id/25974/supporthub/scopus/,1,1,1,0,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Scopus Support Center: 'How can I best use the Advanced search?' and 'How do I search in Scopus?',"Official documentation confirms field codes (e.g. TITLE-ABS-KEY), Boolean AND/OR/NOT, phrase quoting, and PRE/n W/n proximity operators."
C4,SRC-01,Scopus,service.elsevier.com / scopus.com,https://service.elsevier.com/app/answers/detail/a_id/25974/supporthub/scopus/,1,1,1,0,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Scopus Support Center: 'How can I best use the Advanced search?' and 'How do I search in Scopus?',"Official documentation confirms field codes (e.g. TITLE-ABS-KEY), Boolean AND/OR/NOT, phrase quoting, and PRE/n W/n proximity operators."
C5,SRC-01,Scopus,service.elsevier.com / scopus.com,https://service.elsevier.com/app/answers/detail/a_id/25974/supporthub/scopus/,1,1,1,0,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Scopus Support Center: 'How can I best use the Advanced search?' and 'How do I search in Scopus?',"Official documentation confirms field codes (e.g. TITLE-ABS-KEY), Boolean AND/OR/NOT, phrase quoting, and PRE/n W/n proximity operators."
C6,SRC-01,Scopus,service.elsevier.com / scopus.com,https://service.elsevier.com/app/answers/detail/a_id/25974/supporthub/scopus/,1,1,1,0,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Scopus Support Center: 'How can I best use the Advanced search?' and 'How do I search in Scopus?',"Official documentation confirms field codes (e.g. TITLE-ABS-KEY), Boolean AND/OR/NOT, phrase quoting, and PRE/n W/n proximity operators."
C2,SRC-02,Web of Science Core Collection,webofscience.zendesk.com / clarivate.com,https://webofscience.zendesk.com/hc/en-us/articles/26916347018257-Web-of-Science-Core-Collection-Advanced-Search-Field-Tags,1,1,1,0,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Clarivate Web of Science official support: 'Advanced Search Field Tags',Official documentation confirms two-letter field-tag syntax for Advanced Search.
C4,SRC-02,Web of Science Core Collection,webofscience.zendesk.com / clarivate.com,https://webofscience.zendesk.com/hc/en-us/articles/26916347018257-Web-of-Science-Core-Collection-Advanced-Search-Field-Tags,1,1,1,0,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Clarivate Web of Science official support: 'Advanced Search Field Tags',Official documentation confirms two-letter field-tag syntax for Advanced Search.
C5,SRC-02,Web of Science Core Collection,webofscience.zendesk.com / clarivate.com,https://webofscience.zendesk.com/hc/en-us/articles/26916347018257-Web-of-Science-Core-Collection-Advanced-Search-Field-Tags,1,1,1,0,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Clarivate Web of Science official support: 'Advanced Search Field Tags',Official documentation confirms two-letter field-tag syntax for Advanced Search.
C6,SRC-02,Web of Science Core Collection,webofscience.zendesk.com / clarivate.com,https://webofscience.zendesk.com/hc/en-us/articles/26916347018257-Web-of-Science-Core-Collection-Advanced-Search-Field-Tags,1,1,1,0,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Clarivate Web of Science official support: 'Advanced Search Field Tags',Official documentation confirms two-letter field-tag syntax for Advanced Search.
C1,SRC-03,JSTOR,support.jstor.org / guides.jstor.org,https://support.jstor.org/hc/en-us/articles/115004732567-Searching-Using-Fields-and-Advanced-Search,1,1,1,0,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,JSTOR Support: 'Searching: Using Fields and Advanced Search',"Official documentation confirms phrase quoting, Boolean AND/OR/NOT, and NEAR/n proximity."
C2,SRC-03,JSTOR,support.jstor.org / guides.jstor.org,https://support.jstor.org/hc/en-us/articles/115004732567-Searching-Using-Fields-and-Advanced-Search,1,1,1,0,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,JSTOR Support: 'Searching: Using Fields and Advanced Search',"Official documentation confirms phrase quoting, Boolean AND/OR/NOT, and NEAR/n proximity."
C3,SRC-03,JSTOR,support.jstor.org / guides.jstor.org,https://support.jstor.org/hc/en-us/articles/115004732567-Searching-Using-Fields-and-Advanced-Search,1,1,1,0,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,JSTOR Support: 'Searching: Using Fields and Advanced Search',"Official documentation confirms phrase quoting, Boolean AND/OR/NOT, and NEAR/n proximity."
C6,SRC-03,JSTOR,support.jstor.org / guides.jstor.org,https://support.jstor.org/hc/en-us/articles/115004732567-Searching-Using-Fields-and-Advanced-Search,1,1,1,0,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,JSTOR Support: 'Searching: Using Fields and Advanced Search',"Official documentation confirms phrase quoting, Boolean AND/OR/NOT, and NEAR/n proximity."
C1,SRC-04,Project MUSE,about.muse.jhu.edu / muse.jhu.edu,https://about.muse.jhu.edu/resources/faq/,1,0,1,0,PARTIALLY_VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Project MUSE official FAQ / Advanced Search page,"Official documentation confirms Boolean AND/OR/NONE combination of search fields; no field-code, wildcard, or proximity-operator documentation was found."
C2,SRC-04,Project MUSE,about.muse.jhu.edu / muse.jhu.edu,https://about.muse.jhu.edu/resources/faq/,1,0,1,0,PARTIALLY_VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Project MUSE official FAQ / Advanced Search page,"Official documentation confirms Boolean AND/OR/NONE combination of search fields; no field-code, wildcard, or proximity-operator documentation was found."
C3,SRC-04,Project MUSE,about.muse.jhu.edu / muse.jhu.edu,https://about.muse.jhu.edu/resources/faq/,1,0,1,0,PARTIALLY_VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Project MUSE official FAQ / Advanced Search page,"Official documentation confirms Boolean AND/OR/NONE combination of search fields; no field-code, wildcard, or proximity-operator documentation was found."
