claim_id,claim_text,thesis,antithesis,evidence_for,evidence_against,alternative_explanations,unresolved_assumptions,synthesis,decision_status,claim_type,researcher_decision_note
C1,Hawkes family has failed,"The Hawkes point-process family is invalidated by this corpus.","Only specific tested instances -- Model 3B-CD V1 (identifiability failure) and the constant-baseline pooled specification (H-05 not evaluable) -- carry a documented negative finding; the general self-exciting point-process class was never exhaustively tested.","Model 3B-CD V1 = VALIDATION_FAILURE (AIC/BIC correct-model-selection 15.6-19.2%% vs >=0.80 gate, REPOSITORY_FACT via MODEL_3B_CD_V1_STATUS_ADDENDUM); constant-baseline pooled Hawkes = INSUFFICIENT (RESEARCHER_DECISION, prior session).","MBPP full closed-form fit (COMPUTED_RESULT, 2026-08-01 session, not re-verified in this operation) reproduced the pooled branching ratio within 0.1%% of the production jittered fit -- a robustness signal for one summary statistic under an independent estimation route; R1/R2 residual diagnostics both TERMINAL without themselves constituting a failure finding.","Any apparent failure could trace to baseline misspecification (A2) rather than absence of excitation altogether -- confounded, not yet separable.","Whether 'Hawkes family' in this claim denotes the general model class or only the specific parameterizations actually fitted.","Evidence supports rejecting the two specific tested instances named above; it does not support a general-family failure claim.",REJECT,AGENT_INTERPRETATION,NOT_APPLICABLE
C2,Hawkes family has been validated,"Pooled fit is statistically significant vs a homogeneous-Poisson null (p<0.0001, COMPUTED_RESULT prior session) and therefore validated.","Significance against a naive null does not establish model adequacy; H-05 recovery-accuracy criterion is H05_NOT_EVALUABLE_REQUIRES_RESEARCHER_REVIEW and G_V2A_complete=0 (REPOSITORY_FACT, commit f228b4a).","Pooled significance test; five-method convergence noted for the pooled specification only (project_rerun_model_2356_n141 memory).","H-05=NOT_EVALUABLE; V2-A coverage 67.3%%-95.3%% across 12 cells (SOURCE_SUPPORTED_CLAIM, HAWKES_BASELINE_V2A residual validation report); constant-baseline deemed INSUFFICIENT.","Significance could arise from A2 (nonstationary baseline), A3/A5 (archival exposure/reporting bursts), A6/A7 (episode fragmentation/duplication), or A8 (date heaping) rather than genuine excitation -- the governing instruction explicitly prohibits AIC_H<AIC_P => historical self-excitation.","Whether any completed diagnostic in this corpus meets the bar the word 'validated' implies.","'Validated' overclaims; the already-frozen characterization MIXED_VALIDATION_RESULT is the accurate summary.",REJECT,AGENT_INTERPRETATION,NOT_APPLICABLE
C3,Constant-baseline pooled Hawkes is sufficient as the sole future specification,"Adequate on its own for continued use.","Already adjudicated by researcher decision as INSUFFICIENT, with an explicit requirement for a nonstationary or exposure-adjusted comparator before further use.","None surviving beyond prior convenience.","RESEARCHER_DECISION (prior session, this conversation): 'constant-baseline pooled Hawkes = INSUFFICIENT'.","Not applicable -- this is a closed decision layer, not an open mechanism question.","None -- already adjudicated, not reopened by this operation.","Consistent with frozen state; recorded here for completeness of the claim matrix only.",REJECT,RESEARCHER_DECISION,NOT_APPLICABLE
C4,Nonstationary baseline is materially relevant,"A nonstationary or exposure-adjusted baseline is required before Hawkes can be meaningfully reconsidered.","A more flexible baseline increases parameter count against a modest n=141 sample, which could inflate estimation variance rather than resolve the underlying question.","Corpus spans multiple independently documented regime shifts (1626 pepper monopoly and VOC post withdrawal, 1660 post-1659-peace defection wave, 1682 post-1680-general-alliance wave, 1694 Sas expedition/7 simultaneous Nias treaties, 1755-56 renovation wave) that a constant baseline structurally cannot represent (SOURCE_SUPPORTED_CLAIM, project_markov_hawkes_models memory, cross-checked against project_nias_1693_gap_evidence -- corpus-historical evidence, not a synthetic-DGP analogue); already the subject of an explicit RESEARCHER_DECISION requiring this comparator.","No evidence located against materiality itself, only an estimation-power tradeoff caveat.","Not applicable -- this is a baseline-design claim, not a competing mechanism.","The specific functional form (piecewise-constant by documented era, spline, or exposure-covariate-based) is undetermined -- a PROSPECTIVE_PROPOSAL, not a decision.","Materially relevant in direction; specific form remains an open design question for any future comparator build (Section 9, M1/M3). Verified: supporting evidence is corpus-historical (documented regime-shift episodes), not a synthetic-DGP result promoted to historical-mechanism status.",ADOPT,AGENT_INTERPRETATION,NOT_APPLICABLE
C5,Observation-process heterogeneity can mimic excitation,"Bursts in what got recorded/digitized (not in what happened) can generate apparent temporal clustering unrelated to underlying occurrence.","Some observed clusters are independently corroborated across multiple distinct primary sources rather than being an artifact of a single source's density, weakening a pure-artifact reading for those specific clusters.","Corpus size itself changed repeatedly across research sessions as new source volumes were incorporated (n=113 to n=141, GM Deel 01-08, CD5/CD6 additions -- REPOSITORY_FACT/SOURCE_SUPPORTED_CLAIM, project_markov_hawkes_models and project_generale_missiven_corpus memory) -- exposure to the archive is demonstrably uneven across calendar research time, a live confound for any within-corpus intensity comparison.","The 1694 peak (Sas expedition, 7 Nias treaties) has cross-source corroboration (project_nias_1693_gap_evidence) suggesting that specific cluster is not purely a recording artifact.","A3 (archival-exposure variation), A5 (source-volume bursts).","No formal documentation-density or exposure covariate has yet been constructed for this corpus.","Plausible and only partially testable given current artifacts; not ruled in or out.",RETAIN_AS_OPEN,AGENT_INTERPRETATION,NOT_APPLICABLE
C6,Parent-episode clustering can mimic excitation,"A single historical episode split into multiple coded rows would inflate apparent self-excitation without any genuine event-to-event triggering.","An existing dedup-adjudication pass (HAWKES_BASELINE_V2_DEDUP_ADJUDICATION.csv, REPOSITORY_FACT) suggests some duplicate/near-duplicate structure was already reviewed upstream of this corpus.","Ontology-readiness gate G_ontology=0 (REPOSITORY_FACT, frozen); PARENT_EPISODE is required as a distinct, currently unmodeled entity (Section 6 of the governing instruction).","No artifact in the repository establishes that the existing dedup pass captures parent-episode structure specifically, as opposed to only exact/near-duplicate individual reports.","A6 itself (this row IS the alternative-mechanism entry, cross-referenced in the alternative-mechanism register).","Whether the dedup-adjudication artifact's scope extends to episode-level fragmentation or stops at report-level duplication.","Credible and unresolved; requires ontology work (Section 6, formalized as remediation items R-O3/R-O4 below) before this mechanism can be excluded.",RETAIN_AS_OPEN,AGENT_INTERPRETATION,NOT_APPLICABLE
C7,Date handling can manufacture clustering,"48 of 101 (later more, as corpus grew) coded event-years share an identical year-precision date, requiring deterministic jitter before continuous-time MLE; jitter choices can shape apparent kernel decay and peak timing.","A jitter-free comparator (MBPP, interval-censored likelihood, fit to the real corpus -- not a synthetic DGP) reproduced the branching ratio within 0.1%% of the jittered production fit, a targeted robustness check against exactly this concern for one summary statistic.","Documented GOTCHA (REPOSITORY_FACT, project_markov_hawkes_models memory) on year-tied dates and required jitter; unconstrained MLE without bounds was shown to degenerate to a pathological delta-spike solution in this corpus, evidencing date-handling sensitivity in principle.","MBPP-full comparison (COMPUTED_RESULT, prior session, not re-verified here) found branching ratio robust to the jitter/date-handling choice specifically.","A8 (date heaping and point substitution) -- already the direct subject of this claim.","The MBPP robustness check covers branching ratio only; kernel shape and individual peak-timing under alternative date treatments have not been separately tested.","Partially tested and partially mitigated for one statistic; not closed for the full clustering pattern. Verified: MBPP comparator was fit to the real corpus, not a synthetic analogue, so this evidence is corpus-specific and not subject to the synthetic-to-historical promotion rule.",RETAIN_AS_OPEN,AGENT_INTERPRETATION,NOT_APPLICABLE
C8,Residual non-rejection establishes model adequacy,"Passing residual diagnostics (time-rescaling transform, KS tests) proves the fitted Hawkes model is an adequate description of the data-generating process.","R1/R2 are TERMINAL (completed) but are classified as a COMPLETED_REQUIREMENT_NOT_A_BLOCKER for H-05, not as proof of recovery-accuracy adequacy; a standing finding requires residual diagnostics be read only descriptively.","None admissible -- the governing artifact itself forecloses this reading.","HAWKES_BASELINE_V2A_H05_GOVERNANCE_AMENDMENT_PROPOSAL.md (REPOSITORY_FACT, committed f228b4a): residual diagnostics must be reported 'never as a calibrated p-value'; MARGINAL_KS_SAME_SAMPLE_PARAMETER_ESTIMATION_BIAS is a standing finding limiting exactly this inference.","Not a mechanism claim -- a statistical-logic caution.","None.","Non-rejection is necessary but not sufficient; it does not by itself establish adequacy.",REJECT,SOURCE_SUPPORTED_CLAIM,NOT_APPLICABLE
C9,Branching ratio has a historical causal interpretation,"eta (fitted offspring ratio) represents the fraction of historical events causally triggered by prior historical events.","Explicitly prohibited interpretation under the governing instruction's model layer (Section 5); eta is defined only as an expected fitted-offspring ratio within the specified point-process model for the estimator-input event representation.","None admissible.","G_causal=0 (REPOSITORY_FACT, frozen across every session in this workstream); causal-identification gate requires seven jointly unmet conditions (intervention, counterfactual, confounding, observation, positivity, consistency, identification), none currently satisfied.","Not applicable.","None -- closed by explicit prohibition in the governing instruction.","No causal interpretation of eta is permitted at this time, in this corpus.",REJECT,REPOSITORY_FACT,NOT_APPLICABLE
C10,Hawkes may remain useful as an exploratory secondary model,"With strict, procedurally enforced boundaries (no causal or historical-truth claims), Hawkes can still generate hypotheses -- candidate cluster years for closer historical scrutiny -- and the MBPP cross-check shows the fitted offspring-ratio is a technically stable descriptive statistic across two independent estimation routes.","Given ontology readiness G_ontology=0 and three open alternative-mechanism claims (C5-C7), any 'exploratory' framing risks sliding into implicit causal or historical-truth framing unless boundaries are enforced procedurally rather than only declared -- and this corpus has a documented history of exactly that slippage. CORRECTION (Checkpoint-1 adjudication): this option is currently superseded by the researcher's F3 decision -- exploratory fitting of any kind is not authorized while F3 is in force.","Prior cluster-year matches (1626, 1660, 1682, 1694, 1756) were independently corroborated against primary sources in separately closed memory workstreams, i.e. exploratory hypothesis-generation value has already been empirically demonstrated here, not merely asserted.","The 2026-08-01 reconciliation session found 3 of 5 follow-up tests weakened a previously-cited stratification claim ('Siklus-exclusive cascade') that had already been cited in downstream documents before being corrected -- direct repository-fact precedent for over-citation risk from this exact model family in this exact corpus.","Not applicable -- role-assignment claim, not a mechanism claim.","What procedural boundary (mandatory disclaimer, required comparator-before-citation rule, review gate) would prevent recurrence of the 2026-08-01 over-citation pattern -- moot while F3 is in force (A_Hawkes_historical_fit=0).","Remains an open evidentiary question in principle (evidence is mixed, not disqualifying), but currently NOT authorized for execution: the researcher selected F3 (suspend), which sets A_Hawkes_historical_fit=0 for the current corpus and workstream regardless of this claim's evidentiary status.",RETAIN_AS_OPEN,AGENT_INTERPRETATION,CURRENT_AUTHORIZATION = NO
