row_id,section,key,value
1,GATES,G_reconsider,1[G_corpus=1 AND G_gran_application=1 AND G_date=1 AND G_observation=1 AND G_exposure_decision=1 AND G_comparators_accepted=1 AND G_primary_model_accepted=1 AND G_estimands_accepted=1 AND G_diagnostics_accepted=1 AND G_sensitivity_accepted=1 AND G_stop_accepted=1 AND A_reconsider=1] = 0 (0 AND 0 AND 0 AND 1 AND 0 AND 1 AND 1 AND 1 AND 1 AND 1 AND 1 AND 0 = 0)
2,GATES,G_reconsider_components,G_corpus=0; G_gran_application=0; G_date=0; G_observation=1; G_exposure_decision=0; G_comparators_accepted=1; G_primary_model_accepted=1; G_estimands_accepted=1; G_diagnostics_accepted=1; G_sensitivity_accepted=1; G_stop_accepted=1; A_reconsider=0
3,GATES,G_fit_m,1[G_reconsider=1 AND corpus_hash=registered AND model_m=registered AND optimizer_m=registered AND seed_m=registered AND output_path_m=registered AND stop_conditions_m=registered] = 0 for all m
4,GATES,G_corpus_v,0
5,GATES,G_causal,0
6,GATES,G_ontology,0
7,FROZEN_STATE,Hawkes_fitting,SUSPENDED
8,FROZEN_STATE,Hawkes_visualization,SUSPENDED
9,FROZEN_STATE,G_reconsider_future,0
10,FROZEN_STATE,DEDUP-06,UNRESOLVED
11,FROZEN_STATE,G_DEDUP06,0
12,FROZEN_STATE,R-O4,FAIL
13,FROZEN_STATE,AS86,FROZEN_UNCHANGED
14,FROZEN_STATE,ACT07_EXECUTION_DECISION,DEFER
15,FROZEN_STATE,G_ACT07_execute,0
16,FROZEN_STATE,V2-B,BLOCKED
17,FROZEN_STATE,Phase_D,CLOSED / MUST NOT BE RERUN
18,FROZEN_STATE,G_gran_accepted,"1, prospective use with limits"
19,FROZEN_STATE,G_parent_accepted,"1, prospective use with limits"
20,FROZEN_STATE,G_same_accepted,"1, prospective use with limits"
21,DENOMINATORS,AS86_primary_events,86
22,DENOMINATORS,provenance_audit_rows,141
23,DENOMINATORS,source_objects,9
