requirement_id,source_document,source_section,source_decision,model_stage,requirement_text,mathematical_object,formula_reference,parameter_or_estimand,implementation_component_future,validator_future,unit_test_future,simulation_test_future,acceptance_criterion_status,failure_classification,dependency_ids,downstream_impact,current_status,clarification_required
REQ-M0-001,WAVE_2_PLANNING_INSTRUCTIONS.md,S7.1-7.2,frozen V2 spec,M0,Define event history H_t and exponential-kernel conditional intensity lambda(t|H_t),"H_t, lambda(t|H_t)",S7.2 eq.1,"mu, alpha, beta",future intensity function module,schema/type validator only (Wave 1 scope),"unit test: intensity value at synthetic t,H_t","N/A (structural, not statistical)",OPEN_REQUIRES_ADJUDICATION,INVALID_PARAMETER_TRANSFORM,,future M0 log-likelihood module (REQ-M0-002),OPEN_REQUIRES_CLARIFICATION,boundary/tie treatment at t_i=t not fixed (see WAVE_2_MATHEMATICAL_CONTRACT.md S1.3)
REQ-M0-002,WAVE_2_PLANNING_INSTRUCTIONS.md,S7.3,frozen V2 spec,M0,Define point-process log-likelihood ell(theta;Y) with explicit compensator integral,ell(theta;Y),S7.3 eq.2-3,"mu, alpha, beta",future log-likelihood module,future compensator-form validator,unit test: compensator closed form vs numerical quadrature,N/A,OPEN_REQUIRES_ADJUDICATION,LIKELIHOOD_NONFINITE,REQ-M0-001,"REQ-M0-003 (score), REQ-M0-004 (Hessian)",OPEN_REQUIRES_CLARIFICATION,compensator form given (S7.3) is a candidate pending verification against history/boundary/presample conventions
REQ-M0-003,WAVE_2_PLANNING_INSTRUCTIONS.md,S7.4,frozen V2 spec,M0,Score s(theta)=grad ell(theta); acceptance criterion ||s(theta_hat)||_inf <= epsilon_s,"s(theta), epsilon_s",S7.4 eq.4,"mu, alpha, beta",future score module (analytic or autodiff),future score-check validator,unit test: score at known-optimum synthetic case,future score-check simulation cell,OPEN_REQUIRES_ADJUDICATION,SCORE_CHECK_FAILURE,REQ-M0-002,REQ-M0-008 (M0 gate),OPEN_REQUIRES_ADJUDICATION,epsilon_s value not selected by any frozen document; must be preregistered before execution per S21
REQ-M0-004,WAVE_2_PLANNING_INSTRUCTIONS.md,S7.5,frozen V2 spec / prior amendment,M0,Full Hessian H(theta) with all cross-derivatives; observed information J=-H; covariance = J^-1; diagonal-only substitution prohibited,"H(theta), J(theta_hat)",S7.5 eq.5-7,"mu, alpha, beta","future full-Hessian module (analytic/autodiff, not diagonal)",future Hessian-completeness validator (rejects diagonal-only),"unit test: full 3x3 Hessian on synthetic case, all 9 entries populated",N/A,RESOLVED_BY_FROZEN_SPEC,"HESSIAN_ASYMMETRY, OBSERVED_INFORMATION_INVALID, COVARIANCE_NOT_POSITIVE_SEMIDEFINITE",REQ-M0-002,"REQ-M0-005 (symmetry), REQ-M0-006 (covariance)",RESOLVED_BY_FROZEN_SPEC,full-Hessian/cross-derivative requirement is itself frozen (M0 correction approved); only the numerical tolerance is open
REQ-M0-005,WAVE_2_PLANNING_INSTRUCTIONS.md,S7.6,frozen V2 spec,M0,Symmetry error E_sym and candidate-vs-reference discrepancy E_H must be computed and compared against a not-yet-set tolerance,"E_sym, E_H",S7.6 eq.8-9,H(theta),future Hessian-diagnostic module,future numeric-reference validator (finite-difference cross-check),unit test: E_sym/E_H on synthetic analytic-vs-numeric Hessian pair,N/A,OPEN_REQUIRES_ADJUDICATION,HESSIAN_REFERENCE_MISMATCH,REQ-M0-004,REQ-M0-008 (M0 gate),OPEN_REQUIRES_ADJUDICATION,"tolerance must not be chosen by trial-and-error against final results (explicit prohibition, S7.6)"
REQ-M0-006,WAVE_2_PLANNING_INSTRUCTIONS.md,S7.7,frozen V2 spec,M0,Evaluate parameterization/transform options (constrained vs unconstrained eta) and the delta-method covariance transform Var(theta_hat)=G Var(eta_hat) G^T,"eta, G(eta), Var(theta_hat)",S7.7 eq.10-12,"mu, beta, n (via eta_mu, eta_beta, eta_n)",future parameter-transform module,future Jacobian-completeness validator,unit test: transform round-trip + Jacobian finite-difference check,N/A,OPEN_REQUIRES_ADJUDICATION,"INVALID_PARAMETER_TRANSFORM, COVARIANCE_NONFINITE",REQ-M0-004,"REQ-M2-001 (n as primary estimand), REQ-M3-001 (exact-null representability)",OPEN_REQUIRES_ADJUDICATION,"8 sub-questions in S7.7 (optimization vs reporting space, n=0 representability, Jacobian use in frequentist vs Bayesian settings, identifiability of alpha/beta) all open -- Package A/B"
REQ-M0-007,WAVE_2_PLANNING_INSTRUCTIONS.md,S7.5,prior NUM-DEC discussion (M0 full-Hessian correction),M0,Point-estimate agreement alone is insufficient for a final PASS; full battery of checks required,n/a (governance rule),n/a,n/a,future M0 gate-decision logic,future M0 gate aggregator,unit test: gate aggregator rejects PASS on point-estimate-only input,N/A,RESOLVED_BY_FROZEN_SPEC,UNCLASSIFIED_IMPLEMENTATION_FAILURE,"REQ-M0-003,REQ-M0-004,REQ-M0-005,REQ-M0-006",REQ-M0-008,RESOLVED_BY_FROZEN_SPEC,
REQ-M0-008,WAVE_2_PLANNING_INSTRUCTIONS.md,S7.8,frozen V2 spec,M0,"Future M0 gate must include point-estimate agreement, score check, full-Hessian check, cross-derivative check, symmetry check, covariance finiteness, SE finiteness, transformed-covariance check, boundary behavior, deterministic reproducibility, failure reporting",n/a (checklist),S7.8,n/a,future M0 gate module (11 sub-checks),future M0 gate validator,"unit test suite: 11 sub-checks, each independently triggerable",future M0 gate simulation cell (smoke -> pilot -> full),OPEN_REQUIRES_ADJUDICATION (thresholds) / RESOLVED_BY_FROZEN_SPEC (checklist itself),UNCLASSIFIED_IMPLEMENTATION_FAILURE,"REQ-M0-003,REQ-M0-004,REQ-M0-005,REQ-M0-006,REQ-M0-007",M2/M3 implementations both depend on a working M0-validated intensity/likelihood core,OPEN_REQUIRES_ADJUDICATION,"M0 final PASS is explicitly NOT established by Wave 2 planning; thresholds for sub-checks 3,5,6 remain open"
REQ-M2-001,WAVE_2_PLANNING_INSTRUCTIONS.md,S8.1,NUM-DEC-02,M2,Primary estimand is n=alpha/beta; alpha and beta are diagnostic-only and must be reported separately from n in every future output,"n, alpha, beta",S8.1,"n (primary), alpha/beta (diagnostic)",future M2 output-schema module (PRIMARY_ESTIMAND vs DIAGNOSTIC_PARAMETERS split),future M2 schema validator (Wave 1 extension),"unit test: schema rejects an output that reports alpha/beta without n, or that reports alpha/beta as primary",N/A,RESOLVED_BY_FROZEN_SPEC,n/a,REQ-M0-006,REQ-M2-005 through REQ-M2-009 (all M2 metrics defined on n),RESOLVED_BY_FROZEN_SPEC,
REQ-M2-002,WAVE_2_PLANNING_INSTRUCTIONS.md,S8.2,NUM-DEC-01,M2,"R_attempted,c = 1000 fixed; invariant R_attempted = R_valid + sum_k R_failure,k must hold exactly for every cell","R_attempted, R_valid, R_failure",S8.2 eq.13-14,n/a,future replication-accounting module,future accounting-invariant validator (Wave 1 extension),unit test: invariant check on synthetic replication ledger with induced failures,"future replication-accounting smoke test (small R, no gate adjudication)",RESOLVED_BY_FROZEN_SPEC,GENERATION_FAILURE and all M2 failure codes feed R_failure,,"REQ-M2-003 (failure rate), REQ-M2-005/006 (bias/RMSE denominators)",RESOLVED_BY_FROZEN_SPEC,
REQ-M2-003,WAVE_2_PLANNING_INSTRUCTIONS.md,S8.2,NUM-DEC-01,M2,Failure rate = 1 - R_valid/R_attempted must always be reported alongside any valid-fit-conditional metric,FailureRate_c,S8.2 eq.15,n/a,future reporting module,future co-reporting validator (rejects a bias/coverage report with no failure-rate field),unit test: report schema requires failure-rate field,N/A,RESOLVED_BY_FROZEN_SPEC,n/a,REQ-M2-002,"REQ-M2-005,REQ-M2-006,REQ-M2-007",RESOLVED_BY_FROZEN_SPEC,
REQ-M2-004,WAVE_2_PLANNING_INSTRUCTIONS.md,S14 / failure taxonomy,frozen V2 spec + this instruction,M2,Every M2 replication attempt must terminate in exactly one of the 24 failure-taxonomy codes or VALID; no silent filtering permitted,n/a,S14,n/a,future failure-classification module,future taxonomy-completeness validator (every attempt has exactly one terminal code),unit test: classifier partitions a synthetic attempt set with no unclassified remainder,N/A,RESOLVED_BY_FROZEN_SPEC (taxonomy) / OPEN_REQUIRES_ADJUDICATION (per-code retry/exclusion rules),see WAVE_2_SIMULATION_AND_COVERAGE_PLAN.md failure taxonomy table,REQ-M2-002,all downstream M2 metrics,OPEN_REQUIRES_ADJUDICATION,retry_limit and exclusion_permitted per failure code not yet set for most codes
REQ-M2-005,WAVE_2_PLANNING_INSTRUCTIONS.md,S8.3-8.4,frozen V2 spec,M2,"Bias_c(n_hat) and AbsBias_c defined on valid fits; RelBias undefined at exact null (n_c=0), AbsBias substituted there pending review","Bias_c, AbsBias_c, RelBias_c",S8.3-8.4 eq.16-19,n,future M2 bias-metric module,future metric-applicability validator (rejects RelBias at n_c=0),unit test: RelBias raises/flags at n_c=0; AbsBias computed instead,future M2 pilot computational check,OPEN_REQUIRES_ADJUDICATION,n/a,"REQ-M2-002,REQ-M2-003",REQ-M2-008 (acceptance-criterion registry),OPEN_REQUIRES_ADJUDICATION,AbsBias as the exact-null acceptance metric is explicitly flagged 'still to be reviewed against frozen docs' before adoption (S8.4)
