task_id,sprint_id,epic,title,problem_statement,deliverable,dependencies,allowed_files,prohibited_files,evidence_requirement,acceptance_criteria,tests,priority,risk,status,external_blocker,owner,commit_hash,review_decision
S0-01,0,Governance & Baseline,Draft critical historical model plan (first draft),Need a Critical Accounting Theory-informed redesign plan for /riset/enclave-1682/ before any implementation.,First-draft ENCLAVE_1682_CRITICAL_MODEL_PLAN.md,none,docs/enclave/implementation/ENCLAVE_1682_CRITICAL_MODEL_PLAN.md,"docs/enclave/salido_hdt_model_v0_3/**; docs/enclave/salido_hdt_model_v0_4/**; docs/enclave/salido_hdt_model_v0_4_1/**; docs/enclave/enklave-salido.docx; frontend/map_app/data/enclave_1682_solver_run/**; data/salido_solver_snapshot/**; salido_hdt.solver.cli source (not in this checkout); docker-compose.yml (except the single future mount explicitly planned in CRITICAL_MODEL_PLAN.md §18, which requires its own separate authorization when attempted)",Document exists and covers all 18 required plan sections.,Superseded by S0-02 after review identified two factual errors (restraint-device absence claim; 372 double-count). Never committed to git.,N/A (documentation task),P0,"low — superseded before commit, no downstream effect",done,none,,"(uncommitted, superseded)",superseded_by_S0-02
S0-02,0,Governance & Baseline,Revise plan: correct restraint-device evidence and population double-count; commit as design baseline,"First draft wrongly declared restraint devices absent (checked canonical CSV only, not DOCX) and double-counted the Madagascar cohort (372 vs corrected tiers).","Revised ENCLAVE_1682_CRITICAL_MODEL_PLAN.md with §0 Revision History, corrected C1-C12, six-tier count model (§8), five renamed required schemas (§5).",S0-01,docs/enclave/implementation/ENCLAVE_1682_CRITICAL_MODEL_PLAN.md,"docs/enclave/salido_hdt_model_v0_3/**; docs/enclave/salido_hdt_model_v0_4/**; docs/enclave/salido_hdt_model_v0_4_1/**; docs/enclave/enklave-salido.docx; frontend/map_app/data/enclave_1682_solver_run/**; data/salido_solver_snapshot/**; salido_hdt.solver.cli source (not in this checkout); docker-compose.yml (except the single future mount explicitly planned in CRITICAL_MODEL_PLAN.md §18, which requires its own separate authorization when attempted)","Both corrections independently re-verified (direct DOCX word/document.xml extraction; arithmetic re-check of 06_human_groups.csv) before being written in; 308 always labelled provisional, never verified/total/cross-document/naming-denominator.",Committed with only this one file staged; git diff --stat empty for all tracked files before commit; zero diff confirmed for all three canonical dataset directories.,N/A (documentation task),P0,"low — documentation only, no code/data touched",done,none,,4ff7dff,approved_as_design_baseline
S0-03,0,Governance & Baseline,Author Phase A0 sprint board and commit,"Plan §15 Phase A0 defines two required audits (restraint-device extraction, cross-document overlap) that need ticket-level tracking before Phase A can start.","PHASE_A0_SPRINT_BOARD.md — 11 tickets across two workstreams, gate condition stated explicitly.",S0-02,docs/enclave/implementation/PHASE_A0_SPRINT_BOARD.md,"docs/enclave/salido_hdt_model_v0_3/**; docs/enclave/salido_hdt_model_v0_4/**; docs/enclave/salido_hdt_model_v0_4_1/**; docs/enclave/enklave-salido.docx; frontend/map_app/data/enclave_1682_solver_run/**; data/salido_solver_snapshot/**; salido_hdt.solver.cli source (not in this checkout); docker-compose.yml (except the single future mount explicitly planned in CRITICAL_MODEL_PLAN.md §18, which requires its own separate authorization when attempted)",Board approved as operational evidence-reconciliation board; committed alone (git diff --cached --name-status shows exactly one file).,Board contains SP-01267/SP-01344 passage-ID refinement found during setup; docs/enclave/scans/ absence confirmed and flagged as the sole external blocker.,N/A (documentation task),P0,low — documentation only,done,none,,40365b3,approved_as_operational_board
S0-04,0,Governance & Baseline,Author master delivery board and backlog CSV,"Need a single Sprint 0-6 delivery board and machine-readable backlog spanning the whole critical-model programme, referencing (not duplicating) the Phase A0 board.",ENCLAVE_1682_MASTER_SPRINT_BOARD.md + ENCLAVE_1682_BACKLOG.csv (this deliverable).,"S0-02, S0-03",docs/enclave/implementation/ENCLAVE_1682_MASTER_SPRINT_BOARD.md; docs/enclave/implementation/ENCLAVE_1682_BACKLOG.csv,"docs/enclave/salido_hdt_model_v0_3/**; docs/enclave/salido_hdt_model_v0_4/**; docs/enclave/salido_hdt_model_v0_4_1/**; docs/enclave/enklave-salido.docx; frontend/map_app/data/enclave_1682_solver_run/**; data/salido_solver_snapshot/**; salido_hdt.solver.cli source (not in this checkout); docker-compose.yml (except the single future mount explicitly planned in CRITICAL_MODEL_PLAN.md §18, which requires its own separate authorization when attempted)",Both files written; zero diff confirmed for canonical datasets; not committed per instruction (planning only).,Every task traces to a specific plan section or Phase A0 ticket range; Sprint 1 references A0-1..A0-11 by ID instead of restating descriptions.,N/A (documentation task),P0,"low — documentation only, explicitly not committed this turn",done,none,Muhammad Ikbal,9499285,approved
S0-05,0,Governance & Baseline,Establish release mapping and sprint gate conditions,"Multiple artifacts (canonical dataset, plan, boards, future critical-layer dataset, page, solver, Petri net, simulation) need one authoritative version/status table so no sprint can silently assume a later artifact exists.","Release mapping table (this document, 'Release mapping' section) + explicit per-sprint gate conditions.","S0-02, S0-03",docs/enclave/implementation/ENCLAVE_1682_MASTER_SPRINT_BOARD.md,"docs/enclave/salido_hdt_model_v0_3/**; docs/enclave/salido_hdt_model_v0_4/**; docs/enclave/salido_hdt_model_v0_4_1/**; docs/enclave/enklave-salido.docx; frontend/map_app/data/enclave_1682_solver_run/**; data/salido_solver_snapshot/**; salido_hdt.solver.cli source (not in this checkout); docker-compose.yml (except the single future mount explicitly planned in CRITICAL_MODEL_PLAN.md §18, which requires its own separate authorization when attempted)",Table matches the mapping given in this turn's instruction exactly (v0.4.1 immutable; plan @ 4ff7dff; A0 board @ its commit; v0.5 not created; Django page/solver snapshot = technical baseline; Petri Net not implemented; simulation prohibited until Sprint 6 approval).,Every later sprint's Definition of Ready cites this table rather than restating version claims.,N/A (documentation task),P0,low,done,none,Muhammad Ikbal,9499285,approved
S1-00,1,Evidence Reconciliation,Reference pointer: full ticket detail lives in PHASE_A0_SPRINT_BOARD.md,Instruction requires referencing the detailed Phase A0 board rather than duplicating all eleven ticket descriptions in this backlog.,This row plus S1-01/S1-02/S1-03 are the only Sprint 1 rows in this backlog; ticket-level detail (A0-1 through A0-11) is authoritative only in PHASE_A0_SPRINT_BOARD.md (commit 40365b3).,S0-03,docs/enclave/implementation/PHASE_A0_SPRINT_BOARD.md (read-only reference from this board),"docs/enclave/salido_hdt_model_v0_3/**; docs/enclave/salido_hdt_model_v0_4/**; docs/enclave/salido_hdt_model_v0_4_1/**; docs/enclave/enklave-salido.docx; frontend/map_app/data/enclave_1682_solver_run/**; data/salido_solver_snapshot/**; salido_hdt.solver.cli source (not in this checkout); docker-compose.yml (except the single future mount explicitly planned in CRITICAL_MODEL_PLAN.md §18, which requires its own separate authorization when attempted)","N/A — pointer row, not an executable task.","Any status change to A0-1..A0-11 must be made in PHASE_A0_SPRINT_BOARD.md directly; this backlog's S1-01/S1-02 status should be kept in sync manually, not treated as the source of truth.",N/A,P0,low — documentation cross-reference only,done,none,,,not_applicable
S1-01,1,Evidence Reconciliation,Workstream 1 — Restraint-device philological attestation (see PHASE_A0_SPRINT_BOARD.md A0-1..A0-6),"Two belenggu (restraint device) entries exist in the researcher DOCX and in 00_source_passages.csv (SP-01267, SP-01344). An earlier investigation wrongly claimed they were also absent from 10_inventory_items.csv; A0-5 (read-only diagnosis) found both already exist as canonical rows (INV-0343, INV-0401) — that claim is withdrawn. The remaining open item is narrower: exact original Dutch spelling, folio number, viewer scan sequence, and IVdNT lemma are not yet recorded in the philological attestation.","Reviewer-confirmed A0_RESTRAINT_PHILOLOGICAL_ATTESTATION.md (object identity/counts already attested; remaining fields optional pending reviewer decision). No canonical-CSV migration, no restraint_device_review.csv seed rows tied to a nonexistent extraction gap.",S0-03,"docs/enclave/implementation/A0_RESTRAINT_PHILOLOGICAL_ATTESTATION.md; docs/enclave/implementation/A0_RESTRAINT_EXTRACTION_FINDING.md (optional, read-only finding record); docs/enclave/salido_hdt_critical_layer_v0_1/restraint_device_review.csv (once Sprint 2 creates the directory)","docs/enclave/salido_hdt_model_v0_3/**; docs/enclave/salido_hdt_model_v0_4/**; docs/enclave/salido_hdt_model_v0_4_1/**; docs/enclave/enklave-salido.docx; frontend/map_app/data/enclave_1682_solver_run/**; data/salido_solver_snapshot/**; salido_hdt.solver.cli source (not in this checkout); docker-compose.yml (except the single future mount explicitly planned in CRITICAL_MODEL_PLAN.md §18, which requires its own separate authorization when attempted)","A0-3 closes in PHASE_A0_SPRINT_BOARD.md, either via the remaining philological fields being recorded or an explicit reviewer decision that object-and-count attestation alone suffices. A0-4/A0-6 are rejected, not evidence-gating.","A0-2 done (researcher_attestation_status=researcher_attested, source_examined_externally=true, committed f98cfb0); A0-5 done (canonical_extraction_status=present, SP-01267->INV-0343, SP-01344->INV-0401, no extraction defect); A0-3 requires original reading/folio/viewer-sequence/IVdNT lemma recorded, or an explicit reviewer waiver, before closing to Done; verified_against_local_image is never set to true; actual_use_status/target_person_status/date_of_use_status remain not_recorded unless new source evidence is found.",test_restraint_device_review_rows_map_to_existing_canonical_inventory_ids; test_restraint_device_actual_use_status_only_accepts_not_recorded (plan §16 — will not exist as runnable code until Sprint 2),P0,"low — A0-2/A0-5 done, no extraction defect found; only A0-3 remains open, pending philological fields or a reviewer waiver; A0-4/A0-6 rejected as moot",in_progress,"none — no external dependency remains; A0-3 is an internal philological-completeness question, not an access or extraction-defect question",,f98cfb0 (A0-2 attestation only — S1-01 as a whole remains open),pending
S1-02,1,Evidence Reconciliation,Workstream 2 — Cross-document temporal-overlap review (see PHASE_A0_SPRINT_BOARD.md A0-7..A0-11),The 308 provisional de-duplicated person estimate only resolves within-document (Madagascar parent/child) duplication; it has not been checked against other documents in the corpus for the same period.,Reviewer-signed findings updating group_hierarchy_review.csv's cross_document_temporal_overlap_checked field; explicit statement of whether 308 still stands or needs revision (never promoted to 'verified' as a byproduct).,S0-03,docs/enclave/implementation/PHASE_A0_SPRINT_BOARD.md (ticket status only); docs/enclave/salido_hdt_critical_layer_v0_1/group_hierarchy_review.csv (once Sprint 2 creates the directory),"docs/enclave/salido_hdt_model_v0_3/**; docs/enclave/salido_hdt_model_v0_4/**; docs/enclave/salido_hdt_model_v0_4_1/**; docs/enclave/enklave-salido.docx; frontend/map_app/data/enclave_1682_solver_run/**; data/salido_solver_snapshot/**; salido_hdt.solver.cli source (not in this checkout); docker-compose.yml (except the single future mount explicitly planned in CRITICAL_MODEL_PLAN.md §18, which requires its own separate authorization when attempted)","A0-11 reviewer sign-off recorded in PHASE_A0_SPRINT_BOARD.md — done, see CROSS_DOCUMENT_OVERLAP_FINDINGS.md.","SUM(record_person_count WHERE counts_toward_unique_person_estimate) across Madagascar rows equals 64, never 128; tier 6 (unique_person_verified_count) remains 'unresolved' unless this review explicitly and separately authorizes a verified figure.",test_group_hierarchy_review_madagascar_parent_and_children_not_both_counted (plan §16 — will not exist as runnable code until Sprint 2),P0,"medium — no external blocker, but requires exhaustive corpus review, not a sampled check",done,none,Muhammad Ikbal,,approved
S1-03,1,Evidence Reconciliation,Phase A0 gate sign-off,Plan §15 states Phase A (schema/derivation layer) may not begin until both A0 workstreams reach reviewer sign-off.,"Gate decision record: either 'Phase A0 complete, Phase A unblocked' or explicit documented risk-acceptance deferral by a reviewer per ticket.","S1-01, S1-02",docs/enclave/implementation/PHASE_A0_SPRINT_BOARD.md; docs/enclave/implementation/ENCLAVE_1682_MASTER_SPRINT_BOARD.md (gate status update),"docs/enclave/salido_hdt_model_v0_3/**; docs/enclave/salido_hdt_model_v0_4/**; docs/enclave/salido_hdt_model_v0_4_1/**; docs/enclave/enklave-salido.docx; frontend/map_app/data/enclave_1682_solver_run/**; data/salido_solver_snapshot/**; salido_hdt.solver.cli source (not in this checkout); docker-compose.yml (except the single future mount explicitly planned in CRITICAL_MODEL_PLAN.md §18, which requires its own separate authorization when attempted)",Named reviewer sign-off on both A0-6 and A0-11.,Sprint 2 tasks (S2-01..S2-09) all remain status=blocked in this backlog until this gate flips.,"N/A (governance gate, not a code task)",P0,high — inherits S1-01's external blocker,blocked,inherits S1-01's archival-scan blocker,,,pending
S2-01,2,Critical Dataset v0.5,Build archival_visibility.csv (schema + populate from canonical CSVs),"Plan §5 requires a documentary-visibility table scoped strictly to per-record properties (never person-count arithmetic, to prevent the double-counting bug recurring).","docs/enclave/salido_hdt_critical_layer_v0_1/archival_visibility.csv, one row per human entity record (individual or group), sourced from 02_persons.csv + 06_human_groups.csv.",S1-03,docs/enclave/salido_hdt_critical_layer_v0_1/*.csv; docs/enclave/salido_hdt_critical_layer_v0_1/MANIFEST.csv; docs/enclave/salido_hdt_critical_layer_v0_1/docs/CRITICAL_ACCOUNTING_MODEL.md; frontend/map_app/enclave_data.py (HUMAN_GROUP_HIERARCHY migration only); frontend/map_app/tests.py (new test classes only),"docs/enclave/salido_hdt_model_v0_3/**; docs/enclave/salido_hdt_model_v0_4/**; docs/enclave/salido_hdt_model_v0_4_1/**; docs/enclave/enklave-salido.docx; frontend/map_app/data/enclave_1682_solver_run/**; data/salido_solver_snapshot/**; salido_hdt.solver.cli source (not in this checkout); docker-compose.yml (except the single future mount explicitly planned in CRITICAL_MODEL_PLAN.md §18, which requires its own separate authorization when attempted)",Derivation-layer test passes.,Row count equals 50 (persons) + 17 (groups) = 67 records; no percentage or aggregate_count field present (explicitly dropped per plan §5).,test_archival_visibility_named_count_equals_50,P1,"low — pure derivation from already-canonical, already-verified columns",blocked,none — blocked only by Sprint 1 gate,,,not_applicable
