nonloss_id,requirement_id,requirement_summary,source_path,status_before,status_after_proposed_retirement,preserved,superseded_by,existing_test_obligation,proposed_test_obligation,loss_detected,blocking_status,notes
NL-01,REQ-M2-005,Adopt an exact-null acceptance metric governing AC-M2-03 (AbsBias_c or a defensible alternative),planning/WAVE_2_OPEN_DECISION_LEDGER.csv (OD-005 row),OPEN_REQUIRES_ADJUDICATION,OPEN_REQUIRES_ADJUDICATION (unchanged),YES,NONE,NONE,OD005-AMD-004;OD005-AMD-005;OD005-AMD-006,NO,NONBLOCKING,Retirement narrows the candidate set (removes an unspecified placeholder) but does not itself resolve REQ-M2-005; OPT-005-A remains the sole live candidate pending future adjudication
NL-02,REQ-M2-008,Acceptance-criterion registry must record AC-M2-03 threshold_status/threshold_value for AbsBias_c at exact null,planning/WAVE_2_MATHEMATICAL_CONTRACT.md S6,"threshold_status=OPEN_REQUIRES_ADJUDICATION, threshold_value=NULL","threshold_status=OPEN_REQUIRES_ADJUDICATION, threshold_value=NULL (unchanged)",YES,NONE,NONE,OD005-AMD-006,NO,NONBLOCKING,"AC-M2-03 registry row is not edited by this proposal; only a future prohibited-interpretation note is proposed (surface-map row 5), not a threshold change"
NL-03,OD-005-EVIDENCE-OPT-005-A-READINESS,OPT-005-A (AbsBias_c) evidence readiness = EVIDENCE_SUFFICIENT_FOR_REVIEW must remain intact regardless of OPT-005-B's disposition,evidence/WAVE_2_OD_005_006_015_EVIDENCE_TO_OPTION_MATRIX.csv (OD-005/OPT-005-A row),EVIDENCE_SUFFICIENT_FOR_REVIEW,EVIDENCE_SUFFICIENT_FOR_REVIEW (unchanged),YES,NONE,NONE,NONE,NO,NONBLOCKING,Verified directly this turn by reading the evidence matrix in full: no proposed change targets the OPT-005-A row
NL-04,OD-005-EVIDENCE-OPT-005-B-SILENT-DEFAULT-FLAG,"OPT-005-B's silent_default_risk=high flag must be addressed, not silently dropped, by any future amendment",evidence/WAVE_2_OD_005_006_015_EVIDENCE_TO_OPTION_MATRIX.csv (OD-005/OPT-005-B row),"silent_default_risk=high (flag present, unaddressed)",flag explicitly addressed by the proposed retirement rationale (surface-map row 1); the historical evidence row itself remains unedited,YES,future retirement rationale text (not yet written -- requires separate amendment-execution authorization),NONE,OD005-AMD-001;OD005-AMD-002,NO,NONBLOCKING,This flag is the underlying reason retirement is being considered; the proposal documents rather than erases the risk
NL-05,OD-005-LEDGER-ROW-STATUS,OD-005 ledger row current_status must remain OPEN_REQUIRES_ADJUDICATION until an amendment is actually executed,planning/WAVE_2_OPEN_DECISION_LEDGER.csv (OD-005 row),OPEN_REQUIRES_ADJUDICATION,OPEN_REQUIRES_ADJUDICATION (unchanged),YES,NONE,NONE,NONE,NO,NONBLOCKING,Confirmed via git diff --stat against baseline: 0 changes to planning/ directory this turn
NL-06,OD-005-DRAFT-ADJUDICATION-OPEN-FLAG,"Draft adjudication's framing of OPT-005-B as 'flagged for retirement-or-concretization' must be resolved additively, not by deleting the flag text",adjudication/WAVE_2_OD_005_DRAFT_ADJUDICATION.md (lines ~49-81),flagged for retirement-or-concretization (open framing),unchanged this turn; a future amendment would add a clarifying definition recording the outcome (surface-map row 3),YES,NONE,NONE,NONE,NO,NONBLOCKING,Document not modified this turn; verified via git diff --stat
NL-07,OD-005-CLARIFICATION-REVIEW-CLASSIFICATION,Specification-clarification classification ADDITIVE_NONNUMERICAL_AMENDMENT_REQUIRED for OD-005 must remain satisfiable by the proposed amendment shape,adjudication/WAVE_2_OD_005_SPECIFICATION_CLARIFICATION_REVIEW.md,ADDITIVE_NONNUMERICAL_AMENDMENT_REQUIRED,"ADDITIVE_NONNUMERICAL_AMENDMENT_REQUIRED (unchanged; the retirement proposal is additive and nonnumerical, consistent with this classification)",YES,NONE,NONE,NONE,NO,NONBLOCKING,Verified via git diff --stat; document unmodified
NL-08,OD005-AMD-TEST-SUITE,Eight future tests OD005-AMD-001..008 must remain PLANNED_ONLY and distinct from the 315 existing tests until amendment execution,adjudication/WAVE_2_OD_005_NARROW_AMENDMENT_TEST_IMPACT.csv,PLANNED_ONLY (x8),"PLANNED_ONLY (x8, unchanged)",YES,NONE,NONE,OD005-AMD-001;OD005-AMD-002;OD005-AMD-003;OD005-AMD-004;OD005-AMD-005;OD005-AMD-006;OD005-AMD-007;OD005-AMD-008,NO,NONBLOCKING,Verified mechanically this turn: 0 collisions against the 315-test inventory; all 8 status values confirmed PLANNED_ONLY
NL-09,VALIDATOR-FUTURE-ENUM-REQUIREMENT,A future RETIRED enum value may need adding to schema_validator.py's candidate-option status field; this obligation must not be dropped by this review,"docs/thesis/colab/model3b_spec_validator/schema_validator.py (flagged, not modified)",not flagged anywhere prior to the narrow amendment plan,"flagged as a future amendment target in surface-map row 6, still unexecuted",YES,NONE,NONE,OD005-AMD-003,NO,NONBLOCKING,Code file confirmed untouched via git diff --stat this turn and every prior turn
NL-10,OD-005-HISTORICAL-CHECKSUM,Historical checksums of all OD-005-related frozen artifacts (as of baseline 9798e7e) must not be overwritten by any future amendment; a post-amendment checksum is a distinct future obligation,planning/WAVE_2_OPEN_DECISION_LEDGER.csv; evidence/WAVE_2_OD_005_006_015_EVIDENCE_TO_OPTION_MATRIX.csv; adjudication/WAVE_2_OD_005_DRAFT_ADJUDICATION.md; adjudication/WAVE_2_OD_005_SPECIFICATION_CLARIFICATION_REVIEW.md; planning/WAVE_2_MATHEMATICAL_CONTRACT.md,no post-amendment checksum exists,no post-amendment checksum exists (unchanged; explicitly deferred as a future requirement per WAVE_2_OD_005_NARROW_AMENDMENT_PLAN.md S10),YES,NONE,NONE,NONE,NO,NONBLOCKING,This review computes no checksum and overwrites none
