source_id,source_name,provider_class,domain_coverage_claimed,verification_provenance,auditor_assessment_candidate_status,credential_or_access_requirement,duplicate_risk_with_other_sources,reason_for_candidate_status,decision_status
SRC-01,Scopus,multidisciplinary_citation_index,"S2,S4,S5,S6",NOT_VERIFIED_FOR_SLR_USE,"APPROVE_FOR_PILOT_SEARCH (auditor view, not a decision)",institutional subscription not yet confirmed,MODERATE (overlaps with Web of Science on S2/S4/S5/S6),"broad, well-indexed multidisciplinary coverage of S2/S4/S5/S6; access must be confirmed before use",PENDING_RESEARCHER_DECISION
SRC-02,Web of Science Core Collection,multidisciplinary_citation_index,"S2,S4,S5,S6",NOT_VERIFIED_FOR_SLR_USE,"APPROVE_FOR_PILOT_SEARCH (auditor view, not a decision)",institutional subscription not yet confirmed,MODERATE (overlaps with Scopus),strong citation-chaining candidate for S2/S4/S5/S6; redundant with Scopus if both unavailable/available identically,PENDING_RESEARCHER_DECISION
SRC-03,JSTOR,humanities_bibliography,"S1,S2,S3,S6",NOT_VERIFIED_FOR_SLR_USE,"APPROVE_FOR_PILOT_SEARCH (auditor view, not a decision)",institutional subscription or open-access tier not yet confirmed,"LOW-MODERATE (overlaps with Project MUSE, WorldCat on S1/S2/S3)",primary candidate for S3 (archival criticism/historiography journals),PENDING_RESEARCHER_DECISION
SRC-04,Project MUSE,humanities_bibliography,"S1,S2,S3",NOT_VERIFIED_FOR_SLR_USE,"APPROVE_FOR_PILOT_SEARCH (auditor view, not a decision)",institutional subscription not yet confirmed,MODERATE (overlaps with JSTOR),humanities monograph coverage for S1/S2/S3,PENDING_RESEARCHER_DECISION
SRC-05,ACM Digital Library,publisher_database,"S2,S4",NOT_VERIFIED_FOR_SLR_USE,"DEFER_SCOPE_UNCLEAR (auditor view, not a decision)",institutional subscription or open-access tier not yet confirmed,LOW,computing-venue coverage for S2/S4; scope relative to Scopus/WoS not yet differentiated,PENDING_RESEARCHER_DECISION
SRC-06,"arXiv (stat, cs.CL, physics.soc-ph)",preprint_repository,"S4,S5,S6",NOT_VERIFIED_FOR_SLR_USE,"APPROVE_FOR_PILOT_SEARCH (auditor view, not a decision)",open access,LOW,primary preprint source for S4/S5/S6 quantitative methods literature,PENDING_RESEARCHER_DECISION
SRC-07,SocArXiv / OSF Preprints,preprint_repository,"S3,S6",NOT_VERIFIED_FOR_SLR_USE,"DEFER_SCOPE_UNCLEAR (auditor view, not a decision)",open access,LOW,narrower social-science preprint scope; overlap with arXiv physics.soc-ph uncertain,PENDING_RESEARCHER_DECISION
SRC-08,WorldCat,library_catalogue,"S1,S2,S3",VERIFIED_FROM_PRIOR_S1_B1_PROVIDER_AUDIT,"APPROVE_FOR_PILOT_SEARCH (auditor view, not a decision)",VERIFIED_FROM_PRIOR_S1_B1_PROVIDER_AUDIT for public catalogue search; NOT re-verified for SLR bulk-search behavior,MODERATE (overlaps with JSTOR/Project MUSE on S1/S2/S3),"public human-catalogue access already confirmed for S1-B1; SLR use requires separate confirmation that catalogue search supports the review's query volume/export needs - S1-B1 verification covered single-item lookup, not bulk literature search",PENDING_RESEARCHER_DECISION
SRC-09,Digital Humanities Quarterly (DHQ),publisher_database,"S1,S2",NOT_VERIFIED_FOR_SLR_USE,"APPROVE_FOR_PILOT_SEARCH (auditor view, not a decision)",open access,LOW,core venue for S1 computational-hermeneutics/DH-methodology literature,PENDING_RESEARCHER_DECISION
SRC-10,KITLV / Brill catalogue,publisher_database,"S3,S6",NOT_VERIFIED_FOR_SLR_USE,"DEFER_SCOPE_UNCLEAR (auditor view, not a decision)",institutional subscription or open catalogue not yet confirmed,LOW,"directly relevant to S3/S6 VOC/colonial-Indonesia historiography, but query interface and export capability not yet assessed",PENDING_RESEARCHER_DECISION
SRC-11,"Institutional repositories (SOAS Research Online, university theses repositories)",institutional_repository,"S1,S3,S6",NOT_VERIFIED_FOR_SLR_USE,"DISCOVERY_ONLY (auditor view, not a decision)","open access, varies by institution",LOW,"grey-literature/thesis discovery only, per S1-B1 provider-role convention for institutional repositories",PENDING_RESEARCHER_DECISION
SRC-12,Google Scholar (manual discovery only),search_engine,ALL,VERIFIED_FROM_PRIOR_S1_B1_PROVIDER_AUDIT,"DISCOVERY_ONLY (auditor view, not a decision)",VERIFIED_FROM_PRIOR_S1_B1_PROVIDER_AUDIT (discovery-only role); NOT_VERIFIED_FOR_SLR_USE beyond that role,HIGH (indexes content already covered by all other sources),"discovery aid only, per protocol Sec.5 and S1-B1 precedent; never sole bibliographic authority for an included record",PENDING_RESEARCHER_DECISION
SRC-13,Crossref (backward/forward citation and DOI resolution),persistent_identifier_authority,"S2,S4,S5,S6",VERIFIED_FROM_PRIOR_S1_B1_PROVIDER_AUDIT,"APPROVE_FOR_PILOT_SEARCH (auditor view, not a decision)",VERIFIED_FROM_PRIOR_S1_B1_PROVIDER_AUDIT for DOI/metadata REST API; NOT re-verified for SLR bulk bibliographic-search query patterns,LOW,"primary confirmation-tier source for S4/S5/S6 DOI-bearing modern scholarship; S1-B1 verification covered single-record lookup, not literature-search query patterns",PENDING_RESEARCHER_DECISION
