gate_id,candidate_model,metric,threshold,direction,scenario_scope,provenance_class,source_or_rationale,failure_consequence,mandatory_advisory_status,notes
GATE-001,M0,invalid_estimate_rate,<= 0.05,lower_is_better,all synthetic recovery cells for this candidate,RESEARCHER_POLICY,"Blueprint frozen hard gate (reused verbatim, not modified per Design doc sec5/sec6) No universal literature cutoff verified for this exact numeric value in this project's own cited sources; this is a preregistered project decision rule, not represented as a universal scientific standard.",Candidate excluded from tournament (fails to pass its own preregistered recovery test; ineligible for real-data-fitting consideration).,MANDATORY,Fraction of replicates where the optimizer/estimator fails to return a usable estimate at all.
GATE-002,M0,false_positive_excitation_rate,<= 0.05,lower_is_better,S1-equivalent synthetic cell: alpha_true = 0 (no real excitation present),RESEARCHER_POLICY,"Blueprint frozen hard gate No universal literature cutoff verified for this exact numeric value in this project's own cited sources; this is a preregistered project decision rule, not represented as a universal scientific standard.",Candidate excluded from tournament (fails to pass its own preregistered recovery test; ineligible for real-data-fitting consideration).,MANDATORY,"S1-equivalent cell: alpha_true=0, tests whether estimator spuriously finds excitation."
GATE-003,M0,absolute_relative_bias_excitation_params,<= 0.10,lower_is_better,all synthetic recovery cells for this candidate,RESEARCHER_POLICY,"Blueprint frozen hard gate No universal literature cutoff verified for this exact numeric value in this project's own cited sources; this is a preregistered project decision rule, not represented as a universal scientific standard.","N/A, not scored for this candidate (no such parameter/mechanism exists for M0).",ADVISORY,"Applies to alpha/beta (M0/M1/M2/M4) or their n/beta reparameterization (Hawkes candidates); for M0 (no excitation term) this metric is N/A by construction, recorded as such, not scored."
GATE-004,M0,normalized_absolute_bias_baseline_param,<= 0.25,lower_is_better,all synthetic recovery cells for this candidate,RESEARCHER_POLICY,"Blueprint frozen hard gate No universal literature cutoff verified for this exact numeric value in this project's own cited sources; this is a preregistered project decision rule, not represented as a universal scientific standard.",Candidate excluded from tournament (fails to pass its own preregistered recovery test; ineligible for real-data-fitting consideration).,MANDATORY,theta0 (or the M0 baseline-rate equivalent).
GATE-005,M0,branching_ratio_absolute_bias,<= 0.05,lower_is_better,all synthetic recovery cells for this candidate,RESEARCHER_POLICY,"Blueprint frozen hard gate No universal literature cutoff verified for this exact numeric value in this project's own cited sources; this is a preregistered project decision rule, not represented as a universal scientific standard.","N/A, not scored for this candidate (no such parameter/mechanism exists for M0).",ADVISORY,N/A for M0 (no branching ratio exists); recorded as such.
GATE-006,M0,branching_ratio_relative_bias,<= 0.10,lower_is_better,all synthetic recovery cells for this candidate,RESEARCHER_POLICY,"Blueprint frozen hard gate No universal literature cutoff verified for this exact numeric value in this project's own cited sources; this is a preregistered project decision rule, not represented as a universal scientific standard.","N/A, not scored for this candidate (no such parameter/mechanism exists for M0).",ADVISORY,N/A for M0.
GATE-007,M0,ci_coverage_95pct,between 0.925 and 0.975,target_band,all synthetic recovery cells for this candidate,SIMULATION_DESIGN_REQUIREMENT,"Blueprint frozen hard gate This threshold operationalizes a property the synthetic recovery design itself requires to be diagnostically meaningful (e.g. near-nominal coverage, calibration adequacy); the specific numeric band is a preregistered convention, not verified against one specific external citation in this pass.",Candidate excluded from tournament (fails to pass its own preregistered recovery test; ineligible for real-data-fitting consideration).,MANDATORY,"Applies per-parameter (theta0, theta1, alpha/n, beta)."
GATE-008,M1,invalid_estimate_rate,<= 0.05,lower_is_better,all synthetic recovery cells for this candidate,RESEARCHER_POLICY,"Blueprint frozen hard gate (reused verbatim, not modified per Design doc sec5/sec6) No universal literature cutoff verified for this exact numeric value in this project's own cited sources; this is a preregistered project decision rule, not represented as a universal scientific standard.",Candidate excluded from tournament (fails to pass its own preregistered recovery test; ineligible for real-data-fitting consideration).,MANDATORY,Fraction of replicates where the optimizer/estimator fails to return a usable estimate at all.
GATE-009,M1,false_positive_excitation_rate,<= 0.05,lower_is_better,S1-equivalent synthetic cell: alpha_true = 0 (no real excitation present),RESEARCHER_POLICY,"Blueprint frozen hard gate No universal literature cutoff verified for this exact numeric value in this project's own cited sources; this is a preregistered project decision rule, not represented as a universal scientific standard.",Candidate excluded from tournament (fails to pass its own preregistered recovery test; ineligible for real-data-fitting consideration).,MANDATORY,"S1-equivalent cell: alpha_true=0, tests whether estimator spuriously finds excitation."
GATE-010,M1,absolute_relative_bias_excitation_params,<= 0.10,lower_is_better,all synthetic recovery cells for this candidate,RESEARCHER_POLICY,"Blueprint frozen hard gate No universal literature cutoff verified for this exact numeric value in this project's own cited sources; this is a preregistered project decision rule, not represented as a universal scientific standard.",Candidate excluded from tournament (fails to pass its own preregistered recovery test; ineligible for real-data-fitting consideration).,MANDATORY,"Applies to alpha/beta (M0/M1/M2/M4) or their n/beta reparameterization (Hawkes candidates); for M0 (no excitation term) this metric is N/A by construction, recorded as such, not scored. EDGE-CASE FLAG (added during freeze structural audit): this relative-bias metric has an undefined denominator when the true parameter value is 0 -- specifically the branching-ratio=0 (alpha_true=0) recovery-factor grid cell used for the false_positive_excitation_rate gate. A future implementation must either (a) exclude this metric from scoring at that specific grid cell and record it as N/A for that cell only (not the whole candidate), or (b) substitute an absolute-bias-only measure at that cell. Not resolved by this freeze -- flagged for the implementation turn."
