evidence_candidate_id,official_access_path,official_domain,issuing_body_or_provider,document_or_documentation_area,access_method,authentication_required,terms_or_policy_status,expected_provenance_location,collection_feasibility_status,verification_source,verification_date,status,notes
EV-DEC06-A-01,https://training.cochrane.org/handbook/current/chapter-04,training.cochrane.org (also cochrane.org),Cochrane Information Retrieval Methods Group / Cochrane Collaboration,"Cochrane Handbook for Systematic Reviews of Interventions, current version, Chapter 4 'Searching for and selecting studies'",READ_ONLY_DOCUMENTATION_BROWSE,NONE_REQUIRED_PUBLIC,OPEN_ACCESS_HANDBOOK,"Cochrane Handbook for Systematic Reviews of Interventions, current version, Chapter 4 'Searching for and selecting studies'",FEASIBLE,"WebSearch snippet review, 2026-09-05T13:18:45Z",2026-09-05,ACCESS_PATH_VERIFIED,"Official Cochrane Handbook chapter on search strategy design (concept blocks, OR/AND structure); identity and issuing body confirmed via official cochrane.org/training.cochrane.org domain."
EV-DEC06-A-02,https://pmc.ncbi.nlm.nih.gov/articles/PMC7839230/,pmc.ncbi.nlm.nih.gov (PMC open-access copy); doi.org/10.1186/s13643-020-01542-z,"PRISMA-S working group (reporting-standard authors, published via Systematic Reviews journal / EQUATOR Network)","PRISMA-S: an extension to the PRISMA Statement for Reporting Literature Searches in Systematic Reviews, Systematic Reviews (2021)",READ_ONLY_DOCUMENTATION_BROWSE,NONE_REQUIRED_OPEN_ACCESS,OPEN_ACCESS_PUBLICATION,"PRISMA-S: an extension to the PRISMA Statement for Reporting Literature Searches in Systematic Reviews, Systematic Reviews (2021)",FEASIBLE,"WebSearch snippet review, 2026-09-05T13:18:45Z",2026-09-05,ACCESS_PATH_VERIFIED,"Official reporting-standard publication, open access via PMC; DOI resolvable via Crossref/doi.org."
EV-DEC06-A-03,https://www.cda-amc.ca/press-peer-review-electronic-search-strategies,cda-amc.ca,"CADTH (Canada's Drug Agency, formerly CADTH)","PRESS Peer Review of Electronic Search Strategies: 2015 Guideline Statement, CADTH official page",READ_ONLY_DOCUMENTATION_BROWSE,NONE_REQUIRED_FOR_OFFICIAL_PAGE,OFFICIAL_AGENCY_GUIDELINE_PAGE_OPEN; underlying journal copy (J Clin Epidemiol/ScienceDirect) may be subscription-gated,"PRESS Peer Review of Electronic Search Strategies: 2015 Guideline Statement, CADTH official page",FEASIBLE,"WebSearch snippet review, 2026-09-05T13:18:45Z",2026-09-05,ACCESS_PATH_VERIFIED,Official issuing body confirmed (CADTH); guideline checklist hosted on CADTH's own domain.
EV-DEC06-A-04,https://training.cochrane.org/handbook/current/chapter-04 (language-restriction subsection only),training.cochrane.org (same Handbook as A-01),Cochrane Collaboration (general Handbook guidance; no dedicated cross-language-equivalence-verification document identified),"Cochrane Handbook language-restriction guidance is embedded within Chapter 4, not a standalone multilingual-equivalence-verification standard",READ_ONLY_DOCUMENTATION_BROWSE,NONE_REQUIRED_PUBLIC,OPEN_ACCESS_HANDBOOK,"Cochrane Handbook language-restriction guidance is embedded within Chapter 4, not a standalone multilingual-equivalence-verification standard",PARTIAL_FEASIBLE,"WebSearch snippet review, 2026-09-05T13:18:45Z",2026-09-05,ACCESS_PATH_PARTIALLY_VERIFIED,"Identity of an issuing body (Cochrane) is verified, but the exact discovery objective (cross-language concept-equivalence verification method) is not matched by a dedicated document; only a general sub-topic within the Handbook."
EV-DEC06-A-05,NONE_IDENTIFIED,NONE_IDENTIFIED,No dedicated official issuing body or standard identified for humanities-specific bibliographic search methodology,NOT_APPLICABLE - no official documentation area located,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE - no official documentation area located,NOT_FEASIBLE_AS_SCOPED,"WebSearch snippet review, 2026-09-05T13:18:45Z",2026-09-05,OFFICIAL_DOCUMENTATION_AREA_NOT_FOUND,"Discovery did not locate an official, authoritative, humanities-specific search-methodology body or standard comparable to Cochrane/PRESS/PRISMA-S. Requires researcher review of whether to broaden discovery, accept a general-guidance substitute, or retire this discovery objective. | ADDENDUM (consolidated evidence turn, 2026-09-05): see SLR_DEC_06_EVIDENCE_COLLECTION_AND_READINESS_REPORT.md Sec.5 for resolution (NO_DEDICATED_AUTHORITY_BUT_METHOD_EVIDENCE_AVAILABLE)."
EV-DEC06-A-06,https://onlinelibrary.wiley.com/doi/full/10.1002/cl2.1433,"onlinelibrary.wiley.com (Campbell Systematic Reviews journal, official Campbell Collaboration publication venue)","Campbell Collaboration (Campbell Information Retrieval Methods Group; seed-study validation is discussed as one embedded practice within their broader search guide, not a standalone standard)","MacDonald et al., 'Searching for studies: A guide to information retrieval for Campbell systematic reviews', Campbell Systematic Reviews (2024)",READ_ONLY_DOCUMENTATION_BROWSE,NONE_REQUIRED_OPEN_ACCESS_JOURNAL,OPEN_ACCESS_CAMPBELL_GUIDE,"MacDonald et al., 'Searching for studies: A guide to information retrieval for Campbell systematic reviews', Campbell Systematic Reviews (2024)",PARTIAL_FEASIBLE,"WebSearch snippet review, 2026-09-05T13:18:45Z",2026-09-05,ACCESS_PATH_PARTIALLY_VERIFIED,Official issuing body (Campbell Collaboration) and access path verified; the exact discovery objective (a dedicated seed-validation method document) is only partially matched.
EV-DEC06-A-07,https://www.cochrane.org/authors/handbooks-and-manuals/handbook/current/chapter-iv,training.cochrane.org,Cochrane Collaboration,Cochrane Handbook Chapter IV: 'Updating a review',READ_ONLY_DOCUMENTATION_BROWSE,NONE_REQUIRED_PUBLIC,OPEN_ACCESS_HANDBOOK,Cochrane Handbook Chapter IV: 'Updating a review',FEASIBLE,"WebSearch snippet review, 2026-09-05T13:18:45Z",2026-09-05,ACCESS_PATH_VERIFIED,Official Cochrane Handbook chapter distinguishing updates vs. amendments; MECIR standards referenced within.
EV-DEC06-B-01,https://service.elsevier.com/app/answers/detail/a_id/25974/supporthub/scopus/,service.elsevier.com / scopus.com,Elsevier (Scopus),Scopus Support Center advanced-search help pages,READ_ONLY_DOCUMENTATION_BROWSE,DOCUMENTATION_OPEN_NO_LOGIN; underlying Scopus platform requires institutional subscription,OFFICIAL_SUPPORT_CENTER_OPEN,Scopus Support Center advanced-search help pages,FEASIBLE,"WebSearch snippet review, 2026-09-05T13:18:45Z",2026-09-05,ACCESS_PATH_VERIFIED,Official Elsevier/Scopus support-center domain confirmed.
EV-DEC06-B-02,https://webofscience.zendesk.com/hc/en-us/articles/26916347018257-Web-of-Science-Core-Collection-Advanced-Search-Field-Tags,webofscience.zendesk.com / clarivate.com,Clarivate (Web of Science),Web of Science Core Collection official help/support articles,READ_ONLY_DOCUMENTATION_BROWSE,DOCUMENTATION_OPEN_NO_LOGIN; underlying WoS platform requires institutional subscription,OFFICIAL_SUPPORT_CENTER_OPEN,Web of Science Core Collection official help/support articles,FEASIBLE,"WebSearch snippet review, 2026-09-05T13:18:45Z",2026-09-05,ACCESS_PATH_VERIFIED,Official Clarivate-run support domain confirmed.
EV-DEC06-B-03,https://support.jstor.org/hc/en-us/articles/115004732567-Searching-Using-Fields-and-Advanced-Search,support.jstor.org / guides.jstor.org,ITHAKA (JSTOR),JSTOR Support: Searching - Using Fields and Advanced Search,READ_ONLY_DOCUMENTATION_BROWSE,DOCUMENTATION_OPEN_NO_LOGIN; full-text access varies by institutional/individual access,OFFICIAL_SUPPORT_SITE_OPEN,JSTOR Support: Searching - Using Fields and Advanced Search,FEASIBLE,"WebSearch snippet review, 2026-09-05T13:18:45Z",2026-09-05,ACCESS_PATH_VERIFIED,Official JSTOR-run support and LibGuides domain confirmed.
EV-DEC06-B-04,https://about.muse.jhu.edu/resources/faq/,about.muse.jhu.edu / muse.jhu.edu,Johns Hopkins University Press (Project MUSE),Project MUSE official FAQ / About pages,READ_ONLY_DOCUMENTATION_BROWSE,DOCUMENTATION_OPEN_NO_LOGIN; full-content access mostly institutional subscription,OFFICIAL_PUBLISHER_SITE_OPEN,Project MUSE official FAQ / About pages,FEASIBLE,"WebSearch snippet review, 2026-09-05T13:18:45Z",2026-09-05,ACCESS_PATH_VERIFIED,Official Johns Hopkins University Press domain confirmed.
EV-DEC06-B-05,https://libraries.acm.org/training-resources/search-tools,libraries.acm.org / dl.acm.org,Association for Computing Machinery (ACM Digital Library),ACM Digital Library official training-resources / search-tools pages,READ_ONLY_DOCUMENTATION_BROWSE,"DOCUMENTATION_OPEN_NO_LOGIN; DL content partially subscription-gated, some open access",OFFICIAL_ACM_TRAINING_RESOURCES_OPEN,ACM Digital Library official training-resources / search-tools pages,FEASIBLE,"WebSearch snippet review, 2026-09-05T13:18:45Z",2026-09-05,ACCESS_PATH_VERIFIED,Official ACM domain confirmed.
EV-DEC06-B-06,https://arxiv.org/help/api/user-manual,arxiv.org,Cornell University (arXiv),"arXiv API User Manual, official arxiv.org/help section",READ_ONLY_DOCUMENTATION_BROWSE,NONE_REQUIRED_FULLY_OPEN,FULLY_OPEN_ACCESS,"arXiv API User Manual, official arxiv.org/help section",FEASIBLE,"WebSearch snippet review, 2026-09-05T13:18:45Z",2026-09-05,ACCESS_PATH_VERIFIED,"Official arxiv.org domain; fully open, no authentication for documentation or content."
EV-DEC06-B-07,https://help.osf.io/article/376-preprints-home-page,help.osf.io / osf.io,Center for Open Science (OSF Preprints / SocArXiv),OSF Preprints official help documentation,READ_ONLY_DOCUMENTATION_BROWSE,NONE_REQUIRED_FULLY_OPEN,FULLY_OPEN_ACCESS,OSF Preprints official help documentation,FEASIBLE,"WebSearch snippet review, 2026-09-05T13:18:45Z",2026-09-05,ACCESS_PATH_VERIFIED,Official Center for Open Science domain confirmed.
EV-DEC06-B-08,https://search.worldcat.org/faq,search.worldcat.org / help.oclc.org,OCLC (WorldCat),"WorldCat.org Help & FAQ, official OCLC support pages",READ_ONLY_DOCUMENTATION_BROWSE,DOCUMENTATION_OPEN_NO_LOGIN; some full records/loan features vary by library,OFFICIAL_OCLC_SUPPORT_OPEN,"WorldCat.org Help & FAQ, official OCLC support pages",FEASIBLE,"WebSearch snippet review, 2026-09-05T13:18:45Z",2026-09-05,ACCESS_PATH_VERIFIED,Official OCLC-run domain confirmed.
EV-DEC06-B-09,https://dhq.digitalhumanities.org/index.html,dhq.digitalhumanities.org,Association for Computers and the Humanities (ACH) / ADHO (Digital Humanities Quarterly),DHQ official journal site (recently migrated to a new static-site platform with new search interface),READ_ONLY_DOCUMENTATION_BROWSE,NONE_REQUIRED_FULLY_OPEN,FULLY_OPEN_ACCESS_JOURNAL,DHQ official journal site (recently migrated to a new static-site platform with new search interface),FEASIBLE,"WebSearch snippet review, 2026-09-05T13:18:45Z",2026-09-05,ACCESS_PATH_VERIFIED,Official DHQ domain confirmed; note the site recently migrated platforms.
EV-DEC06-B-10,AMBIGUOUS - two candidate paths not yet reconciled,"catalogue.leidenuniv.nl (Leiden University Library, holding KITLV collections) vs. brill.com (Brill's own publishing platform hosting KITLV-affiliated series)","KITLV (Royal Netherlands Institute of Southeast Asian and Caribbean Studies) AND/OR Brill Academic Publishers - two distinct plausible official domains found, not one",UNRESOLVED - depends on which catalogue is meant,NOT_APPLICABLE,UNKNOWN_PENDING_RESOLUTION,UNKNOWN_PENDING_RESOLUTION,UNRESOLVED - depends on which catalogue is meant,REQUIRES_RESEARCHER_CLARIFICATION,"WebSearch snippet review, 2026-09-05T13:18:45Z",2026-09-05,SOURCE_IDENTITY_AMBIGUOUS,"This is a disclosed ambiguity in the original manifest candidate description (SRC-10), not an invented one; discovery could not resolve it without a researcher decision on intended scope. | ADDENDUM (consolidated evidence turn, 2026-09-05): see SLR_DEC_06_EVIDENCE_COLLECTION_AND_READINESS_REPORT.md Sec.6 for resolution (RESOLVED_DUAL_PATHWAYS_DISTINCT_ROLES: Leiden University Libraries catalogue = discovery/catalogue role; Brill = publisher/content role)."
EV-DEC06-B-11,https://eprints.soas.ac.uk/,eprints.soas.ac.uk (verified component),"SOAS, University of London (SOAS Research Online) - verified; 'university theses repositories' remains an unnamed generic plural category by the manifest's own original design",SOAS Research Online official institutional repository,READ_ONLY_DOCUMENTATION_BROWSE,NONE_REQUIRED_FULLY_OPEN (SOAS component),FULLY_OPEN_ACCESS_REPOSITORY (SOAS component),SOAS Research Online official institutional repository,PARTIAL_FEASIBLE,"WebSearch snippet review, 2026-09-05T13:18:45Z",2026-09-05,ACCESS_PATH_PARTIALLY_VERIFIED,"SOAS Research Online component fully verified and open; the generic secondary component is carried forward as-is, not resolved or narrowed in this discovery turn."
EV-DEC06-B-12,https://scholar.google.com/intl/en/scholar/help.html,scholar.google.com,Google (Google Scholar),Google Scholar official Search Help page,READ_ONLY_DOCUMENTATION_BROWSE,NONE_REQUIRED_FULLY_OPEN,OFFICIAL_HELP_PAGE_OPEN; ToS prohibits automated querying (already established in S1-B1/SLR-DEC-05 provider role),Google Scholar official Search Help page,FEASIBLE_MANUAL_DISCOVERY_ONLY,"WebSearch snippet review, 2026-09-05T13:18:45Z",2026-09-05,ACCESS_PATH_VERIFIED,"Official Google domain confirmed; discovery-only role reaffirmed, consistent with existing SLR-DEC-05 record - not newly extracted here."
EV-DEC06-B-13,https://www.crossref.org/documentation/retrieve-metadata/rest-api/,crossref.org / api.crossref.org,Crossref,Crossref official REST API documentation,READ_ONLY_DOCUMENTATION_BROWSE,"NONE_REQUIRED_FOR_BASIC_USE; polite-pool mailto header recommended, no credential required",FULLY_OPEN_REST_API_DOCS,Crossref official REST API documentation,FEASIBLE,"WebSearch snippet review, 2026-09-05T13:18:45Z",2026-09-05,ACCESS_PATH_VERIFIED,Official Crossref domain and GitHub-hosted documentation confirmed.
