candidate,gate_family,model_equation,parameter_space,estimand,null_definition,applicability,mandatory_or_advisory,metric_formula,denominator,threshold_status,threshold_provenance,source_proposal,implementation_status
M0,point_estimate_bias,"log(mu_t) = X_t'gamma + log(E_t); Y_t~Poisson(mu_t) or NB(mu_t,phi)",Theta_M0={gamma;phi where applicable},gamma (and phi),n/a (no excitation),APPLICABLE,MANDATORY,AbsBias/RelBias per theta_true=0 rule,attempted vs completed TBD,retained (<=existing gate),RESEARCHER_POLICY,PROPOSAL-01,NOT_IMPLEMENTED
M0,RMSE,same as above,Theta_M0,gamma,n/a,APPLICABLE,MANDATORY,RMSE=sqrt((1/R)sum(theta_hat-theta_true)^2),TBD,retained,RESEARCHER_POLICY,PROPOSAL-01,NOT_IMPLEMENTED
M0,interval_coverage,same as above,Theta_M0,gamma,n/a,APPLICABLE,MANDATORY,"Coverage=(1/R)sum I(theta_true in [L_r,U_r])",TBD,"frozen [0.925,0.975] target unchanged; IMPLEMENTATION corrected per Proposal 1",MATHEMATICAL_REQUIREMENT (coverage target),PROPOSAL-01,"NOT_IMPLEMENTED (correction approved, not built)"
M0,convergence_rate,same as above,Theta_M0,n/a (diagnostic),n/a,APPLICABLE,MANDATORY,converged/attempted,attempted,retained,RESEARCHER_POLICY,PROPOSAL-01,NOT_IMPLEMENTED
M0,boundary_solution_rate,same as above,Theta_M0,n/a,n/a,APPLICABLE,ADVISORY,boundary/attempted,attempted,<=0.10,RESEARCHER_POLICY,PROPOSAL-06,NOT_COMPUTED
M0,predictive_calibration,same as above,Theta_M0,n/a,n/a,APPLICABLE,ADVISORY,PIT/reliability within +/-0.05 nominal,n/a,target_band,SIMULATION_DESIGN_REQUIREMENT,PROPOSAL-06,NOT_COMPUTED
M0,excitation_false_positive_negative_branching,n/a,Theta_M0 has no alpha/beta/n/excitation-decision-rule,n/a,n/a,NOT_APPLICABLE_TO_MODEL_DOMAIN,n/a,n/a,n/a,n/a,n/a,diagnostic-audit SS17 (frozen),EXCLUDED_PERMANENTLY
M2,n_bias,g(u)=alpha*exp(-beta*u); n=alpha/beta=integral g(u)du,Theta_M2={baseline;n (primary);beta (secondary)},n,n/a (M2 exact-null representability SEPARATE_DEPENDENCY not yet reviewed),APPLICABLE,"MANDATORY (n as primary, replacing former alpha/beta mandatory framing)",AbsBias/RelBias for n,attempted vs valid TBD (Proposal 3 SS8 unresolved),retained numeric value carried forward from GATE-019/020,RESEARCHER_POLICY,PROPOSAL-02;PROPOSAL-03,NOT_IMPLEMENTED
M2,n_RMSE,same,Theta_M2,n,n/a,APPLICABLE,MANDATORY,RMSE for n,TBD,retained,RESEARCHER_POLICY,PROPOSAL-02;PROPOSAL-03,NOT_IMPLEMENTED
M2,n_interval_coverage,same,Theta_M2,n,n/a,APPLICABLE,MANDATORY,Coverage for n via a valid method (profile/bootstrap/likelihood-based; not selected),TBD,frozen target band,MATHEMATICAL_REQUIREMENT,PROPOSAL-02,NOT_IMPLEMENTED (method not selected)
M2,exact_null_FPR,same,Theta_M2,existence,n=0 representability NOT YET ESTABLISHED FOR M2,CONDITIONAL (blocked on M2-specific exact-null review),MANDATORY if unblocked,FPR_hat under n_true=0,R0,<=0.05 candidate,RESEARCHER_POLICY,PROPOSAL-02 SS13 (SEPARATE_DEPENDENCY),NOT_IMPLEMENTED
M2,positive_scenario_FNR,same,Theta_M2,detection power,n/a,CONDITIONAL (same blocker as above),MANDATORY if unblocked,FNR_hat,R1,TBD,RESEARCHER_POLICY,PROPOSAL-02 SS13,NOT_IMPLEMENTED
M2,predictive_interval_calibration,same,Theta_M2,n/a,n/a,APPLICABLE,ADVISORY,interval-count calibration,n/a,target_band,SIMULATION_DESIGN_REQUIREMENT,PROPOSAL-06,NOT_COMPUTED
M2,convergence_rate,same,Theta_M2,n/a,n/a,APPLICABLE,MANDATORY,converged/attempted,attempted (Proposal 3 GATE-051 already MANDATORY+PROTOCOL_NOT_COMPLETED),retained,RESEARCHER_POLICY,PROPOSAL-03,NOT_IMPLEMENTED
M2,boundary_solution_rate,same,Theta_M2,n/a,n/a,APPLICABLE,ADVISORY,boundary/attempted,attempted,<=0.10,RESEARCHER_POLICY,PROPOSAL-06,NOT_COMPUTED
M2,source_removal_stability,same,Theta_M2,n/a,n/a,APPLICABLE,ADVISORY,parameter shift under LOSO refit,n/a,<=0.20 relative,RESEARCHER_POLICY,PROPOSAL-06,NOT_COMPUTED
M2,episode_removal_stability,same,Theta_M2,n/a,n/a,APPLICABLE,ADVISORY,parameter shift under LOEO refit,n/a,<=0.20 relative,RESEARCHER_POLICY,PROPOSAL-06,NOT_COMPUTED
M2,alpha_beta_individual_bias_diagnostic,same,Theta_M2,alpha; beta (secondary/diagnostic only),n/a,APPLICABLE as DIAGNOSTIC ONLY,ADVISORY (downgraded from original MANDATORY GATE-017/019/020/021),original AbsBias/RelBias formulas retained,attempted,"original gates preserved historically, not reused as primary pass/fail",RESEARCHER_POLICY,PROPOSAL-02,NOT_IMPLEMENTED (original GATE-017/019/020/021 remain MANDATORY in the FROZEN spec; this row describes the prospective V2 downgrade only)
M3,exact_null_representability,Y_t~CountDist(Lambda_t); Lambda_t=mu_t+sum w_k Y_t-k; n_d=sum w_k,Theta_M3={M0:n=0; M1:0<n<1; baseline/obs params; magnitude|M1; P(M1|Y)},existence of n=0 in support,n=0 explicit,APPLICABLE,MANDATORY,structural test (n=0 reachable),n/a,pass/fail structural,MATHEMATICAL_REQUIREMENT,PROPOSAL-04,NOT_IMPLEMENTED
M3,posterior_model_probability_calibration,same,Theta_M3,P(M1|Y) calibration,n=0 as M0,APPLICABLE,MANDATORY,model-selection calibration (SS Calibration Requirements),n/a,qualitative + quantitative TBD,SIMULATION_DESIGN_REQUIREMENT,PROPOSAL-05,NOT_IMPLEMENTED
M3,exact_null_FPR,same,Theta_M3,delta_tau decision,n=0,APPLICABLE,MANDATORY,FPR_hat(tau)=(1/R0)sum I[P(M1|Y_r)>=tau],R0,<=0.05 necessary-not-sufficient; tau NOT SELECTED,RESEARCHER_POLICY (target) + REQUIRES_SYNTHETIC_CALIBRATION (tau itself),PROPOSAL-05,NOT_IMPLEMENTED
M3,positive_scenario_FNR_power,same,Theta_M3,delta_tau decision,n/a,APPLICABLE,MANDATORY,FNR_hat(tau)=(1/R1)sum I[P(M1|Y_r)<tau],R1,jointly evaluated with FPR; tau NOT SELECTED,RESEARCHER_POLICY,PROPOSAL-05,NOT_IMPLEMENTED
M3,conditional_n_recovery_under_M1,same,Theta_M3,"E[n|Y,M1]; CI for n|M1",n/a,APPLICABLE,MANDATORY (replaces retired GATE-031 per M3-REPL-031-E),bias/RMSE/coverage for n conditional on M1,attempted (M1-classified replicates only),retained numeric carried from GATE-033/034,RESEARCHER_POLICY,PROPOSAL-05;PROPOSAL-07,NOT_IMPLEMENTED
M3,prior_odds_sensitivity,same,Theta_M3,P(M0) vs P(M1) sensitivity,n/a,APPLICABLE,ADVISORY (diagnostic on primary decision),P(M1|Y)/P(M0|Y)=BF_10*prior_odds,n/a,NO_THRESHOLD_DIAGNOSTIC_ONLY,n/a (not selected),PROPOSAL-05,NOT_IMPLEMENTED (prior odds not selected)
M3,baseline_confounding_resistance,same,Theta_M3,decision rule robustness,n/a,APPLICABLE,MANDATORY,decision rule tested against baseline/CD/overdispersion/source/episode/missing/duplicate confounds,per-scenario,must not mislabel confounds as excitation,SIMULATION_DESIGN_REQUIREMENT,PROPOSAL-05 SS19,NOT_IMPLEMENTED
M3,observation_process_robustness,same,Theta_M3,decision rule under Atlas regime,n/a,APPLICABLE,MANDATORY,reproduces year-level/ties/source/episode/missing/duplicate regime,n/a,pass/fail structural,SIMULATION_DESIGN_REQUIREMENT,PROPOSAL-05 SS20,NOT_IMPLEMENTED
M3,convergence_numerical_stability,same,Theta_M3,n/a,n/a,APPLICABLE,MANDATORY,MCMC acceptance/convergence diagnostics,attempted,retained,RESEARCHER_POLICY,PROPOSAL-04;PROPOSAL-05,NOT_IMPLEMENTED
