term_id,family_id,language,term,variant_type,concept_role,provenance_status,ambiguity_risk,admissibility_gate,usage_status,notes
TV-C1-001,C1,en,computational hermeneutics,PREFERRED_TERM,core_method,documented in SLR_COMPUTATIONAL_HERMENEUTICS_PROTOCOL.md Sec.3,"LOW - exact phrase, rare outside target literature",A_v=1,DRAFT_CANDIDATE,
TV-C1-002,C1,en,hermeneutics of computation,MORPHOLOGICAL_VARIANT,core_method,protocol Sec.3 alternate ordering,LOW,A_v=1,DRAFT_CANDIDATE,
TV-C1-003,C1,en,situated meaning,PREFERRED_TERM,core_concept,protocol Sec.3,MODERATE - 'situated' used broadly in cognitive science/HCI unrelated to hermeneutics,A_v=1,DRAFT_CANDIDATE,requires co-occurrence with interpretation/meaning terms to control noise
TV-C1-004,C1,en,plurality of interpretation,PREFERRED_TERM,core_concept,protocol Sec.3,LOW,A_v=1,DRAFT_CANDIDATE,
TV-C1-005,C1,en,hermeneutic circle,PREFERRED_TERM,core_concept,"protocol Sec.3, classical hermeneutic theory (Gadamer/Heidegger lineage)",LOW,A_v=1,DRAFT_CANDIDATE,
TV-C1-006,C1,en,critical digital humanities,TRANSLATED_CONCEPT_CANDIDATE,adjacent_terminology,identified in SLR_SEARCH_STRING_REMEDIATION_PLAN.md Sec.3 as narrowness-risk mitigation,MODERATE - broader than computational hermeneutics specifically,A_v=1,DRAFT_CANDIDATE,added to reduce narrowness risk of exact-phrase-only search
TV-C1-007,C1,en,algorithmic reading,TRANSLATED_CONCEPT_CANDIDATE,adjacent_terminology,remediation plan Sec.3,MODERATE,A_v=1,DRAFT_CANDIDATE,"adjacent-terminology candidate, equivalence to 'computational hermeneutics' not demonstrated"
TV-C1-008,C1,nl,computationele hermeneutiek,TRANSLATED_CONCEPT_CANDIDATE,core_method,"direct morphological translation, not verified against Dutch-language scholarly usage",MODERATE - translation not confirmed as attested scholarly term,A_v=0 (P_v unmet: provenance/rationale for equivalence not yet demonstrated),REQUIRES_REVIEW,semantic equivalence not yet reviewed; must not enter a draft query block until reviewed
TV-C1-009,C1,de,computationelle Hermeneutik,TRANSLATED_CONCEPT_CANDIDATE,core_method,"direct morphological translation, not verified",MODERATE - same caveat as Dutch variant,A_v=0,REQUIRES_REVIEW,unverified translation candidate only
TV-C1-010,C1,en,AI as cultural technology,PREFERRED_TERM,core_concept,protocol Sec.3,LOW-MODERATE - 'cultural technology' also used in media studies broadly,A_v=1,DRAFT_CANDIDATE,
TV-C2-001,C2,en,computational history,PREFERRED_TERM,core_method,protocol Sec.3,LOW,A_v=1,DRAFT_CANDIDATE,
TV-C2-002,C2,en,digital history,PREFERRED_TERM,core_method,protocol Sec.3,"HIGH - very broad, includes purely descriptive digital-collections literature with no methodological content",A_v=1,DRAFT_CANDIDATE,must co-occur with a methodological-transparency or interpretation term to control breadth
