candidate,gate_id,gate_family,model_equation_id,parameter_space,estimand,applicability,mathematical_reason,mandatory_advisory_status,source_decision,implementation_status,notes
M0,GATE-001,invalid_estimate_rate,M0-EQ-1,Theta_M0={gamma;phi>0},invalid_estimate_rate,APPLICABLE,"defined for any optimizer-based estimator regardless of excitation content",MANDATORY,frozen original spec (unaffected),NOT_EXECUTED,
M0,GATE-002,false_positive_excitation_rate,M0-EQ-1,Theta_M0,false_positive_excitation_rate,NOT_APPLICABLE_TO_MODEL_DOMAIN,"q_g undefined on Theta_M0: no alpha/beta/n exists for M0",N/A,diagnostic audit Mathematical Domain ruling,NOT_APPLICABLE,rejected before execution per SS12 requirement
M0,GATE-003,absolute_relative_bias_excitation_params,M0-EQ-1,Theta_M0,alpha/beta bias,NOT_APPLICABLE_TO_MODEL_DOMAIN,"q_g undefined on Theta_M0",N/A,diagnostic audit,NOT_APPLICABLE,rejected before execution
M0,GATE-004,normalized_absolute_bias_baseline_param,M0-EQ-1,Theta_M0,gamma_0 bias,APPLICABLE,"baseline parameter exists in Theta_M0",MANDATORY,frozen original spec,NOT_EXECUTED,
M0,GATE-005,branching_ratio_absolute_bias,M0-EQ-1,Theta_M0,branching ratio bias,NOT_APPLICABLE_TO_MODEL_DOMAIN,"no branching ratio in Theta_M0",N/A,diagnostic audit,NOT_APPLICABLE,rejected before execution
M0,GATE-006,branching_ratio_relative_bias,M0-EQ-1,Theta_M0,branching ratio bias,NOT_APPLICABLE_TO_MODEL_DOMAIN,"no branching ratio in Theta_M0",N/A,diagnostic audit,NOT_APPLICABLE,rejected before execution
M0,GATE-007,ci_coverage_95pct,M0-EQ-1,"Theta_M0=(gamma;eta_phi)",interval coverage (full-Hessian),APPLICABLE,"defined on Theta_M0 for every estimated parameter",MANDATORY,PROPOSAL-01 (method amended: full Hessian required),NOT_EXECUTED,diagonal-only Hessian prohibited; oracle n=60 coverage 93.3% supports direction only
M0,GATE-036,false_negative_excitation_rate,M0-EQ-1,Theta_M0,excitation FN rate,NOT_APPLICABLE_TO_MODEL_DOMAIN,"no excitation-positive state exists for M0",N/A,GATE-036 correction (freeze commit 4b94cd6),NOT_APPLICABLE,corrected from PROTOCOL_NOT_COMPLETED
M0,GATE-037,convergence_rate,M0-EQ-1,Theta_M0,convergence rate,APPLICABLE,"defined for any optimizer",MANDATORY,frozen original spec,NOT_EXECUTED,
M0,GATE-038,boundary_solution_rate,M0-EQ-1,Theta_M0,boundary rate,APPLICABLE,"defined for any bounded-parameter optimizer",ADVISORY,PROPOSAL-06,NOT_COMPUTED,one of 17 advisory gates
