hypothesis_id,statement,epistemic_type,objects_explained,objects_not_explained,supporting_evidence,contradicting_evidence,missing_evidence,live_rivals,discriminating_observation,observation_available,status
H-A,Document D is corroborating documentary evidence for the Bayang component already represented by the coded row,AGENT_HYPOTHESIS,"D, CodedRow (partial)","Dl, ParentEpisodeCandidate","Document D's subject (12 Bayang regents' self-governance authorization) matches the coded row's '12 penghulu Bayang' actor component; same date (22 Dec 1687)",NONE,NONE,"H-E, H-G (compatible, not rivals)","Direct reading of Document D against the coded row's actor/title fields",YES,SUPPORTED_FOR_DOCUMENTARY_MAPPING
H-B,Document D evidences a distinct historical occurrence not adequately represented by the coded row,AGENT_HYPOTHESIS,NONE,"D, CodedRow","Document D's content is already represented in the coded row's summary (Bayang regents self-governance)",Document D's subject matter overlaps substantially with the coded row's existing summary,NONE,H-A,Direct reading of Document D against the coded row,YES,DISFAVORED_BY_LOCAL_EVIDENCE
H-C,The 'nr. D' reference functions only as a non-discriminating editorial cross-reference and is non-discriminating for event identity,AGENT_HYPOTHESIS,NONE,"D, GM","'Corpus III, nr. D' is a complete discrete readable treaty document, not a bare index/citation artifact",Document D narrates a specific dated act with named parties and content,NONE,"H-A, H-E",Direct retrieval and reading of Document D,YES,DISFAVORED_BY_LOCAL_EVIDENCE
H-D,The local mapping remains unresolved or misresolved,COMPUTED_DESCRIPTION,NONE,"D, Dl, GM, CodedRow","All required locator components (work, volume, item, printed page, digital page, local path) were resolved for both D and Dl",The mapping was fully resolved in this operation,NONE,(none -- superseded by resolution),Direct retrieval and reading of D and Dl with exact locators recorded,YES,NOT_SUPPORTED_FOR_DOCUMENTARY_MAPPING
H-E,"The coded row conflates two distinct same-day legal instruments, D and Dl, into one coded event. QUALIFICATION: supported only at the level of documentary representation -- this does not itself prove the coded event must be split into two historical events or two corpus rows.",AGENT_HYPOTHESIS,"D, Dl, CodedRow",ParentEpisodeCandidate,"Coded row's actor field names both Radja Itam (Dl's party) and 12 penghulu Bayang (D's parties) as one transaction; D's own party list excludes Radja Itam; Dl's party list is Radja Itam alone",NONE,"whether one-row representation is historically/analytically appropriate (a separate governance question, not a documentary one)","H-F, H-G (overlapping, not mutually exclusive)","Direct comparison of D's and Dl's party lists against the coded row's actor field",YES,SUPPORTED_FOR_DOCUMENTARY_MAPPING
H-F,"D and Dl are distinct instruments but legitimately grouped as one parent episode under an explicit, source-grounded episode rule",RESEARCHER_DECISION (pending),"D, Dl (potentially)",CodedRow (parent_episode_id currently NONE),"Same date (22 Dec 1687), same commissioner (Lobs), same place (Troessan) for both D and Dl",No explicit episode-assignment rule exists locally to evaluate this hypothesis against,"an explicit, source-grounded episode-assignment rule (not authored by this operation)","H-A, H-E, H-G","Existence of a researcher-authored episode-assignment rule",NO,"NOT_EVALUABLE / RETAIN_AS_OPEN | RESEARCHER_DECISION=DEFER_EPISODE_RULE"
H-G,The coded summary is a project-level simplification whose provenance and intended granularity remain unresolved,AGENT_HYPOTHESIS,CodedRow,"D, Dl (individually)","Row B7's own notes field already flags 'Corpus III, nr. D' as unverified at coding time (repository fact, quoted verbatim in the master report); provenance of the conflated actor claim is now traced to Stapel's editorial footnote, not an unexplained project error",NONE,"an explicit researcher decision on intended event granularity (split vs. keep-as-is vs. author an episode rule)","H-E, H-F","Comparison of row B7's notes field against the GM footnote and Documents D/Dl",PARTIAL (provenance resolved; granularity decision still absent),"PARTIALLY_SUPPORTED_FOR_DOCUMENTARY_MAPPING / RETAIN_AS_OPEN | RESEARCHER_DECISION=KEEP_CODED_ROW_FROZEN_WITH_DOCUMENTED_CAVEAT_PENDING_GRANULARITY_RULE"
PAIR-A-E,"(H-A, H-E) pairwise discrimination",COMPUTED_DESCRIPTION,,,"Local evidence (CD3 content + coded actor field) independently confirms each claim; compatible, non-rival",,,,,,D_ij=1
PAIR-A-G,"(H-A, H-G) pairwise discrimination",COMPUTED_DESCRIPTION,,,"A concerns content correspondence (resolved); G's provenance half resolved, granularity half identified as separately open",,,,,,D_ij=1
PAIR-E-G,"(H-E, H-G) pairwise discrimination",COMPUTED_DESCRIPTION,,,"E is the specific evidenced diagnosis; G's provenance now traced to the same underlying fact, granularity remains distinctly open",,,,,,D_ij=1
PAIR-A-F,"(H-A, H-F) pairwise discrimination",COMPUTED_DESCRIPTION,,,"F cannot be evaluated against anything -- no episode rule exists",,,,,,D_ij=0
PAIR-E-F,"(H-E, H-F) pairwise discrimination",COMPUTED_DESCRIPTION,,,"Same reason as PAIR-A-F",,,,,,D_ij=0
PAIR-F-G,"(H-F, H-G) pairwise discrimination",COMPUTED_DESCRIPTION,,,"Same reason as PAIR-A-F",,,,,,D_ij=0
