"hit_id","location","matched_text","category","change_required","notes"
"DEP-01","/etc/nginx/conf.d/silida.conf (production host, not in this repo)","location /westkust/ { ... }","NGINX_LOCATION","REQUIRES_MIGRATION","the actual route to be redirected -- not tracked in Git, lives on westkust-prod only"
"DEP-02","/etc/nginx/conf.d/silida.conf (production host, not in this repo)","location /atlas/ { ... }","NGINX_LOCATION","NO_CHANGE_REQUIRED","canonical target, remains as-is"
"DEP-03","nginx/nginx.conf (repo, inner voc_nginx)","(no /westkust/ or /atlas/ reference found)","NO_CHANGE_REQUIRED","NO_CHANGE_REQUIRED","inner nginx has no knowledge of either public prefix; prefix logic lives entirely at the host Nginx layer"
"DEP-04","docker-compose.yml","(no /westkust/ reference found)","NO_CHANGE_REQUIRED","NO_CHANGE_REQUIRED",""
"DEP-05","frontend/map_app/ (all views, urls, templates)","(no /westkust/ or silida.org/westkust reference found)","APPLICATION_ROUTE","NO_CHANGE_REQUIRED","Django itself has no route named /westkust/; all URLs are prefix-less (/, /linimasa/, /riset/pemodelan/, etc.) -- the prefix is applied externally by host Nginx proxy_redirect/sub_filter"
"DEP-06","frontend/map_app/templates/ (all templates)","(no <link rel=""canonical"">, no og:url, no sitemap/robots reference found)","HISTORICAL_DOCUMENTATION","REQUIRES_MIGRATION","not a westkust-specific finding -- canonicalization infrastructure does not exist yet anywhere in the app; adding it is a prerequisite for Phase 5 SEO work, not a migration of an existing value"
"DEP-07","project identifier 'westkust-routes' (repo name, package.json, README, etc.)","westkust-routes","REPOSITORY_OR_SERVICE_NAME","NO_CHANGE_REQUIRED","project/repo name, unrelated to the public URL prefix"
"DEP-08","SSH config, deployment docs referencing 'westkust-prod'","westkust-prod","REPOSITORY_OR_SERVICE_NAME","NO_CHANGE_REQUIRED","server hostname alias, unrelated to the public URL prefix"
"DEP-09","docs/security/PRODUCTION_RESEARCH_PAGE_SEC2*, SEC3*, SEC3A*, SEC3B* (test matrices and results)","/westkust/riset/pemodelan/, /westkust/linimasa/, etc. (29 files, historical test rows)","HISTORICAL_DOCUMENTATION","NO_CHANGE_REQUIRED","intentional test modeling of the real dual-prefix production topology -- confirmed accurate by ATLAS_ENVIRONMENT_AND_ROUTE_BOUNDARY_CORRECTION.md; not rewritten, retained as historical evidence of the pre-retirement state"
"DEP-10","unrelated ontology/thesis documents (e.g. SOURCE_PROVENANCE_AND_VERSION_CONTROL_AUDIT.md)","'/content/drive/MyDrive/naro/westkust/cd' (Google Drive path)","FILESYSTEM_PATH","NO_CHANGE_REQUIRED","a researcher's personal Google Drive folder path, coincidentally containing the word 'westkust'; entirely unrelated to any public URL"
"DEP-11","frontend/map_app/static/map_app/js/atlas.js","(no /westkust/ path reference -- static asset served under both prefixes via host Nginx sub_filter, not by the JS file itself)","STATIC_ASSET_REFERENCE","NO_CHANGE_REQUIRED","confirmed via live check: same file, same checksum, served successfully under both /atlas/static/... and /westkust/static/..."
