gate,value,basis
C_R1,1,"R1 terminal for all 5 authorized arms (D7/D8/D9-correct/D9-misspecified/D10); N_short_sequence_excluded=0 and N_nonfinite_excluded=0 at every design/lag; formula verified against statsmodels at all 4 frozen lags {1,2,5,10}; no pooling across replications"
C_R2,1,"R2 terminal for all 5 prespecified parent-arm cases (parent_rep=0); 2,495/2,495 requested bootstrap rows reached a terminal OK outcome; F_sim=F_refit=F_stat=0 for every arm; all 5 arms status=R2_TERMINAL_COMPLETE"
G_crossprocess,1,"targeted check (sentinel seed 999999999, D8/primary): event array, fitted mu/alpha/beta/eta, residual vector, D-statistic, and output hash byte-identical across two genuinely separate OS processes; abs_diff=0.0 on every numeric field against a prespecified 1e-9 tolerance"
C_provenance,1,"conditional on G_crossprocess=1 (confirmed) AND all active result hashes tracing exclusively to the approved post-fix pipeline: engine_hash=81857728b78095013779b4d61403f621, designs_hash=40ce5d8c8b4c8ff4cf496b3e98d9fc6b, seed_map_hash=1a668a7ac64422130a943ff25185f4cd identical across the R1 run, the R2 run, and the targeted verification"
C_D,1,"D2 and D3 deviations remain explicitly bounded (D2=EXPLORATORY_POSTEXECUTION_RESULT/H05_ELIGIBILITY=EXCLUDED; D3=IMPLEMENTATION_INTERNALLY_VALID + PRESPECIFICATION_COUNT_TARGET_DEVIATION); neither was silently relabeled or rerun"
C_H05,0,"H-05 semantic decomposition (HAWKES_BASELINE_V2A_H05_SEMANTIC_DECOMPOSITION.csv) finds the authoritative metric AMBIGUOUS_MULTIPLE_NONEQUIVALENT_CANDIDATES (RB/RMSE/coverage, three non-equivalent metrics with different Phase D verdicts) and finds aggregation rule, unit of analysis, and optimizer/CI-failure rule ABSENT; a preauthorization circularity is independently on record; H-05 therefore NOT mechanically evaluated"
G_causal,0,"preserved; V2-A/R1/R2 identify no intervention, counterfactual, confounding, observation, or identification component"
G_ontology,0,"preserved; none of M_event/M_report/M_episode/M_source/M_coding are established by this operation"
C_0,1,"no historical n=86 or n=54 fit; no V2-B execution; no Phase D rerun; no full D1-D10 recovery rerun; no production Hawkes artifact changed; confirmed by directory-scoped diff/hash checks this operation"
G_V2A_complete,0,"1[C_R1=C_R2=C_provenance=C_D=C_H05=1 AND G_causal=0 AND G_ontology=0 AND C_0=1] = 0 because C_H05=0 (H-05 not mechanically evaluable) -- this is the sole blocking term; every other gate is satisfied"
