event_id,event_date,event_date_precision,event_type,parent_episode_id,primary_source_collection,source_count_unique,provenance_status,deduplication_review_required,researcher_review_required
EVT-1600-CD1-47-72aa,Desember 1600,UNRESOLVED_BLANK,perjanjian,NONE,CD,1,CD_PRIMARY,not_flagged,false
EVT-1607-CD1-74-8bac,17 Januari 1607,UNRESOLVED_BLANK,perjanjian,NONE,CD,1,CD_PRIMARY,not_flagged,false
EVT-1625-1624_1629-212-a59d,29 September 1625,UNRESOLVED_BLANK,diplomasi,EP-1625-VOC-JURISDICTION-CLAIM-AND-WITHDRAWAL,unverified,1,PROVENANCE_AMBIGUOUS,not_flagged,true
EVT-1625-1624_1629-213-6b13,29 September 1625,UNRESOLVED_BLANK,administratif,EP-1625-VOC-JURISDICTION-CLAIM-AND-WITHDRAWAL,unverified,1,PROVENANCE_AMBIGUOUS,not_flagged,true
EVT-1625-1624_1629-223-5efb,Okt-Des 1625 (2x kejadian),UNRESOLVED_BLANK,konflik,NONE,unverified,1,PROVENANCE_AMBIGUOUS,not_flagged,true
EVT-1632-1631_1634-140-9368,10 Desember 1632,UNRESOLVED_BLANK,administratif,NONE,unverified,1,PROVENANCE_AMBIGUOUS,not_flagged,true
EVT-1636-1636-264-ce0f,24 Sep 1636 (lapor 12 Okt 1636),UNRESOLVED_BLANK,administratif,NONE,unverified,1,PROVENANCE_AMBIGUOUS,not_flagged,true
EVT-1637-1637-99-f729,10-12 Maret 1637,UNRESOLVED_BLANK,suksesi,NONE,unverified,1,PROVENANCE_AMBIGUOUS,not_flagged,true
EVT-1641-CD1-371-c3a4,15 Februari 1641,UNRESOLVED_BLANK,suksesi,EP-1641-RATU-ATJEH-SUCCESSION,CD,1,CD_PRIMARY,not_flagged,true
EVT-1641-CD1-372-8322,Februari-Maret 1641,UNRESOLVED_BLANK,administratif,EP-1641-RATU-ATJEH-SUCCESSION,CD,1,CD_PRIMARY,not_flagged,false
EVT-1644-1643_1644-61-3fbd,21-23 Maret 1644,UNRESOLVED_BLANK,suksesi,NONE,unverified,1,PROVENANCE_AMBIGUOUS,not_flagged,true
EVT-1647-1647_1648-22-38cc,"Des 1647 (surat, tanggal persis tak disebut)",UNRESOLVED_BLANK,diplomasi,NONE,unverified,1,PROVENANCE_AMBIGUOUS,not_flagged,true
EVT-1648-1647_1648-94-362c,sebelum Mei 1648,UNRESOLVED_BLANK,administratif,NONE,unverified,1,PROVENANCE_AMBIGUOUS,not_flagged,true
EVT-1649-CD1-555-4193,6 & 9 November 1649,UNRESOLVED_BLANK,perjanjian,EP-1649-1650-VOC-ATJEH-MONOPOLY-TREATIES,CD,1,CD_PRIMARY,not_flagged,false
EVT-1650-CD1-564-c4b0,15 Agustus 1650,UNRESOLVED_BLANK,perjanjian,EP-1649-1650-VOC-ATJEH-MONOPOLY-TREATIES,CD,1,CD_PRIMARY,not_flagged,false
EVT-1655-CD2-94-d138,7 Desember 1655,UNRESOLVED_BLANK,perjanjian,NONE,CD,1,CD_PRIMARY,not_flagged,false
EVT-1656-1656_1657-101-3243,15 Des 1656 (lapor 28 Jan 1657),UNRESOLVED_BLANK,konflik,EP-1656-1657-VOC-ATJEH-WAR-SILLIDA,unverified,1,PROVENANCE_AMBIGUOUS,not_flagged,true
EVT-1657-1656_1657-101-8536,28 Jan 1657,UNRESOLVED_BLANK,konflik,EP-1656-1657-VOC-ATJEH-WAR-SILLIDA,unverified,1,PROVENANCE_AMBIGUOUS,not_flagged,true
EVT-1657-1656_1657-131-fa7d,6 Feb 1657,UNRESOLVED_BLANK,administratif,EP-1656-1657-VOC-ATJEH-WAR-SILLIDA,unverified,1,PROVENANCE_AMBIGUOUS,not_flagged,true
EVT-1657-1656_1657-171-ae4f,Mei 1657,UNRESOLVED_BLANK,konflik,EP-1656-1657-VOC-ATJEH-WAR-SILLIDA,unverified,1,PROVENANCE_AMBIGUOUS,not_flagged,true
EVT-1657-1656_1657-196-c73e,pertengahan 1657,month_or_range,administratif,EP-1656-1657-VOC-ATJEH-WAR-SILLIDA,unverified,1,PROVENANCE_AMBIGUOUS,not_flagged,true
EVT-1659-1659-65-19f3,ult. Jan-Mar 1659,range,konflik,EP-1656-1657-VOC-ATJEH-WAR-SILLIDA,unverified,1,PROVENANCE_AMBIGUOUS,not_flagged,true
EVT-1659-1659-111-baa6,26 Mei 1659,exact_day,perjanjian,EP-1659-VOC-ATJEH-PEACE,unverified,1,PROVENANCE_AMBIGUOUS,not_flagged,true
EVT-1659-CD2-168-27ad,20 Juni 1659,exact_day,perjanjian,EP-1659-VOC-ATJEH-PEACE,CD,1,CD_PRIMARY,not_flagged,false
EVT-1660-1661-570-cdde,14 Okt 1660 (lapor 27 Jan 1661),exact_day,diplomasi,NONE,Daghregister,1,CD_INDEPENDENT,not_flagged,false
EVT-1660-CD2-179-8ceb,8 Agustus 1660,exact_day,perjanjian,NONE,CD,1,CD_PRIMARY,not_flagged,false
EVT-1660-CD2-184-a8b3,16 Agustus 1660,exact_day,administratif,EP-1660-CD2-INDRAPOURA-JURISDICTION-AND-GIFTS,CD,1,CD_PRIMARY,not_flagged,false
EVT-1660-CD2-182-95cf,16 Agustus 1660,exact_day,diplomasi,EP-1660-CD2-INDRAPOURA-JURISDICTION-AND-GIFTS,CD,1,CD_PRIMARY,not_flagged,false
EVT-1660-buku_padang_1718-237-78b0,1660,year,administratif,NONE,secondary_academic,1,PROVENANCE_AMBIGUOUS,not_flagged,true
EVT-1661-1661-593-b897,~1657-1661 (lapor Des 1661),range,konflik,NONE,Daghregister,1,CD_INDEPENDENT,not_flagged,false
EVT-1661-1661-594-06f1,Des 1661,month,konflik,NONE,Daghregister,1,CD_INDEPENDENT,not_flagged,false
EVT-1662-1663-90-52b5,Jun-Jul 1662 (lapor 27 Mar 1663),range,konflik,EP-1662-1663-SONGYPAGOUERS-SECESSION,Daghregister,1,CD_INDEPENDENT,not_flagged,false
EVT-1662-1663-92-3145,4 November 1662 (dilaporkan Batavia 27 Maret 1663),exact_day,konflik,EP-1662-1663-SONGYPAGOUERS-SECESSION,Daghregister,1,CD_INDEPENDENT,not_flagged,false
EVT-1663-1663-89-5869,1662-1663 (lapor 27 Mar 1663),range,perjanjian,EP-1662-1663-SONGYPAGOUERS-SECESSION,Daghregister,1,CD_INDEPENDENT,not_flagged,false
EVT-1663-1663-93-1af4,27-28 Maret 1663,range,konflik,EP-1662-1663-SONGYPAGOUERS-SECESSION,Daghregister,1,CD_INDEPENDENT,not_flagged,false
EVT-1663-CD2-268-8198,27 Juli 1663,exact_day,perjanjian,EP-1662-1663-SONGYPAGOUERS-SECESSION,CD,1,CD_PRIMARY,not_flagged,false
