row_type,action_id_or_field,description_or_value,reversibility,source_dependence,ontology_dependence,expected_discriminating_value,colonial_category_risk,coding_contamination_risk,cost_class,prerequisites,status
PORTFOLIO_ACTION,ACT-01,"Retrieve and read the 'Corpus III, nr. D' citation target (DEDUP-06 dossier)",REVERSIBLE (read-only retrieval),HIGH (requires identifying and accessing an external archival/editorial series),LOW,"MAY_ENABLE_ADJUDICATION (CORRECTED from 'could resolve the sole current FAIL gate' -- retrieval alone gives at most R=1 in G_DEDUP06=1[R=1 AND Q=1 AND C=1 AND A=1]; does not by itself imply Q, C, or A, and does not resolve DEDUP-06, mutate AS86, or promote R-O4)",LOW,LOW,MODERATE (archival/library access),lawful access route identified per HAWKES_V2_DEDUP06_RETRIEVAL_DOSSIER.md Section 6,REQUEST_SOURCE_ACCESS
PORTFOLIO_ACTION,ACT-02,Re-verify existing dedup-adjudication artifact's coverage scope (report-level vs episode-level),REVERSIBLE (read-only re-check of an in-repository file),LOW (in-repository),MODERATE (bears on R-O3/MEC-06/07),MODERATE,LOW,LOW,LOW (no new external access),none beyond reading the existing artifact,DO_NOW_READ_ONLY
PORTFOLIO_ACTION,ACT-03,Design and researcher-review a date interval-bound (L_i/U_i) parsing rule (WP-E5),REVERSIBLE (design artifact only; no corpus mutation),LOW (design work),LOW,MODERATE (unblocks R-O5 partially),LOW,LOW,LOW,none,DESIGN_ONLY
PORTFOLIO_ACTION,ACT-04,Apply the parsing rule from ACT-03 against actual source dates to validate kernel-shape sensitivity (MEC-08),IRREVERSIBLE IF MISAPPLIED (touches interpretation of actual dates; still no corpus mutation if kept as a parallel analysis),HIGH (source rereading required),MODERATE,MODERATE,LOW,MODERATE (risk of silent point-substitution if rushed),MODERATE,ACT-03 complete and researcher-accepted,REQUIRES_RESEARCHER_REVIEW
PORTFOLIO_ACTION,ACT-05,Targeted source-text extraction for R-O7 colonial-category mapping (5 event_type categories),IRREVERSIBLE IF MISAPPLIED (naming colonial categories carries interpretive weight),HIGH (source-text access to literal terms),LOW,HIGH (unblocks G_sourcecrit and several MEC discrimination items),HIGH (this is precisely the colonial-category-naturalization risk the governing instruction flags),LOW,MODERATE-HIGH,"CR-8 protocol now complete (master report Section 14.4): five classes (SNT/SRC/PNL/HI/UTC), assignment+exclusion rules, seven-item ambiguity policy, fifteen provenance fields all defined. G_ACT05_design=1[C=R=U=P=1, A=0]=0 -- researcher acceptance (A) still absent.",NOT_AUTHORIZED (G_ACT05_design=0; five-way category protocol per CR-8 not yet designed/accepted)
PORTFOLIO_ACTION,ACT-06,Audit Hawkes-relevant coding fields for contamination analogous to the pelabuhan_disebut precedent (MEC-12),REVERSIBLE (read-only audit of existing schema/data),LOW (in-repository),LOW,MODERATE,LOW,HIGH (this action IS the coding-contamination check itself),LOW,none,DO_NOW_READ_ONLY
PORTFOLIO_ACTION,ACT-07,Search named institutions (Nationaal Archief; British Library IOR) for an external non-circular exposure ledger (R-O9; 4 of 6 candidate types),REVERSIBLE (read-only search),HIGH (external institutional access/search),LOW,MODERATE-HIGH (could close R-O9's OPEN_CANDIDATE_DOMAIN),LOW,LOW,MODERATE-HIGH,none identified yet -- open-ended search,REQUEST_SOURCE_ACCESS
PORTFOLIO_ACTION,ACT-08,Construct the dominion_status x event-corpus join and check for O_z circularity (NC-04 prerequisite; MEC-13),"REVERSIBLE (schema join, read-only relative to both source schemas)",LOW (in-repository join),MODERATE,LOW-MODERATE,LOW,MODERATE (circularity risk explicitly flagged),LOW-MODERATE,none,DESIGN_ONLY
PORTFOLIO_ACTION,ACT-09,Document GM/CD volume-internal editorial compilation boundaries per source family (NC-03 prerequisite; MEC-14),HIGH DEPENDENCE ON SOURCE ACCESS,HIGH,LOW,MODERATE,LOW,LOW,MODERATE,none,REQUEST_SOURCE_ACCESS
PORTFOLIO_ACTION,ACT-10,Obtain researcher acceptance of the WP-E10 prospective proposition-segmentation protocol,REVERSIBLE (governance decision only),LOW,LOW,"LOW (process gate only, not evidentiary)",LOW,LOW,LOW,protocol document complete (this operation's output 11),REQUIRES_RESEARCHER_REVIEW
