file,column,description,required,notes
00_source_passages.csv,source_passage_id,,,Schema description to be finalized during review.
00_source_passages.csv,docx_file,,,Schema description to be finalized during review.
00_source_passages.csv,paragraph_index,,,Schema description to be finalized during review.
00_source_passages.csv,style,,,Schema description to be finalized during review.
00_source_passages.csv,text,,,Schema description to be finalized during review.
00_source_passages.csv,review_status,,,Schema description to be finalized during review.
00_source_passages.csv,image_verified,,,Schema description to be finalized during review.
01_documents.csv,document_id,,,Schema description to be finalized during review.
01_documents.csv,title,,,Schema description to be finalized during review.
01_documents.csv,date_original,,,Schema description to be finalized during review.
01_documents.csv,date_iso,,,Schema description to be finalized during review.
01_documents.csv,archive_repository,,,Schema description to be finalized during review.
01_documents.csv,archive_access,,,Schema description to be finalized during review.
01_documents.csv,inventory_number,,,Schema description to be finalized during review.
01_documents.csv,source_file,,,Schema description to be finalized during review.
01_documents.csv,document_type,,,Schema description to be finalized during review.
01_documents.csv,status,,,Schema description to be finalized during review.
02_persons.csv,person_id,,,Schema description to be finalized during review.
02_persons.csv,name_canonical,,,Schema description to be finalized during review.
02_persons.csv,entity_level,,,Schema description to be finalized during review.
02_persons.csv,source_status,,,Schema description to be finalized during review.
02_persons.csv,identity_confidence,,,Schema description to be finalized during review.
02_persons.csv,notes,,,Schema description to be finalized during review.
03_roles.csv,role_id,,,Schema description to be finalized during review.
03_roles.csv,role_original,,,Schema description to be finalized during review.
03_roles.csv,role_description_id,,,Schema description to be finalized during review.
03_roles.csv,role_family,,,Schema description to be finalized during review.
04_person_roles.csv,person_role_id,,,Schema description to be finalized during review.
04_person_roles.csv,person_id,,,Schema description to be finalized during review.
04_person_roles.csv,role_id,,,Schema description to be finalized during review.
04_person_roles.csv,role_original,,,Schema description to be finalized during review.
04_person_roles.csv,valid_from,,,Schema description to be finalized during review.
04_person_roles.csv,valid_to,,,Schema description to be finalized during review.
04_person_roles.csv,evidence_status,,,Schema description to be finalized during review.
04_person_roles.csv,source_document_id,,,Schema description to be finalized during review.
04_person_roles.csv,confidence,,,Schema description to be finalized during review.
05_locations.csv,location_id,,,Schema description to be finalized during review.
05_locations.csv,name_original,,,Schema description to be finalized during review.
05_locations.csv,name_normalized_id,,,Schema description to be finalized during review.
05_locations.csv,location_type,,,Schema description to be finalized during review.
05_locations.csv,parent_location_id,,,Schema description to be finalized during review.
05_locations.csv,evidence_status,,,Schema description to be finalized during review.
06_human_groups.csv,group_id,,,Schema description to be finalized during review.
06_human_groups.csv,source_category_original,,,Schema description to be finalized during review.
06_human_groups.csv,count,,,Schema description to be finalized during review.
