"failure_uid","validation_case","test_id","original_failure_type","original_evidence_summary","ontology_component","historical_problem","why_current_model_fails","workaround_rejected","supporting_source_locator","cross_case_cluster_id","recurrence_count","proposed_disposition","researcher_review_required","notes"
"FAIL-01","V1_NATAL","T-06","(pre-categorization ontology gap, logged before the 9-category failure-type scheme was frozen in V2)","VOC's own Padang officials were 'huiverig' (hesitant) and deferred the March 1760 acceptance decision to Batavia","PowerRelation entity model / institutional-state representation","An institution (VOC) exhibits internal uncertainty/hesitation about a claim it has already nominally received (the March 1760 Natal cession), with no external second party to the hesitation itself","No Draft V2 relation type (MVP_CORE / EXTENDED_RESEARCH / CASE_SPECIFIC / REQUIRES_MORE_EVIDENCE) represents an institution's internal uncertainty about its own already-received claim -- a directed PowerRelation always requires two distinct parties, but this is a one-institution internal state","Did not invent EXPRESSES_HESITATION_ABOUT; did not repurpose an existing relation type's meaning; did not extend claim_or_effective_control to carry institutional-state information","cd_resistance_signal_candidates.csv row 21; NATAL_1760_ONTOLOGY_STRESS_TEST.csv T-06","FCL-03","2 (Natal T-06, Koto Tangah T-01 -- related but not identical, see FCL-03 notes)","STRONGLY_RECOMMENDED (see FCL-03)","True","Workaround used in the frozen Natal V1 artifact: a self-referential (subject=object=VOC) PowerRelation record with a non-standard, explicitly-excluded-from-relation-type-validation relation_type value (VOC_INSTITUTIONAL_HESITATION_ANNOTATION). This is disclosed in the artifact's own vocabulary_notes as a workaround, not a Draft V2-native solution."
"FAIL-02","V2_KOTO_TANGAH","T-01","RELATION_TYPE_FAILURE","VOC establishes an office at Koto Tangah in 1660; no dispute, claim, or treaty text is quoted","PowerRelation entity model / institutional-presence representation","A bare institutional-presence-establishment fact (an office is opened, with no accompanying claim, dispute, or treaty) has no directed-relation representation that does not overclaim","CLAIMS_JURISDICTION_OVER would overclaim a formal jurisdictional claim the source does not state; no Draft V2 MVP_CORE relation_type cleanly represents mere institutional presence establishment","Did not force CLAIMS_JURISDICTION_OVER or any other relation type onto this fact; did not invent a new relation type","buku-padang-1718 p.237 (EVT-1660-buku-padang-1718-237-r30); KOTO_TANGAH_V2_ONTOLOGY_STRESS_TEST.csv T-01","FCL-03","2 (Koto Tangah T-01, Natal T-06 -- related but not identical, see FCL-03 notes)","STRONGLY_RECOMMENDED (see FCL-03)","True","Workaround used: represented as OBS_1660_OFFICE_PRESENCE (an EffectiveControlObservation with claim_or_effective_control=CLAIM), a legitimate Draft V2 entity but one that does not fully capture that even a CLAIM may overstate what a bare office-opening fact establishes."
"FAIL-03","V2_KOTO_TANGAH","T-06","ENTITY_MODEL_FAILURE","Vogel's own term is 'Refort Cotatenga' (suggesting a fortified point); buku-padang-1718 uses plain 'Koto Tangah' (suggesting the wider nagari) without ever clearly distinguishing the two","Location entity subtype model (Port/Fort/Mine attribute)","The frozen sources do not clearly separate a fortified point from the wider nagari territory at Koto Tangah specifically","Draft V2's own Location subtype attribute (Port/Fort/Mine) could represent a fort separately IF the source supported it, but Koto Tangah's own sources do not disambiguate clearly enough","Did not invent a separate LOCATION_FORT_KOTO_TANGAH entity not clearly supported by the source's own usage; did not silently pick one reading (fort-only or territory-only) and discard the other","Vogel Anhang p.715; buku-padang-1718 pp.237-238; KOTO_TANGAH_V2_ONTOLOGY_STRESS_TEST.csv T-06","FCL-04","1 (Koto Tangah T-06 only -- Sillida V4 independently tested the SAME question with 6 distinct Location entities and PASSED, see FCL-04 notes)","REQUIRES_MORE_EVIDENCE (see FCL-04, downgraded from initial STRONGLY_RECOMMENDED grouping)","True","Modeled as ONE location entity (LOCATION_KOTO_TANGAH) rather than fabricating a fort-vs-territory split. Sillida V4's own success with 6 separately-modeled Location entities (including a mine distinct from the wider territory) using the SAME existing Draft V2 Location model suggests this may be a source-specific evidentiary gap for Koto Tangah, not a general ontology model gap."
"FAIL-04","V2_KOTO_TANGAH","T-14","ACTOR_IDENTITY_FAILURE","Population mentions in 1660, 1665, 1670, 1671, 1705, 1712, and 1755 use varying, mostly-collective, unnamed phrasing with no individually-named leader persisting across a 95-year span","Actor Identity Rules (Draft V2 section 4) / continuity modeling","A single research-construct actor bridges multiple source mentions of an unnamed or collectively-named population at the same location across a 95-year span, and its own continuity across that span is a researcher judgment call, not a source-confirmed fact","Draft V2's own Identity Rules (section 4) do not define a continuity_status field or a distinct entity subtype for a 'bridging' actor of uncertain persistence","Did not assert this continuity as a source-confirmed fact; did not omit the disclosure fields to make the actor model look cleaner","all CORE_I10 rows mentioning an unnamed Koto Tangah population; KOTO_TANGAH_V2_ONTOLOGY_STRESS_TEST.csv T-14","FCL-01","2 (Koto Tangah T-14, Tiku T-12)","CROSS_CASE_REQUIRED (see FCL-01)","True","Workaround used: mandate_status/continuity_status/faction_status fields added as descriptive bookkeeping extensions, NOT part of Draft V2's own controlled schema -- reused consistently across V2/V3/V4 for comparability, but disclosed in every artifact's own vocabulary_notes as an extension, not a Draft V2-native field."
"FAIL-05","V3_TIKU","T-04","RELATION_TYPE_FAILURE","The Aceh queen personally reconfirms a toll EXEMPTION for one VOC ship trading at Tiku (among 4 named ports) in 1641","PowerRelation type vocabulary (commercial/fiscal relations)","A voluntary EXEMPTION from an existing toll obligation cannot be represented without either inventing a new relation type or misusing COLLECTS_TOLL_FROM to mean its own semantic opposite","GRANTS_TRADE_ACCESS_TO is not in Draft V2's frozen MVP_CORE relation set; COLLECTS_TOLL_FROM's own direction means collection, not exemption","Did not invent GRANTS_TRADE_ACCESS_TO; did not use COLLECTS_TOLL_FROM to represent an exemption (its own semantic opposite)","linimasa_events.csv row 11 (EVT-1641-1641-r11); TIKU_V3_ONTOLOGY_STRESS_TEST.csv T-04","FCL-02","2 (Tiku T-04, Sillida T-06 -- Sillida T-04 evaluated and excluded, see FCL-02 notes)","CROSS_CASE_REQUIRED (see FCL-02)","True","Workaround used: only the standing jurisdictional claim the exemption presupposes (CLAIMS_JURISDICTION_OVER) is represented; the exemption act itself is a disclosed representational gap, not modeled at all."
"FAIL-06","V3_TIKU","T-12","ACTOR_IDENTITY_FAILURE","'Tiku' is named across at least 8 dated points spanning roughly a century, with different, mostly-collective or individually-varying actors at each point","Actor Identity Rules (Draft V2 section 4) / explicit non-identity modeling","Two temporally-separated, surface-similar local collectives (the 1662 pongelous and the 1684 regents/inhabitants) are DELIBERATELY not merged, but that deliberate non-merging decision itself has no structured field to record it as anything other than free-text notes","Draft V2's Identity Rules provide no field to explicitly mark that two actors are a researcher judgment call NOT to merge, as distinct from simply not having tested the question at all","Did not invent a single persisting Tiku political actor across 115 years; did not merge the 1662 and 1684 collectives despite surface similarity","EVT-1662-1663-90-r33; EVT-1684-CD3-366-r70; TIKU_V3_ONTOLOGY_STRESS_TEST.csv T-12","FCL-01","2 (Tiku T-12, Koto Tangah T-14)","CROSS_CASE_REQUIRED (see FCL-01)","True","This is the SAME underlying gap as Koto Tangah T-14, manifesting in the opposite direction: Koto Tangah attempted a continuity bridge and needed to flag its own uncertainty; Tiku deliberately built NO bridge and still has no field to record that deliberate non-bridging decision structurally."
"FAIL-07","V3_TIKU","T-16","ANNOTATION_MODEL_FAILURE","Soureradja's 1662 secession is explicitly self-narrated as a rejection of Aceh's own authority, not of VOC (the destination of the alignment switch)","resistance_candidate annotation (Draft V2 section 3)","A resistance act's target actor is not always the same as the directed relation's own object -- here the relation's object is VOC (the alignment destination) but the resistance target is Aceh","Draft V2's resistance_candidate annotation (KEEP_AS_ANNOTATION, section 3) has no structured target-actor field","Did not silently attach the resistance value without disambiguation; did not add an undocumented 'resistance_target_actor_id' field to Draft V2's schema","EVT-1662-1663-90-r33; TIKU_V3_ONTOLOGY_STRESS_TEST.csv T-16","FCL-05","1 (Tiku T-16 only -- compare against all PARTIALLY_SUPPORTED resistance rows project-wide, see FCL-05)","STRONGLY_RECOMMENDED (see FCL-05)","True","Workaround used: the resistance target was disambiguated in the relation's own free-text notes field rather than a structured field."
"FAIL-08","V4_SILLIDA","T-04","RELATION_TYPE_FAILURE","Armed conflict between Bayang and Sillida over the Soengai Kepahian gold vein (1678), resolved by a VOC-imposed peace treaty and 1000-rijksdaalder fine, VOC's own share (600) exceeding Sillida's own (200)","PowerRelation type vocabulary (third-party arbitration / dispute settlement)","A third-party arbitration outcome, where VOC imposes and collects the largest share of a punitive fine in a dispute it did not originate, has no directed-relation representation","No relation type captures third-party arbitration/fine outcomes; stretching COLLECTS_TOLL_FROM to represent a one-time fine would misrepresent a non-recurring punitive payment as an ongoing toll","Did not invent a relation type for 'imposes and collects a punitive fine as third-party arbitrator'; did not stretch COLLECTS_TOLL_FROM to represent a one-time fine","CD3 p.188 (row 56); SILLIDA_V4_ONTOLOGY_STRESS_TEST.csv T-04","FCL-07","1 (Sillida T-04 only -- initially considered for FCL-02 but reclassified, see FCL-02/FCL-07 notes)","STRONGLY_RECOMMENDED (see FCL-07)","True","Workaround used: the underlying resource dispute is represented via CONTESTS_RESOURCE_WITH; VOC's own adjudicating/fine-collecting role and its disproportionate share are recorded only in relation notes, with no relation of their own."
"FAIL-09","V4_SILLIDA","T-06","RELATION_TYPE_FAILURE","Sillida's (and jointly Padang's) regents relinquish a long-held hereditary 'salimoet' toll right they had enjoyed from VOC in 1698, tied to a renegotiated pepper price","PowerRelation type vocabulary (commercial/fiscal relations)","A voluntary RELINQUISHMENT of a previously-held right cannot be represented without either inventing a new relation type or reversing COLLECTS_TOLL_FROM's own direction to mean its semantic opposite","No Draft V2 relation type exists for voluntarily surrendering a previously-held right, only for holding or claiming one","Did not reverse COLLECTS_TOLL_FROM's own direction to mean 'relinquishes'; did not invent a RELINQUISHES_RIGHT_TO relation type","CD4 p.146 (row 87); SILLIDA_V4_ONTOLOGY_STRESS_TEST.csv T-06","FCL-02","2 (Sillida T-06, Tiku T-04)","CROSS_CASE_REQUIRED (see FCL-02)","True","Structurally identical gap to Tiku T-04 (toll exemption): both are cases where Draft V2 represents rights HELD or CLAIMED but never rights RELEASED or EXEMPTED. The standing right itself (COLLECTS_TOLL_FROM, regents as beneficiary) is represented; the relinquishment act itself is the disclosed gap."
"FAIL-10","V4_SILLIDA","T-10","ANNOTATION_MODEL_FAILURE","A company of enslaved persons from the Sillida mine is deployed as an armed auxiliary in two 1687 operations (the Radja doa Selas capture and the Batoe Bannaw expedition), per Vogel (1690)","PowerRelation model + annotation model (command relationship over coerced labor)","A command relationship over coerced/enslaved military labor has no representable directed relationship in Draft V2 -- neither the relation model nor the annotation model provides a way to represent this without either fabricating consent or fabricating a forbidden new relation type","No relation type or structured annotation exists for a command relationship over coerced labor that is neither a fabricated new relation type (ENSLAVES/COMMANDS_SLAVE_COMPANY, forbidden) nor a mischaracterization via an existing one (ALLY_OF/VOLUNTARILY_SUPPORTS/USES_MILITARY_FORCE_AGAINST, all of which would misstate either the company's own coerced status or the true nature of VOC's command)","Did not create ENSLAVES, COMMANDS_SLAVE_COMPANY, ALLY_OF, or VOLUNTARILY_SUPPORTS (all forbidden); did not force the company into an existing relation type that would misstate the relationship's own nature","Vogel (1690), Teil II, pp.467, 477 (rows 118, 126); SILLIDA_V4_ONTOLOGY_STRESS_TEST.csv T-10","FCL-06","1 (Sillida T-10 only -- the same source material (Batang Capas rows 118/126) is already incorporated into this artifact, so no independently untested case currently exists)","STRONGLY_RECOMMENDED (see FCL-06 -- flagged for elevated researcher priority despite single-case count, given severity)","True","Workaround used: represented ONLY as a standalone observation (OBS_CONSTRAINED_AGENCY_ARMED_ENSLAVED_COMPANY), never as a relation -- the company never appears as subject or object of any relation anywhere in the artifact. This is the single most severe finding across all four validation cases: it concerns the historical representation of coerced, enslaved persons, and Draft V2 currently offers no directed-relationship model for their command relationship at all."
