event_id,source_id,source_family,repository_or_publication,stable_locator,page_folio_or_section,document_date,event_date,date_relation,quotation_or_extraction_locator,coding_provenance,parent_episode,ambiguity_type,resolution_status,requires_folio_check,notes
EVT-1625-1624_1629-212-a59d,1624-1629:p212(buku 199),"unverified (page ref format matches a GM-era volume-year range, e.g. '1624-1629', but collection identity not confirmed)",not confirmed this operation,1624-1629:p212(buku 199),p212(buku 199),29 September 1625,29 September 1625,unresolved,not available this operation,"Phase B batch, primary_source_collection recorded as literal 'unverified'",EP-1625-VOC-JURISDICTION-CLAIM-AND-WITHDRAWAL,OTHER_EXPLICIT,PROVENANCE_NOT_RESOLVED,true,"Source-family/collection identity itself was never confirmed in Phase B, distinct from a missing-locator problem -- the page/folio number exists but which archival series it belongs to is not established. Not invented or guessed this operation."
EVT-1625-1624_1629-213-6b13,1624-1629:p213(buku 200),"unverified (page ref format matches a GM-era volume-year range, e.g. '1624-1629', but collection identity not confirmed)",not confirmed this operation,1624-1629:p213(buku 200),p213(buku 200),29 September 1625,29 September 1625,unresolved,not available this operation,"Phase B batch, primary_source_collection recorded as literal 'unverified'",EP-1625-VOC-JURISDICTION-CLAIM-AND-WITHDRAWAL,OTHER_EXPLICIT,PROVENANCE_NOT_RESOLVED,true,"Source-family/collection identity itself was never confirmed in Phase B, distinct from a missing-locator problem -- the page/folio number exists but which archival series it belongs to is not established. Not invented or guessed this operation."
EVT-1625-1624_1629-223-5efb,1624-1629:p223(buku 210),"unverified (page ref format matches a GM-era volume-year range, e.g. '1624-1629', but collection identity not confirmed)",not confirmed this operation,1624-1629:p223(buku 210),p223(buku 210),Okt-Des 1625 (2x kejadian),Okt-Des 1625 (2x kejadian),unresolved,not available this operation,"Phase B batch, primary_source_collection recorded as literal 'unverified'",NONE,OTHER_EXPLICIT,PROVENANCE_NOT_RESOLVED,true,"Source-family/collection identity itself was never confirmed in Phase B, distinct from a missing-locator problem -- the page/folio number exists but which archival series it belongs to is not established. Not invented or guessed this operation."
EVT-1632-1631_1634-140-9368,1631-1634:p140(buku 129),"unverified (page ref format matches a GM-era volume-year range, e.g. '1624-1629', but collection identity not confirmed)",not confirmed this operation,1631-1634:p140(buku 129),p140(buku 129),10 Desember 1632,10 Desember 1632,unresolved,not available this operation,"Phase B batch, primary_source_collection recorded as literal 'unverified'",NONE,OTHER_EXPLICIT,PROVENANCE_NOT_RESOLVED,true,"Source-family/collection identity itself was never confirmed in Phase B, distinct from a missing-locator problem -- the page/folio number exists but which archival series it belongs to is not established. Not invented or guessed this operation."
EVT-1636-1636-264-ce0f,1636:p264(buku 251),"unverified (page ref format matches a GM-era volume-year range, e.g. '1624-1629', but collection identity not confirmed)",not confirmed this operation,1636:p264(buku 251),p264(buku 251),24 Sep 1636 (lapor 12 Okt 1636),24 Sep 1636 (lapor 12 Okt 1636),unresolved,not available this operation,"Phase B batch, primary_source_collection recorded as literal 'unverified'",NONE,OTHER_EXPLICIT,PROVENANCE_NOT_RESOLVED,true,"Source-family/collection identity itself was never confirmed in Phase B, distinct from a missing-locator problem -- the page/folio number exists but which archival series it belongs to is not established. Not invented or guessed this operation."
EVT-1637-1637-99-f729,1637:p99(buku 86),"unverified (page ref format matches a GM-era volume-year range, e.g. '1624-1629', but collection identity not confirmed)",not confirmed this operation,1637:p99(buku 86),p99(buku 86),10-12 Maret 1637,10-12 Maret 1637,unresolved,not available this operation,"Phase B batch, primary_source_collection recorded as literal 'unverified'",NONE,OTHER_EXPLICIT,PROVENANCE_NOT_RESOLVED,true,"Source-family/collection identity itself was never confirmed in Phase B, distinct from a missing-locator problem -- the page/folio number exists but which archival series it belongs to is not established. Not invented or guessed this operation."
EVT-1644-1643_1644-61-3fbd,1643-1644:p61(buku 44),"unverified (page ref format matches a GM-era volume-year range, e.g. '1624-1629', but collection identity not confirmed)",not confirmed this operation,1643-1644:p61(buku 44),p61(buku 44),21-23 Maret 1644,21-23 Maret 1644,unresolved,not available this operation,"Phase B batch, primary_source_collection recorded as literal 'unverified'",NONE,OTHER_EXPLICIT,PROVENANCE_NOT_RESOLVED,true,"Source-family/collection identity itself was never confirmed in Phase B, distinct from a missing-locator problem -- the page/folio number exists but which archival series it belongs to is not established. Not invented or guessed this operation."
EVT-1647-1647_1648-22-38cc,1647-1648:p22(buku 8),"unverified (page ref format matches a GM-era volume-year range, e.g. '1624-1629', but collection identity not confirmed)",not confirmed this operation,1647-1648:p22(buku 8),p22(buku 8),"Des 1647 (surat, tanggal persis tak disebut)","Des 1647 (surat, tanggal persis tak disebut)",unresolved,not available this operation,"Phase B batch, primary_source_collection recorded as literal 'unverified'",NONE,OTHER_EXPLICIT,PROVENANCE_NOT_RESOLVED,true,"Source-family/collection identity itself was never confirmed in Phase B, distinct from a missing-locator problem -- the page/folio number exists but which archival series it belongs to is not established. Not invented or guessed this operation."
EVT-1648-1647_1648-94-362c,1647-1648:p94(buku 80-81),"unverified (page ref format matches a GM-era volume-year range, e.g. '1624-1629', but collection identity not confirmed)",not confirmed this operation,1647-1648:p94(buku 80-81),p94(buku 80-81),sebelum Mei 1648,sebelum Mei 1648,unresolved,not available this operation,"Phase B batch, primary_source_collection recorded as literal 'unverified'",NONE,OTHER_EXPLICIT,PROVENANCE_NOT_RESOLVED,true,"Source-family/collection identity itself was never confirmed in Phase B, distinct from a missing-locator problem -- the page/folio number exists but which archival series it belongs to is not established. Not invented or guessed this operation."
EVT-1656-1656_1657-101-3243,1656-1657:p101(buku 87),"unverified (page ref format matches a GM-era volume-year range, e.g. '1624-1629', but collection identity not confirmed)",not confirmed this operation,1656-1657:p101(buku 87),p101(buku 87),15 Des 1656 (lapor 28 Jan 1657),15 Des 1656 (lapor 28 Jan 1657),unresolved,not available this operation,"Phase B batch, primary_source_collection recorded as literal 'unverified'",EP-1656-1657-VOC-ATJEH-WAR-SILLIDA,OTHER_EXPLICIT,PROVENANCE_NOT_RESOLVED,true,"Source-family/collection identity itself was never confirmed in Phase B, distinct from a missing-locator problem -- the page/folio number exists but which archival series it belongs to is not established. Not invented or guessed this operation."
