set_id,definition,n,D_s,R_s,T_s,E_s,P_s,exclusion_reason_distribution,estimand_boundary,overlap_pct_of_141,role
AS0_FULL_CORPUS,all coded events,141,1,0,0,n/a,0,none (reference set),generalizes to full corpus by definition,100,reference_not_primary
AS1_PROVENANCE_CLEARED,"provenance_status in {CD_PRIMARY,CD_INDEPENDENT,MULTI_SOURCE_VERIFIED}",95,1,1,0,1,0,excludes 32 PROVENANCE_AMBIGUOUS + 14 CD_PARTIAL (9 of the 95 remaining have blank/unknown date precision),n<141 no full-corpus generalization,67,rejected_alone_fails_T_s
AS2_EXACT_EVENT_DATES,event_date_precision=exact_day,72,1,0,1,1,0,excludes 69 non-exact-day (5 PROVENANCE_AMBIGUOUS + 13 CD_PARTIAL remain among the 72),n<141,51,rejected_alone_fails_R_s
AS3_INTERVAL_ELIGIBLE,"event_date_precision in {exact_day,month,year,range,month_or_range}",119,1,0,1,1,0,excludes 22 blank/unknown precision (19 PROVENANCE_AMBIGUOUS + 14 CD_PARTIAL remain among the 119),n<141,84,rejected_alone_fails_R_s
AS4_ONE_EVENT_PER_PARENT_EPISODE,1 representative event per distinct parent_episode_id plus standalone events,85,1,0,0,1,0,collapses 56 episode-linked duplicate rows; provenance/date not addressed,n<141,60,sensitivity_not_primary
AS5_EXCLUDE_UNRESOLVED_DEDUP,exclude events still flagged REQUIRES_FOLIO_OR_SOURCE_CHECK in dedup adjudication,141,1,0,0,1,0,"superseded: both DEDUP-05 and DEDUP-06 resolved and retained this operation (checkpoint 1), so 0 events require dedup exclusion; AS5 is now identical to AS0 and is not treated as a distinct set",n/a,100,superseded_by_dedup_closure_identical_to_AS0
AS6_EXCLUDE_VOC_ONLY_CLASSIFICATIONS,no VOC-only classification column exists in the 37-column schema,141,n/a,n/a,n/a,n/a,NOT_EVALUABLE,0 events excluded because the criterion cannot be applied,n/a,n/a,NOT_EVALUABLE
AS_PRIMARY_AS1_INTERSECT_AS3,"AS1_PROVENANCE_CLEARED intersect AS3_INTERVAL_ELIGIBLE, mechanically derived from provenance_status and event_date_precision columns",86,1,1,1,1,1,"55 excluded of 141: 33 provenance-only, 9 date-only, 13 both (33+9+13=55; 86+55=141)","eta_primary_86 = integral_0^infinity g(u) du over the 86 provenance-cleared and interval-eligible observed coded events under the future authorized model specification; does not generalize to the full 141-event corpus; does not represent all historical events; interval-eligible does not mean exact-date; uncertain event dates remain bounded by [L_i,U_i]; no midpoint/January-1/document-date point-substitution introduced",61,SELECTED_PRIMARY
AS1_INTERSECT_AS2_SENSITIVITY,"AS1_PROVENANCE_CLEARED intersect AS2_EXACT_EVENT_DATES, mechanically derived",54,1,1,1,1,1,narrower than primary; excludes 87 of 141,exact-date sensitivity estimand over 54 events only,38,MANDATORY_EXACT_DATE_SENSITIVITY_SET
AS_EPISODE_SENS,"AS_PRIMARY (AS1 intersect AS3) intersect AS4_ONE_EVENT_PER_PARENT_EPISODE, denominator to be derived mechanically from AS_PRIMARY event IDs at the time of future modeling, not reused from AS4's standalone 85",TBD_AT_FUTURE_MODELING_TIME,n/a,n/a,n/a,n/a,n/a,not computed this operation; registered for future episode-reduced sensitivity reporting only,not computed this operation,not computed this operation,FUTURE_SENSITIVITY_REGISTERED_NOT_COMPUTED
