item_id,item_class,claim_or_target,cited_artifact,cited_locator,locator_resolution_result,date_role,date_value,date_precision,date_source,provenance_link_result,contradiction_or_ambiguity,external_information_requirement
C1,claim_ledger_row,Hawkes family has failed (category claim),HAWKES_BASELINE_V2_DIALECTICAL_CLAIM_MATRIX.csv,row C1,RESOLVES,NOT_APPLICABLE,,,,LINKED_TO_EXISTING_OBJECT,NONE,NO
C2,claim_ledger_row,Hawkes family has been validated,HAWKES_BASELINE_V2_DIALECTICAL_CLAIM_MATRIX.csv,row C2,RESOLVES,NOT_APPLICABLE,,,,LINKED_TO_EXISTING_OBJECT,NONE,NO
C3,claim_ledger_row,Constant-baseline pooled Hawkes sufficient,HAWKES_BASELINE_V2_DIALECTICAL_CLAIM_MATRIX.csv,row C3,RESOLVES,NOT_APPLICABLE,,,,LINKED_TO_EXISTING_OBJECT,NONE,NO
C4,claim_ledger_row,Nonstationary baseline materially relevant,HAWKES_BASELINE_V2_DIALECTICAL_CLAIM_MATRIX.csv,row C4,RESOLVES,NOT_APPLICABLE,,,,LINKED_TO_EXISTING_OBJECT,NONE,NO (design question only)
C5,claim_ledger_row,Observation-process heterogeneity can mimic excitation,HAWKES_BASELINE_V2_DIALECTICAL_CLAIM_MATRIX.csv,row C5,RESOLVES,NOT_APPLICABLE,,,,LINKED_TO_EXISTING_OBJECT,NONE,YES (external archival-opportunity ledger)
C6,claim_ledger_row,Parent-episode clustering can mimic excitation,HAWKES_BASELINE_V2_DIALECTICAL_CLAIM_MATRIX.csv,row C6,RESOLVES,NOT_APPLICABLE,,,,LINKED_TO_EXISTING_OBJECT,NONE,YES (source-text rereading for episode boundaries)
C7,claim_ledger_row,Date handling can manufacture clustering,HAWKES_BASELINE_V2_DIALECTICAL_CLAIM_MATRIX.csv,row C7,RESOLVES,NOT_APPLICABLE,,,,LINKED_TO_EXISTING_OBJECT,NONE,PARTIALLY (parsing-rule design in-repo; validation needs source dates)
C8,claim_ledger_row,Residual non-rejection establishes model adequacy,HAWKES_BASELINE_V2_DIALECTICAL_CLAIM_MATRIX.csv,row C8,RESOLVES,NOT_APPLICABLE,,,,LINKED_TO_EXISTING_OBJECT,NONE,NO
C9,claim_ledger_row,Branching ratio has historical causal interpretation,HAWKES_BASELINE_V2_DIALECTICAL_CLAIM_MATRIX.csv,row C9,RESOLVES,NOT_APPLICABLE,,,,LINKED_TO_EXISTING_OBJECT,NONE,NO
C10,claim_ledger_row,Hawkes may remain useful as exploratory secondary model,HAWKES_BASELINE_V2_DIALECTICAL_CLAIM_MATRIX.csv,row C10,RESOLVES,NOT_APPLICABLE,,,,LINKED_TO_EXISTING_OBJECT,NONE,NO
C11,claim_ledger_row,Hawkes retained only as descriptive visualization,HAWKES_BASELINE_V2_DIALECTICAL_CLAIM_MATRIX.csv,row C11,RESOLVES,NOT_APPLICABLE,,,,LINKED_TO_EXISTING_OBJECT,NONE,NO
C12,claim_ledger_row,Hawkes should be retired from this corpus entirely,HAWKES_BASELINE_V2_DIALECTICAL_CLAIM_MATRIX.csv,row C12,RESOLVES,NOT_APPLICABLE,,,,LINKED_TO_EXISTING_OBJECT,NONE,NO
R-O1,gate_ledger_row,Event-unit metadata-availability construct,HAWKES_BASELINE_V2_RO1_RO10_GATE_MATRIX.csv,row R-O1,RESOLVES,NOT_APPLICABLE,,,,LINKED_TO_EXISTING_OBJECT,NONE,YES (source rereading for 22 blank/unknown precision rows)
R-O2,gate_ledger_row,Per-document report-event relation,HAWKES_BASELINE_V2_RO1_RO10_GATE_MATRIX.csv,row R-O2,RESOLVES,NOT_APPLICABLE,,,,LINKED_TO_EXISTING_OBJECT,NONE,YES (schema extension + source rereading)
R-O3,gate_ledger_row,Parent-episode membership evidentiary correctness,HAWKES_BASELINE_V2_RO1_RO10_GATE_MATRIX.csv,row R-O3,RESOLVES,NOT_APPLICABLE,,,,LINKED_TO_EXISTING_OBJECT,NONE,YES
R-O4/DEDUP-06,gate_ledger_row + dedup_thread,Primary-set dedup cleanliness / Corpus III nr. D / EVT-1687-gm-vol04-05-162-a6b1,HAWKES_BASELINE_V2_RO1_RO10_GATE_MATRIX.csv + HAWKES_BASELINE_V2_DEDUP_ADJUDICATION.csv + HAWKES_BASELINE_V2_DEDUP06_ABDUCTIVE_MATRIX.csv + docs/thesis/GM/xml/05/p0162.xml,"row R-O4; row DEDUP-06; rows H-DEDUP06-A/B/C; line 987 (note mark 1)",RESOLVES (with correction -- see contradiction column),EVENT_DATE,22 December 1687,EXACT_DAY,docs/thesis/GM/xml/05/p0162.xml note mark 1,LINKED_TO_EXISTING_OBJECT (upgraded this pass -- citation context found in-repo),"CORRECTS evidence_acquisition/HAWKES_V2_DEDUP06_RETRIEVAL_DOSSIER.md Section 4 claim of 'nothing found in-repo beyond the string' -- full footnote context (vgl. Corpus III, nr. D., attached directly to the Bajang/Radja Itam passage) exists in docs/thesis/GM/xml/05/p0162.xml line 987. Page also contains two textually distinct sibling citations (nr. Dl line 1003 re: Tarusan contract; nr. DXIX line 127 re: an unrelated 1689 event) -- confirms nr. D. is its own distinct target, not conflated with nr. Dl.","YES (retrieval of Corpus Diplomaticum Neerlando-Indicum Vol. III, item D -- series identity now inferable from data/research/linimasa_events.csv row 82's citation of the same series by full name for a sibling volume, Jilid IV; this is an AGENT_HYPOTHESIS narrowing the search target, not a confirmed identification)"
R-O5,gate_ledger_row,Explicit interval bounds (L_i U_i),HAWKES_BASELINE_V2_RO1_RO10_GATE_MATRIX.csv,row R-O5,RESOLVES,UNRESOLVED_DATE_ROLE (bounds not constructed for any of 141 rows),,,,LINKED_TO_EXISTING_OBJECT,NONE,PARTIALLY (design in-repo; validation needs source dates)
R-O6,gate_ledger_row,Actor-role/action/outcome ontology,HAWKES_BASELINE_V2_RO1_RO10_GATE_MATRIX.csv,row R-O6,RESOLVES,NOT_APPLICABLE,,,,LINKED_TO_EXISTING_OBJECT,NONE,YES (source rereading)
R-O7,gate_ledger_row,Literal source-term to project-category mapping,HAWKES_BASELINE_V2_RO1_RO10_GATE_MATRIX.csv,row R-O7,RESOLVES,NOT_APPLICABLE,,,,LINKED_TO_EXISTING_OBJECT,NONE,YES (source-text access)
R-O8,gate_ledger_row,Observation/survival/access/coding process readiness,HAWKES_BASELINE_V2_RO1_RO10_GATE_MATRIX.csv,row R-O8,RESOLVES,NOT_APPLICABLE,,,,LINKED_TO_EXISTING_OBJECT,NONE,"PARTIALLY (R_access only, in-repo)"
R-O9,gate_ledger_row,Non-circular exposure candidate existence,HAWKES_BASELINE_V2_RO1_RO10_GATE_MATRIX.csv,row R-O9,RESOLVES,NOT_APPLICABLE,,,,LINKED_TO_EXISTING_OBJECT,NONE,YES (external archival-ledger access)
R-O10,gate_ledger_row,Comparator feasibility (M1/M3),HAWKES_BASELINE_V2_COMPARATOR_PREREQUISITE_MAP.csv,M1/M3 rows,RESOLVES,NOT_APPLICABLE,,,,LINKED_TO_EXISTING_OBJECT,NONE,NO (inherits others' requirements)
SCENARIO-S-CURRENT,gate_ledger_row,Deep-uncertainty scenario classification,HAWKES_BASELINE_V2_DEEP_UNCERTAINTY_SCENARIO_MATRIX.csv,row S-CURRENT,RESOLVES,NOT_APPLICABLE,,,,LINKED_TO_EXISTING_OBJECT,NONE,YES (composite of R-O1/O2/O3/O5/O7/O9/O10)
G_sourcecrit,gate_ledger_row,Compound source-critique gate,HAWKES_BASELINE_V2_RO1_RO10_GATE_MATRIX.csv,row G_sourcecrit,RESOLVES,NOT_APPLICABLE,,,,LINKED_TO_EXISTING_OBJECT,NONE,YES (same as R-O7)
G_ontology_future,gate_ledger_row,Compound ontology-readiness gate,HAWKES_BASELINE_V2_RO1_RO10_GATE_MATRIX.csv,row G_ontology_future,RESOLVES,NOT_APPLICABLE,,,,LINKED_TO_EXISTING_OBJECT,NONE,YES (composite of R-O1/O2/O3/O7/O8)
SRC-01,source_object,CD (Corpus Diplomaticum),evidence_acquisition/HAWKES_V2_SOURCE_FAMILY_OPPORTUNITY_MAP.csv,row 1,RESOLVES (file exists; underlying institution UNRESOLVED as already recorded),NOT_APPLICABLE,,,,PARTIAL (project extraction CSVs present; original compilation scans not confirmed),NONE,YES (identify underlying published edition)
SRC-02,source_object,GM (Generale Missiven),evidence_acquisition/HAWKES_V2_SOURCE_FAMILY_OPPORTUNITY_MAP.csv,row 2,RESOLVES (docs/thesis/GM/xml/ tree confirmed present),NOT_APPLICABLE,,,,PARTIAL,NONE,UNRESOLVED (lawful access route not documented)
SRC-03,source_object,Daghregister,evidence_acquisition/HAWKES_V2_SOURCE_FAMILY_OPPORTUNITY_MAP.csv,row 3,RESOLVES,NOT_APPLICABLE,,,,PARTIAL,NONE,UNRESOLVED (lawful access route not documented)
