evidence_candidate_id,track,discovery_status,collection_attempt_status,evidence_item_count,admissible_evidence_count,supported_components,syntax_pair_count,syntax_verified_count,syntax_partial_count,syntax_not_found_count,contradiction_count,residual_gap,final_candidate_status,notes
EV-DEC06-A-01,TRACK_A,ACCESS_PATH_VERIFIED,ATTEMPTED,3,3,concepts;variants;risk,0,0,0,0,0,NONE,EVIDENCE_COLLECTED_ADMISSIBLE,
EV-DEC06-A-02,TRACK_A,ACCESS_PATH_VERIFIED,ATTEMPTED,2,2,filters;reporting,0,0,0,0,0,NONE,EVIDENCE_COLLECTED_ADMISSIBLE,
EV-DEC06-A-03,TRACK_A,ACCESS_PATH_VERIFIED,ATTEMPTED,1,1,concepts;reporting,0,0,0,0,0,Deep full-text re-verification blocked (403) this turn; structure corroborated from prior official-source-derived summary.,EVIDENCE_COLLECTED_ADMISSIBLE_WITH_ACCESS_LIMITATION,
EV-DEC06-A-04,TRACK_A,ACCESS_PATH_PARTIALLY_VERIFIED,ATTEMPTED,1,1,translations,0,0,0,0,0,Dedicated cross-language equivalence-verification method not found; only general Cochrane language-restriction guidance found.,EVIDENCE_COLLECTED_PARTIAL_SCOPE_MATCH,
EV-DEC06-A-05,TRACK_A,RESOLVED_THIS_TURN:NO_DEDICATED_AUTHORITY_BUT_METHOD_EVIDENCE_AVAILABLE,ATTEMPTED,2,1,concepts;risk,0,0,0,0,0,"No dedicated humanities-specific search-method authority exists; one candidate paper (Barisaux et al. 2024) identified but access-blocked, not admitted.",RESOLVED_NO_DEDICATED_AUTHORITY_GENERAL_EVIDENCE_ADMITTED,
EV-DEC06-A-06,TRACK_A,ACCESS_PATH_PARTIALLY_VERIFIED,ATTEMPTED,1,1,seed checking,0,0,0,0,0,"Seed-validation guidance is embedded within a broader IR guide, not a standalone standard.",EVIDENCE_COLLECTED_ADMISSIBLE,
EV-DEC06-A-07,TRACK_A,ACCESS_PATH_VERIFIED,ATTEMPTED,1,1,versioning,0,0,0,0,0,NONE,EVIDENCE_COLLECTED_ADMISSIBLE,
EV-DEC06-B-01,TRACK_B,ACCESS_PATH_VERIFIED,ATTEMPTED,1,1,syntax,4,4,0,0,0,NONE,SYNTAX_VERIFIED_OFFICIAL_DOC,
EV-DEC06-B-02,TRACK_B,ACCESS_PATH_VERIFIED,ATTEMPTED,1,1,syntax,4,4,0,0,0,NONE,SYNTAX_VERIFIED_OFFICIAL_DOC,
EV-DEC06-B-03,TRACK_B,ACCESS_PATH_VERIFIED,ATTEMPTED,1,1,syntax,4,4,0,0,0,NONE,SYNTAX_VERIFIED_OFFICIAL_DOC,
EV-DEC06-B-04,TRACK_B,ACCESS_PATH_VERIFIED,ATTEMPTED,1,1,syntax,3,0,3,0,0,Boolean confirmed but no field-code/wildcard/proximity documentation found.,SYNTAX_PARTIALLY_VERIFIED_OFFICIAL_DOC,
EV-DEC06-B-05,TRACK_B,ACCESS_PATH_VERIFIED,ATTEMPTED,1,1,syntax,2,2,0,0,0,NONE,SYNTAX_VERIFIED_OFFICIAL_DOC,
EV-DEC06-B-06,TRACK_B,ACCESS_PATH_VERIFIED,ATTEMPTED,1,1,syntax,3,3,0,0,0,NONE,SYNTAX_VERIFIED_OFFICIAL_DOC,
EV-DEC06-B-07,TRACK_B,ACCESS_PATH_VERIFIED,ATTEMPTED,1,1,syntax,2,2,0,0,0,NONE,SYNTAX_VERIFIED_OFFICIAL_DOC,
EV-DEC06-B-08,TRACK_B,ACCESS_PATH_VERIFIED,ATTEMPTED,1,1,syntax,3,3,0,0,0,NONE,SYNTAX_VERIFIED_OFFICIAL_DOC,
EV-DEC06-B-09,TRACK_B,ACCESS_PATH_VERIFIED,ATTEMPTED,1,0,syntax,2,0,0,2,0,No official syntax documentation found for the new static-search interface.,SYNTAX_DOCUMENTATION_NOT_FOUND,
EV-DEC06-B-10,TRACK_B,RESOLVED_THIS_TURN:RESOLVED_DUAL_PATHWAYS_DISTINCT_ROLES,ATTEMPTED,1,1,syntax,2,0,2,0,0,"Dual-pathway platform (Leiden catalogue + Brill publisher); both partially verified, no cross-platform syntax transfer.",SYNTAX_PARTIALLY_VERIFIED_OFFICIAL_DOC,
EV-DEC06-B-11,TRACK_B,ACCESS_PATH_PARTIALLY_VERIFIED,ATTEMPTED,1,1,syntax,3,0,3,0,0,No field-code/wildcard/proximity documentation found; base platform Boolean support itself limited (EPrints).,SYNTAX_PARTIALLY_VERIFIED_OFFICIAL_DOC,
EV-DEC06-B-12,TRACK_B,ACCESS_PATH_VERIFIED,ATTEMPTED,1,1,syntax,6,6,0,0,0,NONE,SYNTAX_VERIFIED_OFFICIAL_DOC,
EV-DEC06-B-13,TRACK_B,ACCESS_PATH_VERIFIED,ATTEMPTED,1,1,syntax,4,4,0,0,0,NONE,SYNTAX_VERIFIED_OFFICIAL_DOC,
