pilot_query_id,family_id,source_id,execution_status,raw_result_count,exported_record_count,accessible_record_count,blocked_record_count,malformed_record_count,duplicate_within_source_count,notes
PQ-C2-SRC-01-01,C2,SRC-01,BLOCKED_CREDENTIALS,0,0,0,0,0,0,HTTP request redirected (307) to Elsevier SSO OAuth login (id.elsevier.com); no search was actually submitted.
PQ-C4-SRC-01-01,C4,SRC-01,BLOCKED_CREDENTIALS,0,0,0,0,0,0,HTTP request redirected (307) to Elsevier SSO OAuth login (id.elsevier.com); no search was actually submitted.
PQ-C5-SRC-01-01,C5,SRC-01,BLOCKED_CREDENTIALS,0,0,0,0,0,0,HTTP request redirected (307) to Elsevier SSO OAuth login (id.elsevier.com); no search was actually submitted.
PQ-C6-SRC-01-01,C6,SRC-01,BLOCKED_CREDENTIALS,0,0,0,0,0,0,HTTP request redirected (307) to Elsevier SSO OAuth login (id.elsevier.com); no search was actually submitted.
PQ-C2-SRC-02-01,C2,SRC-02,NOT_EXECUTED_STOP_CONDITION,0,0,0,0,0,0,"webofscience.com basic-search is a JavaScript-driven client application; static fetch returns only a page shell with no search form content, and no reliable result count could be obtained without a scripted browser and (per Clarivate) an institutional login."
PQ-C4-SRC-02-01,C4,SRC-02,NOT_EXECUTED_STOP_CONDITION,0,0,0,0,0,0,"webofscience.com basic-search is a JavaScript-driven client application; static fetch returns only a page shell with no search form content, and no reliable result count could be obtained without a scripted browser and (per Clarivate) an institutional login."
PQ-C5-SRC-02-01,C5,SRC-02,NOT_EXECUTED_STOP_CONDITION,0,0,0,0,0,0,"webofscience.com basic-search is a JavaScript-driven client application; static fetch returns only a page shell with no search form content, and no reliable result count could be obtained without a scripted browser and (per Clarivate) an institutional login."
PQ-C6-SRC-02-01,C6,SRC-02,NOT_EXECUTED_STOP_CONDITION,0,0,0,0,0,0,"webofscience.com basic-search is a JavaScript-driven client application; static fetch returns only a page shell with no search form content, and no reliable result count could be obtained without a scripted browser and (per Clarivate) an institutional login."
PQ-C1-SRC-03-01,C1,SRC-03,BLOCKED_PROVIDER_POLICY,0,0,0,0,0,0,jstor.org returned a bot-detection 'Client Challenge' page instead of search results.
PQ-C2-SRC-03-01,C2,SRC-03,BLOCKED_PROVIDER_POLICY,0,0,0,0,0,0,jstor.org returned a bot-detection 'Client Challenge' page instead of search results.
PQ-C3-SRC-03-01,C3,SRC-03,BLOCKED_PROVIDER_POLICY,0,0,0,0,0,0,jstor.org returned a bot-detection 'Client Challenge' page instead of search results.
PQ-C6-SRC-03-01,C6,SRC-03,BLOCKED_PROVIDER_POLICY,0,0,0,0,0,0,jstor.org returned a bot-detection 'Client Challenge' page instead of search results.
PQ-C1-SRC-04-01,C1,SRC-04,BLOCKED_PROVIDER_POLICY,0,0,0,0,0,0,muse.jhu.edu returned a bot-detection verification challenge instead of search results.
PQ-C2-SRC-04-01,C2,SRC-04,BLOCKED_PROVIDER_POLICY,0,0,0,0,0,0,muse.jhu.edu returned a bot-detection verification challenge instead of search results.
PQ-C3-SRC-04-01,C3,SRC-04,BLOCKED_PROVIDER_POLICY,0,0,0,0,0,0,muse.jhu.edu returned a bot-detection verification challenge instead of search results.
PQ-C2-SRC-05-01,C2,SRC-05,BLOCKED_PROVIDER_POLICY,0,0,0,0,0,0,dl.acm.org returned HTTP 403 Forbidden.
PQ-C4-SRC-05-01,C4,SRC-05,BLOCKED_PROVIDER_POLICY,0,0,0,0,0,0,dl.acm.org returned HTTP 403 Forbidden.
PQ-C4-SRC-06-01,C4,SRC-06,EXECUTED_SUCCESS,372,5,5,0,0,0,arXiv export API (export.arxiv.org/api/query) returned HTTP 200 with real Atom-format results.
