bibliographic_class,field_name,applicability,field_role,hard_identifier_reason,required_core_reason,normalization_rule_reference,target_specific_override_allowed,researcher_decision,status,notes
PUBLISHED_PRIMARY_OR_DOCUMENT_EDITION,title,1,REQUIRED_CORE_METADATA,,identifies the treaty edition being verified; without it no candidate can be compared,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,§9.1 of instruction: title is baseline for edition identity
PUBLISHED_PRIMARY_OR_DOCUMENT_EDITION,author_or_corporate_author,1,OPTIONAL_CORROBORATING_METADATA,,,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,"corroborating; De Leeuw is cited but not yet independently confirmed, so it cannot be required-core until confirmed"
PUBLISHED_PRIMARY_OR_DOCUMENT_EDITION,publication_year,1,REQUIRED_CORE_METADATA,,distinguishes printings of the same title; frozen inventory flags edition/year as unresolved (REQUIRES_FOLIO_OR_EDITION_CHECK),S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,§9.1: edition/publication year required to avoid merging distinct printings
PUBLISHED_PRIMARY_OR_DOCUMENT_EDITION,edition,1,REQUIRED_CORE_METADATA,,the frozen registry's own stop condition is edition confirmation; cannot be optional,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,matches frozen ET-01 planned_action: verify edition year and printing history
PUBLISHED_PRIMARY_OR_DOCUMENT_EDITION,volume,1,OPTIONAL_CORROBORATING_METADATA,,,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,single-volume treaty text; not decisive
PUBLISHED_PRIMARY_OR_DOCUMENT_EDITION,issue,1,OPTIONAL_CORROBORATING_METADATA,,,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,not a periodical
PUBLISHED_PRIMARY_OR_DOCUMENT_EDITION,publisher,1,REQUIRED_CORE_METADATA,,De Leeuw is cited as publisher in frozen planning docs; confirming/refuting this is the whole point of ET-01,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,directly named in frozen S1_EXECUTION_TARGET_REGISTRY.csv planned_action for ET-01
PUBLISHED_PRIMARY_OR_DOCUMENT_EDITION,repository_or_catalogue_identity,1,HARD_IDENTIFIER,"once a specific printed edition is located, its catalogue identifier is the only field that can definitively distinguish it from a near-identical reprint",,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,§6: hard identifier only where class supports it; catalogue ID is the practical stable identifier for a printed treaty edition
PUBLISHED_PRIMARY_OR_DOCUMENT_EDITION,persistent_identifier,1,OPTIONAL_CORROBORATING_METADATA,,,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,DOI unlikely for a 17th-century treaty edition but not ruled out if a modern critical edition exists; not required-core absent evidence
PUBLISHED_PRIMARY_OR_DOCUMENT_EDITION,catalogue_record_url,1,OPTIONAL_CORROBORATING_METADATA,,,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,"corroborating discovery aid, not identity-decisive by itself"
PUBLISHED_PRIMARY_OR_DOCUMENT_EDITION,language,1,OPTIONAL_CORROBORATING_METADATA,,,S1_B1_BIBLIOGRAPHIC_IDENTITY_REVIEW_PLAN.md Sec.5 (N_k normalization rules),NO,APPROVED_WITH_LIMITATIONS,APPROVED_WITH_LIMITATIONS,corroborating
