field,value
eligible_design_arm_domain,"D7/primary (correctly-specified low-signal: eta=0.2); D8/primary (correctly-specified published-analogue: mu=0.2573 alpha=0.4207 beta=0.6215); D9/correct_cd_modulated; D9/misspecified_constant_mu (descriptive/falsification only, not H-05 evidence); D10/primary (interval-uncertainty arm)"
parent_replication_selection_rule,"fixed a priori: parent_rep = 0 (the first replication under the deterministic design_seed sequence) for every arm in the submanifest; not chosen after viewing any outcome, not a visually extreme case"
bootstrap_DGP,"parametric bootstrap under the FITTED model: simulate a new synthetic dataset from simulate_exp_hawkes(mu_hat,alpha_hat,beta_hat) with the same mu_of_t shape as the parent arm (constant for D7/D8/D9-misspecified/D10-latent-stage; cd_density_at shape for D9-correct); for D10 additionally re-apply the SAME observation mechanism (assign_precision_classes + gen_D10_observed single-imputation) with fresh draws to the bootstrap latent series before refitting"
parameter_source,"parent replication's STORED fitted mu_hat/alpha_hat/beta_hat from the active post-fix v2a_full_study_recovery_rows.json row (parent_rep=0); TRUE simulation parameters are never used as the bootstrap-generating truth"
refitting_procedure,"every bootstrap dataset is refit with the identical fit_hawkes() call (Nelder-Mead, same x0, same mu_of_t argument) used by v2a_full_study.py; NOT skipped, NOT replaced by the parent's own fitted values"
bootstrap_test_statistic,"D_b = two-sided KS statistic (not p-value) of the time-rescaling residuals against Uniform(0,1), computed from EACH bootstrap sample's OWN refit parameters (never the parent's fixed fit)"
seed_policy,"deterministic: bootstrap_seed(design_id,arm,parent_rep,b) = design_seed(design_id,parent_rep)*10000 + ARM_OFFSET*1000 + b, using the existing DESIGN_SEED_OFFSET map; hash() is never used"
replication_denominator,"B=499 bootstrap replicates per arm (5 arms x 499 = 2495 total bootstrap fits)"
monte_carlo_precision_target,"MCSE(p_hat) <= 0.01 at the p=0.05 decision boundary: MCSE=sqrt(0.05*0.95/B); B=499 gives MCSE=0.00975, satisfying the target; B is not a decorative round number"
optimizer_failure_treatment,"a bootstrap replicate whose refit does not converge (res.success=False or n_events<=3) is EXCLUDED from the D_b^boot distribution; the exclusion count is reported per arm; if more than 50% of B replicates fail to converge for an arm, that arm's calibration is marked MARGINAL_RESIDUAL_CALIBRATION_NOT_COMPLETED rather than reporting a p-value from a degraded denominator"
stop_condition,"per-arm: >50% bootstrap non-convergence, OR the pre-execution cross-process reproducibility check (regenerated parent events must exactly match n_events already stored) fails for that parent replication -> stop that arm only, record MARGINAL_RESIDUAL_CALIBRATION_NOT_COMPLETED, do not substitute a placeholder p-value"
