query_id,target_id,provider_id,provider_role,query_stage,attempt_index,applicability_status,query_field_references,query_template,approved_access_method,request_count_planned,request_rate_status,credential_status,predecessor_query_id,escalation_condition,candidate_output_schema_version,identity_rule_reference,stop_condition,execution_status,notes
Q-ET-01-PROV-01-ETL-01,ET-01,PROV-01,CONFIRMATION,EXACT_TITLE_LOOKUP,1,PLANNED,"required_core:title,publication_year,edition,publisher","EXACT_TITLE_LOOKUP using frozen required-core field reference(s) only; provider=Nationaal Archief; no field value fabricated, no live URL constructed this turn",OFFICIAL_HUMAN_READABLE_CATALOGUE,1,AUTOMATED_ACCESS_NOT_APPLICABLE,N/A,NONE,entry stage - no escalation precondition (first planned stage for this target),"v1 (target_id,candidate_id,provider_id,provider_role,query_id,record_url,record_identifier,observed_metadata_fields,hard_identifier_status,required_core_completeness,required_core_agreement,provider_conflict_status,candidate_eligibility,final_target_status,notes)","S1_B1_BIBLIOGRAPHIC_LOOKUP_EXECUTION_AUTHORIZATION_DECISION.md Sec.12-15 (hard-identifier gate, required-core gate, identity confirmation gate, provider conflict gate)",stop and record NETWORK_OR_PROVIDER_FAILURE if provider unreachable; stop and record HARD_IDENTIFIER_CONTRADICTION if C_ij>0; stop escalation and record terminal status once Z_i=1 with no provider conflict,PLANNED_ONLY,target class=PUBLISHED_PRIMARY_OR_DOCUMENT_EDITION
Q-ET-01-PROV-01-TYL-02,ET-01,PROV-01,CONFIRMATION,TITLE_YEAR_LOOKUP,2,PLANNED,"required_core:title,publication_year,edition,publisher","TITLE_YEAR_LOOKUP using frozen required-core field reference(s) only; provider=Nationaal Archief; no field value fabricated, no live URL constructed this turn",OFFICIAL_HUMAN_READABLE_CATALOGUE,1,AUTOMATED_ACCESS_NOT_APPLICABLE,N/A,Q-ET-01-PROV-01-ETL-01,planned only if e_ir=1 for predecessor query Q-ET-01-PROV-01-ETL-01 (predecessor stage did not yield a sufficient terminal result),"v1 (target_id,candidate_id,provider_id,provider_role,query_id,record_url,record_identifier,observed_metadata_fields,hard_identifier_status,required_core_completeness,required_core_agreement,provider_conflict_status,candidate_eligibility,final_target_status,notes)","S1_B1_BIBLIOGRAPHIC_LOOKUP_EXECUTION_AUTHORIZATION_DECISION.md Sec.12-15 (hard-identifier gate, required-core gate, identity confirmation gate, provider conflict gate)",stop and record NETWORK_OR_PROVIDER_FAILURE if provider unreachable; stop and record HARD_IDENTIFIER_CONTRADICTION if C_ij>0; stop escalation and record terminal status once Z_i=1 with no provider conflict,PLANNED_ONLY,target class=PUBLISHED_PRIMARY_OR_DOCUMENT_EDITION
Q-ET-01-PROV-04-COL-01,ET-01,PROV-04,CORROBORATION,CORROBORATION_LOOKUP,1,PLANNED,"required_core:title,publication_year,edition,publisher","CORROBORATION_LOOKUP using frozen required-core field reference(s) only; provider=WorldCat (human catalogue only); no field value fabricated, no live URL constructed this turn",OFFICIAL_HUMAN_READABLE_CATALOGUE,1,AUTOMATED_ACCESS_NOT_APPLICABLE,NOT_APPROVED_CREDENTIAL_BLOCKED (API pathway excluded entirely; only no-auth catalogue used),Q-ET-01-PROV-01-TYL-02,planned only if e_ir=1 for predecessor query Q-ET-01-PROV-01-TYL-02 (predecessor stage did not yield a sufficient terminal result),"v1 (target_id,candidate_id,provider_id,provider_role,query_id,record_url,record_identifier,observed_metadata_fields,hard_identifier_status,required_core_completeness,required_core_agreement,provider_conflict_status,candidate_eligibility,final_target_status,notes)","S1_B1_BIBLIOGRAPHIC_LOOKUP_EXECUTION_AUTHORIZATION_DECISION.md Sec.12-15 (hard-identifier gate, required-core gate, identity confirmation gate, provider conflict gate)",stop and record NETWORK_OR_PROVIDER_FAILURE if provider unreachable; stop and record HARD_IDENTIFIER_CONTRADICTION if C_ij>0; stop escalation and record terminal status once Z_i=1 with no provider conflict,PLANNED_ONLY,target class=PUBLISHED_PRIMARY_OR_DOCUMENT_EDITION
Q-ET-01-PROV-06-DOL-01,ET-01,PROV-06,DISCOVERY_ONLY,DISCOVERY_ONLY_LOOKUP,1,PLANNED,"required_core:title,publication_year,edition,publisher","DISCOVERY_ONLY_LOOKUP using frozen required-core field reference(s) only; provider=Google Scholar; no field value fabricated, no live URL constructed this turn",DISCOVERY_SEARCH_ONLY,1,NO_AUTOMATED_REQUEST_RATE_APPLICABLE,N/A,Q-ET-01-PROV-04-COL-01,planned only if e_ir=1 for predecessor query Q-ET-01-PROV-04-COL-01 (predecessor stage did not yield a sufficient terminal result),"v1 (target_id,candidate_id,provider_id,provider_role,query_id,record_url,record_identifier,observed_metadata_fields,hard_identifier_status,required_core_completeness,required_core_agreement,provider_conflict_status,candidate_eligibility,final_target_status,notes)","S1_B1_BIBLIOGRAPHIC_LOOKUP_EXECUTION_AUTHORIZATION_DECISION.md Sec.12-15 (hard-identifier gate, required-core gate, identity confirmation gate, provider conflict gate)",stop and record NETWORK_OR_PROVIDER_FAILURE if provider unreachable; stop and record HARD_IDENTIFIER_CONTRADICTION if C_ij>0; stop escalation and record terminal status once Z_i=1 with no provider conflict,PLANNED_ONLY,target class=PUBLISHED_PRIMARY_OR_DOCUMENT_EDITION
Q-ET-01-PROV-02-NA,ET-01,PROV-02,CONFIRMATION,N/A,0,NOT_APPLICABLE_TO_TARGET_CLASS,N/A,"N/A - pair excluded from manifest, no query planned",N/A,0,N/A,N/A,NONE,N/A - pair excluded from manifest,N/A,N/A,N/A,PLANNED_ONLY,The National Archives (UK) scope is English/EIC archival material; not applicable to this target's origin/class
Q-ET-01-PROV-03-NA,ET-01,PROV-03,CONFIRMATION,N/A,0,NOT_APPLICABLE_TO_TARGET_CLASS,N/A,"N/A - pair excluded from manifest, no query planned",N/A,0,N/A,N/A,NONE,N/A - pair excluded from manifest,N/A,N/A,N/A,PLANNED_ONLY,Crossref (DOI registry) scope is limited to persistent-identifier-bearing modern works; not applicable — this target's persistent_identifier field is NOT_APPLICABLE_TO_CLASS per S1_B1_BIBLIOGRAPHIC_FIELD_ROLE_MATRIX.csv
Q-ET-01-PROV-05-NA,ET-01,PROV-05,DISCOVERY_ONLY,N/A,0,NOT_APPLICABLE_TO_TARGET_CLASS,N/A,"N/A - pair excluded from manifest, no query planned",N/A,0,N/A,N/A,NONE,N/A - pair excluded from manifest,N/A,N/A,N/A,PLANNED_ONLY,OpenDOAR (open-access repository directory) scope is limited to modern deposited institutional-repository items; not applicable to this 17th/18th-century archival target
Q-ET-03-PROV-01-ETL-01,ET-03,PROV-01,CONFIRMATION,EXACT_TITLE_LOOKUP,1,PLANNED,"required_core:title,author_or_corporate_author,volume","EXACT_TITLE_LOOKUP using frozen required-core field reference(s) only; provider=Nationaal Archief; no field value fabricated, no live URL constructed this turn",OFFICIAL_HUMAN_READABLE_CATALOGUE,1,AUTOMATED_ACCESS_NOT_APPLICABLE,N/A,NONE,entry stage - no escalation precondition (first planned stage for this target),"v1 (target_id,candidate_id,provider_id,provider_role,query_id,record_url,record_identifier,observed_metadata_fields,hard_identifier_status,required_core_completeness,required_core_agreement,provider_conflict_status,candidate_eligibility,final_target_status,notes)","S1_B1_BIBLIOGRAPHIC_LOOKUP_EXECUTION_AUTHORIZATION_DECISION.md Sec.12-15 (hard-identifier gate, required-core gate, identity confirmation gate, provider conflict gate)",stop and record NETWORK_OR_PROVIDER_FAILURE if provider unreachable; stop and record HARD_IDENTIFIER_CONTRADICTION if C_ij>0; stop escalation and record terminal status once Z_i=1 with no provider conflict,PLANNED_ONLY,target class=UNVERIFIED_REFERENCE
Q-ET-03-PROV-01-TAL-02,ET-03,PROV-01,CONFIRMATION,TITLE_AUTHOR_LOOKUP,2,PLANNED,"required_core:title,author_or_corporate_author,volume","TITLE_AUTHOR_LOOKUP using frozen required-core field reference(s) only; provider=Nationaal Archief; no field value fabricated, no live URL constructed this turn",OFFICIAL_HUMAN_READABLE_CATALOGUE,1,AUTOMATED_ACCESS_NOT_APPLICABLE,N/A,Q-ET-03-PROV-01-ETL-01,planned only if e_ir=1 for predecessor query Q-ET-03-PROV-01-ETL-01 (predecessor stage did not yield a sufficient terminal result),"v1 (target_id,candidate_id,provider_id,provider_role,query_id,record_url,record_identifier,observed_metadata_fields,hard_identifier_status,required_core_completeness,required_core_agreement,provider_conflict_status,candidate_eligibility,final_target_status,notes)","S1_B1_BIBLIOGRAPHIC_LOOKUP_EXECUTION_AUTHORIZATION_DECISION.md Sec.12-15 (hard-identifier gate, required-core gate, identity confirmation gate, provider conflict gate)",stop and record NETWORK_OR_PROVIDER_FAILURE if provider unreachable; stop and record HARD_IDENTIFIER_CONTRADICTION if C_ij>0; stop escalation and record terminal status once Z_i=1 with no provider conflict,PLANNED_ONLY,target class=UNVERIFIED_REFERENCE
Q-ET-03-PROV-04-COL-01,ET-03,PROV-04,CORROBORATION,CORROBORATION_LOOKUP,1,PLANNED,"required_core:title,author_or_corporate_author,volume","CORROBORATION_LOOKUP using frozen required-core field reference(s) only; provider=WorldCat (human catalogue only); no field value fabricated, no live URL constructed this turn",OFFICIAL_HUMAN_READABLE_CATALOGUE,1,AUTOMATED_ACCESS_NOT_APPLICABLE,NOT_APPROVED_CREDENTIAL_BLOCKED (API pathway excluded entirely; only no-auth catalogue used),Q-ET-03-PROV-01-TAL-02,planned only if e_ir=1 for predecessor query Q-ET-03-PROV-01-TAL-02 (predecessor stage did not yield a sufficient terminal result),"v1 (target_id,candidate_id,provider_id,provider_role,query_id,record_url,record_identifier,observed_metadata_fields,hard_identifier_status,required_core_completeness,required_core_agreement,provider_conflict_status,candidate_eligibility,final_target_status,notes)","S1_B1_BIBLIOGRAPHIC_LOOKUP_EXECUTION_AUTHORIZATION_DECISION.md Sec.12-15 (hard-identifier gate, required-core gate, identity confirmation gate, provider conflict gate)",stop and record NETWORK_OR_PROVIDER_FAILURE if provider unreachable; stop and record HARD_IDENTIFIER_CONTRADICTION if C_ij>0; stop escalation and record terminal status once Z_i=1 with no provider conflict,PLANNED_ONLY,target class=UNVERIFIED_REFERENCE
