"decision_id","decision_topic","recommended_option","alternative_options","supporting_failures","supporting_cases","impact_if_approved","impact_if_rejected","public_impact","migration_impact","researcher_decision","researcher_notes"
"DEC-01","Identity continuity fields (CH-01/CH-02)","Adopt as OPTIONAL Actor fields (mandate_status, mandate_scope, identity_continuity_status, explicit_non_identity_with)","(a) structured ActorContinuityClaim entity; (b) leave as informal project convention (current state); (c) closed enum for mandate_status","FAIL-04; FAIL-06","Koto Tangah V2; Tiku V3","Formalizes an already-converged 3-artifact informal practice; enables consistent generalized-validator checking","Continued ad hoc, non-interoperable per-artifact conventions; no machine-checkable actor-identity discipline across cases","None (Research-Only field)","Full backward compatibility -- retrofit only, no existing data changes","APPROVED_WITH_LIMITATIONS","Approve actor identity continuity, mandate status and scope, and explicit non-identity support. Safeguards: no automatic actor merge; continuity may remain NOT_TESTABLE or CANNOT_DETERMINE; explicit non-identity must prevent silent merging; actor merge requires manual researcher approval; mandate must remain temporally and substantively bounded. Implementation NOT AUTHORIZED; migration NOT AUTHORIZED; public-display impact NONE; Graphify DEFERRED; production gate BLOCKED."
"DEC-02","Explicit non-identity field (CH-02)","Fold into CH-01's explicit_non_identity_with field rather than a separate schema element","(a) separate possible_predecessor/possible_successor_actor_ids fields; (b) no change","FAIL-06","Tiku V3","Single field serves both the Koto Tangah and Tiku use cases without proliferation","Non-identity remains free-text-only, unstructured","None","Full","APPROVED_WITH_LIMITATIONS","Approve folding explicit non-identity into CH-01's explicit_non_identity_with field (no separate schema element). Safeguards: no automatic actor merge; no automatic continuity inference; explicit non-identity must block silent merging; unknown continuity remains unknown (CANNOT_DETERMINE/NOT_TESTABLE remain valid values); manual researcher review required before any consequential identity decision; no in-place rewriting of frozen V1-V4 artifacts. Implementation NOT AUTHORIZED; migration NOT AUTHORIZED; public-display impact NONE; Graphify DEFERRED; production gate BLOCKED."
"DEC-03","Mandate status and scope (part of CH-01)","Semi-structured free-text-with-guidance fields, NOT closed enumerations","(a) closed enum; (b) no field","FAIL-04; FAIL-06","Koto Tangah V2; Tiku V3","Avoids overfitting mandate categories to only the 4 cases examined so far","A closed enum risks forcing future, differently-shaped mandate situations into an inadequate category set","None","Full","APPROVED_WITH_LIMITATIONS","Approve mandate_status and mandate_scope as semi-structured free-text-with-guidance fields, NOT a closed enumeration -- avoids overfitting mandate categories to only the 4 cases examined so far. Safeguards: mandate must remain bounded by both scope and time; no automatic continuity or merge inference; unknown/undetermined mandate remains CANNOT_DETERMINE or NOT_TESTABLE, never forced into a category; manual researcher review required before any consequential identity or mandate decision; no in-place rewriting of frozen V1-V4 artifacts. Implementation NOT AUTHORIZED; migration NOT AUTHORIZED; public-display impact NONE; Graphify DEFERRED; production gate BLOCKED."
"DEC-04","Rights/privilege object versus relation types (CH-03)","Option A (minimal): right_status field on existing toll/monopoly relations. Option B: full CommercialRight/CommercialPrivilege object model","(a) new relation type per right-action (rejected -- proliferation); (b) no change (current state, 3x cross-case-corroborated gap left open)","FAIL-05; FAIL-09 (and structurally related: FAIL-08, evaluated separately under DEC-08)","Tiku V3; Sillida V4","Option A: closes the single most cross-case-corroborated gap in this synthesis with minimal schema surface area. Option B: same closure, larger and more extensible schema footprint","The recurring rights-exemption/relinquishment gap remains unaddressed, and each future commercial-instrument case will independently reinvent its own workaround","Option A: minimal, likely public-display-neutral. Option B: could eventually inform a public 'rights and privileges' category, not yet designed","Option A: full backward compatibility. Option B: full backward compatibility but larger validator surface","APPROVED_WITH_LIMITATIONS","Approve a structured rights and privileges model (CommercialRight, RightModification). Avoid one new relation type per privilege, avoid reversing COLLECTS_TOLL_FROM to represent exemptions, avoid equating trade privilege with sovereignty or control. Candidate action vocabulary for the next draft: GRANTS, WAIVES, RELEASES, REVOKES, RENEWS, EXEMPTS -- all research-only initially. Implementation NOT AUTHORIZED; migration NOT AUTHORIZED; public-display impact NONE; Graphify DEFERRED; production gate BLOCKED."
"DEC-05","Institutional-state observation (CH-04, deferred)","DEFER -- no specific change proposed; authorize a future design-exploration turn to determine whether Natal's hesitation and Koto Tangah's presence-fact need one unified model or two separate ones","(a) force a premature unified model now; (b) force two separate models now without further evidence","FAIL-01; FAIL-02","Natal V1; Koto Tangah V2","A future, better-scoped change proposal, informed by explicit design exploration rather than this synthesis's own read-only pass","The two failures remain represented only via their current artifact-specific workarounds (a self-referential relation for Natal; an EffectiveControlObservation for Koto Tangah)","None","N/A (no change proposed)","DEFERRED","Defer. No schema change adopted now; authorize a future, separate design-exploration turn to determine whether Natal's hesitation (institutional-state observation) and Koto Tangah's presence-fact (institutional-presence observation) need one unified model or two distinct ones -- this decision authorizes that exploration turn to happen, it does not itself specify the model. Until that turn, both failures remain represented only via their current artifact-specific workarounds (Natal's self-referential relation; Koto Tangah's EffectiveControlObservation). Safeguards: no premature unified model imposed without further evidence; no two-model split imposed without further evidence either; exploration turn is research/design-only. Implementation NOT AUTHORIZED; migration NOT AUTHORIZED; public-display impact NONE; Graphify DEFERRED; production gate BLOCKED."
"DEC-06","Institutional-presence observation","Same as DEC-05 -- these two topics are treated as one decision in this ledger since they share the same open cluster (FCL-03)","See DEC-05","FAIL-02","Koto Tangah V2","See DEC-05","See DEC-05","None","N/A","DEFERRED","Defer -- same decision and same reasoning as DEC-05, recorded separately per the ledger's own structure since Koto Tangah's institutional-presence observation and Natal's institutional-state observation share the same open failure cluster (FCL-03) but are two distinct ledger rows. See DEC-05 for full rationale. Implementation NOT AUTHORIZED; migration NOT AUTHORIZED; public-display impact NONE; Graphify DEFERRED; production gate BLOCKED."
"DEC-07","Ambiguous spatial-feature fields (CH-05)","REJECT a schema change at this time; authorize instead a non-ontology source re-check of Vogel's 'Refort' usage for Koto Tangah specifically","(a) add source_place_expression/feature_type_confidence fields per the plan's own CF-04 candidates","FAIL-03","Koto Tangah V2 (with Sillida V4 as a successful counterexample)","No schema risk incurred; the existing Location model's own adequacy (demonstrated by Sillida) is preserved as evidence rather than papered over with an unnecessary field","If rejected, the researcher accepts T-06 as a standing, disclosed limitation of the KOTO TANGAH ARTIFACT specifically, not of Draft V2's own Location model","None","N/A (no change proposed)","REJECTED","Reject the proposed schema change (source_place_expression/feature_type_confidence fields). Sillida V4 already demonstrates the existing Location model is adequate for ambiguous spatial-feature cases; the Koto Tangah gap (T-06, Vogel's 'Refort' usage) is accepted as a standing, disclosed limitation of the Koto Tangah artifact specifically, not evidence the Location model itself needs extending. Authorize instead a non-ontology source re-check of Vogel's 'Refort' usage for Koto Tangah -- a historical-research task, not a schema change. Implementation NOT AUTHORIZED (none proposed); migration NOT AUTHORIZED; public-display impact NONE; Graphify DEFERRED; production gate BLOCKED."
"DEC-08","Resistance-target extension (CH-06)","Adopt resistance_target_actor_id as an OPTIONAL field on resistance_candidate","(a) broader resistance_target_institution_ids/resistance_scope fields; (b) no change","FAIL-07","Tiku V3","Prevents a specific, identified false-attribution risk (resistance misread as directed at the relation's own object)","The false-attribution risk remains latent, and a project-wide count of PARTIALLY_SUPPORTED resistance rows (recommended as a follow-up, see DEC-13) would be needed to confirm how widespread the risk actually is","Indirect -- could affect future public 'resistance' category framing if that category is ever approved (currently it is not, per Draft V2 section 9's own research-only status for resistance)","Full","APPROVED_WITH_LIMITATIONS","Approve resistance_target_actor_id as an OPTIONAL field on resistance_candidate, closing the identified false-attribution risk (resistance misread as directed at the relation's own object rather than a distinct target). Safeguards: field remains OPTIONAL, never required; resistance_candidate remains Research-Only throughout, per Draft V2 section 9 -- this field does not promote resistance to a public category; no automatic inference of a target where the source is ambiguous, CANNOT_DETERMINE remains valid; recommend the DEC-13-flagged follow-up (project-wide count of resistance_candidate=PARTIALLY_SUPPORTED rows in the 79-row interpretive ledger) be run before treating this field as having fully resolved the underlying risk, since current evidence is Tiku-only. Implementation NOT AUTHORIZED; migration NOT AUTHORIZED; public-display impact NONE (indirect only, contingent on a future, separately-decided public resistance category that does not currently exist); Graphify DEFERRED; production gate BLOCKED."
"DEC-09","Command relation versus structured operation object (CH-07)","Structured annotation extension on the EXISTING EffectiveControlObservation entity, NOT a new relation type","(a) DIRECTS_OPERATION_BY / DEPLOYS_GROUP_IN / COMMANDS_UNIT as new relation types (rejected -- consent-implication risk); (b) no change (current state)","FAIL-10","Sillida V4 (single case, non-independent evidence)","The most severe finding in this synthesis becomes structurally representable while structurally FORECLOSING any future misuse implying voluntary alliance","Constrained agency remains representable only via unstructured, per-artifact-authored observation text -- comparability across future cases involving coerced labor remains impossible","None -- explicitly Research-Only throughout, per the task's own hard rule","Full, but requires the highest-priority validator safety check in this entire changeset (see CH-07/REV-06)","APPROVED_WITH_LIMITATIONS","Approve a structured command and operation-participation model (CommandObservation, OperationParticipation). Do not encode ALLY_OF, VOLUNTARILY_SUPPORTS, loyalty, or political consent. Implementation NOT AUTHORIZED; migration NOT AUTHORIZED; public-display impact NONE; Graphify DEFERRED; production gate BLOCKED."
"DEC-10","Constrained-agency annotation fields (part of CH-07)","coercion_status / ability_to_refuse / voice_availability as bounded enums; political_intent as free text (NOT an enum)","(a) political_intent as a closed enum (e.g. LOYAL/RESISTANT/NEUTRAL) -- explicitly rejected, would force a premature political classification the sources do not support","FAIL-10","Sillida V4","Prevents the annotation model itself from smuggling in a loyalty/resistance judgment for a population whose own voice is undocumented","N/A (this is a sub-decision within DEC-09)","None","Full","APPROVED_WITH_LIMITATIONS","Approve constrained-agency research fields: dependency_status, coercion_status, ability_to_refuse, voice_availability, political_intent, constrained_agency. Safeguards: political_intent must allow CANNOT_DETERMINE and must not use a prematurely closed vocabulary; participation must not imply consent; command must not imply alliance; constrained agency remains research-only. Implementation NOT AUTHORIZED; migration NOT AUTHORIZED; public-display impact NONE; Graphify DEFERRED; production gate BLOCKED."
