family_id,source_id,sample_title,y_iq_in_scope,judgment_basis,n_q,sum_y_iq,P_hat_scope_q,sampling_rule
C4,SRC-06,A Multimodal Text- and Graph-Based Approach for Open-Domain Event Extraction from Documents,0,"general NLP event extraction, no historical/archival framing",5,0,0.0,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
C4,SRC-06,LED: A Dataset for Life Event Extraction from Dialogs,0,"conversational AI domain, not historical",5,0,0.0,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
C4,SRC-06,DICE: Data-Efficient Clinical Event Extraction with Generative Models,0,clinical domain,5,0,0.0,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
C4,SRC-06,Harvesting Events from Multiple Sources: Towards a Cross-Document Event Extraction Paradigm,0,"general NLP, no historical framing",5,0,0.0,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
C4,SRC-06,Token-Event-Role Structure-based Multi-Channel Document-Level Event Extraction,0,"general NLP, no historical framing",5,0,0.0,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
C5,SRC-06,Self and mutually exciting point process embedding flexible residuals and intensity with discretely Markovian dynamics,0,"general methodology, no historical-event-data framing",10,1,0.1,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
C5,SRC-06,Self-Attentive Hawkes Processes,0,general methodology,10,1,0.1,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
C5,SRC-06,Hawkes Processes,0,"general survey, no historical framing",10,1,0.1,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
C5,SRC-06,To Search or to Recommend: Predicting Open-App Motivation with Neural Hawkes Process,0,app-usage domain,10,1,0.1,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
C5,SRC-06,Predictive AI with External Knowledge Infusion: Datasets and Benchmarks for Stock Markets,0,finance domain,10,1,0.1,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
C5,SRC-06,Bayesian spatiotemporal modelling of political violence and conflict events using discrete-time Hawkes processes,1,"historical/social-science conflict-event data, directly matches C5 context terms",10,1,0.1,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
C5,SRC-06,DHPrep: Deep Hawkes Process based Dynamic Network Representation,0,general network-representation methodology,10,1,0.1,"first N records in provider's stable default/relevance order, as returned by the API (arXiv: default relevance order; Crossref: default relevance order; OSF: default order)"
