field,value
OPERATION,Hawkes V2 Divergent-First Ontology and Observation Remediation -- CHECKPOINT 1C NARROW CORRECTION
GOVERNING_INSTRUCTION,docs/CLAUDE_CHECKPOINT1_NARROW_CORRECTION_INSTRUCTION.md
PRIOR_INSTRUCTIONS,"docs/CLAUDE_HAWKES_V2_DIVERGENT_ONTOLOGY_OBSERVATION_REMEDIATION.md; docs/CLAUDE_CHECKPOINT1_EVIDENCE_AUDIT_AND_SUPPLEMENT_REQUEST.md"
AUTHORITATIVE_BASELINE_COMMIT,f7b26bb
ENTRY_DECISION,CONTINUE_F3_REMEDIATION_INCOMPLETE
ENTRY_GATE_DISTRIBUTION,0 PASS / 1 FAIL / 9 NOT_EVALUABLE
N_full_corpus,141
N_primary_set,86
corpus_mutated_this_operation,NO
AS86_mutated_this_operation,NO
DEDUP06_resolved_this_operation,NO
DEDUP06_status,UNRESOLVED
Hawkes_fitting_performed,NO
Hawkes_visualization_performed,NO
Hawkes_forecast_performed,NO
simulation_or_bootstrap_performed,NO
V2B_authorized_or_executed,NO
PhaseD_rerun,NO
CR1_unresolved_denominator_corrected,"11 -> 12 (confirmed by csv-module parse of HAWKES_BASELINE_V2_UNCERTAINTY_TYPE_LEDGER.csv)"
CR1b_additional_edge_count_corrected,"6 -> 5 (N_minimum=12, N_additional=5, |E_R|=17)"
CR2_mechanism_register_CSV_repaired,"YES -- MEC-02, MEC-08, MEC-15 requoted; 0 malformed rows remain"
CR3_epistemic_denominator_shift_labeled,YES
CR4_dedup06_row_order_corrected,YES
CR5_graph_node_set_gap_corrected,"YES -- G_reconsider added to documented V_R (15 nodes)"
CR6_WP_D9_structured_dialectic_added,YES
additional_CSV_malformations_found_and_repaired,"10 rows across 4 files not named by CR-1..CR-6: HAWKES_BASELINE_V2_EPISTEMIC_OBJECT_LEDGER.csv (4), HAWKES_BASELINE_V2_DEDUP06_ABDUCTIVE_MATRIX.csv (2), HAWKES_BASELINE_V2_EXPOSURE_INFORMATION_REQUIREMENTS.csv (1), HAWKES_BASELINE_V2_COMPARATOR_PREREQUISITE_MAP.csv (3) -- all requoted, zero content changed"
D0_zero_unauthorized_execution,1
D1_propositions_typed,NOT_EVALUABLE
D2_unresolved_blockers_uncertainty_typed,1
D3_dependency_graph_complete,1
D4_alternative_mechanisms_recorded,1
D5_DEDUP06_not_overresolved,1
D6_circular_exposure_not_promoted,1
D7_comparator_readiness_not_inferred_from_implementability,1
D8_causal_and_ontology_gates_remain_zero,1
D9_redteam_contradictions_retained,1
D10_false_convergence_count_zero,1
G_divergent,NOT_EVALUABLE
G_reconsider_future,0
N_outputs,10
N_false_convergence,0
N_unauthorized_execution,0
G_operation_complete,NOT_EVALUABLE (blocked solely by D1)
Hawkes_family_classification_preserved,"EXPLORATORY_CANDIDATE, NOT_RULED_OUT"
V2A_classification_preserved,MIXED_VALIDATION_RESULT
deliverable_1,HAWKES_BASELINE_V2_DIVERGENT_REASONING_MASTER_REPORT.md
deliverable_1_sha256,c59622841018e7f7305dc94d62fa110da05f34347a3e4941cd5801f42cab76eb
