source_id,decision_id,applicability_status,support_type,exact_scope,conflict_status,provenance_location,decision_ready_contribution,status,notes
SRC-08,SLR-DEC-05,CONDITIONAL_SUPPORT,CONDITIONAL,identity/authority confirmed but bulk-literature-search suitability unconfirmed - source may be includable conditional on further verification of that specific gap,NONE_FOUND,S1_B1_INDIVIDUAL_PROVIDER_ALLOWLIST.csv / S1_B1_PROVIDER_ALLOWLIST_VERIFICATION_AUDIT.md,PARTIAL - contributes evidence but does not alone satisfy S_j given the unresolved M_i/D_i gap,"PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-08,SLR-DEC-06,BACKGROUND_ONLY,INDIRECT,identity/authority evidence does not itself inform search-string construction; provider-syntax translation (a DEC-06-adjacent but distinct estimand per protocol Sec.11) remains separately unverified for this source,NONE_FOUND,S1_B1_INDIVIDUAL_PROVIDER_ALLOWLIST.csv / S1_B1_PROVIDER_ALLOWLIST_VERIFICATION_AUDIT.md,NO direct contribution,"PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-08,SLR-DEC-07,NOT_APPLICABLE,NONE,"pilot-source/family selection presupposes SLR-DEC-05/06 being adjudicated first; source-level scope verification alone cannot support pilot design (per protocol dependency: D5,D6->D7)",NONE_FOUND,S1_B1_INDIVIDUAL_PROVIDER_ALLOWLIST.csv / S1_B1_PROVIDER_ALLOWLIST_VERIFICATION_AUDIT.md,"NO contribution - transitively blocked, mapped only, not adjudicated","PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-08,SLR-DEC-08,NOT_APPLICABLE,NONE,seed-study set nomination is a researcher-driven decision independent of source-scope verification (protocol Sec.14: seed studies must not be populated from memory/inferred from source lists),NONE_FOUND,S1_B1_INDIVIDUAL_PROVIDER_ALLOWLIST.csv / S1_B1_PROVIDER_ALLOWLIST_VERIFICATION_AUDIT.md,NO contribution,"PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-12,SLR-DEC-05,DIRECT_SUPPORT,DIRECT,source's own verified role (discovery-only) directly informs whether/how it may be included in the frozen source set S_A,NONE_FOUND,S1_B1_INDIVIDUAL_PROVIDER_ALLOWLIST.csv / S1_B1_PROVIDER_ALLOWLIST_VERIFICATION_AUDIT.md,YES - satisfies S_j for this source's own inclusion question,"PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-12,SLR-DEC-06,BACKGROUND_ONLY,INDIRECT,source's discovery-only role has no bearing on search-string syntax/family design specifically,NONE_FOUND,S1_B1_INDIVIDUAL_PROVIDER_ALLOWLIST.csv / S1_B1_PROVIDER_ALLOWLIST_VERIFICATION_AUDIT.md,"NO direct contribution - relevant to DEC-05, not DEC-06","PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-12,SLR-DEC-07,NOT_APPLICABLE,NONE,"pilot-source/family selection presupposes SLR-DEC-05/06 being adjudicated first; source-level scope verification alone cannot support pilot design (per protocol dependency: D5,D6->D7)",NONE_FOUND,S1_B1_INDIVIDUAL_PROVIDER_ALLOWLIST.csv / S1_B1_PROVIDER_ALLOWLIST_VERIFICATION_AUDIT.md,"NO contribution - transitively blocked, mapped only, not adjudicated","PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-12,SLR-DEC-08,NOT_APPLICABLE,NONE,seed-study set nomination is a researcher-driven decision independent of source-scope verification (protocol Sec.14: seed studies must not be populated from memory/inferred from source lists),NONE_FOUND,S1_B1_INDIVIDUAL_PROVIDER_ALLOWLIST.csv / S1_B1_PROVIDER_ALLOWLIST_VERIFICATION_AUDIT.md,NO contribution,"PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-13,SLR-DEC-05,CONDITIONAL_SUPPORT,CONDITIONAL,identity/authority confirmed but bulk-literature-search suitability unconfirmed - source may be includable conditional on further verification of that specific gap,NONE_FOUND,S1_B1_INDIVIDUAL_PROVIDER_ALLOWLIST.csv / S1_B1_PROVIDER_ALLOWLIST_VERIFICATION_AUDIT.md,PARTIAL - contributes evidence but does not alone satisfy S_j given the unresolved M_i/D_i gap,"PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-13,SLR-DEC-06,BACKGROUND_ONLY,INDIRECT,identity/authority evidence does not itself inform search-string construction; provider-syntax translation (a DEC-06-adjacent but distinct estimand per protocol Sec.11) remains separately unverified for this source,NONE_FOUND,S1_B1_INDIVIDUAL_PROVIDER_ALLOWLIST.csv / S1_B1_PROVIDER_ALLOWLIST_VERIFICATION_AUDIT.md,NO direct contribution,"PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-13,SLR-DEC-07,NOT_APPLICABLE,NONE,"pilot-source/family selection presupposes SLR-DEC-05/06 being adjudicated first; source-level scope verification alone cannot support pilot design (per protocol dependency: D5,D6->D7)",NONE_FOUND,S1_B1_INDIVIDUAL_PROVIDER_ALLOWLIST.csv / S1_B1_PROVIDER_ALLOWLIST_VERIFICATION_AUDIT.md,"NO contribution - transitively blocked, mapped only, not adjudicated","PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-13,SLR-DEC-08,NOT_APPLICABLE,NONE,seed-study set nomination is a researcher-driven decision independent of source-scope verification (protocol Sec.14: seed studies must not be populated from memory/inferred from source lists),NONE_FOUND,S1_B1_INDIVIDUAL_PROVIDER_ALLOWLIST.csv / S1_B1_PROVIDER_ALLOWLIST_VERIFICATION_AUDIT.md,NO contribution,"PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-01,SLR-DEC-05,REQUIRES_REVIEW,NONE,no verification evidence exists; inclusion/exclusion cannot be supported either way,N/A - insufficient evidence to assess conflict,NONE_CAPTURED,NO - contributes nothing to S_j until evidence is captured,"PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-01,SLR-DEC-06,NOT_APPLICABLE,NONE,no evidence exists to inform string design for this source,N/A - insufficient evidence to assess conflict,NONE_CAPTURED,NO contribution,"PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-01,SLR-DEC-07,NOT_APPLICABLE,NONE,"pilot-source/family selection presupposes SLR-DEC-05/06 being adjudicated first; source-level scope verification alone cannot support pilot design (per protocol dependency: D5,D6->D7)",N/A - insufficient evidence to assess conflict,NONE_CAPTURED,"NO contribution - transitively blocked, mapped only, not adjudicated","PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-01,SLR-DEC-08,NOT_APPLICABLE,NONE,seed-study set nomination is a researcher-driven decision independent of source-scope verification (protocol Sec.14: seed studies must not be populated from memory/inferred from source lists),N/A - insufficient evidence to assess conflict,NONE_CAPTURED,NO contribution,"PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-02,SLR-DEC-05,REQUIRES_REVIEW,NONE,no verification evidence exists; inclusion/exclusion cannot be supported either way,N/A - insufficient evidence to assess conflict,NONE_CAPTURED,NO - contributes nothing to S_j until evidence is captured,"PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-02,SLR-DEC-06,NOT_APPLICABLE,NONE,no evidence exists to inform string design for this source,N/A - insufficient evidence to assess conflict,NONE_CAPTURED,NO contribution,"PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-02,SLR-DEC-07,NOT_APPLICABLE,NONE,"pilot-source/family selection presupposes SLR-DEC-05/06 being adjudicated first; source-level scope verification alone cannot support pilot design (per protocol dependency: D5,D6->D7)",N/A - insufficient evidence to assess conflict,NONE_CAPTURED,"NO contribution - transitively blocked, mapped only, not adjudicated","PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-02,SLR-DEC-08,NOT_APPLICABLE,NONE,seed-study set nomination is a researcher-driven decision independent of source-scope verification (protocol Sec.14: seed studies must not be populated from memory/inferred from source lists),N/A - insufficient evidence to assess conflict,NONE_CAPTURED,NO contribution,"PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-03,SLR-DEC-05,REQUIRES_REVIEW,NONE,no verification evidence exists; inclusion/exclusion cannot be supported either way,N/A - insufficient evidence to assess conflict,NONE_CAPTURED,NO - contributes nothing to S_j until evidence is captured,"PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-03,SLR-DEC-06,NOT_APPLICABLE,NONE,no evidence exists to inform string design for this source,N/A - insufficient evidence to assess conflict,NONE_CAPTURED,NO contribution,"PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-03,SLR-DEC-07,NOT_APPLICABLE,NONE,"pilot-source/family selection presupposes SLR-DEC-05/06 being adjudicated first; source-level scope verification alone cannot support pilot design (per protocol dependency: D5,D6->D7)",N/A - insufficient evidence to assess conflict,NONE_CAPTURED,"NO contribution - transitively blocked, mapped only, not adjudicated","PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-03,SLR-DEC-08,NOT_APPLICABLE,NONE,seed-study set nomination is a researcher-driven decision independent of source-scope verification (protocol Sec.14: seed studies must not be populated from memory/inferred from source lists),N/A - insufficient evidence to assess conflict,NONE_CAPTURED,NO contribution,"PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-04,SLR-DEC-05,REQUIRES_REVIEW,NONE,no verification evidence exists; inclusion/exclusion cannot be supported either way,N/A - insufficient evidence to assess conflict,NONE_CAPTURED,NO - contributes nothing to S_j until evidence is captured,"PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-04,SLR-DEC-06,NOT_APPLICABLE,NONE,no evidence exists to inform string design for this source,N/A - insufficient evidence to assess conflict,NONE_CAPTURED,NO contribution,"PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-04,SLR-DEC-07,NOT_APPLICABLE,NONE,"pilot-source/family selection presupposes SLR-DEC-05/06 being adjudicated first; source-level scope verification alone cannot support pilot design (per protocol dependency: D5,D6->D7)",N/A - insufficient evidence to assess conflict,NONE_CAPTURED,"NO contribution - transitively blocked, mapped only, not adjudicated","PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-04,SLR-DEC-08,NOT_APPLICABLE,NONE,seed-study set nomination is a researcher-driven decision independent of source-scope verification (protocol Sec.14: seed studies must not be populated from memory/inferred from source lists),N/A - insufficient evidence to assess conflict,NONE_CAPTURED,NO contribution,"PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-05,SLR-DEC-05,REQUIRES_REVIEW,NONE,no verification evidence exists; inclusion/exclusion cannot be supported either way,N/A - insufficient evidence to assess conflict,NONE_CAPTURED,NO - contributes nothing to S_j until evidence is captured,"PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
SRC-05,SLR-DEC-06,NOT_APPLICABLE,NONE,no evidence exists to inform string design for this source,N/A - insufficient evidence to assess conflict,NONE_CAPTURED,NO contribution,"PENDING_RESEARCHER_DECISION (mapping only, not an adjudication)",
