# WORKING CROSS-CASE RESEARCH ARTIFACT
# NOT PRODUCTION DATA
# NO ONTOLOGY IMPLEMENTATION EXECUTED
case_id,case_title,date_start,date_end,locations,actor_ids,factions,named_office_holders,source_collections,provenance_composition,source_asymmetry,parent_episode_ids,primary_objects_of_dispute,commercial_stakes,military_stakes,political_stakes,resource_stakes,formal_instruments,observed_actions,claims,control_observations,compliance_observations,coercion_observations,negotiation_observations,alliance_observations,local_voice_status,mandate_status,resistance_status,interpretive_status,researcher_review_required,notes
CASE-01,PAINAN_1663,1662-11,1687-01,"Painan (fort, treaty site); Sillida (Batang Capas link, capture site 1687)","ACTOR_MUHAMMAD_SYAH_FACTION;ACTOR_RAJA_ADIL_FACTION;ACTOR_VOC;ACTOR_ACEH_COURT;ACTOR_GROENEWEGEN;ACTOR_MANSUR_SYAH (per the reviewed relational artifact, not ledger row IDs)",Muhammad Syah faction; Raja Adil faction (11-of-20 menteri); 9-of-20 loyal menteri,Muhammad Syah; Raja Adil; Mansur Syah (agent-signatory); Groenewegen (VOC negotiator),"CD_PRIMARY (rows 35,37,39 series, per recovered deep dive); Kathirithamby-Wells 1976 (secondary academic)",CD_PRIMARY=majority for treaty text; CD_INDEPENDENT for K-W-sourced narrative detail,VOC_DOMINANT (per recovered artifact's own dyad tests),"EP-1662-1663-SONGYPAGOUERS-SECESSION (Indrapura strand, ledger); Painan itself not a ledger EP row -- documented in the separate relational artifact, not the 79-row ledger",trade exclusivity/monopoly; restoration backing for Muhammad Syah; fort/port ownership,"pepper monopoly, toll exemption",restoration backing capacity; 1665 punitive expedition against Raja Adil,succession legitimacy; Aceh-vs-VOC alignment,pepper trade,"Painan Tractaat 1663 (9 relations, per reviewed artifact); 27 Jul 1663 Songypagouers confederation instrument",treaty signing; Oct 1663 Aceh reconciliation; 1665 punitive expedition,"VOC claims jurisdiction/monopoly over confederation (CLAIMS_JURISDICTION_OVER, 2 instances per artifact)",CONTESTED_CONTROL for VOC's claim over Muhammad Syah faction's subsequent conduct (per artifact PWR03 finding),partial -- treaty signed but Oct 1663 reconciliation with Aceh directly contradicts exclusivity,1665 punitive expedition against Raja Adil (MILITARY_PRESENCE),Groenewegen negotiates 1662-63; Mansur Syah signs at Batavia as agent,"MAINTAINS_PARALLEL_ALIGNMENT_WITH (VOC) concurrent with RECONCILES_WITH (Aceh), Oct 1663 -- the project's clearest concurrent-parallel-alignment case","mediated -- treaty first-person declarations are VOC/French-drafted-instrument convention, not independently verified local speech",contested/unresolved for Muhammad Syah's own faction leadership vs. Raja Adil's 11-of-20 menteri backing,"NOT_TESTABLE (per reviewed artifact, no dyad reaches resistance-relevant classification; ledger rows for Painan proper are limited, see notes)",CONTESTED (per recovered deep dive's own final interpretive status: PAINAN_CAUSAL_ACCOUNT_PARTIALLY_SUPPORTED / CONTESTED-MECHANISM_HYPOTHESIS),YES,"Painan's own primary documentation lives in the separate, already-reviewed relational artifact (data/power_relations/painan_1663_relational_research_artifact.json, 6 actors, 9 relations) and the recovered deep-dive/audit trail, NOT primarily in the 79-row interpretive ledger -- only 2 ledger rows (EVT-1681-CD3-271-3780, EVT-1687-buku-vogel-1690-467-82b3) directly name Painan as a location. This matrix row synthesizes the already-reviewed artifact findings without re-deriving or altering them."
CASE-02,INDRAPURA_1662_1686,1636-09-24,1755-02-15,Indrapura,not persistent-ID'd in the ledger; named by title/relation only (see named_office_holders),Muhammad Syah faction (cross-ref Painan); no distinct Indrapura-only faction documented beyond that,Sulthan Mamet-chia; Malafarcha; Sultan Mametcha; various dated regents across 1636-1755,CD (multiple volumes); buku-vogel-1690 (independent memoir tier); GM vol.04-05; CD6,mixed CD_PRIMARY and CD_INDEPENDENT across 8 rows,VOC_ONLY=3; VOC_DOMINANT=5,EP-1660-CD2-INDRAPOURA-JURISDICTION-AND-GIFTS; EP-1662-1663-SONGYPAGOUERS-SECESSION,jurisdiction/gift schedule (1660); secession from Aceh (1662-63); English defection (1686); return to VOC (1716),"annual gift schedule (cloth, mirrors); pepper",not itemized in most rows beyond alignment-shift context,"repeated alignment-cycling among Aceh, VOC, and England across an 80-year span",not primary,1660 jurisdiction clause; 27 Jul 1663 confederation instrument; 1716 return treaty,1686 defection to England (buku_vogel_1690); 1716 return to VOC; 1755 renewal (part of the wider campaign),VOC claims jurisdiction 1660; English claim 1686-1716,repeated relapse/return pattern across 80 years -- durable control not evidenced by any single instrument,"intermittent, per the repeated-cycling pattern",not directly itemized in the 8 rows examined,1660 gift-schedule negotiation; cross-referenced Groenewegen brokerage (Painan-adjacent),"SWITCHES_ALIGNMENT_TO (Aceh->VOC 1662-63; VOC->England 1686; England->VOC 1716) -- SEQUENTIAL, not concurrent, unlike Painan's own Oct-1663 case",largely mediated through VOC/German-memoir (Vogel) sources; no independently-surviving Indrapura-authored text identified,not independently tested per-row in this batch's own material; cross-referenced to the Painan artifact's own Muhammad-Syah-faction mandate ambiguity,NOT_SUPPORTED=2; PARTIALLY_SUPPORTED=1; NOT_TESTABLE=5,mixed: SOURCE_DESCRIPTION_ONLY=5; MECHANISM_HYPOTHESIS=2; PROCESS_TRACING_SUPPORTED=1,YES,"Indrapura's own long alignment-cycling record (1636-1755) is this project's clearest SEQUENTIAL (not concurrent) patron-switching case, directly complementing Painan 1663's concurrent-parallel-alignment finding for the same underlying ruling house/territory at an earlier date."
CASE-03,NATAL_1760,1760-03-06,1760-10-06,Natal (fort),6 actors per Batch I9 (Dato's-bazaer Radja-putti-katy; Sulthan Bagindo Maharadja-Lelo; hoofdregent Baginda Maharadja Lello; radja Darat; 7 ponghoulous; VOC institution; commandeur Senff; commandant Carpentier; Comte d'Estaing),none documented -- individually named signatories only,Dato's-bazaer Radja-putti-katy; Sulthan Bagindo Maharadja-Lelo; hoofdregent Baginda Maharadja Lello; radja Darat; commandeur Christiaan Lodewijk Senff,"CD6 (traktat MXXVI, MXXXI); GM Deel13 (independent corroboration, mechanism/existence only)",CD_PARTIAL for both rows (per Batch I9's own assignment),VOC_DOMINANT=2,EP-1760-NATAL-ANGLO-FRENCH-VOC-TRANSFER,fort ownership (Mar 1760); renewed trade/toll terms following an English-influence relapse (Oct 1760),"capped, explicitly reciprocal cloth-toll rate (1 rijksdaalder/thail); mountain-trader toll exemption",French squadron (2 ships) captures fort from English; VOC commandant posted (Senff) after Oct 1760,deliberate French pass-through-via-local-rulers procedure to avoid a European neutrality dispute,not primary (contrast Sillida/Tiku salt-pepper stakes),4-document chain (Ordre; Acte van Overgaaf; acceptatie; cessie) for the March transfer; a full renewed treaty for October,"English fort-building (undated); French capture (early 1760); local cession (Mar); English-influence relapse (undated, pre-1760); October treaty renewal","CLAIM/FORMAL_ACCEPTANCE (March, fort ownership only); VOC's own Padang officials documented HESITANT to accept the claim","March = claim only, no effective control (Padang hesitation, deferred to Batavia); October = effective control evidenced (Senff's posting, independently GM-confirmed)","Oct 1760 treaty's own reciprocal toll-restraint clause is a genuinely mutual-commitment structure, comparatively unusual","English 'persuasion and threats/force' during the undocumented pre-1760 relapse period, per VOC's own compound account","Carpentier executes d'Estaing's order as agent, no principal-agent gap flagged","SEQUENTIAL relapse-then-restoration (VOC->English->VOC), not concurrent -- distinct pattern from Painan's own concurrent case","present in form (first-person 'Wy' declaration, March instrument) but VOC/French-drafted-instrument convention, not independently verified",not independently traceable beyond the instruments' own self-description of the signatories as regents/sovereigns,NOT_TESTABLE=2,MECHANISM_HYPOTHESIS (March); CONTESTED (October),YES,"Cleanest documented claim-vs-effective-control gap in this project's whole ledger, since VOC's OWN institutional hesitation (Padang deferring to Batavia) is independently on record, not merely inferred from later local conduct."
CASE-04,KOTO_TANGAH_1670_1686,1660,1755,"Koto Tangah; Ulakan (1738, distinct mountain-peoples actor, not merged with the coastal polity)",not persistent-ID'd; named per row (see named_office_holders),pro-Aceh faction (1684 rebellion); no faction documented for the 1670/1678/1682/1686 destruction years individually,"10 Cotatenga envoys (1682, unnamed individually); regents (1684, unnamed individually); no individual named before 1682 in this batch's own material","buku-padang-1718 (secondary academic, Valentijn-derived for 1670); CD3 (primary, 1680/1682/1684); Vogel Anhang (independent memoir, sole source for 1678/1686)","PROVENANCE_AMBIGUOUS (1670, secondary-only); CD_PRIMARY (1682/1684); CD_INDEPENDENT (1678/1686, Vogel-only)",VOC_DOMINANT=6; VOC_ONLY=5,"EP-1670-1682-KOTOTANGAH-4XDESTRUCTIONCYCLE; EP-1705-1712-KOTOTANGAH-LOYALTYCONSOLIDATION (member 1712 only, 1705 member already ledgered under Batch I5)","repeated 'oath-breaking'/loyalty allegations (1670-1686 cycle); jurisdictional dispute with Panglima Padang (1705, already ledgered elsewhere); illegal salt refining (1738)","salt production (1738, distinct mechanism from the loyalty-oath cycle)",4 documented/alleged VOC destructions (1670 independently sourced; 1678/1686 Vogel-only; 1682 CD-primary),whether repeated destruction evidences control or its failure (this project's central REPEATED_COERCION/FAILED_DETERRENCE test case),salt (1738),"1671 post-destruction treaty (Raja Minangkabau mediated); 1680 Laurens Pit submission treaty; 1682 pardon instrument; 1755 renewal (possible CD6-template duplicate, unresolved)",1670/1678/1682/1686 destructions; 1671 exile-and-return; 1712 military support vs. Raja Johan; 1738 salt-refinery destruction,"repeated VOC punitive-classification claims ('unfaithful nature,' 'vielfältigen Meineydes')","repeated destruction read as evidence AGAINST durable effective control, per this batch's own explicit finding -- not proof of control","1712 military support is the first sustained, unforced-looking cooperation in the whole sequence, arriving 35 years and up to 4 destructions after 1670",REPEATED_COERCION and FAILED_DETERRENCE directly evidenced (1670->1671 relapse explicitly documented as short-lived by the source itself),Raja Minangkabau's own third-party mediation secures the 1671 return -- not a bilateral VOC-Koto-Tangah resolution,no diversification/parallel-alignment evidence; each destruction year's own actor/cause is separately and often thinly evidenced,absent throughout; no local voice quoted in any of the 11 rows,"unresolved -- Sire-Narra/Gouverneur-Pouti identity hypothesis explicitly CANNOT_DETERMINE (Phase B finding, reused)",NOT_TESTABLE=9; NOT_SUPPORTED=2 -- no row reaches SUPPORTED or PARTIALLY_SUPPORTED for resistance-to-VOC specifically,"mixed, dominated by SOURCE_DESCRIPTION_ONLY and CANNOT_DETERMINE for the Vogel-only years",YES,This project's primary test case for REPEATED_COERCION/FAILED_DETERRENCE as mechanism annotations (not relations) and for resisting the temptation to read repeated destruction as cumulative control-building.
CASE-05,TIKU_1625_1740,1625-10,1740,Tiku (Ticco/Ticou),not persistent-ID'd; named per row,none documented within Tiku itself in this batch's own 7 rows,"panglima Soureradja (1662, individually named); Raja Ibrahim (1740, penghulu kepala); Raja Kinali (1740, local rival); Sontan Macona (1740, successor penghulu kepala)","VOC trade records (1625); Aceh crown instrument (1641); CD (1649,1684); GLOBALISE/Huygens translation pipeline (1662, distinct from this project's CD/OCR pipeline); buku-padang-1718 (1740); GM/RGP editorial (c.1693-95)","CD_PRIMARY (1625); CD-tier (1641); CANNOT_DETERMINE (1649, full text not re-read); CD_INDEPENDENT (1662); CD_PRIMARY (1684); secondary_academic (1740); CD_INDEPENDENT-editorial (1693-95)",VOC_ONLY=3; VOC_DOMINANT=2; MIXED=1; CANNOT_DETERMINE=1,"none pre-existing for the 7 CORE_I11 rows; cross-referenced to EP-1662-1663-SONGYPAGOUERS-SECESSION (1663 confederation, already ledgered) and EP-1656-1657-VOC-ATJEH-WAR-SILLIDA-CORE-CONTENT (1656 war declaration, already ledgered)",pepper trade damage under Aceh's monopoly (1625); toll policy (1641); fixed pepper price (1649); secession from Aceh (1662); rebellion/pro-Aceh faction (1684); illegal salt/local rivalry (1740),"pepper (primary, 1625/1641/1649); salt (1740)","1684 subduing expedition (parallel to Pariaman's own, one day earlier)","Soureradja's own explicit, self-narrated Aceh-to-VOC secession (1662) -- the batch's richest local-agency case",pepper; salt,1649 fixed-price treaty (joint with Priaman/Indrapoura); 1684 pardon/reconciliation instrument (CD3 CDLXXV),1662 secession negotiation with Groenewegen; 1684 rebellion and subduing; 1740 killing of Raja Ibrahim by Raja Kinali's men,Aceh's own 1641 toll-policy claim over Tiku,1641 claim without documented on-the-ground Aceh official; 1684 shows the 1662/1663-era VOC claim itself proving imperfect 21-22 years later,fragmentary across 115 years -- no single continuous compliance record,1684 military subduing following rebellion,Soureradja negotiates with Groenewegen 1662 (same broker as Painan and Koto Tangah 1665),"clean single-direction switch (Aceh->VOC, 1662) -- no diversification/hedging evidence found","LOCAL_VOICE_PRESENT in row 33 only (Soureradja's own self-narrated origin account, translated, VOC-recorded) -- the strongest local-voice case in this project's ledger alongside Painan's own DYAD02","comparatively strong for row 33 (explicit collective mandate, 'kami bersama para pembesar dari 12 desa'); unresolved/absent for all other rows","NOT_TESTABLE=6; NOT_SUPPORTED=1 -- the one self-narrated resistance act (row 33) targets ACEH, not VOC, kept analytically separate per this batch's own instruction","HIGH evidence_strength for row 33 (PROCESS_TRACING_SUPPORTED); LOW/CANNOT_DETERMINE for the thinnest rows (1649, 1693-95)",YES,"Patron-client explicitly NOT classified for either the Aceh-Tiku or VOC-Tiku relationship (Batch I11's own explicit non-finding) -- the evidentiary basis is too fragmented across 115 years to meet this project's own evidentiary bar, unlike Natal's denser 1693-1755-1760 chain."
CASE-06,SILLIDA_RESOURCE_GOVERNANCE,1648,1755-02-05,"Sillida/Salido; Pulau Cingkuak (1667, 1681); Bayang (1679, gold vein boundary)",not persistent-ID'd; named per row,none documented as internally Sillida-specific in the 10 rows reviewed,"Radja Nanxatti (1737, pongul Kleyn Zillida); Siry Narra (1680, governor, cross-referenced to the Songypagouers confederation)",CD2/CD3/CD4/CD5/CD6 across the full span; mixed provenance,mixed CD_PRIMARY across most rows,VOC_DOMINANT=5; VOC_ONLY=4; LOCAL_VOICE_PRESENT=1,EP-1656-1657-VOC-ATJEH-WAR-SILLIDA-CORE-CONTENT; EP-1667-SILLIDA-CINGKUAK-SURRENDER,"gold mine control/boundary (1679, Bayang-Sillida); fort/territorial cession (1667); tribute/resource governance across the 1648-1755 span","gold mining (Kleyn Zillida, 1737 lease with retained VOC sovereignty rights); the Sillida mine's own coerced-labor economy (cross-referenced to the constrained-agency armed-slave-company material documented in the Vogel-sourced 1687 rows, allocated to CASE-06/CASE-09 boundary)",1656-57 VOC-Aceh war core content; 1667 formal cession of Sillida and Pulau Cingkuak,transition from Aceh-dominion to VOC-alliance status across the 1656-67 window,gold (primary); this project's main resource-governance test case,1667 Sillida & Pulau Cingkuak cession; 1737 gold-mine lease retaining VOC sovereignty rights,"1663 events (war-adjacent); 1664 events; 1681 events (Painan land-route cession, cross-referenced)","VOC's own retained-sovereignty claim over the leased 1737 gold mine, distinct from the lease/operational-control relationship itself",CLAIM (sovereignty retained by treaty text) vs. COMMERCIAL_CONTROL (operational lease) kept analytically distinct in the 1737 row,not itemized as a single continuous record across the 10 rows,the 1656-57 war's own core content (shared with CASE-12),1667 cession negotiation (parallel to the confederation-era diplomacy documented elsewhere),"transition from Aceh dominion to VOC alliance, 1656-67","largely mediated; 1 row (source_asymmetry LOCAL_VOICE_PRESENT) carries some local-voice content, not further detailed in this synthesis without re-reading that row's own full text",not independently tested per-row in this batch's own material,NOT_TESTABLE=9; NOT_SUPPORTED=1,"mixed, LOW=4/MODERATE=6",YES,"CONSTRAINED-AGENCY CROSS-REFERENCE: the armed, enslaved companies drawn from the Sillida mine's own labor force (documented in the Vogel-sourced 1687 rows allocated primarily to Batch I2/I3's own Barus/Sillida-adjacent material, not re-ledgered by this review) are this project's primary test case for Part B item 14 of the governing plan -- their own political agency is explicitly recorded CANNOT_DETERMINE in the underlying ledger rows, never asserted as either voluntary alliance or resistance. This review reuses that finding, does not re-derive it."
CASE-07,BATANG_CAPAS_1686,1686-09-01,1686-09-22,"Batang Capas (near Painan, ~4 miles from Pulau Cingkuak)",not persistent-ID'd in the ledger,not documented in this single-row episode,per the episode's own already-completed Batch I8 treatment (not re-derived here),"mixed, per the episode's own VALID_MULTI_EVENT_EPISODE Phase B status",HIGH evidence_strength (the highest-rated single case-episode in this project's ledger alongside Painan/Natal's HIGH rows),MIXED,EP-1686-BATANG-CAPAS-RECAPTURE,EIC-VOC confrontation over the Batang Capas post following the 1686 Mametchia/Inderapura defection to England,not primary; the confrontation is political/military,"VOC recapture action, per the episode's own title","direct EIC-VOC confrontation, one of this project's few directly-documented inter-European-company confrontations on this coast alongside Natal 1760's Anglo-French-VOC case",not primary,"per Batch I8's own already-completed analysis, not re-derived here",VOC recapture of the post,VOC reasserts jurisdiction following the English-aligned interval,per Batch I8's own findings (not re-derived); PROCESS_TRACING_SUPPORTED interpretive status,not re-derived,military recapture action,not itemized in this single-row synthesis without re-opening Batch I8's own full material,directly linked to Inderapura's own 1686 defection (CASE-02) -- the two cases share the same underlying regional destabilization episode,not re-derived in this synthesis,not re-derived in this synthesis,NOT_TESTABLE,PROCESS_TRACING_SUPPORTED,YES,"This review does not re-open or re-derive Batch I8's own already-completed and approved findings; this matrix row reuses only the fields directly visible in the 79-row ledger's own summary columns. A fuller Batang Capas treatment would require re-reading the Batch I8 audit section directly, not attempted in this cross-case pass given the read-only, non-re-derivation mandate."
CASE-08,PADANG_OFFICE_AND_SUCCESSION,1671-08-01,1782-03,Padang,not persistent-ID'd; named per row,"per Batch I5's own already-completed material (Sire Narra/Nachoda Poety accusation, 1676; Panglima Jelel's overthrow, 1782) -- not re-derived here","Panglima Mara Laout (1705, oath renewal); Panglima Jelel (1782, overthrown)",CD2/CD4; gm-vol04-05; kathirithamby-1965 (secondary academic),mixed CD_PRIMARY and secondary_academic,VOC_ONLY=3; VOC_DOMINANT=3,none of the 6 rows in this case carry a shared parent episode ID visible in this batch's own summary columns; each is a discrete Panglima-Padang-office event across 111 years,"Padang governance reorganization (1671); panglima oath renewal (1705); jurisdictional dispute with Koto Tangah (1705, cross-ref CASE-04); accusation of backing a rival claimant (1676); overthrow of Panglima Jelel (1782)","toll administration (1671, post-Aceh-secession reorganization)",1676 attack on Padang by Koto Tangah and Pauh,office continuity/succession at Padang across more than a century -- this project's primary panglima-office test case,not primary,"1705 oath renewal; 1705 Koto-Tangah-Panglima-Padang jurisdictional treaty (cross-ref CASE-04, already ledgered)",1676 attack; 1782 overthrow,"Panglima Padang's own claimed jurisdiction over Koto Tangah, the direct dispute object of the already-ledgered 1705 treaty",not synthesized further without re-opening Batch I5's own full material,not synthesized further,1676 attack; 1782 overthrow (both violent office-continuity disruptions),1705 oath renewal,not itemized in this synthesis,not re-derived,"the Panglima Padang office's own claimed jurisdiction over Koto Tangah is the central mandate question tested (in Koto Tangah's own already-ledgered 1705 row, CASE-04), not re-derived here",NOT_TESTABLE=4; PARTIALLY_SUPPORTED=2,mixed,YES,"This review does not re-open Batch I5's own already-completed and approved findings on the Sire-Narra/Nachoda-Poety identity question or the Panglima Jelel overthrow; those verdicts stand unaltered. The Panglima-Padang-vs-Koto-Tangah jurisdictional relationship itself is the clearest CASE-04/CASE-08 boundary-spanning relationship in this project, evidencing this review's own finding (§10 below) that political-office jurisdiction claims frequently span what a purely place-based case division would separate."
CASE-09,BARUS_FACTIONAL_AND_COMMERCIAL_EPISODES,1668-04-29,1775-01-23,"Barus; Batahan/Batak Dairi lands (subordinate/adjacent); Chincol/Singkil (co-signatory); Sorkam/Kolang (related, not core)",not persistent-ID'd; named per row,"Hoeloe/Ilir factions (per the governing plan's own §11 candidate list, tested within the already-completed EP-1694-BAROS-CIVILWAR-RESTRUCTURING episode, not re-derived here)",landsheeren/Grooten van Baros; radja Doulou (d'Oulou/Hoeloe); radja Disheer/Ilhe (per the row this review sampled earlier in this session),CD2/CD3/CD4/CD5/CD6 across the full 107-year span,CD_PRIMARY for most of the 12 rows; MULTI_SOURCE_VERIFIED components per the episode's own already-completed treatment,VOC_DOMINANT=7; VOC_ONLY=5,EP-1668-1681-BARUS-SECESSION-AND-CONSOLIDATION; EP-1694-BAROS-CIVILWAR-RESTRUCTURING,secession from Aceh (1668); civil-war restructuring (1693-94); repeated treaty renewal (1671-1775),camphor and benzoin trade monopoly; toll revenue,"1693 internal Hoeloe/Ilir tension (per the already-sampled row, resolved by mediation not escalation)",regional realignment from the Aceh sphere to the Minangkabau/VOC sphere,camphor; benzoin,1668 secession treaty; 1670 renewal (external reference); 1673 mediated intervention; further renewals through 1775,"repeated multi-generational voluntary-appearing renewal across 22+ years (1668-1690), extended to 1775 across the fuller 12-row set",perpetual renunciation of Aceh suzerainty (Barus's own stated obligation per the 1668 treaty),not further synthesized without re-opening the already-completed Batch I1/I2 material,"repeated voluntary-appearing renewal pattern across multiple successive rulers, per the episode's own already-completed characterization",not primary to this episode's own characterization (contrast Koto Tangah's own destruction-cycle pattern),1673 VOC-mediated internal dispute resolution,ALLIANCE_SWITCHING (primary) per the episode's own already-assigned mechanism_candidates; COMMERCIAL_STRATEGY (secondary),local voice for the stated Aceh grievance is entirely mediated through VOC (per the episode's own already-completed audit finding),not re-derived,NOT_SUPPORTED=4; PARTIALLY_SUPPORTED=1; NOT_TESTABLE=7,"MECHANISM_HYPOTHESIS (primary, per the episode's own already-assigned status)",YES,"This is a resistance-to-Aceh narrative, not a resistance-to-VOC narrative, per the episode's own already-completed and approved finding (flagged in Batch I1/I2's own audit, not altered here). This project's most temporally extensive single-location case (107 years), providing the longest available continuity test for actor/office persistence."
CASE-10,PARIAMAN_ACTOR_AGGREGATION,1661-12,1781-10,"Pariaman; Oulaccan; Sonor; Bintoengantingi; Lima-cotta (jointly named in the 1712 relapse treaty, cross-ref CASE-05/Tiku)",not persistent-ID'd; named per row,not documented as internally Pariaman-specific in the 10 rows reviewed beyond the panglima's own 1661 poisoning suspicion,"unnamed panglima (1661, died suddenly, suspected poisoning)",CD2/CD3/CD4/CD5; botham-letter-1781,mixed CD_PRIMARY across most rows,VOC_ONLY=5; VOC_DOMINANT=5,EP-1664-1665-ACEH-EXPULSION-CAMPAIGN-PRIAMAN-CONTENT,"panglima succession/poisoning suspicion (1661); recurring Aceh-relapse cycle (1678/1684/1689/1712, per this project's own already-noted pattern); 1741 fort/cannon abandonment; 1781 EIC-era events","toll/trade restrictions imposed in the 1712 relapse-punishment treaty (Aceh trade/contact explicitly barred, ships confiscated and proceeds split 50/50 VOC-regenten)","19-20 Jun 1684 subduing (day before Tiku's own parallel subduing, CASE-05); 1665 Aceh-expulsion-campaign core content","THIS PROJECT'S CLEAREST ACTOR-AGGREGATION TEST CASE (per the governing plan's own §10, 'Pariaman as location != Priamanners as source category != named local rulers != community with demonstrated mandate') -- the recurring '(regenten) Priaman dkk' collective label spans at least 6 dated rows without individual actor continuity being established across them",not primary,1712 relapse-punishment treaty (explicit Aceh-contact ban); other renewal instruments across the span,"1661 sudden death; 1678/1684/1689/1712 relapse-and-resubduing cycle (the LONGEST such gap in this project, ~20 years before the 1712 resubduing, per the already-completed project note)",VOC's own repeated re-assertion of exclusive alliance across 4 documented relapse-and-resubduing instances,"the repeated relapse pattern itself is direct evidence against durable effective control, parallel to Koto Tangah's own finding (CASE-04) via a different mechanism (alliance relapse to Aceh rather than destruction-and-rebuild)",intermittent across a 120-year span,1684 subduing; 1712 punitive trade-ban treaty,not itemized further without re-opening the already-completed underlying batch material,"repeated SWITCHES_ALIGNMENT_TO (Aceh) and back, at least 4 documented cycles",not established as present in any of the 10 rows reviewed,UNRESOLVED across the whole case -- this is precisely the actor-aggregation problem the governing plan's §10 guard is designed to test,NOT_TESTABLE=8; NOT_SUPPORTED=1; PARTIALLY_SUPPORTED=1,"mixed, CONTESTED for the 1712 row specifically",YES,"PRIMARY TEST CASE for the Actor-vs-Location guard (§10 of the governing plan, see also §8 of this review's main document): 'Pariaman'/'Priaman dkk' functions across this case's 10 rows predominantly as a SOURCE CATEGORY/COLLECTIVE LABEL, not as a single political actor with demonstrated continuous mandate -- this review's finding is that no persistent ActorFaction or Actor ID should be minted for 'Pariaman' as a whole without per-instance actor identification, which the underlying ledger rows themselves do not supply."
