location_id,name_original,name_normalized_id,normalization_status,normalization_reason,normalization_confidence,location_type,parent_location_id,evidence_status,source_document_id,source_passage_id,review_status
L-SALIDO,Sillidase Goutmijne,Tambang Emas Sillida,,,,mine_enclave,,explicit,,,
L-BOVEN-PAGGER,Boven-Pagger,Pagger atas,,,,surface_zone,L-SALIDO,explicit,,,
L-BENEDEN-PAGGER,Beneden-Pagger,Pagger bawah,,,,surface_zone,L-SALIDO,explicit,,,
L-OUDE-MIJNE,Oude Mijne,Tambang lama,,,,underground,L-SALIDO,explicit,,,
L-ZUIJDER-SCHACHT,Zuijder-Schacht,Sumuran selatan,,,,underground,L-SALIDO,explicit,,,
L-SUIJDERWERCK,Suijderwerck,Pekerjaan tambang selatan,,,,underground,L-SALIDO,explicit,,,
L-PRINCESTOLLE,Princestolle,Lorong Princestolle,,,,underground,L-SALIDO,explicit,,,
L-OUDE-STOLLE,Oude Stolle,Lorong lama,,,,underground,L-OUDE-MIJNE,explicit,,,
L-ZZW-DAGGANG,Z:Z:W: daggang,Lorong berarah ZZW,,,,underground,L-SALIDO,explicit,,,
L-ORTEN,Orten,Muka-muka penggalian,,,,underground_feature,L-SALIDO,explicit,,,
L-MALEIJTS-ORT,Maleijtsen Ort,Muka penggalian Melayu,,,,underground_feature,L-SALIDO,explicit,,,
L-ASSAY-LAB,Assaijeurs locatie boven in de mijn,Laboratorium assay bagian atas,,,,facility,L-BOVEN-PAGGER,explicit,,,
L-SCHEIJDEBANCK,Scheijdebanck,Tempat pemisahan bijih,,,,facility,L-BOVEN-PAGGER,explicit,,,
L-STAMPWERK,Stampwerk,Instalasi penumbukan,,,,facility,L-BENEDEN-PAGGER,explicit,,,
L-SMITSWINCKEL,Smitswinckel,Bengkel pandai besi,,,,facility,L-SALIDO,explicit,,,
L-SIECKENHUIJS,Sieckenhuijs,Rumah sakit,,,,facility,L-SALIDO,explicit,,,
L-PAERDESTALL,Paerdestall,Kandang kuda,,,,facility,L-SALIDO,explicit,,,
L-PACKHUIJS,Packhuijs,Gudang,,,,facility,L-SALIDO,explicit,,,
L-OPPERHOOFTSWONING,Opperhooftswoning,Kediaman kepala,,,,facility,L-SALIDO,explicit,,,
L-POULO-CHINCO,Poulo Chinco,Pulo Chinco,,,,regional_site,,explicit,,,
L-PADANG,Padang,Padang,,,,regional_site,,explicit,,,
L-BATAVIA,Batavia,Batavia,,,,regional_site,,explicit,,,
L-MADAGASCAR,Madagascar,Madagaskar,,,,external_origin,,explicit,,,
