mechanism_id,observation_explained,historical_or_observational,current_evidence_type,live_nonlive_status,rival_mechanisms,discriminating_evidence,evidence_source_family,feasibility,expected_epistemic_effect,decision_consequence,stop_condition
MEC-01,temporal concentration of coded events,HISTORICAL,AGENT_INTERPRETATION (pooled significance vs Poisson null),LIVE,MEC-02;MEC-05;MEC-06;MEC-07;MEC-08;MEC-09,a built non-circular comparator architecture separating excitation from baseline/exposure/episode/duplicate confounds,"none identified (requires comparator construction, not source retrieval)",DESIGN_ONLY (comparator not built),MAY_NARROW_LIVE_SET,none until comparator exists,do not select MEC-01 while >=2 rivals remain without this comparator
MEC-02,temporal concentration of coded events,HISTORICAL,SOURCE_SUPPORTED_CLAIM (5 corroborated regime-shift episodes),LIVE,MEC-01;MEC-05;MEC-09,a nonstationary-baseline comparator (M1) fitted and compared to M2 (not authorized this operation),CD;GM (regime-shift episode corroboration),DESIGN_ONLY (M1 not built; fitting prohibited),MAY_NARROW_LIVE_SET,informs R-O10/M1 prerequisite closure only,do not treat pooled significance as confirming MEC-02 specifically
MEC-03,archival recording-density variation (O(t)),OBSERVATIONAL,"REPOSITORY_FACT (structurally unobservable, R_record=0)",NONLIVE (structural),"NOT_APPLICABLE (excluded structurally, not by rival elimination)",NONE FEASIBLE (definitionally unobservable from this project's holdings),NOT_APPLICABLE,NOT_EVALUABLE,NOT_EVALUABLE,retains NOT_TESTABLE regardless of future work,"do not reclassify as testable without a fundamentally new evidence class (e.g. an independent contemporary-reporting-density ledger, none identified)"
MEC-04,archival survival/access variation (S(t)/A(t)),OBSERVATIONAL,REPOSITORY_FACT (R_survival=0),NONLIVE (structural for survival; R_access partially improvable),MEC-03 (shares the same structural boundary),a systematic source_chain_to_primary audit (R_access component only),this project's own MODEL_3B_EVENT_SOURCE_PROVENANCE_WORKING.csv,DO_NOW_READ_ONLY (audit is in-repository work),MAY_IMPROVE_OBSERVATION_MODEL (R_access component only),improves R-O8 partial component only; survival component remains NOT_EVALUABLE,do not claim survival uncertainty is resolved by an access audit
MEC-05,temporal concentration of coded events,OBSERVATIONAL,REPOSITORY_FACT (corpus grew n=113->141 in discrete dated jumps),LIVE,MEC-01;MEC-02;MEC-09,"a research-calendar-time vs historical-event-time exposure covariate (WP-E7 ANNUAL_DIGITIZATION_OR_ACCESS_COVERAGE candidate, already circular)",this project's own session/incorporation records,DESIGN_ONLY (constructible but circular; DESCRIPTIVE_USE only),"MAY_RECLASSIFY_UNCERTAINTY (from U11 toward U6, not resolved)",cannot be used as a model covariate per WP-E7 C_m_overlap=1,do not promote a circular covariate to a model role
MEC-06,duplicate/near-duplicate reports,OBSERVATIONAL,REPOSITORY_FACT (prior dedup-adjudication pass exists),LIVE,MEC-07,a re-verification of the existing dedup-adjudication artifact's coverage scope,"HAWKES_BASELINE_V2_DEDUP_ADJUDICATION.csv (repository, not reread in this operation)",DO_NOW_READ_ONLY (re-verification is in-repository work),MAY_NARROW_LIVE_SET,could reduce residual duplication uncertainty without new source access,do not assume the existing pass already covers episode-level (not just report-level) duplication
MEC-07,parent-episode fragmentation,HISTORICAL_OR_OBSERVATIONAL,"REPOSITORY_FACT (G_ontology=0, PARENT_EPISODE unmodeled)",LIVE,MEC-01;MEC-06,a resolved PARENT_EPISODE entity with source-grounded assignment rules (WP-E4 protocol applied to actual rows -- not done here),GM;CD (source rereading required),REQUEST_SOURCE_ACCESS,MAY_RECLASSIFY_UNCERTAINTY (U11 -> more specific U5),directly informs R-O3 correctness remediation,do not apply WP-E4's instrument to AS86 in this operation
MEC-08,temporal concentration / kernel shape,HISTORICAL_OR_OBSERVATIONAL,SOURCE_SUPPORTED_CLAIM (documented GOTCHA) + COMPUTED_RESULT (MBPP branching-ratio robustness),LIVE,MEC-01,kernel-shape/peak-timing test under alternative date-role assignments (WP-E5 protocol applied to actual dates -- not done here),GM;CD (source dates),REQUEST_SOURCE_ACCESS (partially -- parsing-rule design itself is DO_NOW_READ_ONLY),MAY_IMPROVE_OBSERVATION_MODEL,could close R-O5 partially; does not itself resolve MEC-08 vs MEC-01,do not treat the existing branching-ratio-only MBPP check as covering kernel shape
MEC-09,temporal concentration of coded events,HISTORICAL,"SOURCE_SUPPORTED_CLAIM (documented multi-fort simultaneity, e.g. 1626/1680/1755)",LIVE,MEC-01,"a multi-fort joint model distinguishing shared-shock co-occurrence from sequential excitation (M4, feasibility unassessed)",CD;GM (multi-fort corroboration),DESIGN_ONLY (M4 feasibility not assessed; no fitting authorized),MAY_NARROW_LIVE_SET,informs whether M4 is worth assessing for feasibility in a future operation,do not treat M4 as built merely because it is named
MEC-10,event-type heterogeneity,HISTORICAL_OR_OBSERVATIONAL,AGENT_INTERPRETATION (no formal test located),NONLIVE (NOT_TESTABLE pending R-O6),MEC-11 (already partly shown via existing stratification),an event-type-stratified refit analogous to existing fort-cluster stratification (requires R-O6 actor/action/outcome columns first),this project's own schema (extension required),DESIGN_ONLY (schema extension prerequisite),NOT_EVALUABLE,blocked entirely on R-O6 schema extension,do not attempt this stratification before R-O6 exists
MEC-11,temporal concentration by fort cluster,HISTORICAL,"SOURCE_SUPPORTED_CLAIM (reproduced 2026-08-01 stratified refit, n=109)",LIVE (heterogeneity itself; the withdrawn 'exclusive' framing is not live),"NOT_APPLICABLE (already reproduced, narrower framing stands)",none required beyond what already exists to support the narrower reading,already-collected corpus (no new retrieval needed),"DO_NOW_READ_ONLY (re-verification only, if desired)",NONDISTINGUISHING (already as narrow as current evidence supports),no further action required to sustain the current narrower claim,do not re-widen to the withdrawn 'Siklus-exclusive' framing
MEC-12,coding-policy variation,OBSERVATIONAL,SOURCE_SUPPORTED_CLAIM (pelabuhan_disebut precedent in a related field),LIVE,"NOT_APPLICABLE (analogy-based, not yet tested on Hawkes-relevant fields)",a targeted audit of Hawkes-relevant fields for an analogous contamination pattern using the same filter-and-validate method,this project's own schema/coding history,DO_NOW_READ_ONLY,MAY_RECLASSIFY_UNCERTAINTY (U9),could surface a concrete coding defect analogous to the register-page case,do not assume the precedent transfers without running the audit
MEC-13,administrative-period effects,HISTORICAL_OR_OBSERVATIONAL,"AGENT_INTERPRETATION (dominion_status exists in a separate schema, not yet joined) -- CORRECTED: blocked-on-join is absence of evidence, not disconfirming evidence (G_drop,13=0: D_available=0, D_decisive=0)","LIVE / RETAIN_AS_OPEN (RESTORED per Checkpoint 1C correction CR-3; assessment = NOT_TESTABLE_BLOCKED_ON_JOIN, not historical exclusion)",MEC-02;MEC-05 (temporally confounded candidates),a joined dominion_status/event-timing dataset,"this project's own dominion_status schema (join required, not new source access)","DESIGN_ONLY (schema join, not source retrieval) -- blocked prerequisite, not evidentiary exclusion",NOT_EVALUABLE (pending join; not NONDISTINGUISHING and not excluded),blocked on join construction; RETAIN_AS_OPEN until a joined dataset exists and is actually assessed,"do not infer administrative-period alignment OR exclusion without the joined dataset being both available and assessed (G_drop,13 requires D_available=1 AND D_decisive=1, both currently 0)"
MEC-14,editorial compilation effects,OBSERVATIONAL,AGENT_INTERPRETATION (confounded with MEC-05 in current evidence base),LIVE,MEC-05,a test distinguishing 'late incorporation by this project' from 'source clusters by editorial-compilation boundary regardless of when read',GM;CD (volume/compilation boundary dates),REQUEST_SOURCE_ACCESS (requires knowing each source volume's own internal compilation boundaries),NOT_EVALUABLE (test not yet designed in operational detail),cannot currently separate from MEC-05,do not conflate project-incorporation-date confounding with source-editorial-boundary confounding
