retrieval_id,work_package_id,source_title,expected_source_class,current_local_status,retrieval_or_index_action,required_metadata,required_position_granularity,identity_verification_rule,content_extraction_authorized,claim_entry_authorized,status
R-01,S1-WP01,Het Painansch Contract (PS-01),PUBLISHED_PRIMARY_OR_DOCUMENT_EDITION,"PATH_VERIFIED (file present, edition unconfirmed)",EDITION_VERIFICATION,"publisher, edition year, printing/reprint history, whether treaty text is reproduced verbatim",page or section number within the printed edition,edition metadata must be traced to a library catalog or publisher record before source_class is finalized,NO,NO,PLANNED_ONLY
R-02,S1-WP02,1662 Batangkapas antecedent (PS-17),UNVERIFIED_REFERENCE,UNVERIFIED (no reference exists yet),SOURCE_DISCOVERY_SEARCH,"title, author, archival or published origin",folio or page position once a candidate source is found,a candidate must carry a verifiable bibliographic or archival identity before being logged as PATH_VERIFIED,NO,NO,PLANNED_ONLY
R-03,S1-WP03,Corpus Diplomaticum volume 1 (PS-03 / CD1.pdf),UNVERIFIED_REFERENCE,PATH_VERIFIED (identity unconfirmed),VOLUME_INDEXING,"document list, date range, place names, actor names per document",folio or page number per indexed document,volume identity confirmed against a published Corpus Diplomaticum series record before promotion,NO,NO,PLANNED_ONLY
R-04,S1-WP03,Corpus Diplomaticum volume 2 (PS-04 / CD2.pdf),UNVERIFIED_REFERENCE,PATH_VERIFIED (identity unconfirmed),VOLUME_INDEXING,"document list, date range, place names, actor names per document",folio or page number per indexed document,volume identity confirmed against a published Corpus Diplomaticum series record before promotion,NO,NO,PLANNED_ONLY
R-05,S1-WP03,Corpus Diplomaticum volume 3 (PS-05 / CD3.pdf),UNVERIFIED_REFERENCE,PATH_VERIFIED (identity unconfirmed),VOLUME_INDEXING,"document list, date range, place names, actor names per document",folio or page number per indexed document,volume identity confirmed against a published Corpus Diplomaticum series record before promotion,NO,NO,PLANNED_ONLY
R-06,S1-WP03,Corpus Diplomaticum volume 4 (PS-06 / IS-07 / CD4.pdf),UNVERIFIED_REFERENCE,"PATH_VERIFIED (identity unconfirmed, already cited by INDERAPURA dossier)",VOLUME_INDEXING,"document list, date range, place names, actor names per document",folio or page number per indexed document,volume identity confirmed against a published Corpus Diplomaticum series record before promotion,NO,NO,PLANNED_ONLY
R-07,S1-WP03,Corpus Diplomaticum volume 5 (PS-07 / CD5.pdf),UNVERIFIED_REFERENCE,PATH_VERIFIED (identity unconfirmed),VOLUME_INDEXING,"document list, date range, place names, actor names per document",folio or page number per indexed document,volume identity confirmed against a published Corpus Diplomaticum series record before promotion,NO,NO,PLANNED_ONLY
R-08,S1-WP03,Corpus Diplomaticum volume 6 (PS-08 / CD6.pdf),UNVERIFIED_REFERENCE,PATH_VERIFIED (identity unconfirmed),VOLUME_INDEXING,"document list, date range, place names, actor names per document",folio or page number per indexed document,volume identity confirmed against a published Corpus Diplomaticum series record before promotion,NO,NO,PLANNED_ONLY
R-09,S1-WP04,Kathirithamby-Wells 1976 article (PS-02),SECONDARY_SCHOLARSHIP,PATH_VERIFIED (content unopened),CONTENT_OPEN_AND_CROSSCHECK,page numbers for each cited claim,page number,cross-check each claim already cited elsewhere in the repository against the actual printed text,NO,NO,PLANNED_ONLY
R-10,S1-WP04,"Kathirithamby-Wells PhD thesis, EIC 1760-85 (IS-08)",UNVERIFIED_REFERENCE,CITED_ONLY_NOT_YET_LOCATED,SOURCE_DISCOVERY_SEARCH,"thesis title, institution, year, chapter/page",chapter and page number,confirm whether this thesis is in-window for 1680-1730 or must be excluded before any retrieval effort,NO,NO,PLANNED_ONLY
R-11,S1-WP05,Veevers 2021 article (IS-04),UNVERIFIED_REFERENCE,CITED_ONLY_NOT_YET_LOCATED,SOURCE_ACQUISITION,"full citation already known (title, journal, volume, DOI); acquire PDF or verified excerpt",page number,acquired copy must match the DOI-identified published article exactly before use,NO,NO,PLANNED_ONLY
R-12,S1-WP06,EIC Fort York / Batang Capas records (IS-05),UNVERIFIED_REFERENCE,CITED_ONLY_NOT_YET_LOCATED,SOURCE_DISCOVERY_SEARCH_AND_COMMIT_TRACE,"archive/collection name, reference number, folio",folio or page number,trace commit 6b6fba3 in git history first; only escalate to external archive search if not found in-repository,NO,NO,PLANNED_ONLY
R-13,S1-WP07,Vogel 1690 VOC account of Mametchia defection (IS-06),UNVERIFIED_REFERENCE,CITED_ONLY_NOT_YET_LOCATED,SOURCE_DISCOVERY_SEARCH,full bibliographic reference for the Vogel work quoted in the dossier,page or folio number,"locate the standalone Vogel source that INDERAPURA_EPISODE_DOSSIER_DRAFT.md quotes verbatim, to verify the quotation independently",NO,NO,PLANNED_ONLY
R-14,S1-WP09,INDERAPURA_EPISODE_DOSSIER_DRAFT.md (IS-01),REPOSITORY_DERIVED_ARTIFACT,FILE_VERIFIED (partial read),CITATION_CROSSCHECK,full read; map every claim to a specific Vogel or CD4 citation,paragraph or claim-level position within the dossier,"every claim must resolve to a specific external citation, not to the dossier's own narrative alone",NO,NO,PLANNED_ONLY
R-15,S1-WP08,Painan 1663 relational research artifact JSON (PS-09),REPOSITORY_DERIVED_ARTIFACT,FILE_VERIFIED,PROVENANCE_TRACE,"for each actor/treaty/relation record, the source it was originally coded from",record-level (actor_id / treaty_id / relation_id),"every coded record must trace to a specific PS-01, PS-02, or indexed CD source before being cited as evidence",NO,NO,PLANNED_ONLY
R-16,S1-WP08,"Painan 1663 relational research artifact, V2.1-migrated (PS-10)",REPOSITORY_DERIVED_ARTIFACT,PATH_VERIFIED,PROVENANCE_TRACE,confirm migration preserved the same source chain as PS-09,record-level (actor_id / treaty_id / relation_id),migrated records must not gain new unsourced claims relative to PS-09,NO,NO,PLANNED_ONLY
R-17,S1-WP08,Painan power-theory patron-client deep dive (PS-11),REPOSITORY_DERIVED_ARTIFACT,PATH_VERIFIED,PROVENANCE_TRACE,identify which sources this note's theoretical framing draws on,section-level position within the note,framing claims must be traced to PS-01/PS-02 or flagged as unsourced interpretation,NO,NO,PLANNED_ONLY
R-18,S1-WP08,"Painan 1663 working notes, 5 files (PS-12, PS-13, PS-14, PS-15, PS-16)",WORKING_RESEARCH_DATA,PATH_VERIFIED,PROVENANCE_TRACE,identify which sources each working file's entries draw on,row-level position within each CSV,working-data rows must not be cited as claim support until traced to a source_id in the inventory,NO,NO,PLANNED_ONLY
