source_document,page,keyword,context,metode,lokasi_via_fuzzy,header_lokasi,lintas_traktat_dicurigai,llm_kategori,llm_confidence,llm_alasan,llm_bukti,llm_grounded,llm2_kategori,llm2_confidence,llm2_alasan,llm2_bukti,llm2_grounded,kedua_model_sepakat,auto_accept,dicek_kalibrasi_manual,n_kata_kunci_digabung,halaman_digabung,kategori_manual
CD1.pdf,47,weigert,"20 NIEUWE BRABAXTSCHE COMPAGNIE 1599----1600. Alle t’welcke in de Maleijse tale bij geschriffte vervatt wierdt,  waerop de Achinders versoghten dat Ylamingh 1 die daerom aen  landt gesonden was, zulcx willde onderteijkeuen, maer Ylamingh dede  de voorschrevene artikulen door Hans Decker en zijnen tolck als-  voorens in de Portugese tale oversetteu en voorleesen. Doen sagh  men claerlijck de valsheijdt van de Achinders, want daer stondt  eijgeutlijck dat d’onse de geheele somme zouden avanceren en op  het nieuwe gewas waghten; derhalven alsoo Ylamingh weijgerde te  teijkenen, scheurde den Sabandar het contract in stuckeu: ghij  meught dan uw avoutuer en de prijs van het nieuwe gewas ver-  waghten. Ylamingh, daer over bij den Koninck klagende, kreeg  moedt eude op hope van een beeter huerde weder een huijs ende  werden eenige koopmanschappen daeriune gebraght. Yan Caerden  is oock met den Koningh wegens den voorkoop van ’t nieuwe gewas  op den 28n December nae veell over en weder loopens andermaell  over een gekomen ende verdraegeu zoo ende gelijck: De baer peper zall betaelt worden tegen 8 teijll. De Koningh zall gehouden zijn de reaal van aghten te ontfangen  tegen 5 maes. 2 Soo veell peper als de Hollanders ontfangen, zoo veell geldt  .",fuzzy,False,patani,True,sinyal_resistensi,0.9,"Kutipan ini menyebut Ylamingh menolak penandatanganan kontrak dan memecahkannya, serta mengajukan klaim kepada Raja.","Ylamingh weijgerde te teijkenen, scheurde den Sabandar het contract in stuckeu: ghij meught dan uw avoutuer en de prijs van het nieuwe gewas ver waghten. Ylamingh, daer over bij den Koninck klagende, kreeg moedt eude op hope van een beeter huerde weder een huijs ende werden eenige koopmanschappen daeriune gebraght.",True,sinyal_resistensi,0.9,Kutipan ini menceritakan penolakan Ylamingh terhadap kontrak yang ditawarkan oleh Sabandar.,"Doen sagh men claerlijck de valsheijdt van de Achinders, want daer stondt eijgeutlijck dat d’onse de geheele somme zouden avanceren en op het nieuwe gewas waghten; derhalven alsoo Ylamingh weijgerde te teijkenen, scheurde den Sabandar het contract in stuckeu",True,True,False,True,,,sinyal_resistensi
CD1.pdf,370,geschonden,"houdingen tusschen de O. I. C. en Atjeh wel allerlei phases door-  loopen, maar — zij het dan met tusaohenpoozen — de handels- en  staatkundige betrekkingen tusschen beide waren gebleven. Het is bekend,  dat vooral drie aangelegenheden bij het voortbestaan dier relaties waren  betrokken: onze handel met Atjeh zelf, die met Sumatra’s Westkust, waar  Atjeh in de eerste helft der 17de eeuw zich had gevestigd en gaande­ weg uitgebreid en de vraag, wie invloed zoude uitoefenen over 8traat  Malaka, en, daarmede in verband, op het Maleische schiereiland. Van  een versterkte plaats in Atjeh, waarvan het contract van 1607 sprak,  had Iskander Moeda, de opvolger van den sultan, die het privilege  had geschonken, niet willen weten en ook overigens was men aan Su­ matra’s Noordkust hoe langer hoe minder geneigd, het gezag der O.LC.  uitgebreid te zien, hoe langer hoe meer, zich daartegen te verzetten.  Vooral toen de krachtige Iskander Moeda (in 1607) op den troon kwam  en bet rijk uitbreidde ver buiten de grenzen van oorspronkelijk gebied,  op Sumatra’s Westkust en het Maleische schiereiland. Noch hij, noch  zijn opvolger, bleken ten slotte genegen, mèt ons op te trekken tegen het  Portugeesche Malaka, dat dan ook door ons werd veroverd met hulp  van Djohor, maar zonder assistentie van Atjeh (Tiele, Europetrs, VII,  bldz. 120; VIII, bldz. 164, v.; IX, bldz. 248, v.v., 808, v.; Bouwstoffen",fuzzy,False,japan,True,sinyal_resistensi,0.9,Kutipan menyebutkan bahwa Sultan Atjeh tidak mau memperkuat posisi di Atjeh dan lebih banyak perlawanan terhadap VOC.,"Noch hij, noch zijn opvolger, bleken ten slotte genegen, mèt ons op te trekken tegen het Portugeesche Malaka, dat dan ook door ons werd veroverd met hulp van Djohor, maar zonder assistentie van Atjeh",True,sinyal_resistensi,0.85,Kutipan ini membahas tentang perlawanan dari pihak Aceh dan Sumatera Barat terhadap ekspansi VOC.,"Van een versterkte plaats in Atjeh, waarvan het contract van 1607 sprak, had Iskander Moeda, de opvolger van den sultan, die het privilege had geschonken, niet willen weten en ook overigens was men aan Su­ matra’s Noordkust hoe langer hoe minder geneigd, het gezag der O.LC. uit­ breid te zien, hoe langer hoe meer, zich daartegen te verzetten.",True,True,False,True,,,sinyal_resistensi
CD2.pdf,404,weigert,"OOST-1NDISCHE COMPAGNIE 1602---1800. 389 ende grooten van Baros, alle haare vrunden, subjecten ende onder­ danen, die nu 'jongst naar Aetche genavigeert sijn ende haar onder  de Aetchinders onthouden, met den eersten over Nijas pr de aldaar  in negotie leggende Aetchinse vaartuijgen t’huijs te roepen, ende in  cas van weijgeringh ende tardance van seven maanden tijts, datse  haar voorts ten eeuwigen dagen voor vijanden ende partubateurs  van de gemene ruste bij aanhalingh sullen gehouden ende verclaart  worden, sonder dat haar in ’t minste de naem ende haar geboort-  plaats van Baros sal comen te verschonen. Alle welcke bovenstaande gecontracteerde vrede-artijckulen sij,  lantsheren en Grooten van Baros, beloven ende sweeren heijliglijk te  sullen naarkomen, ende doen naarkomen sonder de minste inbreucke  te dulden, ten welcken einde sij, Grooten, dese tot meerder certifi­ catie ende confirmatie hebben onderschreven ende met haare namen  geteijckent,- gelijk ook bovengenoemde contrahenten uijt den name  v",fuzzy,False,sumatra’s westkust—atjeh,False,pembaruan_nader_verbond,0.9,Kutipan ini menegaskan ulang hak-hak tertentu yang telah disepakati sebelumnya.,"ende in cas van weijgeringh ende tardance van seven maanden tijts, datse haar voorts ten eeuwigen dagen voor vijanden ende partubateurs van de gemene ruste bij aanhalingh sullen gehouden ende verclaart worden",True,sinyal_resistensi,0.8,Kutipan ini menyebutkan kemungkinan pelanggaran (weigert) dan konsekuensinya.,"in cas van weijgeringh ende tardance van seven maanden tijts, datse haar voorts ten eeuwigen dagen voor vijanden ende partubateurs van de gemene ruste bij aanhalingh sullen gehouden ende verclaart worden",True,False,False,True,,,sinyal_resistensi
CD2.pdf,451,afvallig,"en stonden, dat de vlammen van onlusten tusschen  desperate ende nagebuuren, rakende de ontveylinge der wegen, tot  Padangs ruine en ’t gene daaraan dependeert in ’t korte moge komen  uyt te bersten; egter opdat die vlammen met gemeyn advoyement en  hulpe mogte werden uytgeblust, eer dat deselve meer naastby gelegene  rebellige en wispelturige bontgenoten door haar vergift komen te  infecteren ende aen te steken, soo hebben wy naer becoming deser  narigtinge op de iteratieve gedane instanties dier verjaagde ende by-  gevoegde intercessies van onse geconfedereerde bovenlandsche regen­ ten niet willen stilstaan, maar uyt aengeboren genegenth* wenschen  ja tragten, dat Complea bontgenoten ende afvallige weder geconfede­ reerde en in rust en vreede met malkanderen leven mochten, ook hier  toe van herten geneygt zynde, dat de algemeyne inlandse scheuringen  moge geheelt ende alles in syn vorige luyster moge herstelt ende ge-  postuleert werden; hebben tot dien eijnde de afvallige Cotatengers  op haar veelmaal gedaan versoek verschoning gedaan, dat soo by  aldien sy haar uyt een opregte mening wilde verdemoedigen ende  een hertelijck leetwesen van de begane schelmstukken toonen, ook  om genade smeken, dat de vorenstaande bedingen en versoecken haer x) Zie hiervóór, bldz. 383, v.v., 437. 2) Pondereus, zwaarwichtig. This content downloaded from 146.50.98.28 on Wed, 12 Oct 2016 17:56:40",exact,False,banda,True,pembaruan_nader_verbond,0.9,Kutipan ini menunjukkan upaya VOC untuk memperbarui hubungan dengan pihak lokal yang sebelumnya telah mengalami konflik.,"en stonden, dat de vlammen van onlusten tusschen  desperate ende nagebuuren, rakende de ontveylinge der wegen, tot  Padangs ruine en ’t gene daaraan dependeert in ’t korte moge komen  uyt te bersten; egter opdat die vlammen met gemeyn advoyement en  hulpe mogte worden uytgeblust, eer dat deselve meer naastby gelegene  rebellige en wispelturige bontgenoten door haar vergift komen te  infecteren ende aen te steken, soo hebben wy naer becoming deser  narigtinge op de iteratieve gedane instanties dier verjaagde ende by-  gevoegde intercessies van onse geconfedereerde bovenlandsche regen­ ten niet willen stilstaan, maar uyt aengeboren genegenth* wenschen  ja tragten, dat Complea bontgenoten ende afvallige weder geconfede­ reerde en in rust en vreede met malkanderen leven mochten, ook hier  toe van herten geneygt zynde, dat de algemeyne inlandse scheuringen  moge geheelt ende alles in syn vorige luyster moge herstelt ende ge-  postuleert werden; hebben tot dien eijnde de afvallige Cotatengers  op haar veelmaal gedaan versoek verschoning gedaan, dat soo by  aldien sy haar uyt een opregte mening wilde verdemoedigen ende  een hertelijck leetwesen van de begane schelmstukken toonen, ook  om genade smeken, dat de vorenstaande bedingen en versoecken haer",True,PARSE_ERROR,0.0,"```json
{""kategori"": ""pembaruan_nader_verbond"", ""confidence"": 0.8, ""alasan"": ""Kutipan ini membahas upaya untuk memulihkan perdamaian dan konfederasi antara pihak VOC dan ""afvallige"", yang mengindikasi",,False,False,False,True,,,pembaruan_nader_verbond
CD2.pdf,465,ontrouw,"ben, ende al sulke quaade en onbekende daar bevinden, opstonde  van daar doen vertrekken, opdat d’Ed. Comp1* door ’t een of ander  middel geen schaade moge toegebragt werden, welke ministers de  regenten aennemen, uyt haar inkomen naar ’t so (?) te sustenteren  ende te gagieren, gelyk op Padang en elders in observantie is, maar  vooral is deselve gerecommandeert, crocou 5) of schryver te qualifi-  ciren, om alle dagen in de logie present te syn, wanneer by den  Resid* goud off peper werd ontfangen, om de quantiteyt daarvan te  registreren en alle quade presumpties, die naderhand by slappe  negotie (dat consequent sobere inkomsten causeert) op den Resident  moge genomen werden, van in dessen ontrouw gehandelt te hebben,  te prevenieren en uyt de weg te nemen. 1) Kunnen hiermede bedoeld zijn: opkoopers van barang-barang (goederen)? 2) Verkoopen. 3) ? 4) ? B) ? This content downloaded from 146.50.98.28 on Wed, 12 Oct 2016 17:56:40 UTC  All use subject to http://about.jstor.org/terms",exact,False,makassar,True,pembaruan_nader_verbond,0.9,"Kutipan ini menekankan pentingnya kualifikasi penulis dan kehadiran mereka di logie untuk mencegah pelanggaran, yang menunjukkan pembaruan terhadap perjanjian sebelumnya.","crocou 5) of schryver te qualifi-  ciren, om alle dagen in de logie present te syn, wanneer by den  Resid* goud off peper werd ontfangen, om de quantiteyt daarvan te  registreren en alle quade presumpties, die naderhand by slappe  negotie (dat consequent sobere inkomsten causeert) op den Resident  moge genomen werden, te prevenieren en uyt de weg te nemen.",True,pembaruan_nader_verbond,0.8,"Kutipan ini membahas tentang cara mencegah kecurigaan terhadap Resident, yang menunjukkan adanya perjanjian sebelumnya.","om alle quade presumpties, die naderhand by slappe negotie (dat consequent sobere inkomsten causeert) op den Resident  moge genomen werden, van in dessen ontrouw gehandelt te hebben, te prevenieren en uyt de weg te nemen.",True,True,False,True,,,pembaruan_nader_verbond
CD3.pdf,174,geschonden,"164 GENERALE NEDERLANDSCHE GEOCTROYEERDE in ’t voorbypasseren blyvende staan kyken, door de Priamanse  ingesetenen seer schandig uytgescholden, geïnjurieert en by de  klederen getrokken werd, ja selvs, dat die sig niet ontsien en  hebben, den persoon van onsen resident, daar willende voorby­ passeren, met bloote crissen den weg en passagie te benemen,  en welke violentie geoordeeld werdende aan d’Ed. heer com­ mandeur personelijk geschiet te sijn, onse indignatie ten hoog-  sten gemoveert en gecauseert heev’t, dat wy daarin mettertijd  na onse authoriteyt beloven te versien, zoo en sal na desen op  de distantie van een musquetschoot naby ’s Comp,es logie geen  hanecamperye gehouden mogen werden, en de regenten ook  verobligeert wesen alle de voorseyde gewelderyen door haare  magt te prevenieren en de misdaders, derwegen",fuzzy,False,sumatra’s westkust,False,sinyal_resistensi,0.9,Kutipan ini menyebutkan pelanggaran terhadap hak-hak VOC dan tindakan yang dianggap tidak pantas oleh penduduk setempat.,"geïnjurieert en by de klederen getrokken werd, ja selvs, dat die sig niet ontsien en hebben, den persoon van onsen resident, daar willende voorby­ passeren, met bloote crissen den weg en passagie te benemen",True,sinyal_resistensi,0.9,Kutipan ini berisi penggambaran pelanggaran dan kekerasan yang dilakukan oleh pihak lokal terhadap VOC.,"door de Priamanse  ingesetenen seer schandig uytgescholden, geïnjurieert en by de  klederen getrokken werd, ja selvs, dat die sig niet ontsien en  hebben, den persoon van onsen resident, daar willende voorby­ passeren, met bloote crissen den weg en passagie te benemen,  en welke violentie geoordeeld werdende aan d’Ed. heer com­ mandeur personelijk geschiet te sijn",True,True,False,True,,,sinyal_resistensi
CD3.pdf,188,geschonden,"n van Sillida. Ten vijfden. 6) haare ge- demoljeerd’ pepervelden wederom hebben op te maken en te  beplanten, of sulx niet tragtende, daarin nalatig bevonden  werdende, yder jaar in de boete van duysent ryxdaelders komen  te vervallen. 6) Sullende die van Bajang in de tijd van *) Vergelijk het Middelnederlandsche keitijf, ongelukkige of ellendeling. 2) Soengai-Kepahiansche. 3) Er staat: onder. 4) Van Loempo-Koembang tot Soengai-Sela. 5) Niet ingevuld. Zie evenwel de noot verder in dit artikel. 6) Byaldien hierna vernomen werd, dat dese binnen een jaar of 2 haar  pepervelden of een gedeelte van dien na vereysg komen te beplanten, werd  haar voorschreven boete op haar versoek voor soover quijtgescholden. This content downloaded from 146.50.98.28 on Wed, 12 Oct 2016 18:02:48 UTC  All use subject to http://about.jstor.org/terms",fuzzy,False,sumatra’s westkust,False,tidak_relevan,0.9,Kutipan ini tidak secara spesifik membahas traktat VOC dengan pihak lokal di pesisir barat Sumatera/Aceh.,"""n van Sillida. Ten vijfden. 6) haare ge- demoljeerd’ pepervelden wederom hebben op te maken en te  beplanten""",True,sinyal_resistensi,0.8,Kutipan ini menyebutkan pelanggaran dan penghapusan denda karena pihak lokal tidak menanam kembali tanaman yang rusak.,"Byaldien hierna vernomen werd, dat dese binnen een jaar of 2 haar pepervelden of een gedeelte van dien na vereysg komen te beplanten, werd haar voorschreven boete op haar versoek voor soover quijtgescholden.",True,False,False,True,2.0,"[188, 190]",sinyal_resistensi
CD3.pdf,233,geschonden,"Hoorn, Nicolai Grim  en Joannes Melman. En hier besyden in Maleytse caracters de namen van Jang  de Pertuang Sulthan Mamet-chia, keyzer van Indrapoura, Pang-  lima Radja, gouverneur tot Padang, Sirre Narra, gouverneur  tot Sillida etc8, merk, gesteld by Pouty, gouverneur van Cotta-  tenga, en Catip Moeda, Maleyts schryver en tommagon. Lager stond ’s Comp‘cs segel, in roden lacke gedruckt, en  daaronder: Ter ordre van d’E. heer commissaris en den raad  tot Padang, datum uts. 3) Was getekent Adam Hendriks Pen,4)  secretaris. CDXL. JAVA—MATARAM. 15 October 1680. 5) Eenige der Javaansche strandgouverneurs bleken niet genegen, de Com­ pagnie behulpzaam te zijn bij het haar door den Soesoehoenan geschonken  recht van aankoop van alle produkten uit de Mataramsche landen, welke  zij noodig had. Op de klachten van Couper daarover vaardigde de vorst  onderstaand bevelschrift uit. (Daghregister van Batavia, 1680, blz.  742—745). *) Meestal: „baleye” = balai bitjara, raadhuis. Zie hiervóór, noot 1 op  blz. 198. 2) Dit staat ook zoo in het Daghregister, doch deugt niet. Het Mohamedaan-  sche jaar moet allereerst zijn 1091. Bovendien begint de maand Scha-ban 1091  met 27 Augustus 1680, en zou het dus moeten zijn de derde dag dier maand. 3) Ut supra. 4) Het Daghregister van Batavia heeft hier verkeerdelijk Adam Hendrick-  sen. Zie echter aldaar blz. 179, waar de naam goed staat. 5) Uit het C",fuzzy,False,java—mataram,True,sinyal_resistensi,0.9,"Traktat menyebutkan bahwa beberapa pihak lokal tidak mau membantu VOC dalam hak akrual yang diberikan oleh raja, yang menunjukkan ketidakpatuhan.","Eenige der Javaansche strandgouverneurs bleken niet genegen, de Com­ pagnie behulpzaam te zijn bij het haar door den Soesoehoenan geschonken recht van aankoop van alle produkten uit de Mataramsche landen, welke zij noodig had.",True,sinyal_resistensi,0.8,Kutipan ini menyebutkan adanya pelanggaran terhadap hak VOC untuk membeli produk dari Mataram.,"Eenige der Javaansche strandgouverneurs bleken niet genegen, de Com­ pagnie behulpzaam te zijn bij het haar door den Soesoehoenan geschonken  recht van aankoop van alle produkten uit de Mataramsche landen, welke  zij noodig had.",True,True,False,True,,,tidak_relevan
CD3.pdf,259,oproer,"aardye ende dat sal werden aangebraght, voor ’t bedragende in prijs van  100 rd*, off per cento..................................................... ’t welck door de residenten telckens op ’t versenden ende  vertreck van een schip off chialoup met opgemelte goederen  van hier naar Padangh aan voornoemde Radja’s ende regenten,  in gewilde sortering cleeden, uytcoops sal werden afgerekent en  betaalt, om onder hun te verdeelen naar behoren. 22 Articul. Ende soo d’E. Compagnie, ofte wegens deselve den heer  commandeur tot Padangh, ende als stadthouder van den conincq  van Maninckcabou, na desen moght bevinden tot ruste en vreede  der goede ingesetene van Baros, ende tot voorkominge van  nieuwe oproer en onlusten nogh eenige nadere articulen by  dese, ende andere nodige ordres te vereyschen, soo sullen  d’Radja’s d’Ouloe en d’Ileir met alle regenten ende de gemeente  van Baros schuldigh ende gehouden zijn, deselve aan te nemen Rd* iy2 2 4 3 1) Eerste kwaliteit. Zie voor dit woord Pieter van Datn’s Beschryvinge II, I,  glossarium. This content downloaded from 146.50.98.28 on Wed, 12 Oct 2016 18:02:48 UTC  All use subject to http://about.jstor.org/terms",exact,False,sumatra’s westkust,False,pembaruan_nader_verbond,0.9,Kutipan ini merujuk pada penegakan ulang perjanjian dengan menambahkan artikel tambahan.,"'soo d’E. Compagnie, ofte wegens deselve den heer commandeur tot Padangh, ende als stadthouder van den conincq van Maninckcabou, na desen moght bevinden tot ruste en vreede der goede ingesetene van Baros, ende tot voorkominge van nieuwe oproer en onlusten nogh eenige nadere articulen by dese, ende andere nodige ordres te vereyschen'",True,pembaruan_nader_verbond,0.8,Kutipan ini membahas tentang perjanjian yang sudah ada dan menyebutkan pembaruannya untuk mencegah 'nieuwe oproer en onlusten'.,"Ende soo d’E. Compagnie, ofte wegens deselve den heer commandeur tot Padangh, ende als stadthouder van den conincq van Maninckcabou, na desen moght bevinden tot ruste en vreede der goede ingesetene van Baros, ende tot voorkominge van nieuwe oproer en onlusten nogh eenige nadere articulen by dese, ende andere nodige ordres te vereyschen, soo sullen d’Radja’s d’Ouloe en d’Ileir met alle regenten ende de gemeente van Baros schuldigh ende gehouden zijn, deselve aan te nemen",True,True,True,True,,,pembaruan_nader_verbond
CD3.pdf,308,oproer,"on ende  vergiffenisse, ende dat in genade aangenome ende in hare land  te wonen vergund moge werden. Ende tot teken en onderpand  van hare trouwe en onderwerping ende gehoorsaamheyd aan  d’E. Comple sweren over een houwer, met silver beslagen, ende  verbinden haar, dat de vrinden en bondgenoten van Padang  ook die van Cotatenga* ende de vyanden van Padang (ende)  ook die van Cotatenga sullen sijn, van nu tot in alle eeuwigheyd,  sonder oyt daarvan af te wyken. Ende sullen die van Cotatenga  ook in genen dele eenige gemeenschap of ommegang met de  verdrevene uyt Pauw mogen houden, nog eenigen koop of  vercoop met haar vermogen te doen, nadien deselve niet anders  als voor wederspannige ende oproermakers sijn te houden. Ende  sullen die van Cotatenga ook gehouden sijn, de wegen tot den  koophandel naar Padang te veyligen. Voorts sullen de Cotta-  tengers haar moeten onderwerpen ende gehoorsamen alsulke  bevelen en ordonnantiën, als de Ed. heer Gouverneur-Generael  sal verstaan te behoren ende den commandeur haar naderhand 1) Uit het Contractboek. Ook in het Daghregister van Batavia, 1682, blz.  1023—1024, en in de Overgecomen brieven 1683, sesde boeck, folio 1049 en  volgende- This content downloaded from 146.50.98.28 on Wed, 12 Oct 2016 18:02:48 UTC  All use subject to http://about.jstor.org/terms",exact,False,sumatra’s westkust,False,pembaruan_nader_verbond,0.9,Kutipan ini menegaskan hak-hak tertentu yang sebelumnya telah disepakati.,"dat in genade aangenome ende in hare land te wonen vergund moge worden. Ende sullen die van Cotatenga ook in genen dele eenige gemeenschap of ommegang met de verdrevene uyt Pauw mogen houden, nog eenigen koop of vercoop met haar vermogen te doen, nadien deselve niet anders als voor wederspannige ende oproermakers sijn te houden.",True,pembaruan_nader_verbond,0.9,Kutipan ini berisi klausul-klausul yang mengulang dan menegaskan kembali komitmen kesetiaan dan tunduk pada VOC.,"Ende tot teken en onderpand van hare trouwe en onderwerping ende gehoorsaamheyd aan d’E. Comple sweren over een houwer, met silver beslagen, ende verbinden haar, dat de vrinden en bondgenoten van Padang ook die van Cotatenga* ende de vyanden van Padang (ende) ook die van Cotatenga sullen sijn, van nu tot in alle eeuwigheyd, sonder oyt daarvan af te wyken.",True,True,True,True,,,pembaruan_nader_verbond
