artifact_id,current_path,filename,extension,artifact_family,tracked_status,frozen_status,content_sha256,size_bytes,target_path,move_required,internal_reference_count,external_reference_count,collision_status,notes
ART-001,docs/thesis/pilot_annotation/model3b_v2/specifications/MODEL_3B_MATHEMATICAL_SPECIFICATION_V2.md,MODEL_3B_MATHEMATICAL_SPECIFICATION_V2.md,md,V2_SPECIFICATION,PREVIOUSLY_TRACKED_NOW_MOVED,FROZEN_V2_MILESTONE,1c3baac66d5f985db1747cf0d33fb4ab66a671d13b7461a25727888dc9c2f2bc,30604,docs/thesis/pilot_annotation/model3b_v2/specifications/MODEL_3B_MATHEMATICAL_SPECIFICATION_V2.md,YES,,,NONE,"V2 milestone artifact; moved this turn per housekeeping instruction, content-hash verified identical pre/post move"
ART-002,docs/thesis/pilot_annotation/model3b_v2/specifications/MODEL_3B_RECOVERY_GATE_SPECIFICATION_V2.csv,MODEL_3B_RECOVERY_GATE_SPECIFICATION_V2.csv,csv,V2_SPECIFICATION,PREVIOUSLY_TRACKED_NOW_MOVED,FROZEN_V2_MILESTONE,26fd15a2d6493447b2162b3fb6908ad2aab81406fda1306d2d6b4002bfa6cf95,26814,docs/thesis/pilot_annotation/model3b_v2/specifications/MODEL_3B_RECOVERY_GATE_SPECIFICATION_V2.csv,YES,,,NONE,"V2 milestone artifact; moved this turn per housekeeping instruction, content-hash verified identical pre/post move"
ART-003,docs/thesis/pilot_annotation/model3b_v2/specifications/MODEL_3B_RECOVERY_PROTOCOL_V2.md,MODEL_3B_RECOVERY_PROTOCOL_V2.md,md,V2_SPECIFICATION,PREVIOUSLY_TRACKED_NOW_MOVED,FROZEN_V2_MILESTONE,967ef3eed53cfc881fdb4c7632a2f76216638a7c39befc08f45983ade7451fe3,12173,docs/thesis/pilot_annotation/model3b_v2/specifications/MODEL_3B_RECOVERY_PROTOCOL_V2.md,YES,,,NONE,"V2 milestone artifact; moved this turn per housekeeping instruction, content-hash verified identical pre/post move"
ART-004,docs/thesis/pilot_annotation/model3b_v2/specifications/MODEL_3B_FINAL_GATE_APPLICABILITY_MATRIX.csv,MODEL_3B_FINAL_GATE_APPLICABILITY_MATRIX.csv,csv,V2_SPECIFICATION,PREVIOUSLY_TRACKED_NOW_MOVED,FROZEN_V2_MILESTONE,21e9eec9d5d96e7717980bbd63093898bf037cc37ff2102f4126295e5146ed65,13926,docs/thesis/pilot_annotation/model3b_v2/specifications/MODEL_3B_FINAL_GATE_APPLICABILITY_MATRIX.csv,YES,,,NONE,"V2 milestone artifact; moved this turn per housekeeping instruction, content-hash verified identical pre/post move"
ART-005,docs/thesis/pilot_annotation/model3b_v2/specifications/MODEL_3B_V2_NUMERICAL_DECISION_LEDGER.csv,MODEL_3B_V2_NUMERICAL_DECISION_LEDGER.csv,csv,V2_SPECIFICATION,PREVIOUSLY_TRACKED_NOW_MOVED,FROZEN_V2_MILESTONE,6e2fd1ef2ce96874df3bdd59c565710f75620adedbd3291e28d679a8402e044a,33148,docs/thesis/pilot_annotation/model3b_v2/specifications/MODEL_3B_V2_NUMERICAL_DECISION_LEDGER.csv,YES,,,NONE,"V2 milestone artifact; moved this turn per housekeeping instruction, content-hash verified identical pre/post move"
ART-006,docs/thesis/pilot_annotation/model3b_v2/numerical_decisions/MODEL_3B_NUM_DEC_01_M2_REPLICATION_DENOMINATOR_ADJUDICATION.md,MODEL_3B_NUM_DEC_01_M2_REPLICATION_DENOMINATOR_ADJUDICATION.md,md,NUM_DEC_ADJUDICATION,PREVIOUSLY_TRACKED_NOW_MOVED,FROZEN_V2_MILESTONE,96c1d891f4129bddd3ce6066c1e0e979bcc188fe63757f3bdefc0ddd3458acfd,12793,docs/thesis/pilot_annotation/model3b_v2/numerical_decisions/MODEL_3B_NUM_DEC_01_M2_REPLICATION_DENOMINATOR_ADJUDICATION.md,YES,,,NONE,"V2 milestone artifact; moved this turn per housekeeping instruction, content-hash verified identical pre/post move"
ART-007,docs/thesis/pilot_annotation/model3b_v2/numerical_decisions/MODEL_3B_NUM_DEC_02_M2_UNCERTAINTY_ADJUDICATION.md,MODEL_3B_NUM_DEC_02_M2_UNCERTAINTY_ADJUDICATION.md,md,NUM_DEC_ADJUDICATION,PREVIOUSLY_TRACKED_NOW_MOVED,FROZEN_V2_MILESTONE,2d61c7a21d4f307a46a2275702c75d7f88bb41aea2a6892051b7541403154570,18487,docs/thesis/pilot_annotation/model3b_v2/numerical_decisions/MODEL_3B_NUM_DEC_02_M2_UNCERTAINTY_ADJUDICATION.md,YES,,,NONE,"V2 milestone artifact; moved this turn per housekeeping instruction, content-hash verified identical pre/post move"
ART-008,docs/thesis/pilot_annotation/model3b_v2/numerical_decisions/MODEL_3B_NUM_DEC_03_M2_EXACT_NULL_ADJUDICATION.md,MODEL_3B_NUM_DEC_03_M2_EXACT_NULL_ADJUDICATION.md,md,NUM_DEC_ADJUDICATION,PREVIOUSLY_TRACKED_NOW_MOVED,FROZEN_V2_MILESTONE,a7e8ad2cc058e8bb7e2b3ce6b920bfb09e372d420f9bc4c3bff3f2bb54af7aeb,25306,docs/thesis/pilot_annotation/model3b_v2/numerical_decisions/MODEL_3B_NUM_DEC_03_M2_EXACT_NULL_ADJUDICATION.md,YES,,,NONE,"V2 milestone artifact; moved this turn per housekeeping instruction, content-hash verified identical pre/post move"
ART-009,docs/thesis/pilot_annotation/model3b_v2/numerical_decisions/MODEL_3B_NUM_DEC_04_M3_TAU_CALIBRATION_ADJUDICATION.md,MODEL_3B_NUM_DEC_04_M3_TAU_CALIBRATION_ADJUDICATION.md,md,NUM_DEC_ADJUDICATION,PREVIOUSLY_TRACKED_NOW_MOVED,FROZEN_V2_MILESTONE,1c7c45cce3188e6e3f09cc33aacf26e9edba457f983dbe389e5bd6ad16c7d20d,20525,docs/thesis/pilot_annotation/model3b_v2/numerical_decisions/MODEL_3B_NUM_DEC_04_M3_TAU_CALIBRATION_ADJUDICATION.md,YES,,,NONE,"V2 milestone artifact; moved this turn per housekeeping instruction, content-hash verified identical pre/post move"
ART-010,docs/thesis/pilot_annotation/model3b_v2/numerical_decisions/MODEL_3B_NUM_DEC_05_M3_PRIOR_MODEL_ODDS_ADJUDICATION.md,MODEL_3B_NUM_DEC_05_M3_PRIOR_MODEL_ODDS_ADJUDICATION.md,md,NUM_DEC_ADJUDICATION,PREVIOUSLY_TRACKED_NOW_MOVED,FROZEN_V2_MILESTONE,9626f6bd693d81d10fe95bcfa76a0d70b42c334440c209ce5997b6b65133711a,17589,docs/thesis/pilot_annotation/model3b_v2/numerical_decisions/MODEL_3B_NUM_DEC_05_M3_PRIOR_MODEL_ODDS_ADJUDICATION.md,YES,,,NONE,"V2 milestone artifact; moved this turn per housekeeping instruction, content-hash verified identical pre/post move"
ART-011,docs/thesis/pilot_annotation/model3b_v2/numerical_decisions/MODEL_3B_NUM_DEC_06_M3_MARGINAL_LIKELIHOOD_ADJUDICATION.md,MODEL_3B_NUM_DEC_06_M3_MARGINAL_LIKELIHOOD_ADJUDICATION.md,md,NUM_DEC_ADJUDICATION,PREVIOUSLY_TRACKED_NOW_MOVED,FROZEN_V2_MILESTONE,570e3539a64e6e539d897e79108ec0021ba00f5f0a1edeaf533fee02344b982c,29086,docs/thesis/pilot_annotation/model3b_v2/numerical_decisions/MODEL_3B_NUM_DEC_06_M3_MARGINAL_LIKELIHOOD_ADJUDICATION.md,YES,,,NONE,"V2 milestone artifact; moved this turn per housekeeping instruction, content-hash verified identical pre/post move"
ART-012,docs/thesis/pilot_annotation/model3b_v2/numerical_decisions/MODEL_3B_NUM_DEC_07_M3_ROPE_ADJUDICATION.md,MODEL_3B_NUM_DEC_07_M3_ROPE_ADJUDICATION.md,md,NUM_DEC_ADJUDICATION,PREVIOUSLY_TRACKED_NOW_MOVED,FROZEN_V2_MILESTONE,222381d231d4aef43b3f3ce7ff7d25bbfbd56ca29fb37424022e52cd20dc5334,14584,docs/thesis/pilot_annotation/model3b_v2/numerical_decisions/MODEL_3B_NUM_DEC_07_M3_ROPE_ADJUDICATION.md,YES,,,NONE,"V2 milestone artifact; moved this turn per housekeeping instruction, content-hash verified identical pre/post move"
