component,denominator_type,denominator_value,numerator_value,status,evidence_locator,notes,object_type,design_status,acceptance_status,implementation_status,authorization_status,execution_status,scientific_status,design_gate,acceptance_gate,data_gate,implementation_gate,authorization_gate,execution_gate,rationale
event_corpus_AS86,primary_events,86,N/A,NOT_READY,docs/thesis/pilot_annotation/hawkes_baseline_v2/HAWKES_BASELINE_V2_EVENT_PROVENANCE_AUDIT.csv,"AS86 is a labeled subset of the 141-row table, not the whole table; G_corpus,v=0",EMPIRICAL_DATA_ARTIFACT,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_AUTHORIZED,NOT_EXECUTION_READY,NOT_APPLICABLE,N/A,N/A,0,N/A,0,0,"Data artifact, never receives acceptance_status; FROZEN_SOURCE_CORPUS_NOT_MODEL_INPUT"
event_corpus_full_table,provenance_audit_rows,141,N/A,NOT_READY,docs/thesis/pilot_annotation/hawkes_baseline_v2/HAWKES_BASELINE_V2_EVENT_PROVENANCE_AUDIT.csv,141 confirmed by direct row count this operation; not equal to AS86,AUDIT_DENOMINATOR_ARTIFACT,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_AUTHORIZED,NOT_EXECUTION_READY,NOT_APPLICABLE,N/A,N/A,0,N/A,0,0,AUDIT_DENOMINATOR_NOT_MODEL_INPUT; denominator distinct from AS86 (86 != 141)
G_corpus_v,model_input_corpus_versions,1 (hypothetical),0,NOT_READY,N/A,No immutable model-input corpus version exists; version/hash/denominator/provenance components all unmet,EMPIRICAL_DATA_ARTIFACT,DESIGNED,NOT_APPLICABLE,NOT_IMPLEMENTED,NOT_AUTHORIZED,NOT_EXECUTION_READY,NOT_APPLICABLE,1,N/A,0,0,0,0,Nonexistent artifact; requirements (design) exist in contract Section 2 but no object satisfies the six-term gate
date_role_taxonomy_design,taxonomy_components,10,10,READY,docs/thesis/pilot_annotation/hawkes_baseline_v2/evidence_acquisition/HAWKES_V2_DATE_SEMANTICS_PROTOCOL.md,"Design complete (Wave 1); this is design-readiness, not corpus-application readiness",DESIGN_SPECIFICATION,DESIGNED,ACCEPTED,NOT_APPLICABLE,NOT_AUTHORIZED,NOT_APPLICABLE,DESIGN_ONLY,1,1,N/A,N/A,0,N/A,10-role taxonomy accepted Wave 1; pure design object has no execution target of its own
date_role_application,provenance_audit_rows,141,0,NOT_READY,docs/thesis/pilot_annotation/hawkes_baseline_v2/HAWKES_BASELINE_V2_DATE_UNCERTAINTY_LEDGER.csv,Precision distribution exists (72 exact_day/10 month/16 year/21 interval/22 unresolved of 141); explicit date ROLE (r_i) not assigned to any row,IMPLEMENTATION_PROCESS,NOT_DESIGNED,NOT_APPLICABLE,NOT_IMPLEMENTED,NOT_AUTHORIZED,NOT_EXECUTION_READY,NOT_APPLICABLE,0,N/A,0,0,0,0,No row has an assigned r_i; only precision (not role) computed
granularity_rule_design,rule_components,1,1,READY,docs/thesis/pilot_annotation/hawkes_baseline_v2/evidence_acquisition/wave3a/HAWKES_V2_PROSPECTIVE_GRANULARITY_AND_PARENT_EPISODE_PROTOCOL.md,"G_gran_accepted=1 (Wave 3B, prospective use with limits)",DESIGN_SPECIFICATION,DESIGNED,ACCEPTED,NOT_APPLICABLE,NOT_AUTHORIZED,NOT_APPLICABLE,DESIGN_ONLY,1,1,N/A,N/A,0,N/A,"Wave 3B accepted rule; design object, no execution target of its own"
granularity_rule_application,provenance_audit_rows,141,0,NOT_READY,N/A,Accepted rule tested on 8 hand-selected cases (Wave 3A/3B); not applied to any of the 141 corpus rows as a corpus-wide pass,IMPLEMENTATION_PROCESS,NOT_DESIGNED,NOT_APPLICABLE,NOT_IMPLEMENTED,NOT_AUTHORIZED,NOT_EXECUTION_READY,NOT_APPLICABLE,0,N/A,0,0,0,0,Tested on 8 hand-picked cases only; no corpus-wide pass designed
parent_episode_rule_design,rule_components,1,1,READY,docs/thesis/pilot_annotation/hawkes_baseline_v2/evidence_acquisition/wave3a/HAWKES_V2_PROSPECTIVE_GRANULARITY_AND_PARENT_EPISODE_PROTOCOL.md,"G_parent_accepted=1 (Wave 3B, prospective use with limits)",DESIGN_SPECIFICATION,DESIGNED,ACCEPTED,NOT_APPLICABLE,NOT_AUTHORIZED,NOT_APPLICABLE,DESIGN_ONLY,1,1,N/A,N/A,0,N/A,"Wave 3B accepted rule; design object, no execution target of its own"
parent_episode_application,parent_episodes,N/A (not enumerated project-wide),0,NOT_EVALUABLE,docs/thesis/pilot_annotation/hawkes_baseline_v2/HAWKES_BASELINE_V2_PARENT_EPISODE_MEMBERSHIP.csv,"Existing pre-rule groupings (e.g. EP-1668-1681-BARUS, 7 members; EP-1781-EIC-CAPTURE-PADANG, 4 members) predate the accepted rule and have not been re-audited against it except the single HOLDOUT-02 case",COVERAGE_RESULT,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_AUTHORIZED,NOT_APPLICABLE,NOT_EVALUATED,N/A,N/A,0,N/A,0,N/A,Pre-rule groupings predate the accepted rule; not re-audited against it project-wide
provenance_status_source_objects,source_objects,9,9,READY,docs/thesis/pilot_annotation/hawkes_baseline_v2/evidence_acquisition/HAWKES_V2_SOURCE_FAMILY_OPPORTUNITY_MAP.csv,9/9 identified source objects have a metadata record (Wave 1); does not certify comparability or completeness,VERIFIED_METADATA_RESULT,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_AUTHORIZED,NOT_APPLICABLE,NOT_APPLICABLE,N/A,N/A,N/A,N/A,0,N/A,9/9 verified against its own denominator; does not certify project-wide provenance
provenance_status_corpus_wide,provenance_audit_rows,141,N/A,NOT_EVALUABLE,docs/thesis/pilot_annotation/hawkes_baseline_v2/HAWKES_BASELINE_V2_EVENT_PROVENANCE_AUDIT.csv,provenance_status field exists per row (e.g. CD_PRIMARY/CD_INDEPENDENT/MULTI_SOURCE_VERIFIED) but has not been audited against the corrected Wave 3B compatibility gate project-wide,COVERAGE_RESULT,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_AUTHORIZED,NOT_APPLICABLE,NOT_EVALUATED,N/A,N/A,0,N/A,0,N/A,141-row provenance_status field exists but not audited against Wave 3B gate project-wide
source_family_coverage,source_families,9,9,READY,docs/thesis/pilot_annotation/hawkes_baseline_v2/evidence_acquisition/HAWKES_V2_SOURCE_FAMILY_OPPORTUNITY_MAP.csv,"Documented; 2 of 9 (CD, GM) lack a documented lawful future access route",COVERAGE_RESULT,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_AUTHORIZED,NOT_APPLICABLE,NOT_EVALUATED,N/A,N/A,0,N/A,0,N/A,2/9 source families lack a documented lawful future access route
observation_process_contract,design_components,1,1,READY,this contract Section 1,"N_obs(t) != H(t) equation and G_causal=0 stated explicitly; this is a design/documentation readiness, not a data readiness",DESIGN_SPECIFICATION,DESIGNED,ACCEPTED,NOT_APPLICABLE,NOT_AUTHORIZED,NOT_APPLICABLE,COMPLETE_STRUCTURAL_CONTRACT,1,1,N/A,N/A,0,N/A,Complete structural contract (contract Section 1); G_observation=1 at accepted-design level only
exposure_ACT07_design,candidate_classes,7,7,READY,docs/thesis/pilot_annotation/hawkes_baseline_v2/evidence_acquisition/wave3a/HAWKES_V2_ACT07_ARCHIVAL_OPPORTUNITY_DESIGN.csv,"All 7 candidates classified (NOT_EVALUABLE x5, DESCRIPTIVE_ONLY_CIRCULAR x2); G_ACT07_execute=0",DESIGN_SPECIFICATION,DESIGNED,ACCEPTED,NOT_APPLICABLE,NOT_AUTHORIZED,NOT_APPLICABLE,DESIGN_ONLY,1,1,N/A,N/A,0,N/A,"All 7 ACT-07 candidates classified; G_ACT07_execute=0, execution DEFER"
comparator_registry_scripts,comparator_families,4,0,NOT_READY,N/A,"Homogeneous Poisson, inhomogeneous Poisson, piecewise-constant Poisson, renewal -- none exist as registered/executable scripts in this repository",IMPLEMENTATION_ARTIFACT,NOT_DESIGNED,NOT_APPLICABLE,NOT_IMPLEMENTED,NOT_AUTHORIZED,NOT_EXECUTION_READY,NOT_APPLICABLE,N/A,N/A,N/A,0,0,0,0/4 comparator families exist as registered/executable scripts
hawkes_registry_scripts,existing_scripts,2,2,PROHIBITED,docs/thesis/colab/model3_hawkes_stratified.py; docs/thesis/colab/model3_hawkes_kaskade_event.py,Scripts exist from the closed Model 3B-CD V1 / prior Hawkes workstream; execution prohibited while Hawkes fitting=SUSPENDED,LEGACY_IMPLEMENTATION_ARTIFACT,NOT_APPLICABLE,NOT_APPLICABLE,IMPLEMENTED,PROHIBITED_TO_EXECUTE,SUSPENDED,NOT_APPLICABLE,N/A,N/A,N/A,0,0,0,Legacy code exists but is not admitted/validated for V2 merely by existing (implementation_gate=0)
existing_fitted_output_dependency,production_dependencies,1,1,PROHIBITED,backend/build_bokeh_dashboard.py (references data/export/hawkes_model_output.json),"Production dashboard dependency; this is Model 3B-CD V1's prior output (FAILED_VALIDATION), not a valid input for any new fit; not modified by this operation",LEGACY_DATA_ARTIFACT,NOT_APPLICABLE,NOT_APPLICABLE,IMPLEMENTED,PROHIBITED_AS_HAWKES_V2_EVIDENCE,NOT_EXECUTION_READY,FAILED_VALIDATION,N/A,N/A,0,0,0,0,Model 3B-CD V1 output; not cited as an input in this package's reproducibility manifest
simulation_recovery_code,phase_d_scripts,1,1,PROHIBITED,docs/thesis/colab/model3b_tournament_harness/,Phase D is closed and must not be rerun; code retained as historical record only,LEGACY_IMPLEMENTATION_ARTIFACT,NOT_APPLICABLE,NOT_APPLICABLE,IMPLEMENTED,PROHIBITED_TO_EXECUTE,CLOSED_MUST_NOT_RERUN,NOT_APPLICABLE,N/A,N/A,N/A,0,0,0,Phase D; retained as historical record only
diagnostic_suite_registration,diagnostic_types,3,0,NOT_READY,N/A,"Time-rescaling, dispersion, inter-event/burstiness diagnostics are specified in this contract (design) but not frozen/registered for any specific future fit",IMPLEMENTATION_ARTIFACT,NOT_DESIGNED,NOT_APPLICABLE,NOT_IMPLEMENTED,NOT_AUTHORIZED,NOT_EXECUTION_READY,NOT_APPLICABLE,N/A,N/A,N/A,0,0,0,0/16 diagnostics registered (see diagnostic/sensitivity/stop-rule registry)
sensitivity_arm_registration,minimum_arms,12,0,NOT_READY,N/A,12 minimum sensitivity arms specified (Section 19 of the contract) but not frozen/registered for any specific future fit,IMPLEMENTATION_ARTIFACT,NOT_DESIGNED,NOT_APPLICABLE,NOT_IMPLEMENTED,NOT_AUTHORIZED,NOT_EXECUTION_READY,NOT_APPLICABLE,N/A,N/A,N/A,0,0,0,0/12 sensitivity arms registered
estimand_registration,estimands,1 primary + 7 secondary,0,NOT_READY,N/A,Primary (Delta_LS) and 7 secondary estimands specified but not frozen/registered for any specific future fit,IMPLEMENTATION_ARTIFACT,NOT_APPLICABLE,NOT_APPLICABLE,NOT_IMPLEMENTED,NOT_AUTHORIZED,NOT_EXECUTION_READY,NOT_APPLICABLE,N/A,N/A,0,0,0,0,No corpus version v exists to compute estimands against
researcher_authorization_to_fit,binary,1,0,NOT_READY,N/A,A_researcher=0; no explicit authorization to fit has been given,AUTHORIZATION_STATE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_AUTHORIZED,NOT_APPLICABLE,NOT_APPLICABLE,N/A,N/A,N/A,N/A,0,N/A,"A_researcher known zero, not NOT_EVALUABLE"
researcher_authorization_to_reconsider,binary,1,0,NOT_READY,this contract Section 22; HAWKES_BASELINE_V2_RECONSIDERATION_READINESS_DECISION.md,See rationale.,AUTHORIZATION_STATE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_AUTHORIZED,NOT_APPLICABLE,NOT_APPLICABLE,N/A,N/A,N/A,N/A,0,N/A,"A_reconsider known zero, not NOT_EVALUABLE"
legacy_hawkes_scripts_marker,existing_scripts,2,2,PROHIBITED,docs/thesis/colab/model3_hawkes_stratified.py; model3_hawkes_kaskade_event.py,See rationale.,LEGACY_IMPLEMENTATION_ARTIFACT,NOT_APPLICABLE,NOT_APPLICABLE,IMPLEMENTED,PROHIBITED_TO_EXECUTE,SUSPENDED,NOT_APPLICABLE,N/A,N/A,N/A,0,0,0,Duplicate reference kept distinct from hawkes_registry_scripts row for per-component traceability
phase_d_marker,phase_d_scripts,1,1,PROHIBITED,docs/thesis/colab/model3b_tournament_harness/,See rationale.,LEGACY_IMPLEMENTATION_ARTIFACT,NOT_APPLICABLE,NOT_APPLICABLE,IMPLEMENTED,PROHIBITED_TO_EXECUTE,CLOSED_MUST_NOT_RERUN,NOT_APPLICABLE,N/A,N/A,N/A,0,0,0,Duplicate reference kept distinct from simulation_recovery_code row for per-component traceability
model_CMP01_homogeneous_poisson,comparator_families,4,1,DESIGN_ACCEPTED_NOT_EXECUTION_READY,this contract Section 7.1; HAWKES_V2_MODEL_FAMILY_AND_ESTIMAND_REGISTRY.csv row CMP-01,See rationale.,MODEL_SPECIFICATION,DESIGNED,ACCEPTED,NOT_IMPLEMENTED,NOT_AUTHORIZED,NOT_EXECUTION_READY,DESIGN_ONLY,1,1,0,0,0,0,"G_fit,CMP01=0"
model_CMP02_inhomogeneous_poisson,comparator_families,4,1,DESIGN_ACCEPTED_NOT_EXECUTION_READY,this contract Section 7.2; registry row CMP-02,See rationale.,MODEL_SPECIFICATION,DESIGNED,ACCEPTED,NOT_IMPLEMENTED,NOT_AUTHORIZED,NOT_EXECUTION_READY,DESIGN_ONLY,1,1,0,0,0,0,"Additionally blocked on covariate: no registered exposure covariate exists, G_ACT07_execute=0; G_fit,CMP02=0"
model_CMP03_piecewise_poisson,comparator_families,4,1,DESIGN_ACCEPTED_NOT_EXECUTION_READY,this contract Section 7.3; registry row CMP-03,See rationale.,MODEL_SPECIFICATION,DESIGNED,ACCEPTED,NOT_IMPLEMENTED,NOT_AUTHORIZED,NOT_EXECUTION_READY,DESIGN_ONLY,1,1,0,0,0,0,"G_fit,CMP03=0"
model_CMP04_renewal,comparator_families,4,1,DESIGN_ACCEPTED_NOT_EXECUTION_READY,this contract Section 7.4; registry row CMP-04,See rationale.,MODEL_SPECIFICATION,DESIGNED,ACCEPTED,NOT_IMPLEMENTED,NOT_AUTHORIZED,NOT_EXECUTION_READY,DESIGN_ONLY,1,1,0,0,0,0,"G_fit,CMP04=0"
model_HWK01_exponential_hawkes_primary,hawkes_variants,5,1,PRIMARY_CANDIDATE_DESIGN_ACCEPTED_NOT_EXECUTION_READY,this contract Section 8.1; registry row HWK-01,See rationale.,MODEL_SPECIFICATION,DESIGNED,ACCEPTED,NOT_IMPLEMENTED,NOT_AUTHORIZED,NOT_EXECUTION_READY,EXPLORATORY_CANDIDATE_NOT_RULED_OUT,1,1,0,0,0,0,"Primary candidate; design-level acceptance only; G_fit,HWK01=0"
model_HWK02_sum_of_exponentials,hawkes_variants,5,0,DESIGN_REGISTERED_NOT_ACCEPTED_REQUIRES_SEPARATE_JUSTIFICATION,this contract Section 8.2; registry row HWK-02,See rationale.,MODEL_SPECIFICATION,DESIGNED,NOT_ACCEPTED,NOT_IMPLEMENTED,NOT_AUTHORIZED,NOT_EXECUTION_READY,DESIGN_ONLY,1,0,0,0,0,0,"Formula complete but requires separate scientific-rationale justification not yet given; G_fit,HWK02=0"
model_HWK03_power_law,hawkes_variants,5,0,DESIGN_REGISTERED_NOT_ACCEPTED_REQUIRES_SEPARATE_JUSTIFICATION,this contract Section 8.2; registry row HWK-03,See rationale.,MODEL_SPECIFICATION,DESIGNED,NOT_ACCEPTED,NOT_IMPLEMENTED,NOT_AUTHORIZED,NOT_EXECUTION_READY,DESIGN_ONLY,1,0,0,0,0,0,"G_fit,HWK03=0"
model_HWK04_nonparametric,hawkes_variants,5,0,DESIGN_REGISTERED_NOT_ACCEPTED_REQUIRES_SEPARATE_JUSTIFICATION,this contract Section 8.2; registry row HWK-04,See rationale.,MODEL_SPECIFICATION,DESIGNED,NOT_ACCEPTED,NOT_IMPLEMENTED,NOT_AUTHORIZED,NOT_EXECUTION_READY,DESIGN_ONLY,1,0,0,0,0,0,"G_fit,HWK04=0"
model_HWK05_multitype_marked,hawkes_variants,5,0,BLOCKED_BY_ONTOLOGY,this contract Section 8.3; registry row HWK-05,See rationale.,MODEL_SPECIFICATION,DESIGNED,NOT_ACCEPTED,NOT_IMPLEMENTED,NOT_AUTHORIZED,BLOCKED,BLOCKED_BY_ONTOLOGY,1,0,0,0,0,BLOCKED,"event_type=""konflik"" is PROJECT_NORMALIZED_LABEL (Wave 3B); R-O7 term-classification NOT_EVALUABLE; G_fit,HWK05=0"
