risk_id,family_id,risk_direction,risk_description,trigger_term_or_rule,potential_consequence,control_or_mitigation,residual_status,researcher_review_required,execution_status,notes
RISK-C1-01,C1,BROADNESS,"generic uses of 'hermeneutics' unrelated to computation (e.g. legal hermeneutics, biblical hermeneutics)",term: hermeneutics (bare),large false-positive volume from unrelated legal/theological literature,require co-occurrence with 'computational' or 'AI' or 'digital',RESIDUAL_MODERATE,YES,NOT_EXECUTED,
RISK-C1-02,C1,NARROWNESS,missing non-English foundational hermeneutic theory (Gadamer/Ricoeur originally in German/French),reliance on English-only exact phrases,foundational theory literature in German/French may be under-retrieved,add TV-C1-009 (German translation candidate) and future French candidate; flag for researcher review before freeze,RESIDUAL_HIGH - translation candidates not yet verified,YES,NOT_EXECUTED,direct consequence of SLR-DEC-02 language scope now being adjudicated
RISK-C1-03,C1,NARROWNESS,missing pre-digital theoretical foundations if a lower date limit is later mis-applied,any accidental date filter,classical hermeneutic theory predates computation by decades and could be excluded by an inappropriate cutoff,SLR-DEC-03 (adjudicated APPROVED_WITH_LIMITATIONS) already establishes NO_LOWER_DATE_LIMIT for S1/C1 specifically,RESIDUAL_LOW - decision already made,NO (already resolved by SLR-DEC-03),NOT_EXECUTED,
RISK-C2-01,C2,BROADNESS,'digital history' alone captures purely descriptive digital-collection announcements with no methodological content,term: digital history (bare),"large false-positive volume, high screening burden","require co-occurrence with methodological-transparency, interpretation, or 'computational' terms",RESIDUAL_MODERATE,YES,NOT_EXECUTED,
RISK-C2-02,C2,BROADNESS,'close reading' alone captures the entire field of literary criticism unrelated to computation,term: close reading (bare),very large false-positive volume from literary-criticism journals,require co-occurrence with 'distant reading' or 'computational'/'digital' terms,RESIDUAL_MODERATE-HIGH,YES,NOT_EXECUTED,one of the highest-risk bare terms in the entire term registry
RISK-C2-03,C2,NARROWNESS,missing non-English digital-history scholarship (substantial French and German digital-humanities communities exist),English-only term set so far,under-retrieval of continental European DH methodology literature,"add language variants per SLR-DEC-02; TV-C2-008 (Dutch) drafted, French/German still needed",RESIDUAL_HIGH - not yet remediated,YES,NOT_EXECUTED,
RISK-C3-01,C3,BROADNESS,'archival terms used only in computer storage contexts' (e.g. 'archive' meaning a compressed file or IT backup),"term: archive / archival (bare, especially combined with 'digital')",false positives from computer-science storage/backup literature,"require co-occurrence with 'colonial', 'historical', or a named colonial institution (VOC/EIC)",RESIDUAL_MODERATE,YES,NOT_EXECUTED,
RISK-C3-02,C3,NARROWNESS,"missing Dutch-language colonial-archive-criticism scholarship — the single most consequential narrowness risk in the entire registry, given VOC archives are predominantly Dutch-language and Dutch historiography is a primary source of relevant critical theory",English-only term set,the domain most central to this project's own Painan-Indrapura context could be systematically under-retrieved,TV-C3-006/007/008 (Dutch candidates) drafted but two of three flagged REQUIRES_REVIEW or EXCLUDED_AMBIGUOUS_TERM pending verification,RESIDUAL_HIGH - highest-priority unresolved risk,YES,NOT_EXECUTED,flagged as the top remediation priority for Wave B continuation
RISK-C3-03,C3,NARROWNESS,"missing archival-silence terminology synonyms (e.g. 'absence', 'erasure', 'gaps in the record') beyond the exact phrase 'archival silence'",reliance on TV-C3-001 exact phrase only,literature using synonymous but differently-worded concepts may be missed,add synonym set as an additional remediation item before SLR-DEC-06 freeze,RESIDUAL_MODERATE - not yet remediated,YES,NOT_EXECUTED,
RISK-C3-04,C3,NARROWNESS,"possible mistranslation/calque risk for constructed Dutch/Indonesian terms not yet confirmed as attested scholarly usage (TV-C3-008 'archiefstilte', TV-C3-013 'kekosongan arsip')",EXCLUDED_AMBIGUOUS_TERM-flagged translation candidates,"if used without verification, either zero recall (term doesn't exist in the literature) or false results (term means something unintended)",require native-speaker or domain-expert verification before either term is promoted out of REQUIRES_REVIEW/EXCLUDED_AMBIGUOUS_TERM status,RESIDUAL_HIGH until verified,YES,NOT_EXECUTED,
