linimasa_event_id,event_date_raw,year,title,classification,citation_from_text_asli,rationale,classifier_confidence,researcher_review_required,m4_eligibility_class
row_1,17 Januari 1607,1607,Traktat pertama: VOC dapat hak bangun pos berbenteng di Atjeh,EXACT_EVENT_DATE,"""desen 17e Januarij vant jaer... 1607""",Treaty's own dateline: accord concluded/signed on this exact date.,HIGH,FALSE,M4_PRIMARY_ELIGIBLE
row_2,29 September 1625,1625,VOC sendiri catat klaim yurisdiksi Atjeh TERLUAS: seluruh Sumatra,DOCUMENT_DATE,"(date only via source_page metadata, not stated within visible text_asli excerpt)","VOC internal policy memorandum; date comes from archival citation, not an explicit dateline visible in the excerpt.",LOW,TRUE,NOT_APPLICABLE_NON_EXACT
row_3,29 September 1625,1625,VOC tarik comptoir sendiri di Atjeh krn takut pembalasan,DOCUMENT_DATE,"(same source_page as idx2, companion clause)",Same VOC memorandum as idx2; date via source metadata only.,LOW,TRUE,NOT_APPLICABLE_NON_EXACT
row_5,10 Desember 1632,1632,"Iskandar Muda janji bebas tol 4 tahun, klaim yurisdiksi luas",EXACT_EVENT_DATE,"""belooffde in den tijt van vier jaeren...""","Treaty/promise clause, CD-numbered document; standard treaty-dated pattern though explicit dateline not visible in 500-char excerpt.",MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_6,24 Sep 1636 (lapor 12 Okt 1636),1636,Pejabat pungut-tol Atjeh masih aktif di Indrapura,DOCUMENT_DATE,"""d'onredelijcke begeerlijckheijt..."" (letter by Jacob Schooff)","Letter reporting an ongoing situation, dated 24 Sep; explicit ""(lapor 12 Okt 1636)"" annotation confirms 12 Okt is the separate report/receipt date, so 24 Sep is the letter's own document date, not a discrete narrated event.",MEDIUM,TRUE,NOT_APPLICABLE_NON_EXACT
row_8,15 Februari 1641,1641,"Iskandar Thani wafat, Ratu Atjeh naik takhta",EXACT_EVENT_DATE,"""overleed den 15 Februari 1641""","Directly narrated death date, though sourced from editor's (Heeres) footnote, not a primary VOC document per the row's own notes.",MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_13,6 & 9 November 1649,1649,"Traktat harga-tetap: monopoli lada Tiku, Priaman, Indrapoura",MULTIPLE_DATES_AMBIGUOUS,"event_date_raw itself: ""6 & 9 November 1649""","Two dates joined by ""&""; treaty text excerpt does not disambiguate which date is the operative contract date.",HIGH,TRUE,NOT_APPLICABLE_NON_EXACT
row_14,15 Agustus 1650,1650,Traktat monopoli timah Perak (vasal Atjeh),EXACT_EVENT_DATE,"""heefft Hare Maij... vergunt...""","CD-numbered treaty (traktat CXCII); standard treaty-dated pattern, explicit dateline not visible in excerpt.",MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_15,7 Desember 1655,1655,Damai Perak: ganti rugi 50.000 real + jadwal tol ekspor timah,EXACT_EVENT_DATE,"""Verdragh van vrede, gemaeckt ende gesloten...""",CD-numbered peace treaty (traktat CCXVI); standard treaty-dated pattern.,MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_16,15 Des 1656 (lapor 28 Jan 1657),1656,"VOC & Atjeh buka perang terbuka, ratu perintahkan serang westcust",CANNOT_DETERMINE,"""haer Ed. commissaris... den oorloch op Atchin was aendoende""","Unclear whether 15 Des 1656 is when war was declared or merely when VOC officials in the field learned/recorded it; explicit ""(lapor 28 Jan 1657)"" shows a separate later report date exists, but the primary date's own status (event vs. local notification) is not resolved by the excerpt.",LOW,TRUE,NOT_APPLICABLE_NON_EXACT
row_17,28 Jan 1657,1657,"Personel VOC kabur dari Sillida, kerugian ~120.000 gulden",EXACT_EVENT_DATE,"""quamen haer onverwacht van daer toe...""","Narrates personnel fleeing Sillida; no ""(lapor)"" annotation on this row, narration reads as a direct account of the flight.",MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_18,6 Feb 1657,1657,VOC kirim armada hukuman 200 tentara ke Sillida,EXACT_EVENT_DATE,"""is op heeden ter vergaderinge van haer Ed. g'arresteert...""","""op heeden"" = ""hereby today"": explicit same-day council resolution dateline.",HIGH,FALSE,M4_PRIMARY_ELIGIBLE
row_22,26 Mei 1659,1659,Perdamaian resmi mengakhiri perang VOC-Atjeh 1656-57,EXACT_EVENT_DATE,"""de Aetchinders ende de Hollanders hebben veel jaren...""",Queen's peace letter; letter date functions as the peace-declaration event date.,MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_23,20 Juni 1659,1659,Syarat damai resmi VOC-Atjeh (proses damai 1659),EXACT_EVENT_DATE,"""Conditien... voorgestellt tot besleghtinge...""","CD traktat CCXXXVIII; formal peace-terms document, own notes confirm this is a distinct dated instrument from idx22.",MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_24,14 Okt 1660 (lapor 27 Jan 1661),1660,Groenewegen dihormati Ratu Achin dgn gelar & pedang,ARRIVAL_OR_DEPARTURE_DATE,"""pada tanggal 14 Oktober telah tiba di hadapan Achin""","Explicit arrival narration (""had arrived... on 14 October""); distinct from the substantive honor-bestowal that followed ""the next day"".",HIGH,TRUE,NOT_APPLICABLE_NON_EXACT
row_25,8 Agustus 1660,1660,Kontrak dagang Sillebar dengan Bantam,EXACT_EVENT_DATE,"""Contract van negotie gemaekt ende besloten...""",CD traktat CCXLI; standard treaty-dated pattern.,MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_26,16 Agustus 1660,1660,Klausul yurisdiksi VOC-Indrapoura (cikal bakal lepas dari Aceh),EXACT_EVENT_DATE,"""onderteijckent wederzijts... desen 16e Augustus 1660""",Explicit signing dateline within the treaty text itself.,HIGH,FALSE,M4_PRIMARY_ELIGIBLE
row_27,16 Agustus 1660,1660,"Jadwal hadiah tahunan VOC ke Raja & bangsawan Indrapoura (kain, cermin/kaca)",EXACT_EVENT_DATE,"(same treaty as idx26, per own notes: ""TRAKTAT SAMA"")","QA pass (full text): row_27's own text_asli (a ceremonial gift/tribute schedule) carries no visible dateline. Its date is inherited from row_26, the parent treaty instrument of the same 16 Agustus 1660 Indrapoura contract ('TRAKTAT SAMA' per notes). Verified this turn: row_26's own text_asli does carry a genuine explicit signing dateline -- 'onderteijckent wederzijts... desen 16e Augustus 1660' -- so this inheritance is grounded in a directly-verified sibling dateline, not an unverified cross-reference. HIGH confidence retained on that basis.",HIGH,FALSE,M4_PRIMARY_ELIGIBLE
row_31,Jun-Jul 1662 (lapor 27 Mar 1663),1662,"Ticco (Soureradja) putuskan lepas dari mahkota Atjeh, minta lindung VOC",EXACT_REPORT_DATE,"event_date_raw: ""Jun-Jul 1662 (lapor 27 Mar 1663)""",Row's own primary date is a month-range (not day-precise); the only day-precise element is explicitly the later Batavia report date.,HIGH,TRUE,NOT_APPLICABLE_NON_EXACT
row_32,4 November 1662 (dilaporkan Batavia 27 Maret 1663),1662,Indrapoura (Malafarcha & Sultan Mametcha) ikut lepas dari Atjeh,EXACT_EVENT_DATE,"event_date_raw explicitly separates ""4 November 1662"" from ""(dilaporkan Batavia 27 Maret 1663)""",Row's own structure distinguishes event date from report date; 4 Nov is presented as the negotiation/agreement date.,MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_33,1662-1663 (lapor 27 Mar 1663),1663,"Traktat Painan: pasal-pasal VOC-Songypagouers, akhiri kekuasaan Atjeh",EXACT_REPORT_DATE,"event_date_raw: ""1662-1663 (lapor 27 Mar 1663)""",Row's own primary date is a year-range; only day-precise element is the report date.,HIGH,TRUE,NOT_APPLICABLE_NON_EXACT
row_35,27 Juli 1663,1663,"Songypagouers (Indrapura, Painan, Padang, Tiku) resmi lepas dari Aceh",EXACT_EVENT_DATE,"""Accoort en eeuwig verbont gemaakt...""","CD traktat CCLXXV; standard treaty-dated pattern, formal separation from Aceh.",MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_36,8 Januari 1664,1664,Panglima Atjeh di Sillida kabur malam-malam ke Priaman,EXACT_EVENT_DATE,"""tepat waktu, pada tanggal 8 Januari, pada malam hari... menyeberang""","Explicit direct narration: ""precisely on 8 January, at night... crossed over"" (panglima's flight).",HIGH,FALSE,M4_PRIMARY_ELIGIBLE
row_38,14 Desember 1664,1664,600-700 orang Atjeh bertahan di benteng Priaman lawan pengusiran,DOCUMENT_DATE,"""di Priaman, tempat perlindungan semua orang Atchin...""",Describes an ongoing standoff/situation rather than a discrete dated action; 14 Des 1664 most likely reflects the reporting document's own date.,MEDIUM,TRUE,NOT_APPLICABLE_NON_EXACT
row_40,27 Agustus 1665,1665,"VOC dirikan factorij Padang, dukung Sultan Mametcha",EXACT_EVENT_DATE,"""untuk membantu Sultan Mametcha dengan nasihat dan tindakan...""",VOC's formal decision to found a permanent factorij at Padang; decision/founding date.,MEDIUM,TRUE,SENSITIVITY_ONLY_NOT_PRIMARY_M4
row_42,1667 (dicatat ulang 10 Juni 1681),1667,Penyerahan formal Sillida & Pulau Cingkuak ke VOC,DOCUMENT_DATE,"event_date_raw: ""1667 (dicatat ulang 10 Juni 1681)""","Row's own annotation: the underlying transfer event occurred in 1667 (year-only precision); ""10 Juni 1681"" is explicitly the later re-transcription/re-recording date, not the event date.",HIGH,TRUE,NOT_APPLICABLE_NON_EXACT
