invariance_id,mathematical_object,before_definition,after_proposed_definition,comparison_result,source_before,source_after,change_detected,blocking_status,notes
INV-01,lambda(t|H_t),"lambda(t|H_t) = mu + sum_{tj<t} alpha*exp(-beta*(t-tj)); mu>0, alpha>=0, beta>0","lambda(t|H_t) = mu + sum_{tj<t} alpha*exp(-beta*(t-tj)); mu>0, alpha>=0, beta>0",IDENTICAL,planning/WAVE_2_MATHEMATICAL_CONTRACT.md S1.2,planning/WAVE_2_MATHEMATICAL_CONTRACT.md S1.2,NO,NONBLOCKING,"No surface-map row targets S1.2; OPT-005-B retirement is confined to OD-005 candidate_options text and downstream cross-references, not the intensity function"
INV-02,n (primary estimand),n = alpha/beta; excitation regime 0<n<1; exact null n=0,n = alpha/beta; excitation regime 0<n<1; exact null n=0,IDENTICAL,"planning/WAVE_2_MATHEMATICAL_CONTRACT.md S1.2, S2.1","planning/WAVE_2_MATHEMATICAL_CONTRACT.md S1.2, S2.1",NO,NONBLOCKING,PLAN.md S1 explicitly states n=alpha/beta is not redefined by this proposal; verified directly
INV-03,ell(theta;Y),ell(theta;Y) = sum_i log lambda(ti|H_ti;theta) - integral_0^T lambda(t|H_t;theta) dt,ell(theta;Y) = sum_i log lambda(ti|H_ti;theta) - integral_0^T lambda(t|H_t;theta) dt,IDENTICAL,planning/WAVE_2_MATHEMATICAL_CONTRACT.md S1.3,planning/WAVE_2_MATHEMATICAL_CONTRACT.md S1.3,NO,NONBLOCKING,"No surface-map row targets S1.3; likelihood function, parameter space, and nuisance-parameter definition unaffected"
INV-04,H(theta) (full Hessian),"H(theta) = nabla^2_theta ell(theta); full 3x3 matrix, all cross-derivatives included; H_diag substitution prohibited","H(theta) = nabla^2_theta ell(theta); full 3x3 matrix, all cross-derivatives included; H_diag substitution prohibited",IDENTICAL,planning/WAVE_2_MATHEMATICAL_CONTRACT.md S1.5,planning/WAVE_2_MATHEMATICAL_CONTRACT.md S1.5,NO,NONBLOCKING,No cross-derivative or full-Hessian requirement is touched by an OD-005 candidate-set change
INV-05,J(theta_hat),J(theta_hat) = -H(theta_hat),J(theta_hat) = -H(theta_hat),IDENTICAL,planning/WAVE_2_MATHEMATICAL_CONTRACT.md S1.5,planning/WAVE_2_MATHEMATICAL_CONTRACT.md S1.5,NO,NONBLOCKING,Unaffected; not referenced anywhere in the surface map or test-impact files
INV-06,Var(theta_hat),Var_hat(theta_hat) = J(theta_hat)^-1,Var_hat(theta_hat) = J(theta_hat)^-1,IDENTICAL,planning/WAVE_2_MATHEMATICAL_CONTRACT.md S1.5,planning/WAVE_2_MATHEMATICAL_CONTRACT.md S1.5,NO,NONBLOCKING,Unaffected; not referenced anywhere in the surface map or test-impact files
INV-07,"R_attempted,c","R_attempted,c = 1000; R_attempted,c = R_valid,c + sum_k R_failure,c,k","R_attempted,c = 1000; R_attempted,c = R_valid,c + sum_k R_failure,c,k",IDENTICAL,planning/WAVE_2_MATHEMATICAL_CONTRACT.md S2.2,planning/WAVE_2_MATHEMATICAL_CONTRACT.md S2.2,NO,NONBLOCKING,"PLAN.md S1 explicitly states R_attempted,c is not touched; test OD005-AMD-004 exists precisely to confirm this post-retirement"
INV-08,"R_valid,c","R_valid,c is the exact-null-cell subset of the R_generated>=R_completed>=R_converged>=R_valid refinement chain (S2.2/S8.2)","R_valid,c is the exact-null-cell subset of the R_generated>=R_completed>=R_converged>=R_valid refinement chain (S2.2/S8.2)",IDENTICAL,planning/WAVE_2_MATHEMATICAL_CONTRACT.md S2.2,planning/WAVE_2_MATHEMATICAL_CONTRACT.md S2.2,NO,NONBLOCKING,"AbsBias_c's own denominator (S2.3) uses R_valid,c; retirement of the unrelated, unspecified OPT-005-B does not touch this chain"
INV-09,failure accounting (FailureRate_c),"FailureRate_hat_c = 1 - R_valid,c/R_attempted,c; denominator may never silently narrow to successes only","FailureRate_hat_c = 1 - R_valid,c/R_attempted,c; denominator may never silently narrow to successes only",IDENTICAL,planning/WAVE_2_MATHEMATICAL_CONTRACT.md S2.2,planning/WAVE_2_MATHEMATICAL_CONTRACT.md S2.2,NO,NONBLOCKING,Test OD005-AMD-005 exists precisely to confirm FailureRate_c reporting is unaffected post-retirement
INV-10,Coverage_c / CoverAndValid_c,"Coverage_hat_c = (1/R_valid,c) sum 1{n_c in C_cr}; CoverAndValid_hat_c = (1/R_attempted,c) sum 1{valid interval and n_c in C_cr}; primary choice = OD-006, OPEN_REQUIRES_ADJUDICATION","Coverage_hat_c = (1/R_valid,c) sum 1{n_c in C_cr}; CoverAndValid_hat_c = (1/R_attempted,c) sum 1{valid interval and n_c in C_cr}; primary choice = OD-006, OPEN_REQUIRES_ADJUDICATION",IDENTICAL,planning/WAVE_2_MATHEMATICAL_CONTRACT.md S2.6,planning/WAVE_2_MATHEMATICAL_CONTRACT.md S2.6,NO,NONBLOCKING,OD-006 is out of scope per PLAN.md S1; neither formula nor the open primary-metric question is touched by an OD-005-only proposal; CoverAndValid_c is not promoted or silently dropped
INV-11,"profile likelihood (ell_p, D(n), C_1-gamma)","ell_p(n) = sup_psi ell(n,psi); D(n) = 2[ell_p(n_hat)-ell_p(n)]; C_{1-gamma} = {n : D(n) <= c_{1-gamma}}","ell_p(n) = sup_psi ell(n,psi); D(n) = 2[ell_p(n_hat)-ell_p(n)]; C_{1-gamma} = {n : D(n) <= c_{1-gamma}}",IDENTICAL,planning/WAVE_2_MATHEMATICAL_CONTRACT.md S2.5,planning/WAVE_2_MATHEMATICAL_CONTRACT.md S2.5,NO,NONBLOCKING,Not referenced by any surface-map row; profile-likelihood design (Package C / OD-007) remains untouched and out of scope
INV-12,exact null (H0:n=0 / M0:n=0),"M2: H0:n=0 (=> alpha=0), H1:0<n<1 (S2.8). M3: M0:n=0 (=> alpha=0, lambda_0(t)=mu), M1:0<n<1 (S3.1)","M2: H0:n=0 (=> alpha=0), H1:0<n<1 (S2.8). M3: M0:n=0 (=> alpha=0, lambda_0(t)=mu), M1:0<n<1 (S3.1)",IDENTICAL,"planning/WAVE_2_MATHEMATICAL_CONTRACT.md S2.8, S3.1","planning/WAVE_2_MATHEMATICAL_CONTRACT.md S2.8, S3.1",NO,NONBLOCKING,"Exact-null definition for both M2's LR test and M3's model comparison is untouched; M3-BLOCK-01 (n=0 unreachable in sampler) is unaffected -- a separate, already-tracked blocker, not touched by this review"
INV-13,"AbsBias_c / AC-M2-03 (additional check beyond mandatory 12, adversarial)","AbsBias_hat_c = (1/R_valid,c) sum |n_hat_cr - n_c| (exact-null substitute, n_c=0); AC-M2-03: threshold_status=OPEN_REQUIRES_ADJUDICATION, threshold_value=NULL, applicability=n_c=0 cells only","AbsBias_hat_c = (1/R_valid,c) sum |n_hat_cr - n_c| (exact-null substitute, n_c=0); AC-M2-03: threshold_status=OPEN_REQUIRES_ADJUDICATION, threshold_value=NULL, applicability=n_c=0 cells only",IDENTICAL,"planning/WAVE_2_MATHEMATICAL_CONTRACT.md S2.3, S6 (AC-M2-03 row)","planning/WAVE_2_MATHEMATICAL_CONTRACT.md S2.3, S6 (AC-M2-03 row)",NO,NONBLOCKING,"AbsBias_c is OPT-005-A, the still-live candidate -- NOT the option being retired. Checked adversarially to confirm retiring the unrelated placeholder OPT-005-B does not implicitly touch AbsBias_c's formula or AC-M2-03's threshold_status/threshold_value; confirmed untouched"
