output_file,scope_of_typing,dominant_epistemic_object_type,secondary_types_present,type_stability_check,notes
HAWKES_BASELINE_V2A_H05_FINAL_RESEARCHER_DECISION.md,whole-document (single coherent decision record),RESEARCHER_DECISION,"COMPUTED_DESCRIPTION (G_H05 gate arithmetic); REPOSITORY_FACT (R1/R2 terminal)",NOT_APPLICABLE_FIRST_TYPING_THIS_OPERATION,"H-05 = NOT_EVALUABLE_REQUIRES_RESEARCHER_REVIEW is a researcher-adjudicated decision about an operational gate, not itself a historical claim; no promotion to HISTORICAL_FACT occurs anywhere in the document."
HAWKES_BASELINE_V2_DIALECTICAL_CLAIM_MATRIX.csv,per-row (claim_type column already present in source),MIXED_LEDGER (row-level types: AGENT_INTERPRETATION x8; SOURCE_SUPPORTED_CLAIM x2; RESEARCHER_DECISION x2; REPOSITORY_FACT x1),AGENT_HYPOTHESIS (thesis/antithesis framing on every row),NOT_APPLICABLE_FIRST_TYPING_THIS_OPERATION,"This file is a dialectical register, not a single-type object. Per-row claim_type is already explicit in the source and is preserved verbatim (not silently promoted); C4's 'ADOPT' status rests on SOURCE_SUPPORTED_CLAIM evidence (documented regime-shift episodes), not on AGENT_INTERPRETATION alone."
HAWKES_BASELINE_V2_ALTERNATIVE_MECHANISM_REGISTER.csv,per-row (claim_type column already present in source),MIXED_LEDGER (row-level: SOURCE_SUPPORTED_CLAIM x7; AGENT_HYPOTHESIS x3; REPOSITORY_FACT x2),AGENT_HYPOTHESIS (evidence_status column is itself an agent judgment call layered on top of claim_type),NOT_APPLICABLE_FIRST_TYPING_THIS_OPERATION,"synthetic_promotion_check column already enforces the SYNTHETIC_MODEL_RESULT -> HISTORICAL_FACT prohibition at row level (PASS markers require corpus-historical, not synthetic-DGP, grounding). No change made here."
HAWKES_BASELINE_V2_CAUSAL_ONTOLOGY_BOUNDARY.md,"whole-document (formal definitional boundary, no new computation performed by the document itself)",PROJECT_CODING_DECISION,"REPOSITORY_FACT (N_corpus(t)!=H(t) prohibition, corpus-growth facts); UNRESOLVED_QUESTION (seven-entity ontology, most entities not yet resolved)",NOT_APPLICABLE_FIRST_TYPING_THIS_OPERATION,"The five-process decomposition (H,O,S,A,C) and seven-entity ontology are this project's own analytic scaffolding (PROJECT_CODING_DECISION), explicitly not asserted as historically validated mappings."
HAWKES_BASELINE_V2_REQUIRED_COMPARATOR_ARCHITECTURE.csv,per-row (model_id),"MIXED_LEDGER (M0/M2: REPOSITORY_FACT -- already exist, frozen; M1/M3: PROSPECTIVE_MODEL_PROPOSAL -- not yet built; M4: UNRESOLVED_QUESTION -- feasibility not assessed)","COMPUTED_DESCRIPTION (failure_mode / identifiability_assumptions columns)",NOT_APPLICABLE_FIRST_TYPING_THIS_OPERATION,"No row in this file describes a fitted or forecast result; M1/M3's f3_availability=BLOCKED is a governance fact (RESEARCHER_DECISION-derived), not a new model result."
HAWKES_BASELINE_V2_MODEL_FUTURE_OPTIONS.csv,per-row (option_id),MIXED_LEDGER (F3: RESEARCHER_DECISION [ADOPTED_BY_RESEARCHER]; F1/F2/F4: AGENT_HYPOTHESIS with researcher_status=NOT_SELECTED/NOT_CURRENTLY_AUTHORIZED),COMPUTED_DESCRIPTION (criterion columns SATISFIED/NOT_SATISFIED/PARTIALLY_SATISFIED),NOT_APPLICABLE_FIRST_TYPING_THIS_OPERATION,"F4's evidentiary_status=OPEN_GOVERNANCE_OPTION is explicitly distinguished from a falsification finding in the source notes -- preserved, not altered."
HAWKES_BASELINE_V2_MODEL_FUTURE_RECOMMENDATION.md,whole-document,RESEARCHER_DECISION,"AGENT_HYPOTHESIS (withdrawn-conclusion analysis of the original Pareto-dominance and NOT_RULED_OUT-conflation errors, retained as a corrected-reasoning record)",NOT_APPLICABLE_FIRST_TYPING_THIS_OPERATION,"Document records both the adopted decision (F3) and the self-correction of two prior invalid inferences; the corrected reasoning is typed AGENT_HYPOTHESIS (it is this project's own inference about its own prior inference, not a source-grounded claim)."
HAWKES_BASELINE_V2_DIALECTICAL_REPRODUCIBILITY_MANIFEST.csv,whole-document (field/value pairs),REPOSITORY_FACT,COMPUTED_DESCRIPTION (gate arithmetic fields e.g. G_causal=0),NOT_APPLICABLE_FIRST_TYPING_THIS_OPERATION,"A manifest of paths, commit hashes, and execution flags is a record of what this project did and holds, not a claim about VOC-era history."
HAWKES_BASELINE_V2_COLONIAL_CATEGORY_MAPPING.csv,per-row (project_analytic_category),UNRESOLVED_QUESTION,"PROJECT_CODING_DECISION (project_analytic_category labels themselves, e.g. 'perjanjian'); SOURCE_SILENCE is explicitly NOT asserted -- mapping_status=SOURCE_CATEGORY_ONLY / CONTESTED_CATEGORY, never coded as absence",NOT_APPLICABLE_FIRST_TYPING_THIS_OPERATION,"model_input_status=PROHIBITED_AS_MODEL_INPUT on every row is itself a governance fact (RESEARCHER/PROJECT decision), correctly distinguished from a claim that the underlying source terms do not exist."
HAWKES_BASELINE_V2_OBSERVATION_PROCESS_REGISTER.csv,per-row (process),"MIXED_LEDGER (CORPUS_INCLUSION, EVENT_CODING: REPOSITORY_FACT [readiness_status=1, fully known by construction]; CONTEMPORARY_RECORDING, ARCHIVAL_SURVIVAL: UNRESOLVED_QUESTION [Z_q_indicator=UNKNOWN, structurally unobservable]; COLLECTION_SELECTION, DIGITIZATION_OR_CATALOGUING, CURRENT_ACCESS: COMPUTED_DESCRIPTION [PARTIALLY_EVALUABLE])",none beyond the above,NOT_APPLICABLE_FIRST_TYPING_THIS_OPERATION,"readiness_status=0 for R_record/R_survival is explicitly typed as a structural-unobservability fact, not miscoded as SOURCE_SILENCE=event-absence (the exact shortcut prohibited in Section 2 item 8 of the governing instruction)."
HAWKES_BASELINE_V2_COMPARATOR_FEASIBILITY.csv,per-row (model_id),COMPUTED_DESCRIPTION,"PROJECT_CODING_DECISION (S/I/O/T/E/J/P component definitions); RESEARCHER_DECISION embedded in notes (V2-A freeze, F3 scope)",NOT_APPLICABLE_FIRST_TYPING_THIS_OPERATION,"terminal_feasibility_status values (FEASIBLE_CONDITIONALLY, FROZEN_NOT_REFIT, NOT_EVALUABLE) are computed from the seven component flags, not asserted independently -- type-stable."
HAWKES_BASELINE_V2_RO1_RO10_GATE_MATRIX.csv,per-row (item_id),COMPUTED_DESCRIPTION,"RESEARCHER_DECISION / PROJECT_CODING_DECISION embedded in evidence_summary narrative (e.g. SR-01..SR-04 relabeling rationale); UNRESOLVED_QUESTION for every NOT_EVALUABLE row's blocking_condition",NOT_APPLICABLE_FIRST_TYPING_THIS_OPERATION,"terminal_status and gate_indicator are each COMPUTED_DESCRIPTION from explicit, stated construction rules (SR-02); no row asserts a historical fact about VOC-era events."
HAWKES_BASELINE_V2_ONTOLOGY_OBSERVATION_MASTER_REPORT.md,whole-document (synthesis/narrative report referencing all other 14 outputs),COMPUTED_DESCRIPTION (synthesis of the gate matrix and corrections SR-01..SR-04),"RESEARCHER_DECISION (final interpretive state framing); PROJECT_CODING_DECISION (definitional sections)",NOT_APPLICABLE_FIRST_TYPING_THIS_OPERATION,"Explicitly states 'no new computation performed' and 'the numeric gate distribution is unchanged' -- the document is a correction/synthesis layer over already-typed material below it, not a new evidentiary layer."
HAWKES_BASELINE_V2_RECONSIDERATION_READINESS_DECISION.md,whole-document,"RESEARCHER_DECISION (PROPOSED, pending Checkpoint-1 adjudication at time of writing)","COMPUTED_DESCRIPTION (gate-count arithmetic 0 PASS / 1 FAIL / 9 NOT_EVALUABLE); AGENT_HYPOTHESIS (reasoning for rejecting the three other candidate decision labels)",NOT_APPLICABLE_FIRST_TYPING_THIS_OPERATION,"Status line explicitly marks itself PROPOSED rather than ADOPTED at time of writing -- type recorded as the document's own self-declared status, not upgraded to a finalized RESEARCHER_DECISION by this ledger."
HAWKES_BASELINE_V2_ONTOLOGY_OBSERVATION_REPRODUCIBILITY_MANIFEST.csv,whole-document (field/value pairs),REPOSITORY_FACT,COMPUTED_DESCRIPTION (gate-sum and count fields),NOT_APPLICABLE_FIRST_TYPING_THIS_OPERATION,"Same class as the dialectical reproducibility manifest: a record of paths, hashes, and execution flags for this project's own outputs."
