parent_decision_id,child_decision_id,dependency_type,mathematical_condition,readiness_before_wave_a,readiness_after_wave_a,status,notes
SLR-DEC-01,SLR-DEC-05,foundational,W_1=1 required,NOT_READY (all Wave A decisions were PENDING before this adjudication),READY (parent adjudicated in Wave A),PARENT_READY_CHILD_STILL_BLOCKED,W_1=1 necessary for D5 (review type bounds what counts as an eligible source class); ADDITIONALLY BLOCKED by 13 candidate sources being NOT_VERIFIED_FOR_SLR_USE (independent of decision-dependency readiness)
SLR-DEC-01,SLR-DEC-06,foundational,W_1=1 required,NOT_READY (all Wave A decisions were PENDING before this adjudication),READY (parent adjudicated in Wave A),PARENT_READY_CHILD_STILL_BLOCKED,W_1=1 necessary for D6 (review type bounds search-string construction philosophy); ADDITIONALLY BLOCKED by G_C^string=0 (independent of decision-dependency readiness)
SLR-DEC-01,SLR-DEC-07,foundational,W_1=1 required,NOT_READY (all Wave A decisions were PENDING before this adjudication),READY (parent adjudicated in Wave A),PARENT_READY_CHILD_STILL_BLOCKED,W_1=1 necessary for D7 (pilot design presupposes review type); transitively blocked because D5 and/or D6 are not yet adjudicated
SLR-DEC-01,SLR-DEC-08,foundational,W_1=1 required,NOT_READY (all Wave A decisions were PENDING before this adjudication),READY (parent adjudicated in Wave A),PARENT_READY_CHILD_STILL_BLOCKED,W_1=1 necessary for D8 (seed-study logic presupposes review type); transitively blocked because D5 and/or D6 are not yet adjudicated
SLR-DEC-01,SLR-DEC-10,foundational,W_1=1 required,NOT_READY (all Wave A decisions were PENDING before this adjudication),READY (parent adjudicated in Wave A),PARENT_READY_CHILD_STILL_BLOCKED,W_1=1 necessary for D10 (screening arrangement presupposes review type)
SLR-DEC-01,SLR-DEC-11,foundational,W_1=1 required,NOT_READY (all Wave A decisions were PENDING before this adjudication),READY (parent adjudicated in Wave A),PARENT_READY_CHILD_STILL_BLOCKED,W_1=1 necessary for D11 (extraction-audit arrangement presupposes review type)
SLR-DEC-01,SLR-DEC-12,foundational,W_1=1 required,NOT_READY (all Wave A decisions were PENDING before this adjudication),READY (parent adjudicated in Wave A),PARENT_READY_CHILD_STILL_BLOCKED,W_1=1 necessary for D12 (appraisal-use-in-synthesis presupposes review type)
SLR-DEC-02,SLR-DEC-06,scope_input,W_2=1 required,NOT_READY (all Wave A decisions were PENDING before this adjudication),READY (parent adjudicated in Wave A),PARENT_READY_CHILD_STILL_BLOCKED,W_2=1 (language scope) is an input to search-string language-variant construction (V_c); ADDITIONALLY BLOCKED by G_C^string=0 (independent of decision-dependency readiness)
SLR-DEC-03,SLR-DEC-06,scope_input,W_3=1 required,NOT_READY (all Wave A decisions were PENDING before this adjudication),READY (parent adjudicated in Wave A),PARENT_READY_CHILD_STILL_BLOCKED,W_3=1 (temporal scope) is an input to search-string filter rationale (F_c); ADDITIONALLY BLOCKED by G_C^string=0 (independent of decision-dependency readiness)
SLR-DEC-04,SLR-DEC-06,scope_input,W_4=1 required,NOT_READY (all Wave A decisions were PENDING before this adjudication),READY (parent adjudicated in Wave A),PARENT_READY_CHILD_STILL_BLOCKED,W_4=1 (publication-type scope) is an input to search-string filter rationale (F_c); ADDITIONALLY BLOCKED by G_C^string=0 (independent of decision-dependency readiness)
SLR-DEC-05,SLR-DEC-07,gating,W_5=1 pending,NOT_READY (all Wave A decisions were PENDING before this adjudication),NOT_READY (parent still PENDING_RESEARCHER_DECISION),PARENT_NOT_READY,D5 must be adjudicated (frozen source set S_A) before pilot source subset D_P subset S_A can be chosen; transitively blocked because D5 and/or D6 are not yet adjudicated
SLR-DEC-06,SLR-DEC-07,gating,W_6=1 pending,NOT_READY (all Wave A decisions were PENDING before this adjudication),NOT_READY (parent still PENDING_RESEARCHER_DECISION),PARENT_NOT_READY,D6 must be adjudicated (frozen string families) before pilot family subset C_P subset C can be chosen; transitively blocked because D5 and/or D6 are not yet adjudicated
SLR-DEC-09,SLR-DEC-07,gating,W_9=1 required,NOT_READY (all Wave A decisions were PENDING before this adjudication),READY (parent adjudicated in Wave A),PARENT_READY_CHILD_STILL_BLOCKED,deduplication policy (D9) must be known before pilot design can assess duplicate behavior across databases (protocol Sec.13 objective 7); transitively blocked because D5 and/or D6 are not yet adjudicated
SLR-DEC-10,SLR-DEC-07,gating,W_10=1 required,NOT_READY (all Wave A decisions were PENDING before this adjudication),READY (parent adjudicated in Wave A),PARENT_READY_CHILD_STILL_BLOCKED,screening arrangement (D10) must be known before pilot design can calibrate screening instructions (protocol Sec.13 objective 5); transitively blocked because D5 and/or D6 are not yet adjudicated
SLR-DEC-06,SLR-DEC-08,gating,W_6=1 pending,NOT_READY (all Wave A decisions were PENDING before this adjudication),NOT_READY (parent still PENDING_RESEARCHER_DECISION),PARENT_NOT_READY,D6 must be adjudicated (frozen string families) before seed-study retrieval sensitivity (P_hat_seed) can be meaningfully diagnosed against those strings; transitively blocked because D5 and/or D6 are not yet adjudicated
SLR-DEC-11,SLR-DEC-12,gating,W_11=1 required,NOT_READY (all Wave A decisions were PENDING before this adjudication),READY (parent adjudicated in Wave A),PARENT_READY_CHILD_STILL_BLOCKED,extraction-audit arrangement (D11) determines what extracted data is available for appraisal-use-in-synthesis (D12) to operate on
