"result_id","query_id","dataset_name","doi","publication_date","relevance_classification","rationale","access_status","notes"
"R-01","Q-01","VOC transcriptions - GLOBALISE (v1/v2)","10.34894/K7IVEW / 10.34894/SBDGWP / 10.34894/50ZYWS","2025-11-29 / 2026-02-03 / 2026-02-06","SUGGESTS_FUTURE_ANNOTATION","Mass machine-transcription corpus (4.8M scans, 1610-1796) that could in principle contain Natal 1760 material, but is not itself Natal-specific -- relevance is only knowable after a targeted full-text/inventory-number search within the corpus, which is future-turn scope.","UNKNOWN -- not checked this turn (metadata only lists file counts, not per-item access restriction)","Appears as a top result for every one of the 7 gap queries (Q-01 through Q-07) -- a generic high-relevance-score match on VOC, not gap-specific."
"R-02","Q-01","Replication Data: Natal Dispersal in Cooperative Breeder","10.34894/OXQ2PW","2023-11","NOT_RELEVANT","Ornithology/behavioral-ecology dataset about bird natal dispersal -- a false-positive keyword match on Natal as a biological term, unrelated to the Sumatran location Natal.","n/a","Confirms the need for compound queries (Natal 1760 VOC) rather than the bare place name alone."
"R-03","Q-01","VOC Court Records Cochin 1681-1792","10.34894/MORBYY","2025-12-01","NOT_RELEVANT","Cochin (India) court records -- different VOC settlement, no Sumatra west-coast connection found in the description.","n/a",""
"R-04","Q-01","Dutch VOC Trade in Asian Slaves","10.34894/ZXZNLL","2026-05-28","SUGGESTS_FUTURE_RELATION_REVIEW","Described as covering Bay of Bengal trade specifically in this metadata pass; not confirmed to include Sumatra's west coast or Natal, but the general topic (VOC slave trade) is adjacent to the Sillida/Salido constrained-agency question (GAP-SILLIDA-02).","UNKNOWN -- not checked this turn","Cross-referenced to Sillida gap rather than Natal; flagged here because it surfaced under the Natal query."
"R-05","Q-02","VOC transcriptions - GLOBALISE / VOC Court Records Cochin","(as R-01/R-03)","(as above)","NOT_RELEVANT (for Painan specifically)","No Painan- or 1663-specific match found in the returned metadata for this query.","n/a",""
"R-06","Q-03","Picture Naming Test and Measure of Bilingualism (plus same GLOBALISE/Cochin/slave-trade/price datasets as R-01/R-03/R-04)","10.34894/I3MIRR","2019-01-29","NOT_RELEVANT","Modern linguistics/bilingualism survey dataset; Sumatra appears only as a modern fieldwork location, unrelated to VOC-era Koto Tangah.","n/a",""
"R-07","Q-03","SKOS Thesauri for VOC Archival Document Classification","10.34894/B2WBZZ","2026-08-05","SUGGESTS_FUTURE_ANNOTATION","A controlled-vocabulary/classification thesaurus for VOC documents -- potentially useful for cross-checking whether GLOBALISE's own document classification already has a category analogous to this project's colonial-category/resistance annotations, but not a source of new Koto Tangah evidence itself.","UNKNOWN -- not checked this turn","Purely a methodological cross-reference lead, not a historical-evidence lead."
"R-08","Q-03","VOC Prices in the Dutch-Asian Trade 1608-1800","10.34894/UFGGCY","2026-02-06","NOT_RELEVANT (for Koto Tangah specifically)","Commodity price series across VOC trade routes generally -- no Koto Tangah-specific destruction-event content indicated.","n/a","Could be SUGGESTS_FUTURE_RELATION_REVIEW for Tiku's pepper-trade gap (GAP-TIKU-03) instead -- not actioned this turn."
"R-09","Q-04","(same generic GLOBALISE/Cochin/slave-trade datasets)","(as above)","(as above)","NOT_RELEVANT (for Tiku specifically)","No Tiku-, Soureradja-, or pepper-trade-specific match found in the returned metadata.","n/a",""
"R-10","Q-05","Data on Demography Migration Slavery and Employment for the Netherlands Indies Philippines and British Malaya 1800-1950","10.34894/PRMGPV","2026-01-26","NOT_RELEVANT (wrong period)","Covers 1800-1950 -- entirely post-dates the Sillida/Salido gold-mine episode this project treats (1648-1755, per CROSS_CASE_POWER_ONTOLOGY_VALIDATION_PLAN.md), even though its subject matter (slavery, employment, Netherlands Indies) is topically adjacent.","n/a","Recorded explicitly as checked-but-wrong-period, not silently skipped, so a future turn does not re-discover and re-reject the same dataset."
