decision_id,model_stage,batch_id,batch_rationale,decidable_from_frozen_sources,requires_literature_review,requires_calibration_evidence,requires_implementation_evidence,upstream_dependency,downstream_impact,prohibited_shortcut
OD-001,M0,BATCH-01-M0-TOLERANCES,"Both epsilon_s and E_sym/E_H are score/Hessian numerical-comparison tolerances gated by the same S7.4/S7.6 prohibition on trial-and-error selection; natural to design their synthetic-evidence protocol together.",NO,YES,YES,YES,"REQ-M0-002,REQ-M0-003","REQ-M0-008 (M0 gate)","Do not pick a round number (e.g. 1e-4) without a synthetic null distribution of ||s(theta_hat)||_inf backing it."
OD-002,M0,BATCH-01-M0-TOLERANCES,"Same batch as OD-001 -- both are M0 numerical-tolerance decisions sharing S7 prohibitions and a common synthetic-evidence-generation step.",NO,YES,YES,YES,"REQ-M0-004,REQ-M0-005","REQ-M0-008","Do not set E_sym/E_H post-hoc to make a known result pass; must come from analytic-vs-numeric Hessian comparison across representative regimes."
OD-003,CROSS,BATCH-02-PARAM-NULL-REPRESENTATION,"OD-003's own notes state it must resolve jointly with OD-004: the parameterization choice directly determines whether/how n=0 is representable, and OD-004 is the exact-null-representability question inherited from the same defect class as M3-BLOCK-01.",NO,YES,YES,YES,REQ-M0-006,"REQ-M2-001,REQ-M2-007,REQ-M3-001","Do not adopt an unconstrained logit(n) transform as the sole representation without separately verifying it can reach n=0 exactly."
OD-004,CROSS,BATCH-02-PARAM-NULL-REPRESENTATION,"Directly linked to OD-003 (same batch rationale) and to the confirmed M3-BLOCK-01 defect (n clamped away from 0 under naive logit transform) -- must not be adjudicated independently of the parameterization choice.",NO,NO,NO,YES,"REQ-M0-006,REQ-M2-010,REQ-M3-001","REQ-M2-011,REQ-M3-009","Do not close this via planning-only design review alone; a passing unit test demonstrating n=0 is reached in at least one code path is required, and it must not be closed as a side effect of adjudicating OD-003."
OD-005,M2,BATCH-03-M2-METRICS,"AbsBias and the Coverage_c-vs-CoverAndValid_c choice (OD-006) are both M2 primary-metric adoption questions that the mathematical contract (S8.4/S8.7) flags as needing cross-check against NUM-DEC-01/02 before either is adopted -- naturally reviewed together since both feed the same acceptance-criterion registry.",YES,NO,NO,NO,REQ-M2-005,"REQ-M2-008 (acceptance-criterion registry)","Do not adopt RelBias at the exact null (n_c=0); it is mathematically undefined there (division by zero)."
OD-006,M2,BATCH-03-M2-METRICS,"Same batch as OD-005 -- both are M2 metric-choice questions resolvable from the frozen spec plus a NUM-DEC cross-check, without calibration or implementation evidence.",YES,NO,NO,NO,REQ-M2-008,"REQ-M2-009 (MCSE target), acceptance-criterion registry","Do not adopt a new primary metric without checking it against NUM-DEC-01/02's own denominator language first."
OD-007,M2,BATCH-04-M2-PROFILE-LIKELIHOOD,"Package C (profile-likelihood design) is a single coherent 10-sub-question design bundle (grid, refinement, nuisance optimization, warm start, endpoint search, disconnected sets, boundary handling, failure rules, interpolation, monotonicity) that must be adjudicated as one unit -- splitting it would let sub-decisions contradict each other (e.g. an interpolation rule chosen before the endpoint-search method is fixed).",NO,YES,YES,YES,REQ-M2-007,"REQ-M2-008,REQ-M2-011,REQ-M2-012","Do not assume monotonicity of the profile log-likelihood without a stress test on ridge-shaped and boundary-touching synthetic profiles."
OD-008,M2,BATCH-05-M2-BOOTSTRAP,"Package D (M2 exact-null bootstrap design) is an 11-sub-question bundle (B, seed hierarchy, failed-fit policy, denominator policy, adaptive extension, critical-value estimation, exact-null generation contract, nonfinite/negative-LR treatment, calibration-validity criteria) that is internally coupled -- e.g. the denominator policy and failed-fit policy must agree, and B cannot be chosen before a target MCSE exists. Kept separate from OD-007 because it governs a distinct procedure (null-hypothesis calibration vs. confidence-interval construction), though both feed M2's overall uncertainty machinery.",NO,YES,YES,YES,"REQ-M2-011,REQ-M2-010","REQ-M2-012, tau-calibration machinery pattern reuse","Do not pick a bootstrap replication count B before a target MCSE is itself adjudicated; do not silently drop failed bootstrap fits from the denominator."
OD-009,M3,BATCH-06-M3-PRIORS,"Package E (M3 within-model priors for mu, beta, n) must be resolved before bridge sampling (OD-010) can even be designed, since bridge sampling requires proper, versioned priors as an input -- kept as its own batch because it is a distinct methodological/literature question (prior elicitation) rather than a numerical-method design question.",NO,YES,YES,YES,"REQ-M3-002,REQ-M3-006","REQ-M3-003,REQ-M3-004,REQ-M3-005,REQ-M3-009","Do not derive priors empirical-Bayes-style from the historical data being analyzed; do not select a prior purely for computational convenience without a documented prior-predictive check."
OD-010,M3,BATCH-07-M3-EVIDENCE-METHODS,"Bridge sampling (OD-010), thermodynamic integration (OD-011), and their disagreement threshold Delta_BTI (OD-012) form one tightly coupled design bundle: TI's role is explicitly to cross-check bridge sampling, and the disagreement threshold cannot be designed before both methods' own uncertainty characteristics exist. Splitting these three would let the escalation rule (OD-012) be designed before the quantities it thresholds are even defined.",NO,YES,YES,YES,"REQ-M3-003,REQ-M3-006,REQ-M0-006","REQ-M3-004,REQ-M3-011","Do not run bridge sampling in this or any planning turn; toy-model validation against a known closed-form Z is required before any real use. Directly linked to M3-BLOCK-02/03/04."
OD-011,M3,BATCH-07-M3-EVIDENCE-METHODS,"Same batch as OD-010/OD-012 -- see that rationale. The temperature-ladder design cannot be finalized independent of the bridge-sampling contract it is meant to validate against.",NO,YES,YES,YES,"REQ-M3-009,REQ-M3-010",REQ-M3-011,"Do not adopt a naive uniform-spacing ladder as a default without a synthetic discretization-error study; directly linked to M3-BLOCK-05."
OD-012,M3,BATCH-07-M3-EVIDENCE-METHODS,"Same batch as OD-010/OD-011 -- the escalation threshold is meaningless until both marginal-likelihood methods and their own uncertainty estimates exist; must be adjudicated last within this batch, after the other two.",NO,YES,YES,YES,"REQ-M3-009,REQ-M3-010,REQ-M3-011",REQ-M3-004,"Do not choose an arbitrary fixed log-scale number without characterizing typical bridge/TI disagreement on toy posteriors first; matches NUM-DEC-06's own unresolved BRIDGE_TI_AGREEMENT_TOLERANCE item."
OD-013,M3,BATCH-08-M3-TAU-CALIBRATION,"Tau-calibration design (Package G) depends on the prior-odds framework (NUM-DEC-05, frozen) and on the marginal-likelihood method existing and being validated (OD-009/010/011/012 chain) -- kept as its own batch because it is explicitly gated to a separately-authorized future calibration turn per NUM-DEC-04, distinct from the implementation-design batches above it.",NO,YES,YES,YES,"REQ-M3-007,REQ-M3-013,REQ-M3-014","final NUM-DEC-04 value adjudication (separately authorized, not part of Wave 2 or this batch)","Tau itself must never be selected in this or any planning-only turn; do not select tau from the FSR<=alpha_target rule alone without a joint FNR/power check; do not reuse the illustrative 0.90/0.95 example or the illustrative {0.50,...,0.99} grid as adopted values."
OD-014,CROSS,BATCH-09-CROSS-SEED-COMPUTE,"Seed-hierarchy derivation (OD-014) and compute/checkpoint/provenance planning (OD-015) are both cross-cutting execution-infrastructure design questions independent of the model math, and the compute-planning estimate structurally depends on the seed-hierarchy design (per-cell/replication/method addressing scheme) -- batched together as infrastructure design, separate from any model-stage batch.",NO,YES,YES,YES,REQ-M3-015,"REQ-M2-002,REQ-M3-009,REQ-M3-010 execution manifests","Do not adopt a naive linear combination of (c,r,m) indices; it is collision-prone and lacks independence guarantees. Requires an explicit collision-resistance and independence test."
OD-015,CROSS,BATCH-09-CROSS-SEED-COMPUTE,"Same batch as OD-014 -- see that rationale. Also the only decision in this batch (and one of only three across all 16) fully decidable from frozen sources without calibration or implementation evidence, since it is explicitly restricted to a symbolic/structural estimate.",YES,NO,NO,NO,REQ-CROSS-001,"NUM-DEC-08 resource-envelope framework (still PENDING_MEASUREMENT for all 8 ceiling dimensions)","Do not execute an actual compute-cost benchmark; use symbolic/structural dependency estimates only, per the instruction's explicit prohibition (S18 Package H)."
OD-018,CROSS,BATCH-10-AGGREGATE-THRESHOLD-REGISTRY,"Aggregate entry spanning M0 (REQ-M0-003, REQ-M0-005 -- same objects as OD-001/OD-002) and M2 (REQ-M2-005, REQ-M2-006, REQ-M2-008 -- same objects as OD-005/OD-006) acceptance-criterion thresholds; sequenced last among the M0/M2 batches because it is a synthesis/registry-completeness check on BATCH-01 and BATCH-03's outcomes, not an independent decision.",NO,NO,YES,NO,"REQ-M0-003,REQ-M0-005,REQ-M2-005,REQ-M2-006,REQ-M2-008","every downstream gate decision for M0/M2","Do not fill any threshold_value via guessing or common practice without a sourced decision (S21); each criterion resolves only when its own itemized registry row in WAVE_2_MATHEMATICAL_CONTRACT.md S6 is separately adjudicated."
