gate_id,candidate,metric,original_threshold,observed_value,planned_replications,actual_replications,protocol_complete,implementation_valid,estimand_valid,classification,proposed_action,researcher_decision_required,evidence_path,notes
GATE-001,M0,invalid_estimate_rate,<= 0.05,0.0-0.009 across 15 cells,1000,1000,TRUE,TRUE,TRUE,VALID_GATE_VALID_FAILURE,none -- gate passes,FALSE,docs/thesis/colab/model3b_tournament_harness/recovery_results/m0_summary.csv,PASS. Point-estimate machinery is sound; not implicated in the coverage failure.
GATE-002,M0,false_positive_excitation_rate,<= 0.05,N/A (M0 has no excitation/alpha term),1000,1000,TRUE,TRUE,TRUE,NOT_INTERPRETABLE,none -- gate is structurally N/A for M0 by design (no excitation term exists to be falsely positive),FALSE,docs/thesis/colab/model3b_tournament_harness/m0_baseline.py,REASON=NOT_APPLICABLE_TO_MODEL_DOMAIN. M0 is the non-Hawkes count baseline; this gate was already flagged N/A-by-construction in the original gate spec authoring. alpha/beta/n are not elements of Theta_M0.
GATE-003,M0,absolute_relative_bias_excitation_params,<= 0.10,N/A (no excitation params in M0),1000,1000,TRUE,TRUE,TRUE,NOT_INTERPRETABLE,none -- N/A by construction,FALSE,docs/thesis/colab/model3b_tournament_harness/m0_baseline.py,REASON=NOT_APPLICABLE_TO_MODEL_DOMAIN. Same as GATE-002.
GATE-004,M0,normalized_absolute_bias_baseline_param,<= 0.25,0.007-0.034 across 15 cells,1000,1000,TRUE,TRUE,TRUE,VALID_GATE_VALID_FAILURE,none -- gate passes comfortably,FALSE,docs/thesis/colab/model3b_tournament_harness/recovery_results/m0_summary.csv,"PASS. theta0/theta1 point estimates recover well; corroborates that the failure is confined to interval construction, not the point estimator."
GATE-005,M0,branching_ratio_absolute_bias,<= 0.05,N/A (no branching ratio in M0),1000,1000,TRUE,TRUE,TRUE,NOT_INTERPRETABLE,none -- N/A by construction,FALSE,docs/thesis/colab/model3b_tournament_harness/m0_baseline.py,REASON=NOT_APPLICABLE_TO_MODEL_DOMAIN. Same as GATE-002.
GATE-006,M0,branching_ratio_relative_bias,<= 0.10,N/A (no branching ratio in M0),1000,1000,TRUE,TRUE,TRUE,NOT_INTERPRETABLE,none -- N/A by construction,FALSE,docs/thesis/colab/model3b_tournament_harness/m0_baseline.py,REASON=NOT_APPLICABLE_TO_MODEL_DOMAIN. Same as GATE-002.
GATE-007,M0,ci_coverage_95pct,between 0.925 and 0.975,0.544-0.615 (theta1) across 15 cells,1000,1000,TRUE,FALSE,TRUE,VALID_GATE_IMPLEMENTATION_FAILURE,"Rebuild M0's Wald CI using the full 2x2 finite-difference Hessian (including the theta0/theta1 cross term), not the diagonal-only approximation in run_recovery_m0.py::run_cell. Small oracle (n=60, S3-equiv-moderate cell) shows this alone raises coverage from 0.450 to 0.933 -- within the target band. Re-run at full 1000/cell scale only after researcher approves the fix.",TRUE,"docs/thesis/pilot_annotation/MODEL_3B_M0_INTERVAL_COVERAGE_AUDIT.md; /tmp/model3b_diag/m0_ci_diagnostic.py (DIAGNOSTIC_ONLY, not committed)","FAIL as observed, but root cause is a missing off-diagonal covariance term in the SE construction (see M0 audit doc), not a substantive model or point-estimator problem. See STANDARD_ERROR_IMPLEMENTATION classification."
GATE-015,M2,invalid_estimate_rate,<= 0.05,0.0-0.013 across 4 cells,1000,150,FALSE,TRUE,TRUE,PROTOCOL_NOT_COMPLETED,Re-run at full 1000/cell before final adjudication (MCSE at n=150 is ~0.018 vs ~0.0069 at n=1000 for a metric near 0.95),TRUE,docs/thesis/colab/model3b_tournament_harness/recovery_results/m2_summary.csv,PASSES at reduced scale but per sec4.7 of the governing instruction M2 cannot receive final gate adjudication from 150 replications/cell.
GATE-016,M2,false_positive_excitation_rate,<= 0.05,0.607 (S1-equiv-alpha0 cell only; n=150),1000,150,FALSE,TRUE,TRUE,PROTOCOL_NOT_COMPLETED,"Re-run at full 1000/cell. Separately: given the confirmed alpha/beta ridge (M2 identifiability profile), verify the significance test used to flag alpha>0 is not itself confounded by the same ridge -- it uses a diagonal-only SE(alpha), the same class of bug found in M0's CI machinery (see run_recovery_m2.py::run_cell numeric_hessian_diag).",TRUE,docs/thesis/pilot_annotation/MODEL_3B_M2_IDENTIFIABILITY_PROFILE.md; docs/thesis/colab/model3b_tournament_harness/recovery_results/m2_summary.csv,"FAIL as observed at n=150. Two compounding issues suspected: (1) MCSE is large at this scale (+/-0.018), (2) the alpha-significance decision rule likely inherits the same diagonal-Hessian SE underestimate bug identified in M0 -- not yet separately confirmed for M2's own SE code, flagged as an open question in the M2 audit."
GATE-017,M2,absolute_relative_bias_excitation_params,<= 0.10,"4450%-5480% (alpha, individually)",1000,150,FALSE,TRUE,FALSE,ESTIMAND_MISMATCH,Do not treat individual alpha as the recoverable estimand at annual resolution. Propose replacing/supplementing this gate with a branching-ratio-only bias gate for M2 (see amendment proposal). Researcher decision required before this gate is used again as a pass/fail criterion for M2.,TRUE,"docs/thesis/pilot_annotation/MODEL_3B_M2_IDENTIFIABILITY_PROFILE.md, ridge diagnostic /tmp/model3b_diag/m2_ridge_diagnostic.py (DIAGNOSTIC_ONLY, not committed)","FAIL as observed, and the failure is extreme (>4000% bias) precisely because alpha and beta are individually near-unidentified at annual resolution -- confirmed via a flat objective ridge along alpha/beta=n_true spanning a 20x range of beta with <1 NLL-unit variation."
