field,value
OPERATION,Hawkes V2 Dialectical Governance -- Checkpoint 1 Correction and F3 Researcher Decision
GOVERNING_INSTRUCTION,docs/CLAUDE_HAWKES_V2_DIALECTICAL_CHECKPOINT1_CORRECTION_AND_F3_DECISION.md
ORIGINAL_GOVERNING_INSTRUCTION,docs/CLAUDE_HAWKES_V2_NEXT_DIALECTICAL_GOVERNANCE_AND_MODEL_FUTURE_DECISION.md
AUTHORITATIVE_BASELINE_COMMIT,f228b4a74d90234061b21c3d5969f5820955ab65
FINAL_INTERPRETIVE_STATE,HAWKES_SUSPENDED_PENDING_ONTOLOGY_AND_OBSERVATION_MODEL_REMEDIATION
RESEARCHER_DECISION,F3_SUSPEND_PENDING_ONTOLOGY_AND_OBSERVATION_MODEL_REMEDIATION
DECISION_TYPE,RESEARCHER_DECISION
DECISION_SCOPE,CURRENT_CORPUS_AND_CURRENT_MODELING_WORKSTREAM
FAMILY_WIDE_REJECTION,NO
RETROSPECTIVE_MODEL_INVALIDATION,NO
new_fitting,0
new_simulation,0
new_bootstrap,0
new_calibration,0
historical_corpus_fit,0
V2B_execution,0
PhaseD_rerun,0
amendment_adoption_this_operation,0
frozen_V2A_result_modified,0
frozen_PhaseD_result_modified,0
G_causal,0
G_ontology,0
G_V2B_preauth,0
H05,H05_NOT_EVALUABLE_REQUIRES_RESEARCHER_REVIEW
V2A_classification_preserved,MIXED_VALIDATION_RESULT
Model_3B_CD_V1_classification_preserved,"VALIDATION_FAILURE, PERMANENTLY_CLOSED"
Hawkes_family_classification_preserved,"EXPLORATORY_CANDIDATE, NOT_RULED_OUT"
constant_baseline_pooled_Hawkes_classification_preserved,INSUFFICIENT
A_Hawkes_historical_fit,0
A_Hawkes_visualization,0
A_V2B,0
A_causal_interpretation,0
A_ontology_promotion,0
correction_C_D_dominance_logic_corrected,1
correction_C_S_synthetic_to_historical_promotion_prevented,1
correction_C_O_ontology_boundary_preserved,1
correction_C_C_causal_boundary_preserved,1
correction_C_F_F3_decision_recorded_correctly,1
correction_C_0_zero_unauthorized_execution,1
G_correction,1
F1_status,NOT_CURRENTLY_AUTHORIZED
F1_evidentiary_status,OPEN
F2_status,NOT_SELECTED
F2_risk,MAY_REIFY_CORPUS_INTENSITY_AS_HISTORICAL_INTENSITY
F3_status,ADOPTED_BY_RESEARCHER
F4_status,NOT_SELECTED
F4_evidentiary_status,OPEN_GOVERNANCE_OPTION
gitignore_blocker,NONE -- all seven paths already visible under existing HAWKES_BASELINE_V2_*.csv / HAWKES_BASELINE_V2_*.md negation rules (.gitignore lines 164-165); no Checkpoint-2 gitignore amendment required
deliverable_1,HAWKES_BASELINE_V2_DIALECTICAL_CLAIM_MATRIX.csv
deliverable_1_sha256,c9f5a714b0b7a5b15014e7e131187d6da9841a9bbb34c260400d3b7465941bbd
deliverable_2,HAWKES_BASELINE_V2_ALTERNATIVE_MECHANISM_REGISTER.csv
deliverable_2_sha256,c0164105388a6cc02cc8aa2a8a52071497121aa999d1938b86fb434abccf5673
deliverable_3,HAWKES_BASELINE_V2_CAUSAL_ONTOLOGY_BOUNDARY.md
deliverable_3_sha256,0239ffb7db85dc13bae74dce39f094378faab43fd6ea29a440d8366471609f43
deliverable_4,HAWKES_BASELINE_V2_REQUIRED_COMPARATOR_ARCHITECTURE.csv
deliverable_4_sha256,c20fb3c0058a2de47d5e151f70373cad1e64170625b112221b7e990f954c3d18
deliverable_5,HAWKES_BASELINE_V2_MODEL_FUTURE_OPTIONS.csv
deliverable_5_sha256,a0d04b53bb8ce5029c8905bde08155ab53f37534429d79783e608630ce5dbb2a
deliverable_6,HAWKES_BASELINE_V2_MODEL_FUTURE_RECOMMENDATION.md
deliverable_6_sha256,f1b7d0f2953b153386a8fe986e6b1b4f6cc7d335aec28ca9cafc43c73ad6e948
deliverable_7,HAWKES_BASELINE_V2_DIALECTICAL_REPRODUCIBILITY_MANIFEST.csv
deliverable_7_sha256,"SELF_HASH = NOT_APPLICABLE_USE_EXTERNAL_OR_GIT_BLOB_HASH -- a file cannot store its own post-write hash; authoritative value is the external sha256sum computed after this file is finalized (recorded in the Checkpoint report and, once committed, the git blob hash)"
staged_this_operation,0
committed_this_operation,0
pushed_this_operation,0
server_synced_this_operation,0
checkpoint_1_status,CORRECTED_AND_RE_PRESENTED
checkpoint_2_status,NOT_REACHED
