"sec_decision_id","decision_topic","options_or_scope","plan_recommended_option","researcher_draft_recommendation","dependencies","evidence_finding_ids","security_gate_impact","researcher_decision","researcher_notes"
"SEC-DEC-01","Approve network containment before authentication","N/A -- foundational prerequisite decision","APPROVE","APPROVE, if SEC-1 finds no new technical blocker (researcher's own stated condition)","None -- this is the first, foundational decision","F-03","Must be APPROVED before Option B or Option C can be considered a real boundary rather than a partial one (F-03 direct-port bypass survives any auth added only at the silida.org layer)","APPROVED","Approve network containment before authentication. Implementation: NOT_AUTHORIZED. Production deployment: NOT_AUTHORIZED. Security gate: NOT_PASSED."
"SEC-DEC-02","Select N1 loopback binding or N2 internal-network architecture","N1 (bind 127.0.0.1:8084:80) vs N2 (internal Docker network, no host publish)","N/A -- plan leaves this PENDING explicitly","Prefer N1 unless network tracing proves N2 safe; SEC-1's own trace found N2 NOT achievable without a separately scoped re-architecture (host nginx is a native systemd process, not a Docker network member) -- see PRODUCTION_RESEARCH_PAGE_NETWORK_CONTAINMENT_PLAN.md section 3","SEC-DEC-01","F-03, this turn's network trace","Determines which containment design is actually implemented in a future turn","N1_APPROVED_WITH_LIMITATIONS","Selected: bind published port to 127.0.0.1:8084:80 (N1). N2 (internal Docker network, no host publish): DEFERRED -- SEC-1's own trace found N2 infeasible without a separately scoped re-architecture (host nginx is a native systemd process, not a Docker network member). Dependency: SEC-DEC-01 (APPROVED). Implementation: NOT_AUTHORIZED. Production deployment: NOT_AUTHORIZED. Security gate: NOT_PASSED."
"SEC-DEC-03","Protect both prefixes identically during transition","P1 (protect both identically) vs P2 (redirect after) vs P3 (retire one)","APPROVE (P1 first, then evaluate P2)","APPROVE, protect /atlas/ and /westkust/ identically","F-01","F-01","Prevents the dual-prefix bypass from surviving any auth rollout","APPROVED","Selected policy: P1 -- protect /atlas/ and /westkust/ identically. Dependency: F-01 (dual-prefix bypass finding). Implementation: NOT_AUTHORIZED. Production deployment: NOT_AUTHORIZED. Security gate: NOT_PASSED."
"SEC-DEC-04","Protect both research APIs (linimasa, pemodelan-dashboard)","AUTHENTICATED_RESEARCH_API for both, or public/private split if a shared consumer existed","APPROVE, subject to shared-consumer audit","APPROVE_WITH_LIMITATIONS after confirming no public consumer -- SEC-1's own shared-consumer audit (Phase 3) found NO other page/script consumes either endpoint, so the researcher's stated condition is satisfied","F-01, F-03 (API protection alone is insufficient without network containment)","F-02, this turn's shared-consumer audit","Closes the unauthenticated-API-access finding once implemented","APPROVED","Protected APIs: /api/research/linimasa and /api/research/pemodelan-dashboard. Classification: AUTHENTICATED_RESEARCH_API for both. Shared-consumer audit (SEC-1) found no public/shared consumer for either endpoint, satisfying the researcher's own stated condition. Implementation: NOT_AUTHORIZED. Production deployment: NOT_AUTHORIZED. Security gate: NOT_PASSED."
"SEC-DEC-05","Authorize time-boxed Option C nonproduction prototype","Approve / defer / reject a Basic Auth pilot for local/prod-like testing only","APPROVE_WITH_LIMITATIONS","APPROVE_WITH_LIMITATIONS for a temporary Basic Auth pilot","SEC-DEC-01, SEC-DEC-03, SEC-DEC-04","F-01, F-02, F-03, F-04","Production deployment of the pilot remains separately gated even if this decision is approved","APPROVED_WITH_LIMITATIONS","Selected transition: Option C Basic Auth, nonproduction prototype first. Limitations: prototype/local or production-like test only; production deployment separately gated; depends on SEC-DEC-01/02 (containment) and SEC-DEC-03/04 (dual-prefix + API protection) being applied first, per the researcher's own stated dependency that Basic Auth alone does not close the port-8084 or dual-prefix bypass. Implementation: NOT_AUTHORIZED. Production deployment: NOT_AUTHORIZED. Security gate: NOT_PASSED."
"SEC-DEC-06","Select Option B as long-term target","Option A (deferred per researcher direction) vs Option B (Entra/OIDC) vs continued Option C","APPROVE_WITH_LIMITATIONS (per plan section 5, primary target A or B)","APPROVE_WITH_LIMITATIONS, Entra/OIDC as the long-term target","F-04 (no existing app auth -- Option A deferred by researcher direction for this rollout)","F-04","Sets the direction for Phase SEC-2 prototype work; does not itself authorize implementation","APPROVED_WITH_LIMITATIONS","Long-term target: Option B Entra/OIDC. Limitations: no Entra tenant/app registration/IdP configuration authorized by this decision; target architecture only, to be built in a future, separately authorized Phase SEC-2+ turn. Option A remains deferred per researcher direction for this rollout (requires new application auth/session/CSRF/account-store/migration work). Implementation: NOT_AUTHORIZED. Production deployment: NOT_AUTHORIZED. Security gate: NOT_PASSED."
"SEC-DEC-07","Basic Auth expiry period","30, 60, or 90 days after production activation","N/A -- plan leaves this PENDING explicitly","60-day expiry for the Basic Auth transition","SEC-DEC-05","N/A","Recorded in silida.conf comment and this ledger once set, per the Basic Auth transition plan section 4","60_DAYS","Basic Auth expiry period: 60 days from production activation (not yet activated). Review required before day 45. No automatic extension -- expiry requires an explicit new researcher decision to renew, extend, or complete migration to Option B. Implementation: NOT_AUTHORIZED. Production deployment: NOT_AUTHORIZED. Security gate: NOT_PASSED."
"SEC-DEC-08","Allowed pilot users and account ownership","Named individual accounts vs shared account (shared account explicitly disallowed by plan principle 2 and this design)","N/A -- plan leaves this PENDING explicitly","Named individual accounts only, no shared account (policy direction; no actual names decided or created this turn)","SEC-DEC-05","F-04","Determines the account list for htpasswd generation in a future, separately authorized turn","NAMED_INDIVIDUAL_ACCOUNTS_ONLY","Account policy: one named individual account per person. No shared account. No self-registration. No actual account names, usernames, or credentials created or recorded by this decision -- policy only. Implementation: NOT_AUTHORIZED. Production deployment: NOT_AUTHORIZED. Security gate: NOT_PASSED."
"SEC-DEC-09","Rate-limit policy for protected/login challenges","IP-based, per-account, or combined; exact thresholds","N/A -- plan section 9 gives suggested, not-yet-approved planning thresholds only","Start with conservative IP-based limiting and monitor false positives","SEC-DEC-01, SEC-DEC-05","F-04 (no existing per-account rate limiting)","Threshold must avoid enabling denial-of-service against legitimate researcher accounts (plan section 9's own caution)","APPROVED_WITH_LIMITATIONS","Initial transition policy: conservative IP-based limiting. Limitations: final thresholds require prototype testing before being finalized as a fixed policy (plan's own caution against enabling denial-of-service against legitimate researcher accounts still applies). Implementation: NOT_AUTHORIZED. Production deployment: NOT_AUTHORIZED. Security gate: NOT_PASSED."
"SEC-DEC-10","Maintenance window and rollback threshold","Deployment window policy and the condition(s) that trigger an immediate rollback","N/A -- plan leaves this PENDING explicitly","Use a separately authorized deployment window and immediate rollback if public routes or APIs regress","SEC-DEC-01 through SEC-DEC-06","N/A","Governs the Phase SEC-3/SEC-5 rollout procedure once an option is implemented","APPROVED_WITH_LIMITATIONS","Separate maintenance window required for any future implementation/rollout. Immediate rollback triggers: public-route regression, auth bypass, API exposure, redirect loop, upstream failure, direct-port exposure, or cache leakage. Implementation: NOT_AUTHORIZED. Production deployment: NOT_AUTHORIZED. Security gate: NOT_PASSED."
