mechanism_id,mechanism,historical_or_observational,supporting_evidence,contradicting_evidence,required_but_absent_evidence,distinguishing_prediction,identification_status,current_status,legacy_cross_reference
MEC-01,Genuine event-to-event excitation,HISTORICAL,"Pooled significance vs a homogeneous-Poisson null (COMPUTED_RESULT, prior session); MBPP cross-check reproduced branching ratio within 0.1% of production fit.","None that positively excludes it, but it cannot currently be separated from MEC-02/05/06/07/08/09.","A built, non-circular comparator architecture (Section 11) distinguishing this mechanism from the baseline/exposure/fragmentation/duplication alternatives listed below.","If true: excitation magnitude should persist after controlling for baseline, exposure, and episode fragmentation; MEC-02/05/07 should not fully absorb the fitted eta.",MECHANISM_UNDERDETERMINED (no feasible discriminating observation currently exists),PARTIALLY_SUPPORTED_FOR_CORPUS,legacy A1
MEC-02,Changing historical baseline,HISTORICAL,"Five independently corroborated regime-shift episodes (1626 monopoly/withdrawal, 1660 post-peace wave, 1682 post-alliance wave, 1694 Sas expedition, 1755-56 renovation wave), cross-checked against primary sources in closed memory workstreams.",None located against materiality of a nonstationary baseline itself; only an estimation-power tradeoff caveat (more parameters vs n=141).,"A prespecified (not post-hoc) era-boundary or exposure-covariate baseline (M1/M3, not yet built).","If true: a nonstationary-baseline comparator (M1) should materially reduce the fitted excitation magnitude relative to M2's constant-baseline fit.","IDENTIFIED_IN_PRINCIPLE (comparator not yet built -- D_h^available=1 conditionally, D_h^observed=0)",SUPPORTED_FOR_CORPUS,legacy A2
MEC-03,Archival recording-density variation (O(t)),OBSERVATIONAL,"Five-process decomposition (H,O,S,A,C) in HAWKES_BASELINE_V2_CAUSAL_ONTOLOGY_BOUNDARY.md formally separates O(t) from S(t)/A(t).","None -- O(t) is explicitly classified structurally unobservable (R_record=0, OBSERVATION_PROCESS_REGISTER) rather than contradicted.","An independent contemporary-reporting-density ledger, which this project's holdings cannot by definition provide (R_record confounded with R_survival).","No feasible distinguishing observation is identified; this is a structural, not evidentiary, limitation.",NOT_TESTABLE (structurally unobservable from this project's holdings alone),NOT_TESTABLE,new (split out of legacy A3 per O/S/A decomposition)
MEC-04,Archival survival or access variation (S(t)/A(t)),OBSERVATIONAL,None located,None located,"A systematic archival-survival ledger (known losses/gaps) and a completed source_chain_to_primary audit; neither currently exists.",No feasible distinguishing observation currently exists.,NOT_TESTABLE,NOT_TESTABLE,legacy A4
MEC-05,Source-volume reporting bursts (documented A(t) variation),OBSERVATIONAL,"Corpus size grew in discrete, dated jumps (n=113 to n=141) as GM Deel 01-08 and CD5/CD6 were incorporated -- REPOSITORY_FACT, project_generale_missiven_corpus and project_markov_hawkes_models memory.",None against the fact of uneven growth; contested only as to whether it explains the specific 1626/1660/1682/1694/1756 clusters rather than being a background confound throughout.,"A research-calendar-time vs historical-event-time exposure covariate separating when this project incorporated a source from when the source describes an event.","If true: apparent clustering should correlate with this project's own source-incorporation dates, not only with historically-documented regime-shift dates.",IDENTIFIED_IN_PRINCIPLE (covariate constructible from this project's own session records; not yet built),PARTIALLY_SUPPORTED_FOR_CORPUS,legacy A5
MEC-06,Duplicate or near-duplicate reports,OBSERVATIONAL,"Existing dedup-adjudication artifact (HAWKES_BASELINE_V2_DEDUP_ADJUDICATION.csv, REPOSITORY_FACT) indicates a prior duplicate-report review occurred.","Scope of that prior review relative to residual duplication after the pass is not re-verified in this operation.","A re-verification of that artifact's coverage, not attempted here (out of WP-D scope).","If true: residual report-level duplicates should correlate with DEDUP-06-like unresolved-referent cases.",IDENTIFIED_IN_PRINCIPLE (re-verification not performed this operation),PARTIALLY_SUPPORTED_FOR_CORPUS,legacy A7
MEC-07,Parent-episode fragmentation into multiple coded rows,HISTORICAL_OR_OBSERVATIONAL (ontology-dependent -- see U11 entry in uncertainty ledger),"Ontology-readiness gate G_ontology=0 (REPOSITORY_FACT); PARENT_EPISODE explicitly required as a distinct, currently unmodeled entity.","No artifact establishes the dedup-adjudication pass captures episode-level (not just report-level) fragmentation.","A resolved PARENT_EPISODE entity with explicit, source-grounded assignment rules (R-O3 correctness remediation).","If true: fitted excitation should concentrate at short lags corresponding to within-episode report intervals rather than genuine cross-episode triggering.",MECHANISM_UNDERDETERMINED,PARTIALLY_SUPPORTED_FOR_CORPUS,legacy A6
MEC-08,Date heaping or interval substitution,HISTORICAL_OR_OBSERVATIONAL,"Documented GOTCHA: year-tied dates requiring deterministic jitter; unconstrained MLE degenerated to a pathological delta-spike without bounds. MBPP jitter-free comparator reproduced branching ratio within 0.1% (one summary statistic only).",MBPP robustness check covers branching ratio only; kernel shape and peak timing under alternative date treatments untested.,"Explicit L_i/U_i interval bounds per precision class under a researcher-reviewed parsing rule (R-O5, deliberately deferred to avoid silent point-substitution).","If true: kernel shape/peak timing (not just branching ratio) should shift materially under different interval-bound or jitter schemes.","PARTIALLY_IDENTIFIED (one statistic tested, not the full clustering pattern)",PARTIALLY_SUPPORTED_FOR_CORPUS,legacy A8
MEC-09,Latent common-cause clustering (shared external shock),HISTORICAL,"1626 monopoly, 1680 general-alliance wave (reflected in 1682 peak), 1755 renovation wave read as VOC-wide/region-wide policy shocks hitting multiple forts together, not sequential fort-to-fort contagion.",None located against the documented multi-fort simultaneity itself.,"A multi-fort joint model distinguishing shared-shock co-occurrence from sequential excitation (not built -- closest analogue is M4, itself NOT_EVALUABLE for feasibility).",If true: co-occurring events across distinct forts in the same cluster year should not show a lagged triggering structure between forts.,IDENTIFIED_IN_PRINCIPLE (M4 not assessed for feasibility),SUPPORTED_FOR_CORPUS,legacy A9
MEC-10,Event-type heterogeneity,HISTORICAL_OR_OBSERVATIONAL,Existing Siklus/Stabil/Sisa stratification is actor/fort-cluster heterogeneity,No formal test of event-type (action-type) pooling bias was located in the repository.,An event-type-stratified refit analogous to the existing fort-cluster stratification (not performed; would itself require R-O6 actor/action/outcome columns first).,If true: pooling distinct action types should show different branching ratios analogous to the fort-cluster stratification result.,MECHANISM_UNDERDETERMINED,NOT_TESTABLE,legacy A10
