target_id,bibliographic_class,frozen_title,frozen_author,frozen_year,frozen_identifier,applicable_fields,hard_identifier_fields,proposed_provider_classes,query_template_status,network_required,content_access_required,external_retrieval_required,normalization_rule_status,weight_status,coverage_threshold_status,ambiguity_risk,planned_outcome_taxonomy,stop_condition,execution_status,notes,matching_method,weighted_score_status,required_core_fields,optional_corroborating_fields,coverage_metric_status,provider_class_status,individual_provider_status,required_core_field_status
ET-01,PUBLISHED_PRIMARY_OR_DOCUMENT_EDITION,Het Painansch Contract,UNRESOLVED (De Leeuw cited as publisher; not independently confirmed),UNRESOLVED,UNRESOLVED (no catalogue identifier recorded in frozen inventory),title;author_or_corporate_author;publication_year;edition;volume;issue;publisher;repository_or_catalogue_identity;persistent_identifier;catalogue_record_url;language;physical_or_digital_format,repository_or_catalogue_identity,issuing_repository_or_archival_catalogue;publisher_or_journal_record;national_or_university_library_catalogue,NOT_EXECUTED_TEMPLATE_ONLY,YES,NO,NO,SPECIFIED_NOT_APPLIED,FIELD_WEIGHTS_PENDING_RESEARCHER_DECISION,NO_GLOBAL_NUMERICAL_THRESHOLD,MODERATE (single treaty edition; risk is confusing distinct printings),"NO_CANDIDATE_FOUND,ONE_CANDIDATE_UNVERIFIED,IDENTITY_CONFIRMED,MULTIPLE_CANDIDATES_AMBIGUOUS,HARD_IDENTIFIER_CONTRADICTION,LOOKUP_NOT_EXECUTED,NETWORK_OR_PROVIDER_FAILURE",stop if no external catalogue/publisher record confirms the edition,PLANNED_ONLY,S1-WP01; De Leeuw publisher/edition-year verification per frozen registry ET-01,RULE_BASED_CONJUNCTIVE_IDENTITY_GATE,DEFERRED_NOT_REQUIRED,title;publisher;publication_year;edition,author_or_corporate_author;volume;issue;catalogue_record_url;language;physical_or_digital_format;persistent_identifier,DIAGNOSTIC_ONLY,APPROVED_WITH_LIMITATIONS,PENDING_PREEXECUTION_REVIEW,APPROVED_WITH_LIMITATIONS
ET-03,UNVERIFIED_REFERENCE,Corpus Diplomaticum volume 1 (CD1),UNRESOLVED (compiler/editing institution not confirmed),UNRESOLVED,UNRESOLVED (no catalogue identifier recorded in frozen inventory),title;author_or_corporate_author;volume;repository_or_catalogue_identity;catalogue_record_url;language;physical_or_digital_format,repository_or_catalogue_identity,issuing_repository_or_archival_catalogue;national_or_university_library_catalogue;recognized_bibliographic_database,NOT_EXECUTED_TEMPLATE_ONLY,YES,NO,NO,SPECIFIED_NOT_APPLIED,FIELD_WEIGHTS_PENDING_RESEARCHER_DECISION,NO_GLOBAL_NUMERICAL_THRESHOLD,MODERATE (multi-volume series; risk of volume-number mismatch),"NO_CANDIDATE_FOUND,ONE_CANDIDATE_UNVERIFIED,IDENTITY_CONFIRMED,MULTIPLE_CANDIDATES_AMBIGUOUS,HARD_IDENTIFIER_CONTRADICTION,LOOKUP_NOT_EXECUTED,NETWORK_OR_PROVIDER_FAILURE",stop if volume identity cannot be confirmed against a published Corpus Diplomaticum series record,PLANNED_ONLY,S1-WP03; feeds local indexing (S1-B2) only after identity confirmed,RULE_BASED_CONJUNCTIVE_IDENTITY_GATE,DEFERRED_NOT_REQUIRED,title;volume;author_or_corporate_author,catalogue_record_url;language;physical_or_digital_format;edition,DIAGNOSTIC_ONLY,APPROVED_WITH_LIMITATIONS,PENDING_PREEXECUTION_REVIEW,APPROVED_WITH_LIMITATIONS
ET-04,UNVERIFIED_REFERENCE,Corpus Diplomaticum volume 2 (CD2),UNRESOLVED (compiler/editing institution not confirmed),UNRESOLVED,UNRESOLVED (no catalogue identifier recorded in frozen inventory),title;author_or_corporate_author;volume;repository_or_catalogue_identity;catalogue_record_url;language;physical_or_digital_format,repository_or_catalogue_identity,issuing_repository_or_archival_catalogue;national_or_university_library_catalogue;recognized_bibliographic_database,NOT_EXECUTED_TEMPLATE_ONLY,YES,NO,NO,SPECIFIED_NOT_APPLIED,FIELD_WEIGHTS_PENDING_RESEARCHER_DECISION,NO_GLOBAL_NUMERICAL_THRESHOLD,MODERATE (multi-volume series; risk of volume-number mismatch),"NO_CANDIDATE_FOUND,ONE_CANDIDATE_UNVERIFIED,IDENTITY_CONFIRMED,MULTIPLE_CANDIDATES_AMBIGUOUS,HARD_IDENTIFIER_CONTRADICTION,LOOKUP_NOT_EXECUTED,NETWORK_OR_PROVIDER_FAILURE",stop if volume identity cannot be confirmed against a published Corpus Diplomaticum series record,PLANNED_ONLY,S1-WP03; feeds local indexing (S1-B2) only after identity confirmed,RULE_BASED_CONJUNCTIVE_IDENTITY_GATE,DEFERRED_NOT_REQUIRED,title;volume;author_or_corporate_author,catalogue_record_url;language;physical_or_digital_format;edition,DIAGNOSTIC_ONLY,APPROVED_WITH_LIMITATIONS,PENDING_PREEXECUTION_REVIEW,APPROVED_WITH_LIMITATIONS
ET-05,UNVERIFIED_REFERENCE,Corpus Diplomaticum volume 3 (CD3),UNRESOLVED (compiler/editing institution not confirmed),UNRESOLVED,UNRESOLVED (no catalogue identifier recorded in frozen inventory),title;author_or_corporate_author;volume;repository_or_catalogue_identity;catalogue_record_url;language;physical_or_digital_format,repository_or_catalogue_identity,issuing_repository_or_archival_catalogue;national_or_university_library_catalogue;recognized_bibliographic_database,NOT_EXECUTED_TEMPLATE_ONLY,YES,NO,NO,SPECIFIED_NOT_APPLIED,FIELD_WEIGHTS_PENDING_RESEARCHER_DECISION,NO_GLOBAL_NUMERICAL_THRESHOLD,MODERATE (multi-volume series; risk of volume-number mismatch),"NO_CANDIDATE_FOUND,ONE_CANDIDATE_UNVERIFIED,IDENTITY_CONFIRMED,MULTIPLE_CANDIDATES_AMBIGUOUS,HARD_IDENTIFIER_CONTRADICTION,LOOKUP_NOT_EXECUTED,NETWORK_OR_PROVIDER_FAILURE",stop if volume identity cannot be confirmed against a published Corpus Diplomaticum series record,PLANNED_ONLY,S1-WP03; feeds local indexing (S1-B2) only after identity confirmed,RULE_BASED_CONJUNCTIVE_IDENTITY_GATE,DEFERRED_NOT_REQUIRED,title;volume;author_or_corporate_author,catalogue_record_url;language;physical_or_digital_format;edition,DIAGNOSTIC_ONLY,APPROVED_WITH_LIMITATIONS,PENDING_PREEXECUTION_REVIEW,APPROVED_WITH_LIMITATIONS
ET-06,UNVERIFIED_REFERENCE,Corpus Diplomaticum volume 4 (CD4),UNRESOLVED (compiler/editing institution not confirmed),UNRESOLVED,UNRESOLVED (no catalogue identifier recorded in frozen inventory),title;author_or_corporate_author;volume;repository_or_catalogue_identity;catalogue_record_url;language;physical_or_digital_format,repository_or_catalogue_identity,issuing_repository_or_archival_catalogue;national_or_university_library_catalogue;recognized_bibliographic_database,NOT_EXECUTED_TEMPLATE_ONLY,YES,NO,NO,SPECIFIED_NOT_APPLIED,FIELD_WEIGHTS_PENDING_RESEARCHER_DECISION,NO_GLOBAL_NUMERICAL_THRESHOLD,HIGHER (source_id_or_group PS-06/IS-07 shared across Painan and Indrapura cases; misidentification propagates to both),"NO_CANDIDATE_FOUND,ONE_CANDIDATE_UNVERIFIED,IDENTITY_CONFIRMED,MULTIPLE_CANDIDATES_AMBIGUOUS,HARD_IDENTIFIER_CONTRADICTION,LOOKUP_NOT_EXECUTED,NETWORK_OR_PROVIDER_FAILURE",stop if volume identity cannot be confirmed against a published Corpus Diplomaticum series record,PLANNED_ONLY,S1-WP03; source_id_or_group = PS-06 / IS-07 (cited by INDERAPURA dossier too),RULE_BASED_CONJUNCTIVE_IDENTITY_GATE,DEFERRED_NOT_REQUIRED,title;volume;author_or_corporate_author,catalogue_record_url;language;physical_or_digital_format;edition,DIAGNOSTIC_ONLY,APPROVED_WITH_LIMITATIONS,PENDING_PREEXECUTION_REVIEW,APPROVED_WITH_LIMITATIONS
ET-07,UNVERIFIED_REFERENCE,Corpus Diplomaticum volume 5 (CD5),UNRESOLVED (compiler/editing institution not confirmed),UNRESOLVED,UNRESOLVED (no catalogue identifier recorded in frozen inventory),title;author_or_corporate_author;volume;repository_or_catalogue_identity;catalogue_record_url;language;physical_or_digital_format,repository_or_catalogue_identity,issuing_repository_or_archival_catalogue;national_or_university_library_catalogue;recognized_bibliographic_database,NOT_EXECUTED_TEMPLATE_ONLY,YES,NO,NO,SPECIFIED_NOT_APPLIED,FIELD_WEIGHTS_PENDING_RESEARCHER_DECISION,NO_GLOBAL_NUMERICAL_THRESHOLD,MODERATE (multi-volume series; risk of volume-number mismatch),"NO_CANDIDATE_FOUND,ONE_CANDIDATE_UNVERIFIED,IDENTITY_CONFIRMED,MULTIPLE_CANDIDATES_AMBIGUOUS,HARD_IDENTIFIER_CONTRADICTION,LOOKUP_NOT_EXECUTED,NETWORK_OR_PROVIDER_FAILURE",stop if volume identity cannot be confirmed against a published Corpus Diplomaticum series record,PLANNED_ONLY,S1-WP03; feeds local indexing (S1-B2) only after identity confirmed,RULE_BASED_CONJUNCTIVE_IDENTITY_GATE,DEFERRED_NOT_REQUIRED,title;volume;author_or_corporate_author,catalogue_record_url;language;physical_or_digital_format;edition,DIAGNOSTIC_ONLY,APPROVED_WITH_LIMITATIONS,PENDING_PREEXECUTION_REVIEW,APPROVED_WITH_LIMITATIONS
ET-08,UNVERIFIED_REFERENCE,Corpus Diplomaticum volume 6 (CD6),UNRESOLVED (compiler/editing institution not confirmed),UNRESOLVED,UNRESOLVED (no catalogue identifier recorded in frozen inventory),title;author_or_corporate_author;volume;repository_or_catalogue_identity;catalogue_record_url;language;physical_or_digital_format,repository_or_catalogue_identity,issuing_repository_or_archival_catalogue;national_or_university_library_catalogue;recognized_bibliographic_database,NOT_EXECUTED_TEMPLATE_ONLY,YES,NO,NO,SPECIFIED_NOT_APPLIED,FIELD_WEIGHTS_PENDING_RESEARCHER_DECISION,NO_GLOBAL_NUMERICAL_THRESHOLD,MODERATE (multi-volume series; risk of volume-number mismatch),"NO_CANDIDATE_FOUND,ONE_CANDIDATE_UNVERIFIED,IDENTITY_CONFIRMED,MULTIPLE_CANDIDATES_AMBIGUOUS,HARD_IDENTIFIER_CONTRADICTION,LOOKUP_NOT_EXECUTED,NETWORK_OR_PROVIDER_FAILURE",stop if volume identity cannot be confirmed against a published Corpus Diplomaticum series record,PLANNED_ONLY,S1-WP03; feeds local indexing (S1-B2) only after identity confirmed,RULE_BASED_CONJUNCTIVE_IDENTITY_GATE,DEFERRED_NOT_REQUIRED,title;volume;author_or_corporate_author,catalogue_record_url;language;physical_or_digital_format;edition,DIAGNOSTIC_ONLY,APPROVED_WITH_LIMITATIONS,PENDING_PREEXECUTION_REVIEW,APPROVED_WITH_LIMITATIONS
ET-10,CITED_ONLY_NOT_YET_LOCATED,Kathirithamby-Wells PhD thesis (window 1760-85 as cited),UNRESOLVED (Kathirithamby-Wells; institution not independently confirmed),UNRESOLVED,UNRESOLVED (no repository handle/DOI recorded in frozen inventory),title;author_or_corporate_author;publication_year;repository_or_catalogue_identity;persistent_identifier;language,persistent_identifier;repository_or_catalogue_identity,issuing_repository_or_archival_catalogue;doi_registration_agency;national_or_university_library_catalogue,NOT_EXECUTED_TEMPLATE_ONLY,YES,NO,NO,SPECIFIED_NOT_APPLIED,FIELD_WEIGHTS_PENDING_RESEARCHER_DECISION,NO_GLOBAL_NUMERICAL_THRESHOLD,HIGHER (must also resolve whether thesis window 1760-85 covers the 1680-1730 case; a wrong-window match is a distinct failure mode from mere identity),"NO_CANDIDATE_FOUND,ONE_CANDIDATE_UNVERIFIED,IDENTITY_CONFIRMED,MULTIPLE_CANDIDATES_AMBIGUOUS,HARD_IDENTIFIER_CONTRADICTION,LOOKUP_NOT_EXECUTED,NETWORK_OR_PROVIDER_FAILURE",stop and formally exclude as out-of-window if institution/year cannot be confirmed as covering 1680-1730,PLANNED_ONLY,S1-WP04; hard_identifier_fields intentionally include persistent_identifier and repository_or_catalogue_identity for this modern-thesis target only,RULE_BASED_CONJUNCTIVE_IDENTITY_GATE,DEFERRED_NOT_REQUIRED,title;author_or_corporate_author;publication_year,language;edition;volume;issue;catalogue_record_url;physical_or_digital_format,DIAGNOSTIC_ONLY,APPROVED_WITH_LIMITATIONS,PENDING_PREEXECUTION_REVIEW,APPROVED_WITH_LIMITATIONS
ET-12,LOCAL_FILE_IDENTITY_REVIEW / CITED_ONLY_NOT_YET_LOCATED,EIC Fort York / Batang Capas material (git history reference),UNRESOLVED,UNRESOLVED,UNRESOLVED (commit 6b6fba3 trace pending; no working-tree file),title;author_or_corporate_author;publication_year;repository_or_catalogue_identity;language,repository_or_catalogue_identity,issuing_repository_or_archival_catalogue (external archive fallback only if local git trace fails),NOT_EXECUTED_TEMPLATE_ONLY,YES (fallback only if local git-history trace fails),NO,NO,SPECIFIED_NOT_APPLIED,FIELD_WEIGHTS_PENDING_RESEARCHER_DECISION,NO_GLOBAL_NUMERICAL_THRESHOLD,"HIGHER (local git trace must run first per frozen registry; external bibliographic lookup is conditional fallback only, not the primary path)","NO_CANDIDATE_FOUND,ONE_CANDIDATE_UNVERIFIED,IDENTITY_CONFIRMED,MULTIPLE_CANDIDATES_AMBIGUOUS,HARD_IDENTIFIER_CONTRADICTION,LOOKUP_NOT_EXECUTED,NETWORK_OR_PROVIDER_FAILURE",stop and log LOCAL_FILE_MISSING if commit 6b6fba3 does not contain a recoverable file; network lookup only escalates after that stop is reached and separately authorized,PLANNED_ONLY,S1-WP06; per frozen registry this target's primary path is git-history trace (local; no network); bibliographic lookup is the conditional secondary path only,RULE_BASED_CONJUNCTIVE_IDENTITY_GATE,DEFERRED_NOT_REQUIRED,title;author_or_corporate_author,publication_year;language,DIAGNOSTIC_ONLY,APPROVED_WITH_LIMITATIONS,PENDING_PREEXECUTION_REVIEW,APPROVED_WITH_LIMITATIONS
ET-13,CITED_ONLY_NOT_YET_LOCATED,Vogel (1690) standalone source (quoted verbatim inside INDERAPURA_EPISODE_DOSSIER_DRAFT.md),UNRESOLVED (Vogel; independent bibliographic identity not yet confirmed outside the dossier's own quotation),UNRESOLVED (1690 as cited by dossier; not independently confirmed),UNRESOLVED (no catalogue identifier recorded in frozen inventory),title;author_or_corporate_author;publication_year;repository_or_catalogue_identity;language,repository_or_catalogue_identity,issuing_repository_or_archival_catalogue;national_or_university_library_catalogue;recognized_bibliographic_database,NOT_EXECUTED_TEMPLATE_ONLY,YES,NO,NO,SPECIFIED_NOT_APPLIED,FIELD_WEIGHTS_PENDING_RESEARCHER_DECISION,NO_GLOBAL_NUMERICAL_THRESHOLD,HIGHER (must find a standalone Vogel source independent of the dossier's own quotation; avoids circularity),"NO_CANDIDATE_FOUND,ONE_CANDIDATE_UNVERIFIED,IDENTITY_CONFIRMED,MULTIPLE_CANDIDATES_AMBIGUOUS,HARD_IDENTIFIER_CONTRADICTION,LOOKUP_NOT_EXECUTED,NETWORK_OR_PROVIDER_FAILURE",stop if no standalone Vogel source can be identified independent of the dossier's own quotation,PLANNED_ONLY,S1-WP07; source_id_or_group = IS-06,RULE_BASED_CONJUNCTIVE_IDENTITY_GATE,DEFERRED_NOT_REQUIRED,title;author_or_corporate_author;publication_year,language,DIAGNOSTIC_ONLY,APPROVED_WITH_LIMITATIONS,PENDING_PREEXECUTION_REVIEW,APPROVED_WITH_LIMITATIONS
