"local_path","file_type","related_harvest_id","apparent_dataverse_origin","retained_as_raw_or_processed","size_or_rows","notes"
"data/research/korpus_tema_slim.csv","CSV (processed)","H-02","GLOBALISE corpus (inferred)","PROCESSED_ONLY -- no raw dataverse export retained","3.5MB / large row count","Final slim/db-ready output of a long local cleaning pipeline; not a raw Dataverse API/export artifact."
"docs/thesis/dr/daghregister_corpus.csv","CSV (processed)","H-02","GLOBALISE corpus (inferred)","PROCESSED_ONLY","~2.79MB","Earliest-stage file found in the current working tree for this lineage; already restructured, not a raw Dataverse download."
"docs/thesis/dr/daghregister_corpus_classified.csv","CSV (processed)","H-02","GLOBALISE corpus (inferred)","PROCESSED_ONLY","~2.76MB","Pipeline stage 2 of the daghregister cleaning chain."
"docs/thesis/dr/daghregister_corpus_deduped.csv","CSV (processed)","H-02","GLOBALISE corpus (inferred)","PROCESSED_ONLY","~2.76MB","Pipeline stage 3."
"docs/thesis/dr/daghregister_corpus_directioned.csv","CSV (processed)","H-02","GLOBALISE corpus (inferred)","PROCESSED_ONLY","~2.77MB","Pipeline stage 4."
"docs/thesis/dr/daghregister_corpus_sanitychecked.csv","CSV (processed)","H-02","GLOBALISE corpus (inferred)","PROCESSED_ONLY","~2.79MB","Pipeline stage 5 (final before slim export)."
"docs/thesis/dr/daghregister_corpus-update.csv","CSV (processed)","H-02","GLOBALISE corpus (inferred)","PROCESSED_ONLY","~2.76MB","Later update pass over the same lineage."
"docs/thesis/dr/dr_scan_mentah.json","JSON (processed scan output)","H-02","GLOBALISE corpus (inferred)","PROCESSED_ONLY","~1.77MB","Named 'mentah' (raw) but is itself a scan/extraction output, not a Dataverse-native export file (no .tab/.zip/Dataverse-format file exists anywhere in the tree)."
"docs/thesis/globalise_corpus.csv","CSV","H-02","GLOBALISE corpus","ABSENT -- referenced in docs/brainstorm-globalise-data-modeling.md but not present in the current working tree","535 rows (per the referencing document only)","This would have been the closest thing to a 'raw harvest' artifact for H-02 and it no longer exists locally; its disappearance is the direct cause of H-02's provenance gap."
"(none found)","Dataverse-native format (.tab, .zip, Dataverse JSON-LD export, DDI XML)","H-01 / H-02","dataverse.nl","NOT_FOUND","0","No file anywhere under data/, docs/, or scrawling/ is in a native Dataverse export format. Everything retained locally for H-01/H-02 is either a database table (H-01) or an already-transformed CSV/JSON several pipeline stages removed from any original download (H-02)."
