# WORKING CROSS-CASE RESEARCH ARTIFACT
# NOT PRODUCTION DATA
# NO ONTOLOGY IMPLEMENTATION EXECUTED
entity_class,decision,supporting_cases,counterexamples,required_fields,identity_rules,temporal_rules,source_requirements,public_or_research_only,researcher_review_required,notes
Actor,KEEP_AS_FIRST_CLASS_ENTITY,"CASE-01 (6 named actors, reviewed artifact); CASE-05 row 33 (Soureradja); CASE-03 (named signatories); CASE-09 (landsheeren/Grooten van Baros)",CASE-10 (Pariaman) shows Actor cannot be minted from a place/collective label alone,actor_id; label; named_individuals (may be empty); source_document_ids; researcher_review_required,"an Actor requires at least one named individual OR an explicitly bounded, source-described group (e.g. '12 desa pongelous,' 'ten envoys') -- a bare place name is never sufficient (see Actor-vs-Location guard)","valid_from/valid_to bounded by the actor's own documented period of action, not the case's full date range","source_document_ids mandatory, per the reviewed Painan artifact's own precedent","public-eligible at Level 1 (name only), research-only for identity caveats/mandate ambiguity","YES for every actor with an unresolved name-variant question (e.g. Sulthan Bagindo Maharadja-Lelo vs. hoofdregent Baginda Maharadja Lello, CASE-03; Sire Narra vs. Gouverneur Pouti, CASE-04)","Directly reuses the Painan artifact's own already-validated actor schema (6 actors, no orphan endpoints, per its 23/23 validator) as the model for this entity class."
ActorFaction,KEEP_AS_ROLE_OR_ATTRIBUTE,"CASE-01 (Muhammad Syah faction; Raja Adil faction; 9-of-20 vs 11-of-20 menteri); CASE-04 (pro-Aceh faction, 1684)","CASE-05, CASE-06, CASE-08, CASE-09, CASE-10, CASE-12 -- no internally-differentiated faction is documented within these cases in the material reviewed","faction_id; parent_actor_or_community; membership_basis (explicit vote count, named leadership, or source-described group); temporal_bound","per §11 of the governing plan: persistent faction ID appropriate ONLY if membership/leadership traceable, temporal scope boundable, not merely a retrospective analytical label, and source basis recorded -- Muhammad Syah faction and Raja Adil faction (CASE-01) meet this bar (11-of-20/9-of-20 menteri, explicitly counted); the CASE-04 pro-Aceh faction does NOT meet the bar (no membership, leadership, or count documented) and should remain a narrative attribute of the 1684 event, not a persistent entity","bounded to the specific dispute window in which the faction is documented (e.g. 1662-1665 for CASE-01's two factions), not extended by default","explicit source-stated basis for the faction's own existence (a vote count, a named leadership list, or an explicit collective declaration)",research-only (factional detail is Level-3 content per the Painan artifact's own display-guard precedent),YES,KEEP_AS_ROLE_OR_ATTRIBUTE rather than KEEP_AS_FIRST_CLASS_ENTITY because only 2 of 12 cases meet the full persistent-ID bar; a first-class entity table would be mostly empty/unused across the case set.
Institution,KEEP_AS_FIRST_CLASS_ENTITY,all 12 cases (VOC institutional actor present in every case); CASE-01/CASE-03 (VOC as distinct from its own field agents),none -- Institution is the single most cross-case-stable entity class reviewed,"institution_id; label (VOC, Aceh court, EIC); distinct from any individual agent acting on its behalf","an Institution is distinct from any IndividualOfficeHolder acting as its agent (e.g. VOC institution vs. Groenewegen as its negotiator, CASE-01/CASE-05)",institutions persist across the full project period; individual relations to them are what carry temporal bounds,none beyond ordinary event-level sourcing,public-eligible,NO,"The VOC-institution-vs-agent distinction (Groenewegen, Carpentier, Senff, Sas) is already cleanly modeled in the Painan artifact and reused consistently across CASE-01/03/05/11."
IndividualOfficeHolder,KEEP_AS_FIRST_CLASS_ENTITY,"CASE-01 (Groenewegen, Mansur Syah); CASE-03 (Senff, Carpentier, d'Estaing); CASE-05 (Soureradja); CASE-04 (van Leene); CASE-11 (Sas)","most CASE-04/CASE-06/CASE-10 rows name no individual at all -- office-holder identity is frequently absent, not merely unrepresented",individual_id; held_office (link to PoliticalOffice); named_individual; source_document_ids,"an individual is only entered when directly named in a source; office is recorded separately from the person occupying it at a given date, per §13's own instruction not to equate VOC-period office terms with 19th-century statutory offices",tenure dates recorded where known (e.g. Senff posted Oct 1760); left open/unknown where not,direct source naming required; no individual invented to fill a role,"public-eligible (name), research-only for tenure/mandate detail",YES for cross-case identity questions (e.g. whether 'Sulthan Bagindo Maharadja-Lelo' = 'hoofdregent Baginda Maharadja Lello'),Groenewegen and Sas are this project's two clearest multi-case brokerage individuals -- see Broker entity review below.
PoliticalOffice,KEEP_AS_ROLE_OR_ATTRIBUTE,"all 12 cases carry office terms (panglima, penghulu, regent, hoofdregent, dato, radja, sultan)","none reject the concept, but no case supplies enough evidence to model office as an entity independent of its holders with stable institutional continuity","office_term_as_written; normalized_label (informational only); holder_history (list of IndividualOfficeHolder links, where known)","per §13, office terms are recorded as SOURCE TERM ANNOTATIONS with a normalized label alongside the original, never silently translated into a fixed institutional category; VOC-period office vocabulary is not equated with any later statutory system","office continuity across successive holders is NOT assumed unless directly documented (e.g. Sontan Macona succeeding Raja Ibrahim as Tiku's own penghulu kepala, CASE-05, is directly documented; most other successions are not)",the original source term must always be preserved alongside any normalized label,research-only for the normalization question; the plain office term itself is public-eligible,YES,"Decision: normalized label PLUS original term, per §13's own fourth option -- not a fixed cross-case office ontology, given the genuine terminological diversity (panglima/pongoulon/regent/hoofdregent/governor/dato/radja/sultan) documented across the 12 cases."
Community,REQUIRES_MORE_EVIDENCE,"CASE-05 row 33 (the 12 desa collectively, via Soureradja and the pongelous); CASE-04 row 70 (regents and 'alle inwoonderen')",CASE-10 (Pariaman) is the clearest case where a place-based population label is used WITHOUT the demonstrated-mandate evidence this entity class would require,"community_id; population_basis; represented_by (link to office-holder(s) or faction, where evidenced)","a Community entity requires evidence the collective itself, not merely its place-name, took or was party to a documented action (per §10's Actor-vs-Location guard)",not resolved in this review,"an explicit collective action or declaration, not a mere population mention",research-only pending further evidentiary development,YES,"REQUIRES_MORE_EVIDENCE rather than a firm KEEP/REJECT because only 2 of 12 cases (CASE-04, CASE-05) supply borderline-sufficient evidence, and even those are thin (no individual community members named, only office-holders acting nominally on the community's behalf)."
NamedCollective,KEEP_RESEARCH_ONLY,"CASE-05 (Bergvolkeren te Ulakan en Kota Tengah, explicitly NOT merged with the coastal Koto Tangah polity); CASE-06 (armed enslaved companies from the Sillida mine)","none reject the category, but no case supports promoting it beyond an annotation-level label",collective_label_as_written; distinguishing_note (explicitly stating what it is NOT the same as),"a NamedCollective is recorded precisely to PREVENT false merger with a better-evidenced Actor or Community (e.g. Bergvolkeren != the coastal Koto Tangah polity) -- it is a guard category, not a promotion path",bounded strictly to the single event in which it is named,direct source quotation of the collective label,research-only,YES,This category exists specifically to operationalize the non-merger discipline required throughout Batches I9-I11 (e.g. CASE-04's Batch-I10 explicit refusal to merge 1738's 'Bergvolkeren' with the 1660-1712 coastal community).
Broker,KEEP_AS_ROLE_OR_ATTRIBUTE,"CASE-01/CASE-05 (Groenewegen, negotiating agent at Painan 1662-63 and Tiku 1662, previously honored at Aceh's own court 1660); CASE-11/CASE-05 (Sas, expedition broker across Air Bangis/Barus/Nias 1693, later killed at Tiku)","most named VOC commanders in this ledger (van Leene, Senff, Carpentier, Boudens) perform a single-case negotiating or command role without the CROSS-CASE, both-sides-standing pattern that makes Groenewegen and Sas distinctive","broker_id (link to IndividualOfficeHolder); evidence_type (at least one of: information control, translation, access mediation, negotiation transmission, treaty mediation, commodity brokerage, representation claim, principal-agent discretion)","per §12, repeated appearance ALONE is insufficient -- Groenewegen qualifies because he is independently evidenced standing on BOTH sides of a relation (honored at Aceh's own court, 1660, then VOC's own lead negotiator against Aceh's interest, 1662-63) at both Painan and Tiku; Sas qualifies as a negotiation-transmission broker across 3 sites in one tour, though no both-sides-standing evidence is documented for him specifically","broker status is per-relation, not a permanent trait of the individual","at least one of the eight evidence types in §12 explicitly documented, not merely inferred from a name appearing twice","research-only (the misrepresentation-risk question this role raises, per the Painan artifact's own §15 finding, is Level-3 content)",YES,"KEEP_AS_ROLE_OR_ATTRIBUTE (an annotation on a relation, e.g. NEGOTIATES_WITH carrying a broker flag) rather than a first-class Broker entity table, because only 2 individuals across 12 cases meet even the minimal evidentiary bar, and their own brokerage role differs in kind (Groenewegen's both-sides-standing vs. Sas's multi-site single-direction transmission) -- collapsing them into one entity table would flatten a real distinction. Reused directly from the Painan artifact's own §15/§20 findings, not re-derived."
Location,KEEP_AS_FIRST_CLASS_ENTITY,all 12 cases,none,location_id; label; location_type (port/fort/mine/settlement/region); coordinates (not resolved in this review),"a Location is never itself an Actor (see §10 guard) -- Painan, Padang, Tiku, Natal, Sillida, Barus, Koto Tangah, Indrapura, Pariaman are all confirmed, across this review's 12 cases, to require this separation in at least one documented instance each","locations persist; dominion_status/alignment changes are relation-level facts about the location, not properties that redefine the location entity itself",none beyond ordinary event-level sourcing,public-eligible,NO,This is the entity class most directly and repeatedly tested by this review's own Actor-vs-Location guard (§10) -- see the main review document §8 for the full per-place test.
Port,KEEP_AS_ROLE_OR_ATTRIBUTE,CASE-05 (Tiku as pelabuhan/wilayah dagang); CASE-06 (Sillida),none reject,subtype of Location; commodity_association,"a Port is a Location subtype, not a separate identity axis",inherits Location's rules,none beyond Location,public-eligible,NO,"Modeled as a Location subtype/attribute per the existing Painan-adjacent Data Contract Draft's own entity list, not re-derived as a new independent class."
Fort,KEEP_AS_ROLE_OR_ATTRIBUTE,"CASE-03 (Natal fort, explicit claim/control test object); CASE-07 (Batang Capas post)",none reject,subtype of Location; garrison_history (link to IndividualOfficeHolder occupants where known),"Fort is a Location subtype whose CONTROL status (claim vs. effective) is the actual object of most relations tested in this review, per §16 -- the fort itself does not carry the claim/control status, the relation does",inherits Location's rules; garrison/occupation dates are relation-level facts,none beyond Location,"public-eligible for existence, research-only for the claim/control annotation",NO,"CASE-03/Natal is this review's clearest illustration of why Fort must not itself carry a single 'controlled_by' field -- the March/October 1760 sequence requires two distinct, dated CLAIM_OR_EFFECTIVE_CONTROL observations, not one fort-level status."
Mine,KEEP_AS_ROLE_OR_ATTRIBUTE,"CASE-06 (Sillida/Kleyn Zillida gold mine, 1737 lease retaining VOC sovereignty)","none reject, but only 1 case substantively tests this class",subtype of Location; lease_terms (link to Claim/Obligation entities),Mine is a Location subtype; its own 1737 lease is this review's clearest CLAIM (sovereignty retained) vs. COMMERCIAL_CONTROL (operational lease) test,inherits Location's rules,none beyond Location,research-only (resource-governance detail),YES,Directly relevant to §21's resource-governance review; see also the Sillida mine's own coerced-labor-company cross-reference under Constrained Agency below.
Commodity,KEEP_AS_ROLE_OR_ATTRIBUTE,"CASE-05 (pepper, primary); CASE-04/CASE-06 (salt, gold)",none reject,commodity_label; monopoly_claims (link to CLAIMS_COMMODITY_MONOPOLY relations),"Commodity is an attribute of REQUIRES_MONOPOLY_FROM/CLAIMS_COMMODITY_MONOPOLY relations, not an independent actor-adjacent entity",not applicable as an entity itself,none beyond the relation it attaches to,public-eligible,NO,"Pepper (Tiku, Painan, Indrapura), salt (Koto Tangah, Tiku), gold (Sillida) and camphor/benzoin (Barus) are the 4 commodities this review finds recurring across the case set."
Treaty,KEEP_AS_FIRST_CLASS_ENTITY,all 12 cases carry at least one named/dated instrument,none reject,treaty_id; date; parties; source_document_ids; distinct from any PowerRelation it produces,"a Treaty is the INSTRUMENT; the relations it establishes (protection, monopoly, alignment) are separate, distinct entities/annotations, per the reviewed Painan artifact's own already-validated pattern (one treaty_id, e.g. painan_tractaat_1663, referenced by multiple relation records)","a Treaty has its own signing date, distinct from the valid_from/valid_to of any relation it produces (which may begin later, be contested, or lapse before the treaty is formally superseded)",source_document_ids mandatory,"public-eligible for existence/date, research-only for full text/interpretation","YES for the unresolved CASE-04 1755 CD6-duplicate-instrument question (Batch I10's own CANNOT_DETERMINE finding, reused)",Directly reuses the Painan artifact's own Treaty entity pattern.
HistoricalEvent,KEEP_AS_FIRST_CLASS_ENTITY,all 12 cases -- this is the existing linimasa_events.csv row itself,none,event_id (existing stable ID scheme); unchanged by this review,"referenced by id only, per §4 of the governing plan; never re-derived or modified by this or any interpretive batch",as recorded in linimasa_events.csv (unchanged),as already established in Phase B,public-eligible (existing production data),NO,"linimasa_events.csv itself is unmodified by this review (checksum verified unchanged, see Integrity Preflight)."
ParentEpisode,KEEP_AS_FIRST_CLASS_ENTITY,CASE-01/02 (Songypagouers); CASE-03 (Natal transfer); CASE-04 (4x destruction cycle; loyalty consolidation); CASE-06/12 (VOC-Atjeh war); CASE-09 (Barus secession; civil-war restructuring); CASE-11 (Sas expedition; Nias coastal alliance),CASE-05/Tiku's 7 new rows carry NO shared parent episode among themselves (each is a discrete event); CASE-08/Padang's 6 rows likewise share no single parent episode,"episode_id (existing Phase B ID scheme); member event_ids; QC status (VALID_MULTI_EVENT_EPISODE vs. DISTINCT_EVENTS_RELATED_BY_EPISODE, per the existing Phase B distinction, preserved not collapsed)","reused verbatim from Phase B's own Parent-Episode Review; never merged, split, or renamed by any interpretive batch (verified throughout I1-I11's own QC sections)",as already established in Phase B,as already established in Phase B,"public-eligible (episode grouping), research-only (the QC-status distinction itself)",NO,"The VALID_MULTI_EVENT_EPISODE vs. DISTINCT_EVENTS_RELATED_BY_EPISODE distinction (first directly tested in Batch I10, CASE-04) is this review's own recommended MODEL for how ParentEpisode should relate to member events generally -- not every episode grouping implies a single continuous narrative."
DocumentaryReport,KEEP_RESEARCH_ONLY,all 12 cases (every ledger row cites at least one),none reject,source_document; source_page; provenance_status; independent_source_support,"a DocumentaryReport is the SOURCE, kept explicitly distinct from the HistoricalEvent it reports and from any HistoricalReconstruction built from it, per this review's own Core Epistemic Discipline (§3 of the governing plan)","a report's own date (e.g. a retrospective 1690 memoir passage) is distinct from the event date(s) it describes -- CASE-04's Vogel-only rows (1678, 1686) are this review's clearest illustration",self-evidently required,research-only,NO,The CASE-04 Vogel-sourced rows and the CASE-05/CASE-11 RGP-editorial-note row (Sas's death) are this review's clearest cases where DocumentaryReport date and HistoricalEvent date diverge and must not be conflated.
Claim,KEEP_AS_FIRST_CLASS_ENTITY,"CASE-03 (March 1760 fort-ownership claim, explicitly distinct from effective control); CASE-01 (VOC's CLAIMS_JURISDICTION_OVER, PWR03); CASE-05 (Aceh's 1641 toll claim)",none reject,claim_id; claimant; object; source_document_ids; distinct EffectiveControlObservation link (may be absent),a Claim never implies a corresponding EffectiveControlObservation exists -- this is this review's single most repeated finding across CASE-01/03/04/05/10 (see §14 of the main review),a claim's own date is separate from any later control-observation date,source_document_ids mandatory,"research-only (Level 2/3, per the Painan artifact's own display-guard precedent)",NO,Directly reuses the Painan artifact's own CLAIM_OR_EFFECTIVE_CONTROL vocabulary (10 values) as the model.
Obligation,KEEP_AS_ROLE_OR_ATTRIBUTE,"CASE-03 (Oct 1760 mutual toll-restraint clause); CASE-01 (VOC_obligation/local_obligation fields, present in every interpretive-ledger row)",none reject,obligated_party; obligation_text; source_document_ids,"an attribute of a Treaty or PowerRelation, not an independent entity with its own identity beyond that relation",inherits its parent relation's temporal bounds,none beyond the parent relation,research-only,NO,Already modeled as two paired free-text fields (VOC_obligation/local_obligation) throughout the 79-row interpretive ledger; no entity promotion needed.
BreachAllegation,KEEP_AS_ROLE_OR_ATTRIBUTE,"CASE-04 (VOC's 'unfaithful nature'/'vielfältigen Meineydes' allegations); CASE-09 (Sapoelo Boabandaars 'Untreu und Bund-Bruchs,' cross-referenced, not re-ledgered)",CASE-03's Oct 1760 treaty explicitly does NOT allege breach for a structurally similar alignment-shift -- a directly documented counterexample within this review's own case set,alleging_party; accused_party; allegation_text_as_written; literal_translation,"an attribute of a PowerRelation or standalone allegation event, not an independent entity",inherits its parent event's date,"direct quotation required, per this project's own terminology-test discipline (VOC labels quoted and flagged, never adopted as neutral description)",research-only,YES,"The CASE-03-vs-CASE-09 framing contrast (no breach alleged for Natal's 1760 relapse vs. explicit punitive breach language for the 1687 Sapoelo Boabandaars case) is this review's clearest evidence that BreachAllegation is source-specific rhetoric, not a stable cross-case pattern, and must never be normalized into a single severity scale."
